time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta
0.211,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.00762262175667166,3.251920193195346
0.214,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.00762262175667166,3.251920193195346
0.217,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.00762262175667166,3.251920193195346
0.221,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.00762262175667166,3.251920193195346
0.225,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.00762262175667166,3.251920193195346
0.228,-0.57,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.00762262175667166,3.251920193195346
0.231,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.007387947719303609,3.2532767282656323
0.234,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.007211559557582269,3.254294811614159
0.23800000000000002,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.007074141677688247,3.2550870587171943
0.241,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.006964064142480059,3.2557211113910114
0.244,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.0068739059186760714,3.256240050432581
0.248,-0.57,6.48,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.006798708851122402,3.25667261564233
0.251,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.004706923348592898,3.2519215538638946
0.254,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.0029138758826785793,3.2478500260425136
0.258,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.0013598354844310478,3.244321973908839
0.261,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,0.0,3.2412353892898693
0.265,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.0011998936430905349,3.2385122895328067
0.268,-0.56,6.49,-7.65,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.0022664962716700534,3.2360920375548687
0.271,-0.56,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.003843874055692139,3.2342046317842374
0.274,-0.56,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.005263054553239211,3.232505807837299
0.278,-0.56,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.006546699844283635,3.2309686470917143
0.281,-0.56,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.007713340797479411,3.2295711214582354
0.28600000000000003,-0.56,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.008778277410614845,3.2282950310049756
0.289,-0.56,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.009754253526905295,3.22712520698731
0.292,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.009532574883204024,3.2283288123259695
0.296,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.010005560661824564,3.2285394403979097
0.299,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.010478590460008897,3.228750058347771
0.303,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.010951664277184522,3.228960666158798
0.306,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.011424782112766214,3.229171263814351
0.309,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.011897943966156033,3.229381851297674
0.313,-0.57,6.5,-7.64,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.01219107802792338,3.2293964393475676
0.316,-0.57,6.5,-7.64,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.012417187590999818,3.2290336825833634
0.319,-0.57,6.5,-7.64,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.012643238049256112,3.2286710069565885
0.323,-0.57,6.5,-7.64,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.012869229425426865,3.228308412440171
0.326,-0.57,6.5,-7.64,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.013095161742221239,3.2279458990070253
0.329,-0.57,6.5,-7.64,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.013321035022361113,3.227583466630037
0.333,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.01372673764169661,3.2274168318104017
0.336,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.013082574472725742,3.2299064993459012
0.339,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.012438932468083698,3.2323964421472198
0.343,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.011795811779381164,3.2348866601626014
0.34600000000000003,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.01115321255824154,3.2373771533401907
0.34900000000000003,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.01051113495628823,3.239867921628118
0.353,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.009869579125144636,3.2423589649744002
0.356,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.008753956649633824,3.244639045213873
0.359,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.0076383492572547574,3.246919115165767
0.363,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.006522756953923266,3.249199174822877
0.366,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.005407179745517015,3.2514792241781265
0.369,-0.57,6.5,-7.62,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.004291617637964558,3.2537592632243104
0.373,-0.56,6.49,-7.61,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.004178189578812897,3.2539420050306234
0.376,-0.56,6.49,-7.61,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.005180457088491513,3.25184447320936
0.38,-0.56,6.49,-7.61,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.006182873193265014,3.249746696453343
0.383,-0.56,6.49,-7.61,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.0071854379202190045,3.24764867472544
0.386,-0.56,6.49,-7.61,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.008188151296477254,3.2455504079884747
0.39,-0.56,6.49,-7.61,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.009191013349125364,3.2434518962052863
0.393,-0.57,6.49,-7.63,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.008897132191551338,3.2434373757764803
0.396,-0.57,6.49,-7.63,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.008783956021071284,3.2436195998679267
0.4,-0.57,6.49,-7.63,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.00867076506472685,3.2438018443489796
0.403,-0.57,6.49,-7.63,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.008557559319680979,3.243984109223078
0.406,-0.57,6.49,-7.63,-0.14,-0.03,0.02,2.58,-24.02,-56.06,-0.00844433878309662,3.2441663944936323
