time,ax,ay,az,gx,gy,gz,mx,my,mz
1.00,-0.28,6.15,-8.04,-0.01,0.00,0.00,4.87,4.69,-20.83
13.00,-0.28,6.16,-8.07,-0.01,0.00,-0.00,4.87,4.69,-22.83
25.00,-0.28,6.16,-8.07,-0.01,0.00,-0.00,4.87,4.69,-22.83
37.00,-0.27,6.17,-8.05,-0.01,0.00,-0.00,4.87,4.69,-22.83
99.00,-0.26,6.17,-8.01,-0.02,0.01,-0.00,4.87,4.69,-22.83
111.00,-0.28,6.18,-8.01,-0.02,0.00,-0.00,4.87,4.69,-22.83
123.00,-0.28,6.18,-8.01,-0.02,0.00,-0.00,4.87,4.69,-22.83
135.00,-0.27,6.18,-8.04,-0.01,0.01,-0.00,4.65,3.11,-24.83
149.00,-0.27,6.20,-8.06,-0.03,0.01,-0.00,4.65,3.11,-24.83
161.00,-0.27,6.20,-8.06,-0.03,0.01,-0.00,4.65,3.11,-24.83
173.00,-0.26,6.16,-8.02,-0.05,0.01,-0.00,4.65,3.11,-24.83
185.00,-0.26,6.16,-8.02,-0.05,0.01,-0.00,4.65,3.11,-24.83
197.00,-0.25,6.20,-7.99,-0.09,0.01,-0.01,4.65,3.11,-24.83
211.00,-0.18,6.25,-7.96,-0.14,0.00,0.00,4.65,3.11,-24.83
223.00,-0.18,6.25,-7.96,-0.14,0.00,0.00,4.65,3.11,-24.83
235.00,-0.35,6.49,-7.79,-0.04,0.00,0.01,4.65,3.11,-24.83
247.00,-0.35,6.49,-7.79,-0.04,0.00,0.01,4.65,3.11,-24.83
261.00,-0.16,5.70,-7.98,0.32,0.07,0.03,5.20,3.70,-23.16
273.00,-0.22,6.12,-7.99,0.09,0.03,0.00,5.20,3.70,-23.16
285.00,-0.22,6.12,-7.99,0.09,0.03,0.00,5.20,3.70,-23.16
297.00,-0.24,6.15,-8.01,0.02,0.01,-0.00,5.20,3.70,-23.16
309.00,-0.25,6.16,-8.00,0.01,0.00,-0.00,5.20,3.70,-23.16
323.00,-0.25,6.16,-8.00,0.01,0.00,-0.00,5.20,3.70,-23.16
335.00,-0.25,6.19,-8.01,0.01,0.00,-0.00,5.20,3.70,-23.16
347.00,-0.25,6.19,-8.01,0.01,0.00,-0.00,5.20,3.70,-23.16
359.00,-0.23,6.15,-8.01,0.01,0.00,-0.00,5.20,3.70,-23.16
373.00,-0.22,6.13,-8.02,0.01,0.00,-0.00,4.65,4.29,-21.49
385.00,-0.22,6.13,-8.02,0.01,0.00,-0.00,4.65,4.29,-21.49
397.00,-0.23,6.16,-8.05,0.01,0.00,-0.00,4.65,4.29,-21.49
409.00,-0.24,6.14,-8.01,0.01,-0.00,-0.00,4.65,4.29,-21.49
424.00,-0.24,6.14,-8.01,0.01,-0.00,-0.00,4.65,4.29,-21.49
436.00,-0.23,6.17,-8.03,0.00,-0.00,-0.00,4.65,4.29,-21.49
448.00,-0.23,6.15,-8.01,0.01,0.00,-0.00,4.65,4.29,-21.49
460.00,-0.23,6.15,-8.01,0.01,0.00,-0.00,4.65,4.29,-21.49
472.00,-0.23,6.15,-8.03,0.00,-0.00,-0.00,4.65,4.29,-21.49
486.00,-0.23,6.15,-8.03,0.00,-0.00,-0.00,4.65,4.29,-21.49
498.00,-0.25,6.16,-8.05,0.00,-0.00,-0.00,4.65,4.29,-21.49
510.00,-0.23,6.17,-8.05,0.00,0.00,-0.00,4.65,3.50,-26.16
522.00,-0.23,6.17,-8.05,0.00,0.00,-0.00,4.65,3.50,-26.16
536.00,-0.23,6.16,-8.03,0.01,0.00,-0.00,4.65,3.50,-26.16
548.00,-0.22,6.14,-8.04,0.00,0.00,-0.00,4.65,3.50,-26.16
560.00,-0.22,6.14,-8.04,0.00,0.00,-0.00,4.65,3.50,-26.16
572.00,-0.21,6.15,-8.03,0.01,0.00,-0.00,4.65,3.50,-26.16
584.00,-0.21,6.15,-8.03,0.01,0.00,-0.00,4.65,3.50,-26.16
599.00,-0.22,6.13,-8.00,0.01,0.00,-0.00,4.65,3.50,-26.16
611.00,-0.22,6.16,-8.02,0.00,-0.00,-0.00,4.65,3.50,-26.16
623.00,-0.22,6.16,-8.02,0.00,-0.00,-0.00,4.65,3.50,-26.16
635.00,-0.21,6.14,-8.02,0.00,0.00,-0.00,4.76,4.09,-23.83
649.00,-0.22,6.16,-8.01,0.00,-0.00,-0.00,4.76,4.09,-23.83
661.00,-0.22,6.16,-8.01,0.00,-0.00,-0.00,4.76,4.09,-23.83
673.00,-0.23,6.15,-8.02,0.00,-0.00,-0.00,4.76,4.09,-23.83
685.00,-0.23,6.15,-8.02,0.00,-0.00,-0.00,4.76,4.09,-23.83
700.00,-0.23,6.12,-8.07,0.00,-0.00,-0.00,4.76,4.09,-23.83
711.00,-0.22,6.12,-8.05,0.00,-0.00,-0.00,4.76,4.09,-23.83
723.00,-0.22,6.12,-8.05,0.00,-0.00,-0.00,4.76,4.09,-23.83
735.00,-0.23,6.16,-8.01,0.00,-0.00,-0.00,4.76,4.09,-23.83
