time,ax,ay,az,gx,gy,gz,mx,my,mz
1.00,-0.25,6.13,-8.05,-0.03,-0.01,0.00,5.86,4.49,-21.83
13.00,-0.23,6.18,-8.00,-0.05,0.00,-0.01,5.86,4.49,-21.83
25.00,-0.24,6.17,-8.02,-0.05,-0.01,-0.01,5.31,3.90,-23.49
37.00,-0.24,6.17,-8.02,-0.05,-0.01,-0.01,5.31,3.90,-23.49
99.00,-0.24,6.16,-8.03,0.01,0.01,0.00,5.31,3.90,-23.49
111.00,-0.24,6.16,-8.00,0.00,0.00,-0.00,5.31,3.90,-23.49
123.00,-0.23,6.16,-8.01,-0.00,0.00,-0.00,5.31,3.90,-23.49
135.00,-0.23,6.16,-8.01,-0.00,0.00,-0.00,5.31,3.90,-23.49
149.00,-0.23,6.18,-8.01,-0.00,0.00,-0.00,5.42,3.70,-23.83
161.00,-0.23,6.18,-8.01,-0.00,0.00,-0.00,5.42,3.70,-23.83
173.00,-0.25,6.17,-8.03,-0.00,0.00,-0.00,5.42,3.70,-23.83
185.00,-0.25,6.16,-8.02,-0.01,0.00,-0.00,5.42,3.70,-23.83
197.00,-0.25,6.16,-8.02,-0.01,0.00,-0.00,5.42,3.70,-23.83
212.00,-0.24,6.17,-7.99,-0.00,0.00,-0.00,5.42,3.70,-23.83
223.00,-0.23,6.17,-8.01,-0.00,0.00,-0.00,5.42,3.70,-23.83
235.00,-0.23,6.17,-8.01,-0.00,0.00,-0.00,5.42,3.70,-23.83
247.00,-0.22,6.17,-8.03,-0.00,0.00,-0.00,5.42,3.70,-23.83
261.00,-0.22,6.17,-8.03,-0.00,0.00,-0.00,5.42,3.70,-23.83
273.00,-0.24,6.17,-7.98,-0.00,0.00,-0.00,5.42,3.70,-23.83
285.00,-0.25,6.17,-8.05,-0.00,0.00,-0.00,5.64,4.49,-23.16
297.00,-0.25,6.17,-8.05,-0.00,0.00,-0.00,5.64,4.49,-23.16
311.00,-0.23,6.17,-8.04,-0.00,0.00,-0.00,5.64,4.49,-23.16
323.00,-0.23,6.17,-8.01,-0.00,0.00,-0.00,5.64,4.49,-23.16
335.00,-0.23,6.17,-8.01,-0.00,0.00,-0.00,5.64,4.49,-23.16
347.00,-0.24,6.17,-7.98,-0.00,0.00,-0.00,5.64,4.49,-23.16
359.00,-0.24,6.17,-7.98,-0.00,0.00,-0.00,5.64,4.49,-23.16
374.00,-0.24,6.17,-7.99,-0.00,0.00,-0.00,5.64,4.49,-23.16
385.00,-0.24,6.17,-8.00,-0.00,0.00,-0.00,5.64,4.49,-23.16
397.00,-0.24,6.17,-8.00,-0.00,0.00,-0.00,5.64,4.49,-23.16
409.00,-0.24,6.18,-8.04,-0.00,0.00,-0.00,5.75,3.50,-24.16
423.00,-0.23,6.16,-8.02,-0.00,0.00,-0.00,5.75,3.50,-24.16
435.00,-0.23,6.16,-8.02,-0.00,0.00,-0.00,5.75,3.50,-24.16
447.00,-0.24,6.18,-8.02,-0.00,0.00,-0.00,5.75,3.50,-24.16
459.00,-0.24,6.18,-8.02,-0.00,0.00,-0.00,5.75,3.50,-24.16
473.00,-0.24,6.17,-8.00,-0.00,0.00,-0.00,5.75,3.50,-24.16
485.00,-0.24,6.17,-7.97,-0.00,0.00,-0.00,5.75,3.50,-24.16
497.00,-0.24,6.17,-7.97,-0.00,0.00,-0.00,5.75,3.50,-24.16
509.00,-0.22,6.18,-7.98,-0.00,0.00,-0.00,5.75,3.50,-24.16
521.00,-0.22,6.18,-7.98,-0.00,0.00,-0.00,5.75,3.50,-24.16
535.00,-0.23,6.18,-8.01,0.00,0.00,-0.00,4.65,5.48,-27.50
547.00,-0.21,6.17,-8.02,0.00,0.00,-0.00,4.65,5.48,-27.50
559.00,-0.21,6.17,-8.02,0.00,0.00,-0.00,4.65,5.48,-27.50
571.00,-0.22,6.16,-8.03,-0.00,-0.00,-0.00,4.65,5.48,-27.50
585.00,-0.23,6.15,-8.01,-0.00,-0.00,-0.00,4.65,5.48,-27.50
597.00,-0.23,6.15,-8.01,-0.00,-0.00,-0.00,4.65,5.48,-27.50
609.00,-0.25,6.17,-8.02,0.00,-0.00,-0.00,4.65,5.48,-27.50
621.00,-0.25,6.17,-8.02,0.00,-0.00,-0.00,4.65,5.48,-27.50
635.00,-0.22,6.11,-7.96,0.01,0.01,0.01,4.65,5.48,-27.50
647.00,-0.09,5.89,-7.82,0.03,0.03,0.02,5.86,4.09,-26.50
659.00,-0.09,5.89,-7.82,0.03,0.03,0.02,5.86,4.09,-26.50
671.00,-0.25,6.27,-8.07,-0.02,-0.02,-0.02,5.86,4.09,-26.50
683.00,-0.25,6.27,-8.07,-0.02,-0.02,-0.02,5.86,4.09,-26.50
697.00,-0.20,6.11,-7.98,-0.01,-0.01,-0.01,5.86,4.09,-26.50
709.00,-0.26,6.20,-8.00,-0.01,-0.01,-0.01,5.86,4.09,-26.50
721.00,-0.26,6.20,-8.00,-0.01,-0.01,-0.01,5.86,4.09,-26.50
733.00,-0.23,6.19,-7.99,0.00,-0.00,-0.00,5.86,4.09,-26.50
747.00,-0.22,6.17,-7.99,0.00,-0.00,-0.00,5.86,4.09,-26.50
835.00,-0.23,6.19,-8.00,0.00,0.00,-0.00,5.42,5.28,-20.49
924.00,-0.21,6.18,-8.03,0.00,0.00,-0.00,5.42,4.49,-26.50
1011.00,-0.22,6.18,-8.00,0.00,0.00,-0.00,5.42,4.49,-26.50
1100.00,-0.22,6.16,-7.98,0.00,-0.00,-0.00,6.63,4.29,-25.50
1113.00,-0.20,6.17,-8.00,0.00,0.00,-0.00,6.63,4.29,-25.50
1125.00,-0.21,6.16,-7.99,0.00,0.00,-0.00,6.63,4.29,-25.50
1137.00,-0.21,6.16,-7.99,0.00,0.00,-0.00,6.63,4.29,-25.50
1149.00,-0.21,6.16,-8.03,0.00,-0.00,-0.00,6.63,4.29,-25.50
1164.00,-0.21,6.16,-8.03,0.00,-0.00,-0.00,6.63,4.29,-25.50
1175.00,-0.21,6.20,-8.03,0.00,0.00,-0.00,6.74,4.49,-26.50
1187.00,-0.22,6.20,-8.00,0.00,0.00,-0.00,6.74,4.49,-26.50
1199.00,-0.22,6.20,-8.00,0.00,0.00,-0.00,6.74,4.49,-26.50
1213.00,-0.21,6.19,-8.01,0.00,0.00,-0.00,6.74,4.49,-26.50
1225.00,-0.22,6.18,-8.01,0.00,0.00,-0.00,6.74,4.49,-26.50
1237.00,-0.22,6.18,-8.01,0.00,0.00,-0.00,6.74,4.49,-26.50
1249.00,-0.21,6.18,-8.02,0.00,-0.00,-0.00,6.74,4.49,-26.50
1263.00,-0.21,6.18,-8.02,0.00,-0.00,-0.00,6.74,4.49,-26.50
1275.00,-0.20,6.16,-8.02,0.00,-0.00,-0.00,6.74,4.49,-26.50
1287.00,-0.22,6.18,-8.00,0.00,0.00,-0.00,7.18,6.86,-23.16
1299.00,-0.22,6.18,-8.00,0.00,0.00,-0.00,7.18,6.86,-23.16
1311.00,-0.20,6.18,-8.02,0.00,0.00,-0.00,7.18,6.86,-23.16
1325.00,-0.21,6.18,-8.00,0.00,-0.00,-0.00,7.18,6.86,-23.16
1337.00,-0.21,6.18,-8.00,0.00,-0.00,-0.00,7.18,6.86,-23.16
1349.00,-0.19,6.17,-7.99,0.00,-0.00,-0.00,7.18,6.86,-23.16
1361.00,-0.19,6.17,-7.99,0.00,-0.00,-0.00,7.18,6.86,-23.16
1375.00,-0.21,6.18,-8.02,0.00,0.00,-0.00,7.18,6.86,-23.16
1387.00,-0.21,6.18,-8.01,0.00,-0.00,-0.00,7.18,6.86,-23.16
1399.00,-0.21,6.18,-8.01,0.00,-0.00,-0.00,7.18,6.86,-23.16
1411.00,-0.21,6.18,-8.01,0.00,0.00,-0.00,7.84,8.05,-25.16
1425.00,-0.21,6.17,-7.99,0.00,0.00,-0.00,7.84,8.05,-25.16
1437.00,-0.21,6.17,-7.99,0.00,0.00,-0.00,7.84,8.05,-25.16
1449.00,-0.21,6.17,-8.02,0.00,-0.00,-0.00,7.84,8.05,-25.16
1461.00,-0.21,6.17,-8.02,0.00,-0.00,-0.00,7.84,8.05,-25.16
1473.00,-0.21,6.17,-8.00,0.00,-0.00,-0.00,7.84,8.05,-25.16
1487.00,-0.20,6.17,-7.99,0.00,0.00,-0.00,7.84,8.05,-25.16
1499.00,-0.20,6.17,-7.99,0.00,0.00,-0.00,7.84,8.05,-25.16
1511.00,-0.21,6.19,-8.02,0.00,-0.00,-0.00,7.84,8.05,-25.16
1523.00,-0.21,6.19,-8.02,0.00,-0.00,-0.00,7.84,8.05,-25.16
1537.00,-0.21,6.18,-8.03,0.00,-0.00,-0.00,7.95,7.45,-26.83
1549.00,-0.21,6.13,-8.00,-0.00,-0.00,-0.01,7.95,7.45,-26.83
1561.00,-0.21,6.13,-8.00,-0.00,-0.00,-0.01,7.95,7.45,-26.83
1573.00,-0.20,6.21,-8.04,-0.01,-0.01,-0.01,7.95,7.45,-26.83
1587.00,-0.22,6.20,-8.04,-0.01,-0.01,-0.01,7.95,7.45,-26.83
1599.00,-0.22,6.20,-8.04,-0.01,-0.01,-0.01,7.95,7.45,-26.83
1611.00,-0.22,6.17,-7.97,-0.00,-0.01,-0.01,7.95,7.45,-26.83
1623.00,-0.22,6.17,-7.97,-0.00,-0.01,-0.01,7.95,7.45,-26.83
1638.00,-0.20,6.19,-7.99,0.00,-0.00,-0.00,7.95,7.45,-26.83
1649.00,-0.22,6.19,-7.99,0.01,-0.01,-0.01,7.95,7.45,-26.83
1661.00,-0.22,6.19,-7.99,0.01,-0.01,-0.01,7.95,7.45,-26.83
1673.00,-0.22,6.18,-8.02,0.03,-0.01,-0.01,7.95,8.24,-22.83
1685.00,-0.22,6.16,-8.03,0.04,-0.01,-0.00,7.95,8.24,-22.83
1699.00,-0.22,6.16,-8.03,0.04,-0.01,-0.00,7.95,8.24,-22.83
1711.00,-0.20,6.11,-8.02,0.02,-0.01,-0.01,7.95,8.24,-22.83
1723.00,-0.20,6.11,-8.02,0.02,-0.01,-0.01,7.95,8.24,-22.83
1735.00,-0.23,6.15,-8.03,-0.03,-0.01,-0.01,7.95,8.24,-22.83
1750.00,-0.25,6.14,-8.02,-0.06,-0.01,-0.02,7.95,8.24,-22.83
1761.00,-0.25,6.14,-8.02,-0.06,-0.01,-0.02,7.95,8.24,-22.83
1773.00,-0.21,6.07,-8.05,-0.08,0.00,-0.02,7.95,8.24,-22.83
1785.00,0.56,6.35,-7.82,0.01,0.16,-0.20,8.17,10.62,-24.83
1799.00,0.56,6.35,-7.82,0.01,0.16,-0.20,8.17,10.62,-24.83
1811.00,0.00,7.21,-7.86,0.11,0.27,-0.33,8.17,10.62,-24.83
1823.00,0.00,7.21,-7.86,0.11,0.27,-0.33,8.17,10.62,-24.83
1835.00,-0.20,7.41,-8.29,0.93,0.40,-0.52,8.17,10.62,-24.83
1849.00,-0.17,5.13,-7.93,1.71,0.42,-0.65,8.17,10.62,-24.83
1861.00,-0.17,5.13,-7.93,1.71,0.42,-0.65,8.17,10.62,-24.83
1873.00,-0.13,5.96,-9.19,1.30,0.32,-0.39,8.17,10.62,-24.83
1885.00,-0.53,6.20,-9.32,1.99,0.17,0.04,8.17,10.62,-24.83
1897.00,-0.53,6.20,-9.32,1.99,0.17,0.04,8.17,10.62,-24.83
1911.00,-3.16,4.73,-11.07,3.56,0.31,0.23,9.16,-1.04,-25.16
1923.00,-3.16,4.73,-11.07,3.56,0.31,0.23,9.16,-1.04,-25.16
1935.00,-2.66,5.22,-14.12,7.06,1.00,0.27,9.16,-1.04,-25.16
1947.00,-0.16,-0.41,-7.61,12.23,1.71,0.65,9.16,-1.04,-25.16
1961.00,-0.16,-0.41,-7.61,12.23,1.71,0.65,9.16,-1.04,-25.16
1973.00,0.79,-5.33,-10.88,10.10,2.25,0.96,9.16,-1.04,-25.16
1985.00,1.16,-8.09,-13.18,8.00,2.36,2.02,9.16,-1.04,-25.16
