,labels,y_real,y_pred,iter
0,Children_C27,12.0,19.86,0
1,Children_C27,12.0,21.14,1
2,Children_C27,12.0,21.17,2
3,Children_C27,12.0,20.42,3
4,Children_C27,12.0,15.5,4
5,Children_C27,12.0,17.21,5
6,Children_C27,12.0,18.88,6
7,Children_C27,12.0,22.03,7
8,Children_C32,21.0,23.24,0
9,Children_C32,21.0,24.36,1
10,Children_C32,21.0,21.48,2
11,Children_C32,21.0,24.25,3
12,Children_C32,21.0,23.01,4
13,Children_C32,21.0,24.18,5
14,Children_C32,21.0,24.21,6
15,Children_C32,21.0,23.72,7
16,Children_C32,21.0,21.69,8
17,Children_C32,21.0,22.46,9
18,Children_C32,21.0,23.81,10
19,Children_C32,21.0,21.83,11
20,Children_C32,21.0,22.01,12
21,Children_C32,21.0,23.6,13
22,Children_C32,21.0,23.37,14
23,Children_C32,21.0,22.48,15
24,Children_C32,21.0,25.77,16
25,Children_C32,21.0,23.11,17
26,Children_C32,21.0,26.01,18
27,Children_C32,21.0,22.64,19
28,Children_C36,27.0,24.85,0
29,Children_C36,27.0,21.47,1
30,Children_C36,27.0,10.45,2
31,Children_C36,27.0,14.48,3
32,Children_C36,27.0,21.6,4
33,Children_C36,27.0,15.96,5
34,Children_C36,27.0,10.78,6
35,Children_C36,27.0,10.23,7
36,Children_C36,27.0,9.48,8
37,Children_C36,27.0,15.33,9
38,Children_C36,27.0,10.42,10
39,Children_C36,27.0,10.93,11
40,Children_C36,27.0,10.49,12
41,Children_C36,27.0,12.79,13
42,Children_C36,27.0,17.0,14
43,Children_C36,27.0,9.88,15
44,Children_C36,27.0,12.58,16
45,Children_C36,27.0,12.79,17
0,Children_C15,16.0,17.92,0
1,Children_C15,16.0,18.95,1
2,Children_C15,16.0,18.31,2
3,Children_C15,16.0,18.0,3
4,Children_C15,16.0,18.04,4
5,Children_C15,16.0,17.73,5
6,Children_C15,16.0,14.49,6
7,Children_C16,9.0,11.44,0
8,Children_C16,9.0,13.76,1
9,Children_C30,23.0,13.27,0
10,Children_C30,23.0,11.84,1
11,Children_C30,23.0,12.38,2
12,Children_C30,23.0,12.07,3
13,Children_C30,23.0,12.51,4
14,Children_C30,23.0,14.89,5
15,Children_C30,23.0,13.26,6
16,Children_C30,23.0,13.07,7
17,Children_C30,23.0,13.09,8
18,Children_C30,23.0,12.68,9
19,Children_C30,23.0,12.88,10
20,Children_C30,23.0,12.27,11
21,Children_C30,23.0,11.23,12
22,Children_C30,23.0,12.47,13
23,Children_C30,23.0,12.31,14
24,Children_C30,23.0,14.42,15
25,Children_C30,23.0,12.43,16
26,Children_C30,23.0,12.22,17
27,Children_C30,23.0,13.09,18
28,Children_C30,23.0,12.35,19
29,Children_C30,23.0,13.23,20
30,Children_C30,23.0,12.92,21
0,Children_C26,22.0,13.45,0
1,Children_C26,22.0,14.44,1
2,Children_C26,22.0,14.08,2
3,Children_C26,22.0,13.56,3
4,Children_C26,22.0,14.23,4
5,Children_C26,22.0,15.48,5
6,Children_C26,22.0,14.87,6
7,Children_C26,22.0,13.85,7
8,Children_C26,22.0,21.11,8
9,Children_C26,22.0,18.63,9
10,Children_C35,23.0,21.79,0
11,Children_C35,23.0,22.07,1
12,Children_C35,23.0,21.32,2
13,Children_C35,23.0,20.53,3
14,Children_C35,23.0,19.91,4
15,Children_C35,23.0,23.73,5
16,Children_C35,23.0,23.33,6
17,Children_C35,23.0,22.22,7
18,Children_C35,23.0,23.46,8
19,Children_C35,23.0,20.73,9
0,Children_C18,10.0,10.78,0
1,Children_C18,10.0,8.19,1
2,Children_C18,10.0,7.37,2
3,Children_C18,10.0,16.94,3
4,Children_C18,10.0,14.5,4
5,Children_C18,10.0,9.46,5
6,Children_C18,10.0,9.85,6
7,Children_C18,10.0,9.3,7
8,Children_C18,10.0,19.27,8
9,Children_C18,10.0,7.76,9
10,Children_C18,10.0,8.7,10
11,Children_C18,10.0,12.9,11
12,Children_C34,18.0,14.86,0
13,Children_C34,18.0,20.29,1
14,Children_C34,18.0,19.52,2
15,Children_C34,18.0,23.0,3
16,Children_C34,18.0,21.39,4
17,Children_C34,18.0,22.35,5
18,Children_C34,18.0,16.53,6
19,Children_C34,18.0,15.2,7
20,Children_C34,18.0,16.97,8
21,Children_C34,18.0,13.54,9
22,Children_C34,18.0,17.51,10
23,Children_C34,18.0,24.04,11
24,Children_C34,18.0,22.69,12
25,Children_C34,18.0,23.79,13
26,Children_C34,18.0,14.21,14
27,Children_C34,18.0,12.71,15
28,Children_C34,18.0,14.92,16
29,Children_C34,18.0,18.7,17
30,Children_C34,18.0,14.68,18
31,Children_C34,18.0,20.86,19
0,Children_C20,24.0,18.06,0
1,Children_C20,24.0,19.52,1
2,Children_C20,24.0,20.15,2
3,Children_C20,24.0,17.79,3
4,Children_C20,24.0,17.78,4
5,Children_C20,24.0,22.41,5
6,Children_C20,24.0,9.96,6
7,Children_C20,24.0,12.09,7
8,Children_C20,24.0,12.33,8
9,Children_C20,24.0,21.24,9
10,Children_C20,24.0,17.17,10
11,Children_C21,13.0,16.96,0
12,Children_C21,13.0,17.75,1
13,Children_C21,13.0,17.39,2
14,Children_C21,13.0,14.6,3
15,Children_C21,13.0,16.11,4
16,Children_C21,13.0,17.63,5
17,Children_C21,13.0,13.93,6
18,Children_C21,13.0,17.26,7
19,Children_C21,13.0,13.04,8
20,Children_C21,13.0,15.57,9
0,Children_C19,18.0,16.19,0
1,Children_C19,18.0,15.23,1
2,Children_C19,18.0,16.35,2
3,Children_C19,18.0,15.9,3
4,Children_C19,18.0,15.48,4
5,Children_C19,18.0,15.83,5
6,Children_C19,18.0,15.33,6
7,Children_C19,18.0,15.69,7
8,Children_C19,18.0,15.23,8
9,Children_C19,18.0,15.37,9
10,Children_C19,18.0,15.62,10
11,Children_C19,18.0,16.26,11
12,Children_C19,18.0,14.85,12
13,Children_C19,18.0,14.58,13
14,Children_C19,18.0,15.54,14
15,Children_C19,18.0,16.16,15
16,Children_C19,18.0,16.17,16
17,Children_C19,18.0,16.07,17
18,Children_C19,18.0,15.39,18
19,Children_C19,18.0,16.17,19
20,Children_C33,28.0,18.77,0
21,Children_C33,28.0,18.44,1
22,Children_C33,28.0,20.66,2
23,Children_C33,28.0,16.64,3
24,Children_C33,28.0,20.61,4
25,Children_C33,28.0,19.72,5
26,Children_C33,28.0,15.11,6
27,Children_C33,28.0,9.25,7
28,Children_C33,28.0,19.71,8
29,Children_C33,28.0,19.28,9
30,Children_C33,28.0,20.48,10
31,Children_C33,28.0,16.23,11
32,Children_C33,28.0,18.88,12
33,Children_C33,28.0,17.74,13
34,Children_C33,28.0,17.25,14
35,Children_C33,28.0,16.92,15
36,Children_C33,28.0,15.27,16
37,Children_C33,28.0,17.42,17
38,Children_C33,28.0,17.25,18
39,Children_C33,28.0,6.94,19
0,Children_C23,11.0,19.65,0
1,Children_C23,11.0,20.41,1
2,Children_C23,11.0,20.31,2
3,Children_C23,11.0,18.77,3
4,Children_C23,11.0,19.05,4
5,Children_C23,11.0,19.65,5
6,Children_C23,11.0,20.17,6
7,Children_C23,11.0,19.59,7
8,Children_C23,11.0,17.61,8
9,Children_C31,22.0,18.0,0
10,Children_C31,22.0,12.65,1
11,Children_C31,22.0,14.05,2
12,Children_C31,22.0,12.61,3
0,Children_C25,10.0,9.33,0
1,Children_C25,10.0,21.02,1
2,Children_C25,10.0,22.76,2
3,Children_C25,10.0,18.3,3
4,Children_C25,10.0,20.87,4
5,Children_C25,10.0,21.56,5
6,Children_C25,10.0,19.91,6
7,Children_C25,10.0,20.54,7
8,Children_C25,10.0,18.42,8
9,Children_C25,10.0,19.87,9
10,Children_C25,10.0,13.98,10
11,Children_C25,10.0,23.09,11
12,Children_C25,10.0,21.06,12
13,Children_C25,10.0,23.32,13
14,Children_C37,18.0,18.65,0
15,Children_C37,18.0,15.38,1
16,Children_C37,18.0,17.85,2
17,Children_C37,18.0,18.51,3
18,Children_C37,18.0,15.25,4
19,Children_C37,18.0,17.17,5
20,Children_C37,18.0,15.43,6
21,Children_C37,18.0,18.15,7
22,Children_C37,18.0,14.75,8
23,Children_C37,18.0,17.49,9
24,Children_C37,18.0,16.19,10
25,Children_C37,18.0,18.71,11
26,Children_C37,18.0,16.99,12
27,Children_C37,18.0,18.48,13
28,Children_C37,18.0,14.93,14
29,Children_C37,18.0,14.99,15
30,Children_C37,18.0,18.46,16
0,Children_C14,2.0,19.13,0
1,Children_C14,2.0,16.34,1
2,Children_C14,2.0,17.79,2
3,Children_C14,2.0,19.32,3
4,Children_C14,2.0,17.68,4
5,Children_C14,2.0,15.82,5
6,Children_C14,2.0,20.26,6
7,Children_C14,2.0,17.12,7
8,Children_C14,2.0,19.8,8
9,Children_C14,2.0,17.76,9
10,Children_C14,2.0,17.42,10
11,Children_C14,2.0,18.74,11
12,Children_C14,2.0,17.85,12
13,Children_C14,2.0,16.51,13
14,Children_C14,2.0,20.22,14
15,Children_C14,2.0,16.57,15
16,Children_C14,2.0,20.19,16
17,Children_C14,2.0,13.4,17
18,Children_C14,2.0,16.54,18
19,Children_C22,7.0,18.06,0
20,Children_C22,7.0,14.29,1
21,Children_C22,7.0,14.24,2
22,Children_C22,7.0,16.73,3
23,Children_C22,7.0,15.97,4
24,Children_C22,7.0,15.96,5
25,Children_C22,7.0,12.22,6
26,Children_C22,7.0,16.28,7
27,Children_C22,7.0,14.79,8
28,Children_C22,7.0,12.23,9
29,Children_C22,7.0,18.27,10
30,Children_C22,7.0,18.58,11
31,Children_C22,7.0,18.1,12
32,Children_C22,7.0,16.38,13
0,Children_C17,9.0,21.16,0
1,Children_C17,9.0,18.89,1
2,Children_C17,9.0,22.92,2
3,Children_C17,9.0,21.31,3
4,Children_C17,9.0,21.2,4
5,Children_C17,9.0,17.94,5
6,Children_C17,9.0,20.2,6
7,Children_C17,9.0,17.76,7
8,Children_C17,9.0,16.39,8
9,Children_C17,9.0,16.83,9
10,Children_C17,9.0,19.67,10
11,Children_C24,9.0,21.54,0
12,Children_C24,9.0,18.18,1
13,Children_C24,9.0,15.77,2
14,Children_C24,9.0,17.92,3
15,Children_C24,9.0,17.74,4
16,Children_C24,9.0,18.29,5
17,Children_C24,9.0,17.09,6
18,Children_C24,9.0,19.36,7
19,Children_C24,9.0,13.36,8
20,Children_C24,9.0,16.58,9
21,Children_C24,9.0,15.09,10
22,Children_C24,9.0,16.46,11
23,Children_C24,9.0,16.66,12
24,Children_C24,9.0,15.82,13
