,labels,y_real,y_pred,iter
0,Children_C27,no,no,0
1,Children_C27,no,no,1
2,Children_C27,no,no,2
3,Children_C27,no,no,3
4,Children_C27,no,no,4
5,Children_C27,no,no,5
6,Children_C27,no,no,6
7,Children_C27,no,no,7
8,Children_C32,no,yes,0
9,Children_C32,no,yes,1
10,Children_C32,no,yes,2
11,Children_C32,no,yes,3
12,Children_C32,no,yes,4
13,Children_C32,no,yes,5
14,Children_C32,no,yes,6
15,Children_C32,no,no,7
16,Children_C32,no,yes,8
17,Children_C32,no,yes,9
18,Children_C32,no,no,10
19,Children_C32,no,no,11
20,Children_C32,no,yes,12
21,Children_C32,no,no,13
22,Children_C32,no,yes,14
23,Children_C32,no,yes,15
24,Children_C32,no,yes,16
25,Children_C32,no,no,17
26,Children_C32,no,yes,18
27,Children_C32,no,yes,19
28,Children_C36,yes,yes,0
29,Children_C36,yes,yes,1
30,Children_C36,yes,no,2
31,Children_C36,yes,no,3
32,Children_C36,yes,no,4
33,Children_C36,yes,no,5
34,Children_C36,yes,no,6
35,Children_C36,yes,no,7
36,Children_C36,yes,no,8
37,Children_C36,yes,no,9
38,Children_C36,yes,no,10
39,Children_C36,yes,no,11
40,Children_C36,yes,no,12
41,Children_C36,yes,no,13
42,Children_C36,yes,no,14
43,Children_C36,yes,no,15
44,Children_C36,yes,no,16
45,Children_C36,yes,no,17
0,Children_C15,no,no,0
1,Children_C15,no,no,1
2,Children_C15,no,yes,2
3,Children_C15,no,yes,3
4,Children_C15,no,yes,4
5,Children_C15,no,no,5
6,Children_C15,no,no,6
7,Children_C16,no,no,0
8,Children_C16,no,no,1
9,Children_C30,no,no,0
10,Children_C30,no,no,1
11,Children_C30,no,no,2
12,Children_C30,no,no,3
13,Children_C30,no,no,4
14,Children_C30,no,no,5
15,Children_C30,no,no,6
16,Children_C30,no,no,7
17,Children_C30,no,no,8
18,Children_C30,no,no,9
19,Children_C30,no,no,10
20,Children_C30,no,no,11
21,Children_C30,no,no,12
22,Children_C30,no,no,13
23,Children_C30,no,no,14
24,Children_C30,no,no,15
25,Children_C30,no,no,16
26,Children_C30,no,no,17
27,Children_C30,no,no,18
28,Children_C30,no,no,19
29,Children_C30,no,no,20
30,Children_C30,no,no,21
0,Children_C26,yes,no,0
1,Children_C26,yes,no,1
2,Children_C26,yes,no,2
3,Children_C26,yes,no,3
4,Children_C26,yes,no,4
5,Children_C26,yes,no,5
6,Children_C26,yes,no,6
7,Children_C26,yes,no,7
8,Children_C26,yes,no,8
9,Children_C26,yes,no,9
10,Children_C35,yes,no,0
11,Children_C35,yes,no,1
12,Children_C35,yes,no,2
13,Children_C35,yes,no,3
14,Children_C35,yes,no,4
15,Children_C35,yes,no,5
16,Children_C35,yes,no,6
17,Children_C35,yes,no,7
18,Children_C35,yes,no,8
19,Children_C35,yes,no,9
0,Children_C18,no,no,0
1,Children_C18,no,no,1
2,Children_C18,no,no,2
3,Children_C18,no,no,3
4,Children_C18,no,no,4
5,Children_C18,no,no,5
6,Children_C18,no,no,6
7,Children_C18,no,no,7
8,Children_C18,no,yes,8
9,Children_C18,no,no,9
10,Children_C18,no,no,10
11,Children_C18,no,no,11
12,Children_C34,no,yes,0
13,Children_C34,no,yes,1
14,Children_C34,no,no,2
15,Children_C34,no,yes,3
16,Children_C34,no,no,4
17,Children_C34,no,no,5
18,Children_C34,no,no,6
19,Children_C34,no,no,7
20,Children_C34,no,no,8
21,Children_C34,no,no,9
22,Children_C34,no,no,10
23,Children_C34,no,yes,11
24,Children_C34,no,no,12
25,Children_C34,no,no,13
26,Children_C34,no,no,14
27,Children_C34,no,no,15
28,Children_C34,no,no,16
29,Children_C34,no,yes,17
30,Children_C34,no,no,18
31,Children_C34,no,yes,19
0,Children_C20,yes,no,0
1,Children_C20,yes,no,1
2,Children_C20,yes,no,2
3,Children_C20,yes,no,3
4,Children_C20,yes,no,4
5,Children_C20,yes,no,5
6,Children_C20,yes,no,6
7,Children_C20,yes,no,7
8,Children_C20,yes,no,8
9,Children_C20,yes,no,9
10,Children_C20,yes,no,10
11,Children_C21,no,no,0
12,Children_C21,no,no,1
13,Children_C21,no,no,2
14,Children_C21,no,no,3
15,Children_C21,no,no,4
16,Children_C21,no,no,5
17,Children_C21,no,no,6
18,Children_C21,no,no,7
19,Children_C21,no,no,8
20,Children_C21,no,no,9
0,Children_C19,yes,no,0
1,Children_C19,yes,no,1
2,Children_C19,yes,no,2
3,Children_C19,yes,no,3
4,Children_C19,yes,no,4
5,Children_C19,yes,no,5
6,Children_C19,yes,no,6
7,Children_C19,yes,no,7
8,Children_C19,yes,no,8
9,Children_C19,yes,no,9
10,Children_C19,yes,no,10
11,Children_C19,yes,no,11
12,Children_C19,yes,no,12
13,Children_C19,yes,no,13
14,Children_C19,yes,no,14
15,Children_C19,yes,no,15
16,Children_C19,yes,no,16
17,Children_C19,yes,no,17
18,Children_C19,yes,no,18
19,Children_C19,yes,no,19
20,Children_C33,yes,no,0
21,Children_C33,yes,no,1
22,Children_C33,yes,no,2
23,Children_C33,yes,no,3
24,Children_C33,yes,no,4
25,Children_C33,yes,yes,5
26,Children_C33,yes,no,6
27,Children_C33,yes,no,7
28,Children_C33,yes,no,8
29,Children_C33,yes,no,9
30,Children_C33,yes,yes,10
31,Children_C33,yes,no,11
32,Children_C33,yes,no,12
33,Children_C33,yes,no,13
34,Children_C33,yes,no,14
35,Children_C33,yes,no,15
36,Children_C33,yes,no,16
37,Children_C33,yes,no,17
38,Children_C33,yes,no,18
39,Children_C33,yes,no,19
0,Children_C23,no,no,0
1,Children_C23,no,no,1
2,Children_C23,no,no,2
3,Children_C23,no,no,3
4,Children_C23,no,no,4
5,Children_C23,no,no,5
6,Children_C23,no,no,6
7,Children_C23,no,no,7
8,Children_C23,no,no,8
9,Children_C31,no,yes,0
10,Children_C31,no,yes,1
11,Children_C31,no,no,2
12,Children_C31,no,no,3
0,Children_C25,no,no,0
1,Children_C25,no,no,1
2,Children_C25,no,yes,2
3,Children_C25,no,no,3
4,Children_C25,no,no,4
5,Children_C25,no,yes,5
6,Children_C25,no,yes,6
7,Children_C25,no,yes,7
8,Children_C25,no,no,8
9,Children_C25,no,no,9
10,Children_C25,no,no,10
11,Children_C25,no,yes,11
12,Children_C25,no,no,12
13,Children_C25,no,yes,13
14,Children_C37,no,no,0
15,Children_C37,no,no,1
16,Children_C37,no,no,2
17,Children_C37,no,no,3
18,Children_C37,no,no,4
19,Children_C37,no,no,5
20,Children_C37,no,no,6
21,Children_C37,no,no,7
22,Children_C37,no,no,8
23,Children_C37,no,no,9
24,Children_C37,no,no,10
25,Children_C37,no,no,11
26,Children_C37,no,no,12
27,Children_C37,no,no,13
28,Children_C37,no,no,14
29,Children_C37,no,no,15
30,Children_C37,no,no,16
0,Children_C14,no,yes,0
1,Children_C14,no,no,1
2,Children_C14,no,no,2
3,Children_C14,no,yes,3
4,Children_C14,no,no,4
5,Children_C14,no,no,5
6,Children_C14,no,no,6
7,Children_C14,no,no,7
8,Children_C14,no,yes,8
9,Children_C14,no,no,9
10,Children_C14,no,no,10
11,Children_C14,no,no,11
12,Children_C14,no,no,12
13,Children_C14,no,no,13
14,Children_C14,no,no,14
15,Children_C14,no,yes,15
16,Children_C14,no,yes,16
17,Children_C14,no,no,17
18,Children_C14,no,no,18
19,Children_C22,no,no,0
20,Children_C22,no,no,1
21,Children_C22,no,no,2
22,Children_C22,no,no,3
23,Children_C22,no,no,4
24,Children_C22,no,yes,5
25,Children_C22,no,no,6
