time,ax,ay,az,gx,gy,gz,mx,my,mz
402,-0.21,6.44,-8.10,0.33,0.20,-0.03,-25.45,16.89,-33.42
412,-0.22,6.44,-8.10,0.33,0.20,-0.03,-25.45,16.89,-33.42
423,-0.22,6.44,-8.10,0.33,0.20,-0.03,-25.45,16.89,-33.42
434,-0.22,6.42,-8.10,0.33,0.20,-0.03,-25.45,16.89,-33.42
445,-0.22,6.44,-8.10,0.33,0.20,-0.03,-25.45,16.89,-32.74
456,-0.22,6.44,-8.10,0.33,0.20,-0.03,-25.45,16.89,-32.74
467,-0.21,6.42,-8.12,0.32,0.20,-0.03,-25.45,16.89,-32.74
478,-0.21,6.42,-8.12,0.32,0.20,-0.03,-25.45,16.89,-32.74
489,-0.23,6.43,-8.08,0.32,0.20,-0.03,-25.45,16.89,-32.74
500,-0.23,6.43,-8.08,0.32,0.20,-0.03,-25.45,16.89,-32.74
511,-0.20,6.45,-8.07,0.32,0.20,-0.03,-25.45,16.89,-32.74
522,-0.20,6.45,-8.07,0.32,0.20,-0.03,-25.45,16.89,-32.74
533,-0.22,6.43,-8.08,0.33,0.20,-0.03,-25.45,16.89,-32.74
544,-0.22,6.43,-8.08,0.33,0.20,-0.03,-25.45,16.89,-32.74
555,-0.23,6.43,-8.09,0.33,0.20,-0.03,-25.45,16.89,-32.74
566,-0.15,6.41,-8.08,0.33,0.20,-0.03,-25.45,16.89,-32.74
577,-0.15,6.41,-8.08,0.33,0.20,-0.03,-25.45,16.89,-32.74
588,-0.31,6.46,-8.10,0.33,0.20,-0.03,-24.08,17.47,-32.06
599,-0.31,6.46,-8.10,0.33,0.20,-0.03,-24.08,17.47,-32.06
610,-0.42,6.43,-8.09,0.33,0.20,-0.03,-24.08,17.47,-32.06
621,-0.42,6.43,-8.09,0.33,0.20,-0.03,-24.08,17.47,-32.06
632,-0.14,6.42,-8.04,0.32,0.20,-0.03,-24.08,17.47,-32.06
643,-0.14,6.42,-8.04,0.32,0.20,-0.03,-24.08,17.47,-32.06
654,0.06,6.47,-8.04,0.32,0.20,-0.02,-24.08,17.47,-32.06
665,-0.16,6.47,-8.05,0.33,0.20,-0.03,-24.08,17.47,-32.06
676,-0.16,6.47,-8.05,0.33,0.20,-0.03,-24.08,17.47,-32.06
688,-0.39,6.36,-8.13,0.33,0.20,-0.03,-24.08,17.47,-32.06
698,-0.39,6.36,-8.13,0.33,0.20,-0.03,-24.08,17.47,-32.06
709,-0.33,6.38,-8.14,0.33,0.20,-0.03,-25.22,17.32,-31.21
720,-0.33,6.38,-8.14,0.33,0.20,-0.03,-25.22,17.32,-31.21
731,-0.17,6.49,-8.03,0.33,0.20,-0.03,-25.22,17.32,-31.21
742,-0.17,6.49,-8.03,0.33,0.20,-0.03,-25.22,17.32,-31.21
753,-0.14,6.47,-8.05,0.33,0.20,-0.03,-25.22,17.32,-31.21
764,-0.14,6.47,-8.05,0.33,0.20,-0.03,-25.22,17.32,-31.21
775,-0.23,6.38,-8.11,0.33,0.20,-0.03,-25.22,17.32,-31.21
786,-0.28,6.42,-8.08,0.33,0.20,-0.03,-25.22,17.32,-31.21
797,-0.28,6.42,-8.08,0.33,0.20,-0.03,-25.22,17.32,-31.21
808,-0.23,6.45,-8.07,0.33,0.20,-0.03,-25.22,17.32,-31.21
819,-0.23,6.45,-8.07,0.33,0.20,-0.03,-25.22,17.32,-31.21
830,-0.19,6.44,-8.09,0.33,0.20,-0.03,-25.68,17.32,-30.19
841,-0.19,6.44,-8.09,0.33,0.20,-0.03,-25.68,17.32,-30.19
852,-0.21,6.41,-8.11,0.33,0.20,-0.03,-25.68,17.32,-30.19
863,-0.21,6.41,-8.11,0.33,0.20,-0.03,-25.68,17.32,-30.19
874,-0.27,6.43,-8.06,0.33,0.20,-0.03,-25.68,17.32,-30.19
885,-0.23,6.45,-8.07,0.33,0.20,-0.03,-25.68,17.32,-30.19
896,-0.23,6.45,-8.07,0.33,0.20,-0.03,-25.68,17.32,-30.19
907,-0.17,6.44,-8.09,0.33,0.20,-0.03,-25.68,17.32,-30.19
918,-0.17,6.44,-8.09,0.33,0.20,-0.03,-25.68,17.32,-30.19
929,-0.19,6.41,-8.06,0.33,0.20,-0.03,-25.68,17.32,-30.19
940,-0.19,6.41,-8.06,0.33,0.20,-0.03,-25.68,17.32,-30.19
951,-0.26,6.43,-8.10,0.33,0.20,-0.03,-25.45,17.47,-30.36
962,-0.26,6.43,-8.10,0.33,0.20,-0.03,-25.45,17.47,-30.36
973,-0.25,6.45,-8.09,0.33,0.20,-0.03,-25.45,17.47,-30.36
984,-0.25,6.45,-8.09,0.33,0.20,-0.03,-25.45,17.47,-30.36
995,-0.22,6.42,-8.10,0.33,0.20,-0.03,-25.45,17.47,-30.36
1006,-0.23,6.44,-8.11,0.33,0.20,-0.03,-25.45,17.47,-30.36
1017,-0.23,6.44,-8.11,0.33,0.20,-0.03,-25.45,17.47,-30.36
1029,-0.22,6.45,-8.07,0.33,0.20,-0.03,-25.45,17.47,-30.36
1039,-0.22,6.45,-8.07,0.33,0.20,-0.03,-25.45,17.47,-30.36
1050,-0.21,6.44,-8.08,0.33,0.20,-0.03,-25.45,17.47,-30.36
1061,-0.21,6.44,-8.08,0.33,0.20,-0.03,-25.45,17.47,-30.36
1072,-0.22,6.43,-8.08,0.33,0.20,-0.03,-25.45,17.47,-30.36
1083,-0.22,6.43,-8.08,0.33,0.20,-0.03,-25.45,17.47,-30.36
1094,-0.22,6.41,-8.13,0.33,0.20,-0.03,-25.22,16.74,-29.17
1105,-0.21,6.44,-8.08,0.33,0.20,-0.03,-25.22,16.74,-29.17
1116,-0.21,6.44,-8.08,0.33,0.20,-0.03,-25.22,16.74,-29.17
1127,-0.22,6.48,-8.05,0.33,0.20,-0.03,-25.22,16.74,-29.17
1138,-0.22,6.48,-8.05,0.33,0.20,-0.03,-25.22,16.74,-29.17
1149,-0.23,6.43,-8.09,0.33,0.20,-0.03,-25.22,16.74,-29.17
1160,-0.23,6.43,-8.09,0.33,0.20,-0.03,-25.22,16.74,-29.17
1171,-0.22,6.40,-8.11,0.33,0.20,-0.03,-25.22,16.74,-29.17
1182,-0.22,6.40,-8.11,0.33,0.20,-0.03,-25.22,16.74,-29.17
1197,-0.21,6.45,-8.07,0.33,0.20,-0.03,-25.22,16.74,-29.17
1204,-0.21,6.45,-8.07,0.33,0.20,-0.03,-25.22,16.74,-29.17
1215,-0.21,6.45,-8.07,0.33,0.20,-0.03,-24.54,18.35,-30.36
1226,-0.20,6.43,-8.10,0.33,0.20,-0.03,-24.54,18.35,-30.36
1237,-0.20,6.43,-8.10,0.33,0.20,-0.03,-24.54,18.35,-30.36
1248,-0.22,6.40,-8.08,0.33,0.20,-0.03,-24.54,18.35,-30.36
1259,-0.22,6.40,-8.08,0.33,0.20,-0.03,-24.54,18.35,-30.36
1270,-0.23,6.45,-8.07,0.33,0.20,-0.03,-24.54,18.35,-30.36
1281,-0.23,6.45,-8.07,0.33,0.20,-0.03,-24.54,18.35,-30.36
1292,-0.20,6.45,-8.05,0.33,0.20,-0.03,-24.54,18.35,-30.36
1303,-0.20,6.45,-8.05,0.33,0.20,-0.03,-24.54,18.35,-30.36
1314,-0.21,6.44,-8.09,0.33,0.20,-0.03,-24.54,18.35,-30.36
1325,-0.24,6.42,-8.10,0.33,0.20,-0.03,-25.45,16.59,-31.04
1340,-0.24,6.42,-8.10,0.33,0.20,-0.03,-25.45,16.59,-31.04
1347,-0.25,6.42,-8.10,0.33,0.20,-0.03,-25.45,16.59,-31.04
1358,-0.25,6.42,-8.10,0.33,0.20,-0.03,-25.45,16.59,-31.04
1369,-0.18,6.44,-8.09,0.33,0.20,-0.03,-25.45,16.59,-31.04
1380,-0.18,6.44,-8.09,0.33,0.20,-0.03,-25.45,16.59,-31.04
1391,-0.19,6.43,-8.09,0.33,0.20,-0.03,-25.45,16.59,-31.04
1402,-0.19,6.43,-8.09,0.33,0.20,-0.03,-25.45,16.59,-31.04
1413,-0.23,6.43,-8.09,0.33,0.20,-0.03,-25.45,16.59,-31.04
1424,-0.23,6.43,-8.09,0.33,0.20,-0.03,-25.45,16.59,-31.04
1435,-0.24,6.43,-8.09,0.33,0.20,-0.03,-25.45,16.59,-31.04
1446,-0.20,6.42,-8.08,0.33,0.20,-0.03,-25.45,16.59,-31.04
1458,-0.20,6.42,-8.08,0.33,0.20,-0.03,-25.45,16.59,-31.04
1468,-0.20,6.43,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1479,-0.20,6.43,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1490,-0.21,6.44,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1501,-0.21,6.44,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1512,-0.23,6.43,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1523,-0.23,6.43,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1534,-0.23,6.41,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1545,-0.23,6.42,-8.05,0.33,0.20,-0.03,-24.77,16.45,-30.19
1556,-0.23,6.42,-8.05,0.33,0.20,-0.03,-24.77,16.45,-30.19
1567,-0.21,6.41,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1578,-0.21,6.41,-8.06,0.33,0.20,-0.03,-24.77,16.45,-30.19
1589,-0.23,6.43,-8.06,0.33,0.20,-0.03,-25.22,16.74,-30.87
1600,-0.23,6.43,-8.06,0.33,0.20,-0.03,-25.22,16.74,-30.87
1611,-0.26,6.43,-8.05,0.33,0.20,-0.03,-25.22,16.74,-30.87
1622,-0.26,6.43,-8.05,0.33,0.20,-0.03,-25.22,16.74,-30.87
1633,-0.24,6.42,-8.08,0.33,0.20,-0.03,-25.22,16.74,-30.87
1644,-0.24,6.42,-8.08,0.33,0.20,-0.03,-25.22,16.74,-30.87
1655,-0.21,6.41,-8.07,0.33,0.20,-0.03,-25.22,16.74,-30.87
1666,-0.20,6.41,-8.09,0.33,0.20,-0.03,-25.22,16.74,-30.87
1677,-0.20,6.41,-8.09,0.33,0.20,-0.03,-25.22,16.74,-30.87
1688,-0.22,6.45,-8.05,0.32,0.20,-0.03,-25.22,16.74,-30.87
1699,-0.22,6.45,-8.05,0.32,0.20,-0.03,-25.22,16.74,-30.87
1710,-0.22,6.47,-8.02,0.32,0.20,-0.03,-25.22,15.86,-31.55
1721,-0.22,6.47,-8.02,0.32,0.20,-0.03,-25.22,15.86,-31.55
1732,-0.21,6.42,-8.07,0.31,0.20,-0.03,-25.22,15.86,-31.55
1743,-0.21,6.42,-8.07,0.31,0.20,-0.03,-25.22,15.86,-31.55
1754,-0.22,6.44,-8.04,0.32,0.20,-0.03,-25.22,15.86,-31.55
1765,-0.22,6.44,-8.04,0.32,0.20,-0.03,-25.22,15.86,-31.55
1776,-0.22,6.46,-8.06,0.33,0.20,-0.03,-25.22,15.86,-31.55
1787,-0.21,6.43,-8.06,0.33,0.20,-0.03,-25.22,15.86,-31.55
1798,-0.21,6.43,-8.06,0.33,0.20,-0.03,-25.22,15.86,-31.55
1809,-0.23,6.41,-8.09,0.33,0.20,-0.03,-25.22,15.86,-31.55
1820,-0.23,6.41,-8.09,0.33,0.20,-0.03,-25.22,15.86,-31.55
1831,-0.23,6.44,-8.04,0.32,0.20,-0.03,-26.82,16.59,-31.04
1842,-0.23,6.44,-8.04,0.32,0.20,-0.03,-26.82,16.59,-31.04
1853,-0.22,6.46,-8.01,0.31,0.20,-0.03,-26.82,16.59,-31.04
1864,-0.22,6.46,-8.01,0.31,0.20,-0.03,-26.82,16.59,-31.04
1875,-0.18,6.44,-8.03,0.34,0.20,-0.03,-26.82,16.59,-31.04
1886,-0.21,6.41,-8.10,0.34,0.20,-0.03,-26.82,16.59,-31.04
1897,-0.21,6.41,-8.10,0.34,0.20,-0.03,-26.82,16.59,-31.04
1908,-0.23,6.42,-8.08,0.33,0.20,-0.03,-26.82,16.59,-31.04
1919,-0.23,6.42,-8.08,0.33,0.20,-0.03,-26.82,16.59,-31.04
1930,-0.28,6.47,-8.03,0.33,0.20,-0.03,-26.82,16.59,-31.04
