time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
227.00,-0.21,6.19,-7.71,-0.01,-0.00,0.01,14.90,27.31,1.44,-1.00
239.00,-0.21,6.19,-7.71,-0.01,-0.00,0.01,14.90,27.31,1.44,-1.00
251.00,-0.17,6.20,-7.70,-0.01,-0.00,0.01,14.90,27.31,1.44,-1.00
263.00,-0.17,6.20,-7.70,-0.01,-0.00,0.01,14.90,27.31,1.44,-1.00
276.00,-0.18,6.21,-7.68,-0.01,-0.00,0.01,14.90,27.31,1.44,-1.00
288.00,-0.19,6.21,-7.68,-0.01,-0.00,0.01,14.90,27.31,1.44,-1.00
300.00,-0.19,6.21,-7.68,-0.01,-0.00,0.01,14.90,27.31,1.44,-1.00
313.00,-0.21,6.20,-7.68,-0.01,-0.00,0.01,14.90,27.31,1.44,-1.00
326.00,-0.23,6.21,-7.72,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
338.00,-0.23,6.21,-7.72,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
350.00,-0.21,6.22,-7.68,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
362.00,-0.21,6.22,-7.68,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
375.00,-0.20,6.22,-7.69,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
387.00,-0.19,6.20,-7.69,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
399.00,-0.19,6.20,-7.69,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
411.00,-0.19,6.20,-7.71,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
424.00,-0.19,6.20,-7.71,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
436.00,-0.21,6.20,-7.72,-0.01,-0.00,0.01,15.75,27.18,0.18,-1.00
448.00,-0.21,6.22,-7.69,-0.01,-0.00,0.01,15.41,26.36,4.23,-1.00
460.00,-0.21,6.22,-7.69,-0.01,-0.00,0.01,15.41,26.36,4.23,-1.00
473.00,-0.20,6.23,-7.70,-0.01,-0.00,0.01,15.41,26.36,4.23,-1.00
485.00,-0.20,6.21,-7.71,-0.01,-0.00,0.01,15.41,26.36,4.23,-1.00
497.00,-0.20,6.21,-7.71,-0.01,-0.00,0.01,15.41,26.36,4.23,-1.00
510.00,-0.20,6.19,-7.69,-0.01,-0.00,0.01,15.41,26.36,4.23,-1.00
522.00,-0.20,6.19,-7.69,-0.01,-0.00,0.01,15.41,26.36,4.23,-1.00
