time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-3.44,-3.60,-5.20,1.87,-3.38,-0.99,4.08,3.44,-22.85,-1.00
13.00,-5.11,-3.07,-4.40,1.96,-2.59,-0.49,4.08,3.44,-22.85,-1.00
25.00,-5.11,-3.07,-4.40,1.96,-2.59,-0.49,4.08,3.44,-22.85,-1.00
37.00,-5.52,-4.31,-6.31,1.52,-1.84,-0.35,4.08,3.44,-22.85,-1.00
105.00,-3.31,-1.36,-12.95,-0.12,-3.03,-0.91,-7.76,-1.98,-17.28,-1.00
116.00,-2.44,-4.18,-10.97,1.55,-4.07,-1.22,-7.76,-1.98,-17.28,-1.00
128.00,-2.44,-4.18,-10.97,1.55,-4.07,-1.22,-7.76,-1.98,-17.28,-1.00
142.00,-1.97,-6.26,-3.42,3.82,-4.83,-0.57,-7.76,-1.98,-17.28,-1.00
154.00,-1.69,-8.31,2.17,3.16,-4.51,0.49,-7.76,-1.98,-17.28,-1.00
166.00,-1.69,-8.31,2.17,3.16,-4.51,0.49,-7.76,-1.98,-17.28,-1.00
178.00,-8.83,-8.09,3.63,1.59,-3.31,1.76,-7.76,-1.98,-17.28,-1.00
192.00,-10.14,-3.34,1.57,-0.15,-1.89,2.59,-7.76,-1.98,-17.28,-1.00
204.00,-10.14,-3.34,1.57,-0.15,-1.89,2.59,-7.76,-1.98,-17.28,-1.00
216.00,-10.28,-1.63,0.06,-0.63,-0.76,2.49,-21.63,-3.34,-1.09,-1.00
228.00,-10.28,-1.63,0.06,-0.63,-0.76,2.49,-21.63,-3.34,-1.09,-1.00
242.00,-8.97,-1.81,-2.50,-0.88,0.07,2.00,-21.63,-3.34,-1.09,-1.00
254.00,-7.36,-0.66,-5.32,-1.14,0.21,1.74,-21.63,-3.34,-1.09,-1.00
266.00,-7.36,-0.66,-5.32,-1.14,0.21,1.74,-21.63,-3.34,-1.09,-1.00
278.00,-7.42,0.34,-6.94,-0.96,-0.28,1.47,-21.63,-3.34,-1.09,-1.00
292.00,-6.86,0.17,-5.66,-0.84,-0.96,1.06,-21.63,-3.34,-1.09,-1.00
304.00,-6.86,0.17,-5.66,-0.84,-0.96,1.06,-21.63,-3.34,-1.09,-1.00
316.00,-6.25,0.28,-5.94,-1.47,-1.85,0.70,-21.63,-3.34,-1.09,-1.00
328.00,-6.25,0.28,-5.94,-1.47,-1.85,0.70,-21.63,-3.34,-1.09,-1.00
342.00,-7.02,-1.48,-4.81,-1.53,-2.63,0.31,-25.69,3.44,1.95,-1.00
354.00,-9.31,-4.93,-3.07,-2.24,-3.02,0.20,-25.69,3.44,1.95,-1.00
366.00,-9.31,-4.93,-3.07,-2.24,-3.02,0.20,-25.69,3.44,1.95,-1.00
381.00,-11.25,-5.15,-1.29,-2.86,-3.25,0.78,-25.69,3.44,1.95,-1.00
393.00,-10.13,-1.24,-1.18,-3.91,-3.38,1.15,-25.69,3.44,1.95,-1.00
405.00,-10.13,-1.24,-1.18,-3.91,-3.38,1.15,-25.69,3.44,1.95,-1.00
417.00,-8.88,2.49,-3.14,-3.89,-3.71,0.72,-25.69,3.44,1.95,-1.00
431.00,-7.95,2.44,-1.17,-1.42,-4.32,-0.05,-25.69,3.44,1.95,-1.00
443.00,-7.95,2.44,-1.17,-1.42,-4.32,-0.05,-25.69,3.44,1.95,-1.00
455.00,-6.58,2.17,-1.28,0.21,-4.76,-0.78,-32.46,9.95,31.30,-1.00
467.00,-6.58,2.17,-1.28,0.21,-4.76,-0.78,-32.46,9.95,31.30,-1.00
481.00,-5.91,1.11,-0.88,2.21,-5.28,-1.36,-32.46,9.95,31.30,-1.00
493.00,-4.76,-4.30,-3.24,4.79,-6.10,-1.42,-32.46,9.95,31.30,-1.00
505.00,-4.76,-4.30,-3.24,4.79,-6.10,-1.42,-32.46,9.95,31.30,-1.00
517.00,-1.25,1.78,7.20,13.99,-6.80,1.25,-32.46,9.95,31.30,-1.00
531.00,-3.19,1.40,8.66,12.38,-6.45,3.66,-32.46,9.95,31.30,-1.00
543.00,-3.19,1.40,8.66,12.38,-6.45,3.66,-32.46,9.95,31.30,-1.00
555.00,-4.82,1.73,9.74,1.93,-6.75,4.27,-32.46,9.95,31.30,-1.00
569.00,-4.82,1.73,9.74,1.93,-6.75,4.27,-32.46,9.95,31.30,-1.00
583.00,1.37,7.91,16.93,-10.00,-8.20,3.32,-24.17,13.88,75.59,-1.00
595.00,0.94,5.29,9.02,-4.78,-8.79,2.10,-24.17,13.88,75.59,-1.00
607.00,0.94,5.29,9.02,-4.78,-8.79,2.10,-24.17,13.88,75.59,-1.00
619.00,-1.44,6.62,14.40,14.78,-5.62,4.88,-24.17,13.88,75.59,-1.00
633.00,-0.98,7.03,10.85,11.68,-3.56,5.95,-24.17,13.88,75.59,-1.00
645.00,-0.98,7.03,10.85,11.68,-3.56,5.95,-24.17,13.88,75.59,-1.00
