time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
221.00,-0.27,6.20,-7.73,0.76,0.81,-0.59,7.09,33.01,-15.68,-1.00
233.00,-0.25,6.20,-7.71,0.76,0.81,-0.59,7.09,33.01,-15.68,-1.00
245.00,-0.26,6.18,-7.73,0.76,0.81,-0.59,7.09,33.01,-15.68,-1.00
257.00,-0.26,6.18,-7.73,0.76,0.81,-0.59,7.09,33.01,-15.68,-1.00
270.00,-0.25,6.19,-7.75,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
282.00,-0.25,6.19,-7.75,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
294.00,-0.25,6.20,-7.74,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
306.00,-0.26,6.21,-7.74,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
319.00,-0.26,6.21,-7.74,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
331.00,-0.27,6.19,-7.72,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
343.00,-0.27,6.19,-7.72,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
355.00,-0.28,6.19,-7.73,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
368.00,-0.29,6.18,-7.72,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
380.00,-0.29,6.18,-7.72,0.76,0.81,-0.59,5.18,32.38,-16.03,-1.00
392.00,-0.28,6.18,-7.77,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
404.00,-0.26,6.18,-7.75,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
417.00,-0.26,6.18,-7.75,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
429.00,-0.24,6.18,-7.76,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
441.00,-0.24,6.18,-7.76,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
453.00,-0.24,6.18,-7.74,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
466.00,-0.27,6.20,-7.74,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
478.00,-0.27,6.20,-7.74,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
490.00,-0.28,6.20,-7.72,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
503.00,-0.28,6.20,-7.72,0.76,0.81,-0.59,5.37,31.91,-16.21,-1.00
515.00,-0.28,6.22,-7.73,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
527.00,-0.28,6.20,-7.74,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
539.00,-0.28,6.20,-7.74,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
552.00,-0.27,6.19,-7.70,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
564.00,-0.26,6.17,-7.75,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
576.00,-0.26,6.17,-7.75,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
588.00,-0.25,6.18,-7.75,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
601.00,-0.25,6.18,-7.75,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
613.00,-0.25,6.20,-7.72,0.76,0.81,-0.59,5.37,32.54,-16.21,-1.00
625.00,-0.27,6.21,-7.75,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
637.00,-0.27,6.21,-7.75,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
650.00,-0.28,6.20,-7.74,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
662.00,-0.28,6.20,-7.74,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
674.00,-0.25,6.20,-7.75,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
686.00,-0.25,6.19,-7.74,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
699.00,-0.25,6.19,-7.74,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
711.00,-0.24,6.19,-7.75,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
723.00,-0.24,6.17,-7.74,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
735.00,-0.24,6.17,-7.74,0.76,0.81,-0.59,5.76,33.48,-15.50,-1.00
748.00,-0.25,6.20,-7.75,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
760.00,-0.25,6.20,-7.75,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
772.00,-0.28,6.20,-7.73,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
784.00,-0.27,6.20,-7.75,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
797.00,-0.27,6.20,-7.75,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
809.00,-0.27,6.20,-7.70,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
821.00,-0.27,6.20,-7.70,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
833.00,-0.25,6.19,-7.74,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
846.00,-0.27,6.18,-7.74,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
858.00,-0.27,6.18,-7.74,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
870.00,-0.26,6.18,-7.75,0.76,0.81,-0.59,5.56,33.01,-17.80,-1.00
882.00,-0.26,6.18,-7.75,0.76,0.81,-0.59,5.56,33.01,-17.80,-1.00
895.00,-0.27,6.17,-7.76,0.76,0.81,-0.59,5.56,33.01,-17.80,-1.00
907.00,-0.27,6.19,-7.74,0.76,0.81,-0.59,5.56,33.01,-17.80,-1.00
919.00,-0.27,6.19,-7.74,0.76,0.81,-0.59,5.56,33.01,-17.80,-1.00
931.00,-0.27,6.20,-7.72,0.76,0.81,-0.59,5.56,33.01,-17.80,-1.00
945.00,-0.26,6.22,-7.74,0.76,0.81,-0.59,5.56,33.01,-17.80,-1.00
1032.00,-0.26,6.18,-7.75,0.76,0.81,-0.59,5.37,33.16,-16.21,-1.00
1120.00,-0.27,6.21,-7.69,0.76,0.81,-0.59,5.37,33.16,-16.21,-1.00
1207.00,-0.27,6.19,-7.73,0.76,0.81,-0.59,4.23,32.54,-15.86,-1.00
1220.00,-0.27,6.19,-7.73,0.76,0.81,-0.59,4.23,32.54,-15.86,-1.00
1232.00,-0.26,6.19,-7.75,0.76,0.81,-0.59,4.23,32.54,-15.86,-1.00
1244.00,-0.27,6.19,-7.76,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1256.00,-0.27,6.19,-7.76,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1269.00,-0.26,6.21,-7.73,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1281.00,-0.26,6.21,-7.73,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1293.00,-0.27,6.19,-7.74,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1305.00,-0.25,6.19,-7.74,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1318.00,-0.25,6.19,-7.74,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1330.00,-0.26,6.18,-7.73,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1342.00,-0.26,6.18,-7.73,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1355.00,-0.27,6.19,-7.72,0.76,0.81,-0.59,5.56,33.32,-16.74,-1.00
1367.00,-0.25,6.20,-7.74,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1379.00,-0.25,6.20,-7.74,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1391.00,-0.26,6.19,-7.74,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1405.00,-0.26,6.19,-7.75,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1416.00,-0.26,6.19,-7.75,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1428.00,-0.27,6.18,-7.74,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1440.00,-0.27,6.18,-7.74,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1453.00,-0.26,6.20,-7.74,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1465.00,-0.27,6.19,-7.73,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1477.00,-0.27,6.19,-7.73,0.76,0.81,-0.59,4.99,33.48,-16.56,-1.00
1489.00,-0.26,6.20,-7.75,0.76,0.81,-0.59,5.18,33.32,-16.39,-1.00
1502.00,-0.26,6.19,-7.72,0.76,0.81,-0.59,5.18,33.32,-16.39,-1.00
1514.00,-0.26,6.19,-7.72,0.76,0.81,-0.59,5.18,33.32,-16.39,-1.00
