time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.23,6.25,-7.72,0.76,0.81,-0.59,3.85,33.79,-17.27,-1.00
13.00,-0.23,6.26,-7.70,0.76,0.81,-0.59,3.85,33.79,-17.27,-1.00
25.00,-0.23,6.26,-7.70,0.76,0.81,-0.59,3.85,33.79,-17.27,-1.00
37.00,-0.26,6.26,-7.66,0.76,0.81,-0.59,3.85,33.79,-17.27,-1.00
98.00,-0.23,6.23,-7.72,0.76,0.81,-0.59,3.85,33.79,-17.27,-1.00
109.00,-0.23,6.23,-7.72,0.76,0.81,-0.59,3.85,33.79,-17.27,-1.00
121.00,-0.23,6.22,-7.70,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
133.00,-0.20,6.23,-7.71,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
147.00,-0.20,6.23,-7.71,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
159.00,-0.23,6.26,-7.69,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
171.00,-0.25,6.26,-7.65,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
183.00,-0.25,6.26,-7.65,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
197.00,-0.27,6.26,-7.68,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
209.00,-0.27,6.26,-7.68,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
221.00,-0.25,6.26,-7.69,0.76,0.81,-0.59,3.85,33.79,-16.56,-1.00
235.00,-0.24,6.24,-7.70,0.76,0.81,-0.59,2.32,32.85,-17.27,-1.00
247.00,-0.24,6.24,-7.70,0.76,0.81,-0.59,2.32,32.85,-17.27,-1.00
259.00,-0.23,6.24,-7.70,0.76,0.81,-0.59,2.32,32.85,-17.27,-1.00
271.00,-0.23,6.24,-7.71,0.76,0.81,-0.59,2.32,32.85,-17.27,-1.00
285.00,-0.23,6.24,-7.71,0.76,0.81,-0.59,2.32,32.85,-17.27,-1.00
297.00,-0.24,6.25,-7.68,0.76,0.81,-0.59,2.32,32.85,-17.27,-1.00
309.00,-0.24,6.25,-7.68,0.76,0.81,-0.59,2.32,32.85,-17.27,-1.00
