time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
223.00,-0.20,6.28,-7.73,-1.24,2.10,2.99,3.83,32.16,-21.19,-1.00
235.00,-0.23,6.26,-7.67,-1.17,2.09,3.00,3.83,32.16,-21.19,-1.00
247.00,-0.23,6.26,-7.67,-1.17,2.09,3.00,3.83,32.16,-21.19,-1.00
259.00,-0.23,6.29,-7.65,-1.17,2.09,3.00,3.83,32.16,-21.19,-1.00
272.00,-0.24,6.29,-7.63,-1.17,2.09,3.00,3.83,32.16,-21.19,-1.00
284.00,-0.24,6.29,-7.63,-1.17,2.09,3.00,3.83,32.16,-21.19,-1.00
296.00,-0.24,6.28,-7.65,-1.17,2.09,3.00,3.83,32.16,-21.19,-1.00
308.00,-0.24,6.28,-7.65,-1.17,2.09,3.00,3.83,32.16,-21.19,-1.00
321.00,-0.24,6.27,-7.66,-1.17,2.09,3.00,3.83,32.16,-21.19,-1.00
333.00,-0.25,6.28,-7.66,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
345.00,-0.25,6.28,-7.66,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
357.00,-0.24,6.28,-7.67,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
371.00,-0.24,6.28,-7.67,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
382.00,-0.23,6.27,-7.66,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
394.00,-0.22,6.26,-7.66,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
406.00,-0.22,6.26,-7.66,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
419.00,-0.22,6.27,-7.62,-1.18,2.09,3.00,3.60,32.31,-21.04,-1.00
431.00,-0.22,6.27,-7.62,-1.18,2.09,3.00,3.60,32.31,-21.04,-1.00
443.00,-0.23,6.27,-7.64,-1.18,2.09,3.00,3.60,32.31,-21.04,-1.00
455.00,-0.25,6.27,-7.64,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
468.00,-0.25,6.27,-7.64,-1.17,2.09,3.00,3.60,32.31,-21.04,-1.00
480.00,-0.26,6.28,-7.65,-1.17,2.09,3.00,3.83,31.55,-20.88,-1.00
492.00,-0.24,6.28,-7.64,-1.17,2.09,3.00,3.83,31.55,-20.88,-1.00
505.00,-0.24,6.28,-7.64,-1.17,2.09,3.00,3.83,31.55,-20.88,-1.00
517.00,-0.24,6.26,-7.67,-1.17,2.09,3.00,3.83,31.55,-20.88,-1.00
529.00,-0.24,6.26,-7.67,-1.17,2.09,3.00,3.83,31.55,-20.88,-1.00
541.00,-0.22,6.27,-7.65,-1.18,2.09,3.00,3.83,31.55,-20.88,-1.00
554.00,-0.21,6.25,-7.66,-1.18,2.09,3.00,3.83,31.55,-20.88,-1.00
566.00,-0.21,6.25,-7.66,-1.18,2.09,3.00,3.83,31.55,-20.88,-1.00
578.00,-0.23,6.26,-7.65,-1.17,2.09,3.00,3.83,31.55,-20.88,-1.00
590.00,-0.23,6.26,-7.65,-1.17,2.09,3.00,3.83,31.55,-20.88,-1.00
603.00,-0.23,6.27,-7.69,-1.17,2.09,3.00,3.60,32.01,-20.72,-1.00
615.00,-0.24,6.26,-7.65,-1.17,2.09,3.00,3.60,32.01,-20.72,-1.00
627.00,-0.24,6.26,-7.65,-1.17,2.09,3.00,3.60,32.01,-20.72,-1.00
639.00,-0.26,6.27,-7.65,-1.17,2.09,3.00,3.60,32.01,-20.72,-1.00
652.00,-0.27,6.28,-7.65,-1.17,2.09,3.00,3.60,32.01,-20.72,-1.00
664.00,-0.27,6.28,-7.65,-1.17,2.09,3.00,3.60,32.01,-20.72,-1.00
676.00,-0.23,6.29,-7.65,-1.17,2.09,3.00,3.60,32.01,-20.72,-1.00
688.00,-0.23,6.29,-7.65,-1.17,2.09,3.00,3.60,32.01,-20.72,-1.00
701.00,-0.22,6.27,-7.65,-1.18,2.09,3.00,3.60,32.01,-20.72,-1.00
713.00,-0.23,6.26,-7.69,-1.17,2.09,3.00,2.45,31.86,-21.19,-1.00
725.00,-0.23,6.26,-7.69,-1.17,2.09,3.00,2.45,31.86,-21.19,-1.00
737.00,-0.24,6.26,-7.67,-1.17,2.09,3.00,2.45,31.86,-21.19,-1.00
750.00,-0.24,6.26,-7.67,-1.17,2.09,3.00,2.45,31.86,-21.19,-1.00
762.00,-0.25,6.26,-7.67,-1.18,2.09,3.00,2.45,31.86,-21.19,-1.00
774.00,-0.25,6.27,-7.65,-1.18,2.09,3.00,2.45,31.86,-21.19,-1.00
786.00,-0.25,6.27,-7.65,-1.18,2.09,3.00,2.45,31.86,-21.19,-1.00
800.00,-0.23,6.26,-7.66,-1.17,2.09,3.00,2.45,31.86,-21.19,-1.00
811.00,-0.23,6.28,-7.65,-1.18,2.09,3.00,2.45,31.86,-21.19,-1.00
823.00,-0.23,6.28,-7.65,-1.18,2.09,3.00,2.45,31.86,-21.19,-1.00
835.00,-0.23,6.27,-7.65,-1.18,2.09,3.00,3.37,31.86,-20.26,-1.00
848.00,-0.23,6.27,-7.65,-1.18,2.09,3.00,3.37,31.86,-20.26,-1.00
860.00,-0.24,6.28,-7.64,-1.18,2.09,3.00,3.37,31.86,-20.26,-1.00
872.00,-0.23,6.27,-7.66,-1.17,2.09,3.00,3.37,31.86,-20.26,-1.00
884.00,-0.23,6.27,-7.66,-1.17,2.09,3.00,3.37,31.86,-20.26,-1.00
897.00,-0.24,6.26,-7.65,-1.17,2.09,3.00,3.37,31.86,-20.26,-1.00
909.00,-0.24,6.26,-7.65,-1.17,2.09,3.00,3.37,31.86,-20.26,-1.00
921.00,-0.26,6.26,-7.65,-1.17,2.09,3.00,3.37,31.86,-20.26,-1.00
933.00,-0.23,6.26,-7.67,-1.17,2.09,3.00,3.37,31.86,-20.26,-1.00
947.00,-0.23,6.26,-7.67,-1.17,2.09,3.00,3.37,31.86,-20.26,-1.00
1035.00,-0.23,6.26,-7.67,-1.18,2.09,3.00,4.29,31.86,-20.26,-1.00
1122.00,-0.23,6.27,-7.66,-1.17,2.09,3.00,2.45,31.86,-20.26,-1.00
1211.00,-0.24,6.28,-7.68,-1.18,2.09,3.00,4.75,31.24,-20.26,-1.00
1224.00,-0.24,6.28,-7.68,-1.18,2.09,3.00,4.75,31.24,-20.57,-1.00
1236.00,-0.22,6.27,-7.65,-1.18,2.09,3.00,4.75,31.24,-20.57,-1.00
1248.00,-0.22,6.27,-7.65,-1.18,2.09,3.00,4.75,31.24,-20.57,-1.00
1260.00,-0.23,6.27,-7.65,-1.17,2.09,3.00,4.75,31.24,-20.57,-1.00
1274.00,-0.22,6.26,-7.67,-1.17,2.09,3.00,4.75,31.24,-20.57,-1.00
1285.00,-0.22,6.26,-7.67,-1.17,2.09,3.00,4.75,31.24,-20.57,-1.00
1297.00,-0.23,6.26,-7.64,-1.18,2.09,3.00,4.75,31.24,-20.57,-1.00
1309.00,-0.23,6.26,-7.64,-1.18,2.09,3.00,4.75,31.24,-20.57,-1.00
1322.00,-0.24,6.28,-7.66,-1.17,2.09,3.00,4.75,31.24,-20.57,-1.00
1334.00,-0.26,6.28,-7.63,-1.17,2.09,3.00,3.83,31.86,-19.32,-1.00
1346.00,-0.26,6.28,-7.63,-1.17,2.09,3.00,3.83,31.86,-19.32,-1.00
1359.00,-0.24,6.29,-7.66,-1.18,2.09,3.00,3.83,31.86,-19.32,-1.00
1371.00,-0.23,6.28,-7.66,-1.18,2.09,3.00,3.83,31.86,-19.32,-1.00
1383.00,-0.23,6.28,-7.66,-1.18,2.09,3.00,3.83,31.86,-19.32,-1.00
1395.00,-0.24,6.28,-7.66,-1.17,2.09,3.00,3.83,31.86,-19.32,-1.00
1409.00,-0.24,6.28,-7.66,-1.17,2.09,3.00,3.83,31.86,-19.32,-1.00
1420.00,-0.23,6.27,-7.65,-1.18,2.09,3.00,3.83,31.86,-19.32,-1.00
1432.00,-0.22,6.26,-7.64,-1.17,2.09,3.00,3.83,31.86,-19.32,-1.00
1444.00,-0.22,6.26,-7.64,-1.17,2.09,3.00,3.83,31.86,-19.32,-1.00
1457.00,-0.23,6.26,-7.66,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1469.00,-0.23,6.26,-7.66,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1481.00,-0.23,6.23,-7.67,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1493.00,-0.24,6.24,-7.70,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1506.00,-0.24,6.24,-7.70,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1518.00,-0.25,6.29,-7.66,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1530.00,-0.25,6.31,-7.63,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1542.00,-0.25,6.31,-7.63,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1556.00,-0.24,6.29,-7.63,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1567.00,-0.24,6.29,-7.63,-1.17,2.09,3.00,1.99,30.63,-20.57,-1.00
1579.00,-0.24,6.28,-7.63,-1.18,2.09,3.00,3.60,32.01,-20.10,-1.00
1591.00,-0.25,6.29,-7.63,-1.17,2.09,3.00,3.60,32.01,-20.10,-1.00
1604.00,-0.25,6.29,-7.63,-1.17,2.09,3.00,3.60,32.01,-20.10,-1.00
1616.00,-0.24,6.23,-7.66,-1.17,2.09,3.00,3.60,32.01,-20.10,-1.00
1628.00,-0.24,6.23,-7.66,-1.17,2.09,3.00,3.60,32.01,-20.10,-1.00
1640.00,-0.24,6.20,-7.70,-1.17,2.09,3.00,3.60,32.01,-20.10,-1.00
1653.00,-0.23,6.23,-7.67,-1.17,2.09,3.00,3.60,32.01,-20.10,-1.00
1665.00,-0.23,6.23,-7.67,-1.17,2.09,3.00,3.60,32.01,-20.10,-1.00
1677.00,-0.23,6.26,-7.64,-1.18,2.09,3.00,3.60,32.01,-20.10,-1.00
1689.00,-0.23,6.26,-7.64,-1.18,2.09,3.00,3.60,32.01,-20.10,-1.00
1703.00,-0.24,6.31,-7.62,-1.18,2.09,3.00,4.29,32.47,-19.95,-1.00
1715.00,-0.24,6.30,-7.66,-1.17,2.09,3.00,4.29,32.47,-19.95,-1.00
1727.00,-0.24,6.30,-7.66,-1.17,2.09,3.00,4.29,32.47,-19.95,-1.00
1740.00,-0.24,6.26,-7.66,-1.18,2.09,3.00,4.29,32.47,-19.95,-1.00
1752.00,-0.24,6.24,-7.70,-1.18,2.09,3.00,4.29,32.47,-19.95,-1.00
1764.00,-0.24,6.24,-7.70,-1.18,2.09,3.00,4.29,32.47,-19.95,-1.00
1776.00,-0.25,6.25,-7.68,-1.17,2.09,3.00,4.29,32.47,-19.95,-1.00
1789.00,-0.25,6.25,-7.68,-1.17,2.09,3.00,4.29,32.47,-19.95,-1.00
1801.00,-0.26,6.28,-7.65,-1.17,2.09,3.00,4.29,32.47,-19.95,-1.00
