time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.20,6.25,-7.65,-1.19,2.18,2.87,6.13,33.08,-19.63,-1.00
13.00,-0.22,6.26,-7.64,-1.18,2.10,2.99,6.13,33.08,-19.63,-1.00
25.00,-0.23,6.26,-7.65,-1.18,2.09,3.00,6.13,33.08,-19.63,-1.00
37.00,-0.23,6.26,-7.65,-1.18,2.09,3.00,6.13,33.08,-19.63,-1.00
98.00,-0.20,6.29,-7.65,-1.18,2.09,3.00,5.44,32.62,-20.10,-1.00
110.00,-0.21,6.29,-7.64,-1.18,2.09,3.00,5.44,32.62,-20.10,-1.00
122.00,-0.21,6.29,-7.64,-1.18,2.09,3.00,5.44,32.62,-20.10,-1.00
134.00,-0.21,6.29,-7.66,-1.18,2.09,3.00,5.44,32.62,-20.10,-1.00
148.00,-0.23,6.27,-7.66,-1.18,2.09,3.00,5.44,32.62,-20.10,-1.00
160.00,-0.23,6.27,-7.66,-1.18,2.09,3.00,5.44,32.62,-20.10,-1.00
172.00,-0.22,6.28,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
184.00,-0.22,6.28,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
198.00,-0.21,6.30,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
210.00,-0.20,6.29,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
222.00,-0.20,6.29,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
236.00,-0.20,6.28,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
248.00,-0.21,6.28,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
260.00,-0.21,6.28,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
272.00,-0.21,6.28,-7.65,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
286.00,-0.22,6.27,-7.64,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
298.00,-0.22,6.27,-7.64,-1.18,2.09,3.00,5.90,33.53,-19.79,-1.00
310.00,-0.20,6.28,-7.69,-1.17,2.09,3.00,4.98,33.84,-21.04,-1.00
322.00,-0.20,6.28,-7.69,-1.17,2.09,3.00,4.98,33.84,-21.04,-1.00
336.00,-0.20,6.29,-7.64,-1.17,2.09,3.00,4.98,33.84,-21.04,-1.00
348.00,-0.21,6.29,-7.65,-1.18,2.09,3.00,4.98,33.84,-21.04,-1.00
360.00,-0.21,6.29,-7.65,-1.18,2.09,3.00,4.98,33.84,-21.04,-1.00
