time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
222.00,-0.14,6.21,-7.70,-0.78,1.46,2.50,9.50,32.36,-22.42,-1.00
234.00,-0.13,6.20,-7.72,-0.78,1.46,2.50,9.50,32.36,-22.42,-1.00
246.00,-0.13,6.20,-7.72,-0.78,1.46,2.50,9.50,32.36,-22.42,-1.00
258.00,-0.12,6.21,-7.74,-0.78,1.46,2.50,8.43,31.25,-22.26,-1.00
271.00,-0.12,6.19,-7.75,-0.78,1.46,2.50,8.43,31.25,-22.26,-1.00
283.00,-0.12,6.19,-7.75,-0.78,1.46,2.50,8.43,31.25,-22.26,-1.00
295.00,-0.13,6.19,-7.75,-0.78,1.46,2.50,8.43,31.25,-22.26,-1.00
307.00,-0.13,6.19,-7.75,-0.78,1.46,2.50,8.43,31.25,-22.26,-1.00
320.00,-0.15,6.20,-7.70,-0.78,1.46,2.50,8.43,31.25,-22.26,-1.00
332.00,-0.16,6.23,-7.71,-0.79,1.46,2.50,8.43,31.25,-22.26,-1.00
344.00,-0.16,6.23,-7.71,-0.79,1.46,2.50,8.43,31.25,-22.26,-1.00
356.00,-0.16,6.24,-7.70,-0.78,1.46,2.50,8.43,31.25,-22.26,-1.00
369.00,-0.17,6.22,-7.74,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
381.00,-0.17,6.22,-7.74,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
393.00,-0.15,6.20,-7.73,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
405.00,-0.15,6.20,-7.73,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
418.00,-0.15,6.19,-7.73,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
430.00,-0.15,6.19,-7.70,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
442.00,-0.15,6.19,-7.70,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
454.00,-0.14,6.21,-7.71,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
468.00,-0.14,6.21,-7.71,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
479.00,-0.14,6.21,-7.71,-0.78,1.46,2.50,8.43,31.25,-22.89,-1.00
491.00,-0.13,6.21,-7.73,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
504.00,-0.13,6.21,-7.73,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
516.00,-0.13,6.21,-7.73,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
528.00,-0.13,6.21,-7.73,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
540.00,-0.13,6.22,-7.72,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
553.00,-0.14,6.20,-7.72,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
565.00,-0.14,6.20,-7.72,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
577.00,-0.16,6.19,-7.72,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
589.00,-0.15,6.21,-7.72,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
602.00,-0.15,6.21,-7.72,-0.78,1.46,2.50,9.50,32.05,-21.47,-1.00
614.00,-0.13,6.21,-7.72,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
626.00,-0.13,6.21,-7.72,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
638.00,-0.13,6.22,-7.71,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
651.00,-0.14,6.23,-7.71,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
663.00,-0.14,6.23,-7.71,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
675.00,-0.16,6.21,-7.71,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
687.00,-0.16,6.21,-7.71,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
700.00,-0.17,6.19,-7.71,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
712.00,-0.16,6.20,-7.73,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
724.00,-0.16,6.20,-7.73,-0.78,1.46,2.50,9.07,32.68,-22.42,-1.00
736.00,-0.14,6.21,-7.72,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
750.00,-0.13,6.21,-7.73,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
761.00,-0.13,6.21,-7.73,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
773.00,-0.13,6.21,-7.70,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
785.00,-0.13,6.21,-7.70,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
798.00,-0.13,6.22,-7.72,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
810.00,-0.15,6.20,-7.72,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
822.00,-0.15,6.20,-7.72,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
834.00,-0.17,6.22,-7.70,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
847.00,-0.17,6.22,-7.70,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
859.00,-0.14,6.22,-7.71,-0.78,1.46,2.50,9.29,32.52,-21.63,-1.00
871.00,-0.16,6.21,-7.73,-0.78,1.46,2.50,9.50,33.00,-22.10,-1.00
883.00,-0.16,6.21,-7.73,-0.78,1.46,2.50,9.50,33.00,-22.10,-1.00
897.00,-0.13,6.20,-7.74,-0.78,1.46,2.50,9.50,33.00,-22.10,-1.00
908.00,-0.12,6.19,-7.73,-0.78,1.46,2.50,9.50,33.00,-22.10,-1.00
920.00,-0.12,6.19,-7.73,-0.78,1.46,2.50,9.50,33.00,-22.10,-1.00
932.00,-0.13,6.20,-7.71,-0.78,1.46,2.50,9.50,33.00,-22.10,-1.00
945.00,-0.13,6.20,-7.71,-0.78,1.46,2.50,9.50,33.00,-22.10,-1.00
1033.00,-0.15,6.21,-7.72,-0.78,1.46,2.50,9.50,32.05,-21.79,-1.00
1122.00,-0.15,6.20,-7.74,-0.78,1.46,2.50,8.64,31.41,-21.79,-1.00
1209.00,-0.15,6.20,-7.72,-0.78,1.46,2.50,8.64,31.41,-21.79,-1.00
1223.00,-0.15,6.20,-7.72,-0.78,1.46,2.50,8.64,31.41,-21.79,-1.00
1234.00,-0.15,6.20,-7.73,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
1246.00,-0.15,6.20,-7.73,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
1258.00,-0.15,6.20,-7.73,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
1271.00,-0.14,6.20,-7.72,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
1283.00,-0.14,6.20,-7.72,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
1295.00,-0.13,6.21,-7.72,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
1307.00,-0.13,6.21,-7.72,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
1320.00,-0.16,6.21,-7.71,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
1332.00,-0.16,6.22,-7.72,-0.78,1.46,2.50,8.86,31.89,-22.26,-1.00
