time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.19,6.19,-7.76,-0.78,1.46,2.50,9.29,32.52,-22.58,-1.00
13.00,-0.17,6.18,-7.76,-0.78,1.46,2.50,9.29,32.52,-22.58,-1.00
25.00,-0.21,6.21,-7.72,-0.78,1.46,2.50,9.29,32.52,-22.58,-1.00
37.00,-0.21,6.21,-7.72,-0.78,1.46,2.50,9.29,32.52,-22.58,-1.00
98.00,-0.21,6.20,-7.74,-0.78,1.46,2.50,9.29,32.52,-22.58,-1.00
110.00,-0.20,6.17,-7.76,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
122.00,-0.20,6.17,-7.76,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
134.00,-0.18,6.20,-7.74,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
148.00,-0.18,6.22,-7.72,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
160.00,-0.18,6.22,-7.72,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
172.00,-0.20,6.21,-7.73,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
184.00,-0.22,6.19,-7.73,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
198.00,-0.22,6.19,-7.73,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
210.00,-0.24,6.19,-7.76,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
222.00,-0.24,6.19,-7.76,-0.78,1.46,2.50,8.86,31.25,-23.20,-1.00
236.00,-0.22,6.20,-7.76,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
248.00,-0.19,6.21,-7.74,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
260.00,-0.19,6.21,-7.74,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
272.00,-0.19,6.22,-7.71,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
286.00,-0.20,6.20,-7.73,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
298.00,-0.20,6.20,-7.73,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
310.00,-0.20,6.19,-7.74,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
322.00,-0.21,6.18,-7.73,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
336.00,-0.21,6.18,-7.73,-0.78,1.46,2.50,8.43,30.62,-21.95,-1.00
348.00,-0.21,6.20,-7.74,-0.78,1.46,2.50,8.64,31.73,-21.79,-1.00
360.00,-0.21,6.20,-7.74,-0.78,1.46,2.50,8.64,31.73,-21.79,-1.00
372.00,-0.19,6.22,-7.74,-0.78,1.46,2.50,8.64,31.73,-21.79,-1.00
387.00,-0.19,6.20,-7.73,-0.79,1.46,2.50,8.64,31.73,-21.79,-1.00
398.00,-0.19,6.20,-7.73,-0.79,1.46,2.50,8.64,31.73,-21.79,-1.00
