time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
222.00,-0.22,6.19,-7.73,0.38,0.77,-0.50,9.81,17.90,-17.89,-1.00
234.00,-0.20,6.18,-7.72,0.38,0.77,-0.50,9.81,17.90,-17.89,-1.00
246.00,-0.20,6.18,-7.72,0.38,0.77,-0.50,9.81,17.90,-17.89,-1.00
258.00,-0.21,6.16,-7.72,0.38,0.77,-0.50,9.81,17.90,-17.89,-1.00
271.00,-0.19,6.13,-7.77,0.39,0.77,-0.50,9.81,17.90,-17.89,-1.00
283.00,-0.19,6.13,-7.77,0.39,0.77,-0.50,9.81,17.90,-17.89,-1.00
295.00,-0.20,6.11,-7.78,0.39,0.77,-0.50,9.81,17.90,-17.89,-1.00
307.00,-0.20,6.11,-7.78,0.39,0.77,-0.50,9.81,17.90,-17.89,-1.00
320.00,-0.21,6.12,-7.79,0.38,0.77,-0.50,9.81,22.06,-17.64,-1.00
332.00,-0.23,6.13,-7.76,0.38,0.77,-0.50,9.81,22.06,-17.64,-1.00
344.00,-0.23,6.13,-7.76,0.38,0.77,-0.50,9.81,22.06,-17.64,-1.00
356.00,-0.21,6.14,-7.77,0.39,0.77,-0.50,9.81,22.06,-17.64,-1.00
370.00,-0.19,6.16,-7.74,0.39,0.77,-0.50,9.81,22.06,-17.64,-1.00
381.00,-0.19,6.16,-7.74,0.39,0.77,-0.50,9.81,22.06,-17.64,-1.00
393.00,-0.17,6.17,-7.76,0.38,0.77,-0.50,9.81,22.06,-17.64,-1.00
405.00,-0.17,6.17,-7.76,0.38,0.77,-0.50,9.81,22.06,-17.64,-1.00
418.00,-0.18,6.17,-7.74,0.38,0.77,-0.50,9.81,22.06,-17.64,-1.00
430.00,-0.21,6.16,-7.76,0.39,0.77,-0.50,10.00,19.05,-17.77,-1.00
442.00,-0.21,6.16,-7.76,0.39,0.77,-0.50,10.00,19.05,-17.77,-1.00
454.00,-0.23,6.14,-7.76,0.39,0.77,-0.50,10.00,19.05,-17.77,-1.00
467.00,-0.24,6.12,-7.78,0.39,0.77,-0.50,10.00,19.05,-17.77,-1.00
479.00,-0.24,6.12,-7.78,0.39,0.77,-0.50,10.00,19.05,-17.77,-1.00
491.00,-0.22,6.12,-7.77,0.39,0.77,-0.50,10.00,19.05,-17.77,-1.00
504.00,-0.22,6.12,-7.77,0.39,0.77,-0.50,10.00,19.05,-17.77,-1.00
516.00,-0.19,6.16,-7.74,0.38,0.77,-0.50,10.00,19.05,-17.77,-1.00
528.00,-0.17,6.19,-7.72,0.38,0.77,-0.50,10.00,19.05,-17.77,-1.00
540.00,-0.17,6.19,-7.72,0.38,0.77,-0.50,10.00,19.05,-17.77,-1.00
554.00,-0.20,6.19,-7.74,0.38,0.77,-0.50,8.86,18.13,-17.77,-1.00
565.00,-0.20,6.19,-7.74,0.38,0.77,-0.50,8.86,18.13,-17.77,-1.00
577.00,-0.19,6.14,-7.77,0.39,0.77,-0.50,8.86,18.13,-17.77,-1.00
589.00,-0.23,6.12,-7.76,0.39,0.77,-0.50,8.86,18.13,-17.77,-1.00
602.00,-0.23,6.12,-7.76,0.39,0.77,-0.50,8.86,18.13,-17.77,-1.00
614.00,-0.25,6.12,-7.78,0.39,0.77,-0.50,8.86,18.13,-17.77,-1.00
626.00,-0.25,6.12,-7.78,0.39,0.77,-0.50,8.86,18.13,-17.77,-1.00
638.00,-0.23,6.15,-7.76,0.39,0.77,-0.50,8.86,18.13,-17.77,-1.00
651.00,-0.64,6.18,-7.74,0.38,0.80,-0.54,8.86,18.13,-17.77,-1.00
663.00,-0.64,6.18,-7.74,0.38,0.80,-0.54,8.86,18.13,-17.77,-1.00
675.00,-0.01,6.28,-7.65,0.37,1.07,-0.88,8.86,18.13,-17.77,-1.00
687.00,-0.06,6.06,-7.84,0.38,1.04,-0.84,9.81,19.29,-17.12,-1.00
700.00,-0.06,6.06,-7.84,0.38,1.04,-0.84,9.81,19.29,-17.12,-1.00
712.00,-0.43,6.13,-7.79,0.38,0.82,-0.57,9.81,19.29,-17.12,-1.00
724.00,-0.43,6.13,-7.79,0.38,0.82,-0.57,9.81,19.29,-17.12,-1.00
736.00,-1.53,5.99,-7.85,0.37,1.06,-0.86,9.81,19.29,-17.12,-1.00
749.00,0.85,6.90,-7.21,0.37,1.72,-1.69,9.81,19.29,-17.12,-1.00
761.00,0.85,6.90,-7.21,0.37,1.72,-1.69,9.81,19.29,-17.12,-1.00
773.00,-0.57,5.83,-8.08,0.37,1.23,-1.01,9.81,19.29,-17.12,-1.00
785.00,-0.57,5.83,-8.08,0.37,1.23,-1.01,9.81,19.29,-17.12,-1.00
798.00,0.16,7.28,-9.29,0.50,0.82,-0.30,9.81,19.29,-17.12,-1.00
810.00,-0.00,6.75,-9.53,1.97,0.62,-0.06,8.67,18.36,-17.89,-1.00
822.00,-0.00,6.75,-9.53,1.97,0.62,-0.06,8.67,18.36,-17.89,-1.00
834.00,0.10,4.71,-10.32,3.84,0.44,0.08,8.67,18.36,-17.89,-1.00
847.00,0.23,3.31,-9.89,5.16,0.36,0.52,8.67,18.36,-17.89,-1.00
859.00,0.23,3.31,-9.89,5.16,0.36,0.52,8.67,18.36,-17.89,-1.00
871.00,0.34,3.43,-8.83,5.53,0.38,1.06,8.67,18.36,-17.89,-1.00
883.00,0.34,3.43,-8.83,5.53,0.38,1.06,8.67,18.36,-17.89,-1.00
896.00,-0.03,4.21,-10.12,5.10,0.57,1.26,8.67,18.36,-17.89,-1.00
908.00,-0.60,1.92,-9.47,4.90,0.96,1.37,8.67,18.36,-17.89,-1.00
920.00,-0.60,1.92,-9.47,4.90,0.96,1.37,8.67,18.36,-17.89,-1.00
932.00,-0.24,-0.57,-16.99,3.70,1.32,1.00,14.18,-3.61,-27.77,-1.00
945.00,-0.24,-0.57,-16.99,3.70,1.32,1.00,14.18,-3.61,-27.77,-1.00
1032.00,-2.10,-2.92,-16.83,2.48,-1.44,-1.25,14.18,-3.61,-27.77,-1.00
1121.00,-3.03,-1.59,-9.08,2.31,-3.39,-0.38,5.44,-24.89,-30.85,-1.00
1208.00,-3.34,-2.78,-1.58,0.49,-6.87,-2.78,-20.99,-35.76,-24.57,-1.00
1221.00,-3.34,-2.78,-1.58,0.49,-6.87,-2.78,-20.99,-35.76,-24.57,-1.00
1233.00,-2.43,-4.89,2.02,1.95,-6.44,-2.56,-20.99,-35.76,-24.57,-1.00
1245.00,-2.43,-4.89,2.02,1.95,-6.44,-2.56,-20.99,-35.76,-24.57,-1.00
1259.00,-2.40,-4.34,2.22,1.41,-5.67,-1.83,-20.99,-35.76,-24.57,-1.00
1271.00,-2.26,-2.90,1.68,2.84,-5.05,-1.19,-20.99,-35.76,-24.57,-1.00
1283.00,-2.26,-2.90,1.68,2.84,-5.05,-1.19,-20.99,-35.76,-24.57,-1.00
1295.00,-3.20,0.21,0.39,6.61,-4.86,-0.58,-20.99,-35.76,-24.57,-1.00
1308.00,-4.28,0.68,5.18,11.12,-5.04,0.11,-20.99,-35.76,-24.57,-1.00
1320.00,-4.28,0.68,5.18,11.12,-5.04,0.11,-20.99,-35.76,-24.57,-1.00
1332.00,-6.78,-0.00,11.76,13.84,-4.39,1.10,-20.99,-35.76,-24.57,-1.00
1344.00,-6.78,-0.00,11.76,13.84,-4.39,1.10,-20.99,-35.76,-24.57,-1.00
1357.00,-10.98,-0.48,20.18,11.21,-2.07,1.20,-20.99,-35.76,-24.57,-1.00
1369.00,-7.84,-0.29,14.69,2.23,0.59,-0.22,-20.99,-35.76,-24.57,-1.00
1381.00,-7.84,-0.29,14.69,2.23,0.59,-0.22,-20.99,-35.76,-24.57,-1.00
1394.00,-8.70,1.31,3.47,-2.86,2.23,-1.10,-20.99,-35.76,-24.57,-1.00
1406.00,-10.20,-1.86,-1.20,-2.03,1.48,-0.98,-20.99,-35.76,-24.57,-1.00
1418.00,-10.20,-1.86,-1.20,-2.03,1.48,-0.98,-20.99,-35.76,-24.57,-1.00
1430.00,-8.75,-3.96,4.52,-0.31,-0.43,-0.60,-36.01,-35.53,11.75,-1.00
1443.00,-8.75,-3.96,4.52,-0.31,-0.43,-0.60,-36.01,-35.53,11.75,-1.00
1455.00,-6.67,-7.21,5.09,0.29,-1.14,0.06,-36.01,-35.53,11.75,-1.00
1467.00,-6.01,-4.06,8.44,1.30,-1.30,0.99,-36.01,-35.53,11.75,-1.00
1479.00,-6.01,-4.06,8.44,1.30,-1.30,0.99,-36.01,-35.53,11.75,-1.00
1492.00,-5.40,-2.71,9.29,1.47,-0.64,0.94,-36.01,-35.53,11.75,-1.00
1504.00,-5.40,-2.71,9.29,1.47,-0.64,0.94,-36.01,-35.53,11.75,-1.00
1516.00,-4.73,-1.88,5.32,0.62,0.18,0.76,-36.01,-35.53,11.75,-1.00
