time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,0.99,-4.39,-10.85,3.70,-4.54,-2.61,12.85,-17.72,-28.93,-1.00
13.00,0.99,-4.39,-10.85,3.70,-4.54,-2.61,12.85,-17.72,-28.93,-1.00
25.00,0.91,-4.69,-10.24,3.41,-5.70,-1.87,12.85,-17.72,-28.93,-1.00
86.00,6.71,1.67,-4.18,-0.14,-9.80,-2.95,-20.80,-36.91,-23.67,-1.00
98.00,6.71,1.67,-4.18,-0.14,-9.80,-2.95,-20.80,-36.91,-23.67,-1.00
110.00,3.47,0.44,-0.22,-0.25,-10.23,-3.95,-20.80,-36.91,-23.67,-1.00
122.00,1.63,-0.06,-1.43,-0.56,-9.68,-5.12,-20.80,-36.91,-23.67,-1.00
137.00,1.63,-0.06,-1.43,-0.56,-9.68,-5.12,-20.80,-36.91,-23.67,-1.00
148.00,10.21,-18.71,1.90,6.12,-8.64,-5.45,-20.80,-36.91,-23.67,-1.00
160.00,-3.84,-7.70,20.96,14.17,-5.57,1.26,-20.80,-36.91,-23.67,-1.00
172.00,-3.84,-7.70,20.96,14.17,-5.57,1.26,-20.80,-36.91,-23.67,-1.00
186.00,-6.31,-2.96,7.90,4.82,-2.07,1.66,-20.80,-36.91,-23.67,-1.00
198.00,-6.31,-2.96,7.90,4.82,-2.07,1.66,-20.80,-36.91,-23.67,-1.00
210.00,-7.99,-4.12,5.13,4.25,-0.80,1.03,-34.30,-41.77,9.31,-1.00
222.00,-6.63,-2.64,5.96,2.77,-0.78,0.69,-34.30,-41.77,9.31,-1.00
236.00,-6.63,-2.64,5.96,2.77,-0.78,0.69,-34.30,-41.77,9.31,-1.00
248.00,-8.29,-1.21,11.11,2.72,0.07,0.24,-34.30,-41.77,9.31,-1.00
260.00,-9.01,-3.82,13.97,1.06,1.95,-0.62,-34.30,-41.77,9.31,-1.00
274.00,-9.01,-3.82,13.97,1.06,1.95,-0.62,-34.30,-41.77,9.31,-1.00
286.00,-8.84,-5.63,4.17,-1.97,3.26,-0.61,-34.30,-41.77,9.31,-1.00
298.00,-8.84,-5.63,4.17,-1.97,3.26,-0.61,-34.30,-41.77,9.31,-1.00
310.00,-12.04,-6.62,-5.30,-2.85,2.71,-0.14,-34.30,-41.77,9.31,-1.00
325.00,-6.62,-5.70,0.42,-1.86,0.07,-0.34,-36.39,-38.76,5.85,-1.00
411.00,-9.26,-1.80,5.30,3.62,-0.58,0.30,-36.39,-38.76,5.85,-1.00
499.00,-5.52,-1.55,5.25,5.06,-0.95,0.94,-34.30,-31.13,13.67,-1.00
587.00,-6.52,-0.97,8.34,1.57,1.17,-0.97,-36.01,-14.25,15.34,-1.00
601.00,-6.98,-1.92,11.39,0.78,1.06,-0.51,-36.01,-14.25,15.34,-1.00
613.00,-6.98,-1.92,11.39,0.78,1.06,-0.51,-36.01,-14.25,15.34,-1.00
625.00,-6.32,0.02,7.87,-1.19,1.54,-0.25,-36.01,-14.25,15.34,-1.00
637.00,-6.32,0.02,7.87,-1.19,1.54,-0.25,-36.01,-14.25,15.34,-1.00
651.00,-7.22,0.88,10.61,-2.16,1.83,-0.39,-36.01,-14.25,15.34,-1.00
663.00,-7.25,1.42,10.43,-4.26,2.58,-0.50,-36.01,-14.25,15.34,-1.00
675.00,-7.25,1.42,10.43,-4.26,2.58,-0.50,-36.01,-14.25,15.34,-1.00
687.00,-7.92,1.94,6.34,-6.17,2.94,-0.31,-36.01,-14.25,15.34,-1.00
701.00,-8.02,2.26,1.67,-6.30,2.29,-0.23,-37.53,-19.80,11.24,-1.00
713.00,-8.02,2.26,1.67,-6.30,2.29,-0.23,-37.53,-19.80,11.24,-1.00
725.00,-7.07,-1.14,3.43,-3.67,1.37,-0.37,-37.53,-19.80,11.24,-1.00
