time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
222.00,0.06,5.85,-8.05,0.72,0.77,-1.13,11.86,33.73,-20.67,-1.00
234.00,-0.35,6.68,-7.47,0.73,0.56,-0.85,11.86,33.73,-20.67,-1.00
246.00,-0.35,6.68,-7.47,0.73,0.56,-0.85,11.86,33.73,-20.67,-1.00
258.00,-0.44,6.50,-7.49,0.73,0.56,-0.86,11.86,33.73,-20.67,-1.00
271.00,-0.28,6.30,-7.68,0.73,0.78,-1.13,10.76,32.30,-22.06,-1.00
283.00,-0.28,6.30,-7.68,0.73,0.78,-1.13,10.76,32.30,-22.06,-1.00
295.00,-0.28,6.31,-7.69,0.72,0.97,-1.36,10.76,32.30,-22.06,-1.00
307.00,-0.28,6.31,-7.69,0.72,0.97,-1.36,10.76,32.30,-22.06,-1.00
320.00,-0.04,6.15,-7.76,0.73,1.01,-1.43,10.76,32.30,-22.06,-1.00
332.00,-0.25,6.26,-7.67,0.73,0.75,-1.07,10.76,32.30,-22.06,-1.00
344.00,-0.25,6.26,-7.67,0.73,0.75,-1.07,10.76,32.30,-22.06,-1.00
356.00,-0.03,7.22,-8.28,0.78,0.77,-0.88,10.76,32.30,-22.06,-1.00
369.00,-0.32,7.44,-8.54,1.78,0.92,-1.03,10.76,32.30,-22.06,-1.00
381.00,-0.32,7.44,-8.54,1.78,0.92,-1.03,10.76,32.30,-22.06,-1.00
393.00,-0.01,4.99,-7.52,2.78,1.02,-1.37,12.95,30.41,-22.68,-1.00
406.00,-0.01,4.99,-7.52,2.78,1.02,-1.37,12.95,30.41,-22.68,-1.00
418.00,-0.15,4.41,-7.71,2.05,1.06,-1.34,12.95,30.41,-22.68,-1.00
430.00,-0.23,5.05,-8.10,1.08,1.08,-1.21,12.95,30.41,-22.68,-1.00
442.00,-0.23,5.05,-8.10,1.08,1.08,-1.21,12.95,30.41,-22.68,-1.00
455.00,-0.08,4.87,-9.54,0.94,1.11,-1.14,12.95,30.41,-22.68,-1.00
467.00,-0.08,4.87,-9.54,0.94,1.11,-1.14,12.95,30.41,-22.68,-1.00
479.00,0.49,5.04,-8.17,1.50,0.85,-0.93,12.95,30.41,-22.68,-1.00
491.00,-0.14,7.51,-7.59,1.47,0.75,-0.85,12.95,30.41,-22.68,-1.00
504.00,-0.14,7.51,-7.59,1.47,0.75,-0.85,12.95,30.41,-22.68,-1.00
516.00,-0.29,5.59,-7.96,1.96,0.97,-1.19,12.95,30.41,-22.68,-1.00
528.00,0.25,5.12,-10.25,2.40,1.22,-1.33,15.37,28.67,-26.56,-1.00
540.00,0.25,5.12,-10.25,2.40,1.22,-1.33,15.37,28.67,-26.56,-1.00
553.00,0.50,3.71,-11.95,3.46,1.33,-1.18,15.37,28.67,-26.56,-1.00
565.00,0.50,3.71,-11.95,3.46,1.33,-1.18,15.37,28.67,-26.56,-1.00
577.00,-0.05,5.19,-11.72,3.94,0.98,-1.00,15.37,28.67,-26.56,-1.00
589.00,-0.52,4.76,-10.32,3.81,0.54,-1.28,15.37,28.67,-26.56,-1.00
602.00,-0.52,4.76,-10.32,3.81,0.54,-1.28,15.37,28.67,-26.56,-1.00
614.00,-0.18,3.11,-11.53,2.97,0.33,-1.50,15.37,28.67,-26.56,-1.00
626.00,-0.18,3.11,-11.53,2.97,0.33,-1.50,15.37,28.67,-26.56,-1.00
638.00,-0.06,3.93,-11.38,2.38,0.16,-1.50,15.37,28.67,-26.56,-1.00
651.00,-0.59,4.19,-11.51,3.00,0.28,-1.77,14.93,18.56,-33.39,-1.00
663.00,-0.59,4.19,-11.51,3.00,0.28,-1.77,14.93,18.56,-33.39,-1.00
675.00,-0.20,2.44,-13.12,4.52,0.36,-2.09,14.93,18.56,-33.39,-1.00
