time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.19,6.24,-7.72,0.73,0.93,-1.32,9.44,34.20,-20.20,-1.00
13.00,-0.17,6.24,-7.73,0.73,0.93,-1.31,9.44,34.20,-20.20,-1.00
25.00,-0.19,6.22,-7.72,0.72,0.93,-1.31,9.44,34.20,-20.20,-1.00
37.00,-0.19,6.22,-7.72,0.72,0.93,-1.31,9.44,34.20,-20.20,-1.00
98.00,-0.24,6.23,-7.71,0.73,0.93,-1.32,9.44,34.20,-20.20,-1.00
110.00,-0.21,6.25,-7.71,0.73,0.93,-1.31,9.66,32.78,-20.36,-1.00
122.00,-0.21,6.25,-7.71,0.73,0.93,-1.31,9.66,32.78,-20.36,-1.00
134.00,-0.20,6.24,-7.73,0.73,0.93,-1.32,9.66,32.78,-20.36,-1.00
148.00,-0.18,6.23,-7.72,0.73,0.93,-1.31,9.66,32.78,-20.36,-1.00
161.00,-0.18,6.23,-7.72,0.73,0.93,-1.31,9.66,32.78,-20.36,-1.00
173.00,-0.20,6.21,-7.72,0.72,0.93,-1.31,9.66,32.78,-20.36,-1.00
185.00,-0.20,6.21,-7.71,0.73,0.93,-1.32,9.66,32.78,-20.36,-1.00
199.00,-0.20,6.21,-7.71,0.73,0.93,-1.32,9.66,32.78,-20.36,-1.00
211.00,-0.22,6.21,-7.71,0.73,0.93,-1.32,9.66,32.78,-20.36,-1.00
223.00,-0.22,6.21,-7.71,0.73,0.93,-1.32,9.66,32.78,-20.36,-1.00
237.00,-0.23,6.23,-7.75,0.73,0.93,-1.31,8.78,34.67,-20.98,-1.00
249.00,-0.22,6.22,-7.74,0.73,0.93,-1.31,8.78,34.67,-20.98,-1.00
261.00,-0.22,6.22,-7.74,0.73,0.93,-1.31,8.78,34.67,-20.98,-1.00
273.00,-0.20,6.23,-7.72,0.73,0.93,-1.31,8.78,34.67,-20.98,-1.00
288.00,-0.19,6.24,-7.69,0.73,0.93,-1.32,8.78,34.67,-20.98,-1.00
299.00,-0.19,6.24,-7.69,0.73,0.93,-1.32,8.78,34.67,-20.98,-1.00
311.00,-0.20,6.23,-7.72,0.72,0.93,-1.32,8.78,34.67,-20.98,-1.00
323.00,-0.20,6.23,-7.72,0.72,0.93,-1.32,8.78,34.67,-20.98,-1.00
337.00,-0.20,6.22,-7.75,0.73,0.93,-1.31,8.78,34.67,-20.98,-1.00
349.00,-0.23,6.21,-7.74,0.73,0.93,-1.32,8.78,34.67,-20.98,-1.00
361.00,-0.23,6.21,-7.74,0.73,0.93,-1.32,8.78,34.67,-20.98,-1.00
373.00,-0.22,6.23,-7.74,0.73,0.93,-1.31,10.10,33.09,-20.98,-1.00
387.00,-0.21,6.23,-7.72,0.73,0.93,-1.31,10.10,33.09,-20.98,-1.00
399.00,-0.21,6.23,-7.72,0.73,0.93,-1.31,10.10,33.09,-20.98,-1.00
411.00,-0.21,6.25,-7.70,0.73,0.93,-1.31,10.10,33.09,-20.98,-1.00
423.00,-0.21,6.25,-7.70,0.73,0.93,-1.31,10.10,33.09,-20.98,-1.00
438.00,-0.20,6.23,-7.72,0.73,0.93,-1.32,10.10,33.09,-20.98,-1.00
449.00,-0.21,6.23,-7.71,0.73,0.93,-1.32,10.10,33.09,-20.98,-1.00
461.00,-0.21,6.23,-7.71,0.73,0.93,-1.32,10.10,33.09,-20.98,-1.00
473.00,-0.23,6.22,-7.70,0.73,0.93,-1.31,10.10,33.09,-20.98,-1.00
487.00,-0.19,6.22,-7.72,0.73,0.93,-1.32,9.88,33.88,-20.51,-1.00
499.00,-0.19,6.22,-7.72,0.73,0.93,-1.32,9.88,33.88,-20.51,-1.00
