time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.22,6.11,-7.82,-1.46,0.77,-1.41,7.88,27.88,-24.70,-1.00
13.00,-0.20,6.14,-7.82,-1.46,0.77,-1.41,9.21,27.72,-24.52,-1.00
25.00,-0.20,6.14,-7.82,-1.46,0.77,-1.41,9.21,27.72,-24.52,-1.00
37.00,-0.19,6.15,-7.78,-1.46,0.77,-1.41,9.21,27.72,-24.52,-1.00
99.00,-0.27,6.14,-7.79,-1.46,0.77,-1.41,9.21,27.72,-24.52,-1.00
110.00,-0.27,6.12,-7.79,-1.46,0.77,-1.41,9.21,27.72,-24.52,-1.00
122.00,-0.27,6.12,-7.79,-1.46,0.77,-1.41,9.21,27.72,-24.52,-1.00
136.00,-0.23,6.12,-7.80,-1.46,0.77,-1.41,9.21,27.72,-24.52,-1.00
148.00,-0.23,6.12,-7.80,-1.46,0.77,-1.41,9.21,27.72,-24.52,-1.00
160.00,-0.20,6.12,-7.80,-1.46,0.77,-1.41,10.16,29.14,-24.34,-1.00
172.00,-0.19,6.14,-7.78,-1.46,0.77,-1.41,10.16,29.14,-24.34,-1.00
187.00,-0.19,6.14,-7.78,-1.46,0.77,-1.41,10.16,29.14,-24.34,-1.00
274.00,-0.23,6.15,-7.79,-1.46,0.77,-1.41,9.97,27.09,-23.82,-1.00
362.00,-0.25,6.13,-7.81,-1.46,0.77,-1.41,9.97,27.09,-23.82,-1.00
450.00,-0.22,6.13,-7.78,-1.46,0.77,-1.41,9.59,26.46,-23.82,-1.00
464.00,-0.22,6.13,-7.78,-1.46,0.77,-1.41,9.59,26.46,-23.82,-1.00
475.00,-0.21,6.13,-7.79,-1.46,0.77,-1.41,9.59,26.46,-23.82,-1.00
487.00,-0.21,6.13,-7.79,-1.46,0.77,-1.41,9.59,26.46,-23.82,-1.00
499.00,-0.23,6.14,-7.76,-1.46,0.77,-1.41,9.59,26.46,-23.82,-1.00
513.00,-0.26,6.16,-7.77,-1.46,0.77,-1.41,9.59,26.77,-24.17,-1.00
525.00,-0.26,6.16,-7.77,-1.46,0.77,-1.41,9.59,26.77,-24.17,-1.00
537.00,-0.25,6.14,-7.78,-1.46,0.77,-1.41,9.59,26.77,-24.17,-1.00
549.00,-0.23,6.14,-7.78,-1.46,0.77,-1.41,9.59,26.77,-24.17,-1.00
563.00,-0.23,6.14,-7.78,-1.46,0.77,-1.41,9.59,26.77,-24.17,-1.00
575.00,-0.21,6.14,-7.77,-1.46,0.77,-1.41,9.59,26.77,-24.17,-1.00
587.00,-0.21,6.14,-7.77,-1.46,0.77,-1.41,9.59,26.77,-24.17,-1.00
599.00,-0.20,6.14,-7.80,-1.46,0.77,-1.41,9.59,26.77,-24.17,-1.00
