time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.20,6.23,-7.71,-1.46,0.77,-1.41,10.35,30.56,-24.52,-1.00
13.00,-0.20,6.23,-7.71,-1.46,0.77,-1.41,10.35,30.56,-24.52,-1.00
25.00,-0.20,6.25,-7.71,-1.46,0.77,-1.41,10.35,30.56,-24.52,-1.00
37.00,-0.20,6.21,-7.72,-1.46,0.77,-1.41,9.59,29.30,-25.58,-1.00
101.00,-0.21,6.27,-7.70,-1.46,0.77,-1.41,9.59,29.30,-25.58,-1.00
113.00,-0.21,6.27,-7.70,-1.46,0.77,-1.41,9.59,29.30,-25.58,-1.00
125.00,-0.20,6.25,-7.69,-1.46,0.77,-1.41,9.59,29.30,-25.58,-1.00
139.00,-0.21,6.25,-7.71,-1.46,0.77,-1.41,9.59,29.30,-25.58,-1.00
151.00,-0.21,6.25,-7.71,-1.46,0.77,-1.41,9.59,29.30,-25.58,-1.00
163.00,-0.21,6.21,-7.72,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
175.00,-0.21,6.21,-7.72,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
189.00,-0.23,6.21,-7.73,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
201.00,-0.22,6.23,-7.70,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
213.00,-0.22,6.23,-7.70,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
225.00,-0.21,6.25,-7.68,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
240.00,-0.20,6.26,-7.68,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
251.00,-0.20,6.26,-7.68,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
263.00,-0.20,6.23,-7.67,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
275.00,-0.20,6.23,-7.67,-1.46,0.77,-1.41,8.83,30.24,-24.52,-1.00
289.00,-0.22,6.23,-7.72,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
301.00,-0.21,6.22,-7.75,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
313.00,-0.21,6.22,-7.75,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
325.00,-0.20,6.23,-7.70,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
339.00,-0.19,6.25,-7.69,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
351.00,-0.19,6.25,-7.69,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
363.00,-0.20,6.25,-7.69,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
375.00,-0.20,6.25,-7.69,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
390.00,-0.21,6.23,-7.70,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
401.00,-0.22,6.23,-7.70,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
413.00,-0.22,6.23,-7.70,-1.46,0.77,-1.41,8.83,28.03,-24.52,-1.00
425.00,-0.22,6.23,-7.71,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
439.00,-0.19,6.24,-7.71,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
451.00,-0.19,6.24,-7.71,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
463.00,-0.20,6.25,-7.70,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
475.00,-0.20,6.25,-7.70,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
489.00,-0.21,6.23,-7.70,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
501.00,-0.19,6.22,-7.70,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
513.00,-0.19,6.22,-7.70,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
527.00,-0.20,6.22,-7.69,-1.46,0.77,-1.41,9.40,30.09,-24.70,-1.00
539.00,-0.21,6.25,-7.69,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
551.00,-0.21,6.25,-7.69,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
563.00,-0.21,6.24,-7.69,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
577.00,-0.21,6.23,-7.70,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
589.00,-0.21,6.23,-7.70,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
601.00,-0.20,6.21,-7.71,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
613.00,-0.20,6.21,-7.71,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
627.00,-0.19,6.22,-7.72,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
639.00,-0.20,6.23,-7.72,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
651.00,-0.20,6.23,-7.72,-1.46,0.77,-1.41,8.26,29.14,-23.99,-1.00
663.00,-0.22,6.27,-7.70,-1.46,0.77,-1.41,9.40,29.14,-22.94,-1.00
677.00,-0.22,6.26,-7.69,-1.46,0.77,-1.41,9.40,29.14,-22.94,-1.00
690.00,-0.22,6.26,-7.69,-1.46,0.77,-1.41,9.40,29.14,-22.94,-1.00
701.00,-0.23,6.26,-7.70,-1.46,0.77,-1.41,9.40,29.14,-22.94,-1.00
713.00,-0.23,6.26,-7.70,-1.46,0.77,-1.41,9.40,29.14,-22.94,-1.00
727.00,-0.22,6.24,-7.72,-1.46,0.78,-1.41,9.40,29.14,-22.94,-1.00
739.00,-0.21,6.22,-7.70,-1.46,0.77,-1.41,9.40,29.14,-22.94,-1.00
751.00,-0.21,6.22,-7.70,-1.46,0.77,-1.41,9.40,29.14,-22.94,-1.00
763.00,-0.20,6.21,-7.73,-1.46,0.77,-1.41,9.40,29.14,-22.94,-1.00
777.00,-0.19,6.22,-7.73,-1.46,0.77,-1.41,8.64,30.72,-24.70,-1.00
789.00,-0.19,6.22,-7.73,-1.46,0.77,-1.41,8.64,30.72,-24.70,-1.00
801.00,-0.19,6.23,-7.70,-1.46,0.77,-1.41,8.64,30.72,-24.70,-1.00
813.00,-0.19,6.23,-7.70,-1.46,0.77,-1.41,8.64,30.72,-24.70,-1.00
827.00,-0.22,6.22,-7.72,-1.46,0.77,-1.41,8.64,30.72,-24.70,-1.00
839.00,-0.22,6.23,-7.70,-1.46,0.77,-1.41,8.64,30.72,-24.70,-1.00
851.00,-0.22,6.23,-7.70,-1.46,0.77,-1.41,8.64,30.72,-24.70,-1.00
863.00,-0.22,6.24,-7.70,-1.46,0.77,-1.41,8.64,30.72,-24.70,-1.00
