time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
229.00,-0.22,6.26,-7.67,-0.14,0.11,-0.19,17.64,28.78,3.30,-1.00
241.00,-0.22,6.26,-7.71,-0.15,0.11,-0.19,17.42,28.89,4.90,-1.00
253.00,-0.22,6.26,-7.71,-0.15,0.11,-0.19,17.42,28.89,4.90,-1.00
265.00,-0.23,6.27,-7.68,-0.15,0.11,-0.19,17.42,28.89,4.90,-1.00
278.00,-0.24,6.29,-7.68,-0.14,0.11,-0.19,17.42,28.89,4.90,-1.00
290.00,-0.24,6.29,-7.68,-0.14,0.11,-0.19,17.42,28.89,4.90,-1.00
302.00,-0.25,6.27,-7.70,-0.15,0.11,-0.19,17.42,28.89,4.90,-1.00
314.00,-0.25,6.27,-7.70,-0.15,0.11,-0.19,17.42,28.89,4.90,-1.00
328.00,-0.23,6.28,-7.68,-0.15,0.11,-0.19,17.42,28.89,4.90,-1.00
339.00,-0.22,6.28,-7.66,-0.15,0.11,-0.19,17.42,28.89,4.90,-1.00
351.00,-0.22,6.28,-7.66,-0.15,0.11,-0.19,17.42,28.89,4.90,-1.00
363.00,-0.22,6.27,-7.68,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
376.00,-0.23,6.28,-7.69,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
388.00,-0.23,6.28,-7.69,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
400.00,-0.22,6.27,-7.70,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
412.00,-0.22,6.27,-7.70,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
425.00,-0.24,6.28,-7.71,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
437.00,-0.23,6.28,-7.67,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
449.00,-0.23,6.28,-7.67,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
461.00,-0.22,6.28,-7.67,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
474.00,-0.22,6.28,-7.67,-0.15,0.11,-0.19,17.20,28.54,3.75,-1.00
486.00,-0.23,6.28,-7.70,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
498.00,-0.23,6.28,-7.69,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
514.00,-0.23,6.28,-7.69,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
525.00,-0.25,6.28,-7.70,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
537.00,-0.24,6.28,-7.70,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
549.00,-0.24,6.28,-7.70,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
562.00,-0.23,6.28,-7.68,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
574.00,-0.23,6.28,-7.68,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
586.00,-0.23,6.28,-7.68,-0.15,0.11,-0.19,16.08,29.37,2.61,-1.00
598.00,-0.23,6.28,-7.67,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
611.00,-0.23,6.28,-7.67,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
623.00,-0.23,6.28,-7.69,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
636.00,-0.21,6.28,-7.69,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
648.00,-0.21,6.28,-7.69,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
661.00,-0.22,6.29,-7.70,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
673.00,-0.22,6.29,-7.70,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
685.00,-0.22,6.29,-7.69,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
697.00,-0.23,6.28,-7.68,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
710.00,-0.23,6.28,-7.68,-0.15,0.11,-0.19,17.87,28.89,4.44,-1.00
722.00,-0.21,6.29,-7.71,-0.14,0.11,-0.19,17.87,28.89,4.44,-1.00
