time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.24,6.27,-7.70,-0.15,0.11,-0.19,18.98,29.01,6.95,-1.00
13.00,-0.23,6.25,-7.70,-0.15,0.11,-0.19,18.98,29.01,6.95,-1.00
25.00,-0.23,6.25,-7.70,-0.15,0.11,-0.19,18.98,29.01,6.95,-1.00
37.00,-0.21,6.29,-7.70,-0.15,0.11,-0.19,18.98,29.01,6.95,-1.00
98.00,-0.23,6.26,-7.69,-0.15,0.11,-0.19,19.88,29.25,3.75,-1.00
110.00,-0.23,6.26,-7.69,-0.15,0.11,-0.19,19.88,29.25,3.75,-1.00
122.00,-0.24,6.25,-7.70,-0.15,0.11,-0.19,19.88,29.25,3.75,-1.00
134.00,-0.23,6.26,-7.69,-0.15,0.11,-0.19,19.88,29.25,3.75,-1.00
148.00,-0.23,6.26,-7.69,-0.15,0.11,-0.19,19.88,29.25,3.75,-1.00
160.00,-0.23,6.27,-7.70,-0.15,0.11,-0.19,19.88,29.25,3.75,-1.00
172.00,-0.23,6.27,-7.70,-0.15,0.11,-0.19,19.88,29.25,3.75,-1.00
187.00,-0.22,6.27,-7.70,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
200.00,-0.20,6.27,-7.72,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
212.00,-0.20,6.27,-7.72,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
224.00,-0.21,6.26,-7.72,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
238.00,-0.23,6.27,-7.70,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
250.00,-0.23,6.27,-7.70,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
262.00,-0.25,6.29,-7.67,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
274.00,-0.24,6.28,-7.68,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
288.00,-0.24,6.28,-7.68,-0.15,0.11,-0.19,19.88,29.01,3.30,-1.00
300.00,-0.23,6.26,-7.68,-0.15,0.11,-0.19,18.31,28.89,5.35,-1.00
312.00,-0.21,6.26,-7.70,-0.14,0.11,-0.19,18.31,28.89,5.35,-1.00
