time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
2.00,-0.35,-6.83,-7.24,0.43,-0.66,1.20,-11.85,-23.86,-13.21,-1.00
13.00,-0.35,-6.83,-7.24,0.43,-0.66,1.20,-11.85,-23.86,-13.21,-1.00
25.00,-0.32,-6.81,-7.29,0.40,-0.65,1.20,-11.85,-23.86,-13.21,-1.00
86.00,-0.38,-6.76,-7.36,0.39,-0.65,1.19,-10.93,-24.24,-12.85,-1.00
98.00,-0.38,-6.76,-7.36,0.39,-0.65,1.19,-10.93,-24.24,-12.85,-1.00
110.00,-0.38,-6.73,-7.36,0.40,-0.65,1.20,-10.93,-24.24,-12.85,-1.00
122.00,-0.41,-6.77,-7.30,0.41,-0.65,1.20,-10.93,-24.24,-12.85,-1.00
137.00,-0.41,-6.77,-7.30,0.41,-0.65,1.20,-10.93,-24.24,-12.85,-1.00
148.00,-0.40,-6.78,-7.32,0.41,-0.65,1.19,-10.93,-24.24,-12.85,-1.00
160.00,-0.37,-6.80,-7.26,0.42,-0.65,1.20,-10.93,-24.24,-12.85,-1.00
172.00,-0.37,-6.80,-7.26,0.42,-0.65,1.20,-10.93,-24.24,-12.85,-1.00
186.00,-0.35,-6.83,-7.24,0.42,-0.65,1.19,-10.93,-24.24,-12.85,-1.00
198.00,-0.35,-6.83,-7.24,0.42,-0.65,1.19,-10.93,-24.24,-12.85,-1.00
210.00,-0.31,-6.82,-7.30,0.41,-0.65,1.19,-11.70,-22.90,-12.66,-1.00
222.00,-0.34,-6.82,-7.25,0.42,-0.65,1.20,-11.70,-22.90,-12.66,-1.00
236.00,-0.34,-6.82,-7.25,0.42,-0.65,1.20,-11.70,-22.90,-12.66,-1.00
248.00,-0.34,-6.85,-7.23,0.41,-0.65,1.20,-11.70,-22.90,-12.66,-1.00
260.00,-0.37,-6.79,-7.31,0.39,-0.65,1.20,-11.70,-22.90,-12.66,-1.00
275.00,-0.37,-6.79,-7.31,0.39,-0.65,1.20,-11.70,-22.90,-12.66,-1.00
286.00,-0.40,-6.79,-7.27,0.40,-0.65,1.20,-11.70,-22.90,-12.66,-1.00
298.00,-0.40,-6.79,-7.27,0.40,-0.65,1.20,-11.70,-22.90,-12.66,-1.00
310.00,-0.41,-6.80,-7.30,0.39,-0.65,1.19,-11.70,-22.90,-12.66,-1.00
325.00,-0.41,-6.78,-7.33,0.39,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
337.00,-0.41,-6.78,-7.33,0.39,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
349.00,-0.41,-6.82,-7.31,0.41,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
361.00,-0.38,-6.81,-7.29,0.40,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
375.00,-0.38,-6.81,-7.29,0.40,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
387.00,-0.35,-6.79,-7.25,0.41,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
399.00,-0.35,-6.79,-7.25,0.41,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
413.00,-0.36,-6.83,-7.23,0.41,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
425.00,-0.34,-6.83,-7.27,0.40,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
437.00,-0.34,-6.83,-7.27,0.40,-0.65,1.19,-11.24,-24.24,-12.85,-1.00
449.00,-0.35,-6.83,-7.27,0.40,-0.65,1.20,-11.85,-22.71,-14.67,-1.00
463.00,-0.38,-6.85,-7.22,0.41,-0.65,1.20,-11.85,-22.71,-14.67,-1.00
475.00,-0.38,-6.85,-7.22,0.41,-0.65,1.20,-11.85,-22.71,-14.67,-1.00
487.00,-0.40,-6.84,-7.24,0.40,-0.65,1.20,-11.85,-22.71,-14.67,-1.00
499.00,-0.40,-6.84,-7.24,0.40,-0.65,1.20,-11.85,-22.71,-14.67,-1.00
513.00,-0.41,-6.84,-7.25,0.39,-0.65,1.19,-11.85,-22.71,-14.67,-1.00
525.00,-0.42,-6.83,-7.26,0.40,-0.65,1.19,-11.85,-22.71,-14.67,-1.00
537.00,-0.42,-6.83,-7.26,0.40,-0.65,1.19,-11.85,-22.71,-14.67,-1.00
549.00,-0.41,-6.80,-7.28,0.39,-0.65,1.19,-11.85,-22.71,-14.67,-1.00
563.00,-0.38,-6.80,-7.27,0.40,-0.65,1.19,-11.85,-22.71,-14.67,-1.00
575.00,-0.38,-6.80,-7.27,0.40,-0.65,1.19,-11.85,-22.71,-14.67,-1.00
587.00,-0.37,-6.80,-7.27,0.40,-0.65,1.19,-10.78,-24.81,-13.03,-1.00
601.00,-0.36,-6.81,-7.26,0.40,-0.65,1.19,-10.78,-24.81,-13.03,-1.00
613.00,-0.36,-6.81,-7.26,0.40,-0.65,1.19,-10.78,-24.81,-13.03,-1.00
625.00,-0.36,-6.85,-7.24,0.41,-0.65,1.19,-10.78,-24.81,-13.03,-1.00
637.00,-0.36,-6.85,-7.24,0.41,-0.65,1.19,-10.78,-24.81,-13.03,-1.00
651.00,-0.36,-6.87,-7.23,0.41,-0.65,1.19,-10.78,-24.81,-13.03,-1.00
663.00,-0.39,-6.86,-7.19,0.40,-0.65,1.19,-10.78,-24.81,-13.03,-1.00
675.00,-0.39,-6.86,-7.19,0.40,-0.65,1.19,-10.78,-24.81,-13.03,-1.00
687.00,-0.40,-6.88,-7.21,0.40,-0.65,1.20,-10.78,-24.81,-13.03,-1.00
702.00,-0.40,-6.86,-7.25,0.39,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
713.00,-0.40,-6.86,-7.25,0.39,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
725.00,-0.39,-6.83,-7.26,0.39,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
739.00,-0.39,-6.83,-7.26,0.39,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
751.00,-0.38,-6.82,-7.26,0.39,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
763.00,-0.39,-6.81,-7.28,0.39,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
775.00,-0.39,-6.81,-7.28,0.39,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
789.00,-0.38,-6.81,-7.27,0.39,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
801.00,-0.38,-6.84,-7.25,0.40,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
813.00,-0.38,-6.84,-7.25,0.40,-0.65,1.19,-10.47,-24.05,-13.39,-1.00
825.00,-0.39,-6.85,-7.26,0.40,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
839.00,-0.39,-6.85,-7.26,0.40,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
851.00,-0.40,-6.86,-7.21,0.41,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
863.00,-0.41,-6.88,-7.18,0.41,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
875.00,-0.41,-6.88,-7.18,0.41,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
889.00,-0.39,-6.88,-7.23,0.40,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
901.00,-0.37,-6.86,-7.20,0.39,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
913.00,-0.37,-6.86,-7.20,0.39,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
927.00,-0.38,-6.86,-7.21,0.39,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
939.00,-0.38,-6.86,-7.21,0.39,-0.65,1.19,-10.78,-24.43,-11.94,-1.00
951.00,-0.38,-6.83,-7.26,0.38,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
963.00,-0.38,-6.82,-7.25,0.39,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
977.00,-0.38,-6.82,-7.25,0.39,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
989.00,-0.40,-6.83,-7.25,0.39,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
1001.00,-0.41,-6.84,-7.23,0.39,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
1013.00,-0.41,-6.84,-7.23,0.39,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
1028.00,-0.41,-6.84,-7.23,0.40,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
1039.00,-0.41,-6.84,-7.23,0.40,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
1051.00,-0.40,-6.87,-7.21,0.40,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
1065.00,-0.39,-6.88,-7.19,0.40,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
1077.00,-0.39,-6.88,-7.19,0.40,-0.65,1.19,-11.85,-25.39,-12.48,-1.00
1089.00,-0.39,-6.88,-7.21,0.40,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1101.00,-0.37,-6.88,-7.21,0.40,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1115.00,-0.37,-6.88,-7.21,0.40,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1127.00,-0.37,-6.85,-7.22,0.39,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1139.00,-0.37,-6.85,-7.22,0.39,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1151.00,-0.39,-6.85,-7.21,0.39,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1165.00,-0.40,-6.85,-7.22,0.39,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1177.00,-0.40,-6.85,-7.22,0.39,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1189.00,-0.42,-6.84,-7.25,0.39,-0.65,1.19,-11.39,-25.20,-11.94,-1.00
1203.00,-0.43,-6.85,-7.26,0.39,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1215.00,-0.43,-6.85,-7.26,0.39,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1227.00,-0.45,-6.85,-7.25,0.40,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1239.00,-0.45,-6.85,-7.25,0.40,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1253.00,-0.41,-6.86,-7.22,0.40,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1265.00,-0.40,-6.88,-7.19,0.40,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1277.00,-0.40,-6.88,-7.19,0.40,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1289.00,-0.39,-6.85,-7.22,0.40,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1304.00,-0.38,-6.90,-7.18,0.40,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1315.00,-0.38,-6.90,-7.18,0.40,-0.65,1.19,-11.39,-25.58,-13.03,-1.00
1327.00,-0.37,-6.86,-7.21,0.39,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1342.00,-0.40,-6.87,-7.20,0.40,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1353.00,-0.40,-6.87,-7.20,0.40,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1365.00,-0.41,-6.87,-7.19,0.39,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1377.00,-0.41,-6.87,-7.19,0.39,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1391.00,-0.42,-6.86,-7.25,0.38,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1403.00,-0.43,-6.86,-7.24,0.39,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1415.00,-0.43,-6.86,-7.24,0.39,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1427.00,-0.42,-6.86,-7.19,0.40,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1441.00,-0.41,-6.86,-7.25,0.39,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1453.00,-0.41,-6.86,-7.25,0.39,-0.65,1.19,-11.55,-25.39,-13.21,-1.00
1465.00,-0.39,-6.85,-7.22,0.40,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1479.00,-0.39,-6.85,-7.22,0.40,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1491.00,-0.38,-6.88,-7.20,0.40,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1503.00,-0.39,-6.87,-7.19,0.39,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1515.00,-0.39,-6.87,-7.19,0.39,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1529.00,-0.39,-6.90,-7.17,0.40,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1541.00,-0.41,-6.89,-7.16,0.40,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1553.00,-0.41,-6.89,-7.16,0.40,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1567.00,-0.42,-6.87,-7.19,0.39,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1579.00,-0.42,-6.87,-7.19,0.39,-0.65,1.19,-11.85,-24.24,-11.03,-1.00
1591.00,-0.43,-6.88,-7.17,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1603.00,-0.42,-6.87,-7.21,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1618.00,-0.42,-6.87,-7.21,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1629.00,-0.40,-6.86,-7.21,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1641.00,-0.40,-6.86,-7.22,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1653.00,-0.40,-6.86,-7.22,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1667.00,-0.40,-6.86,-7.21,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1679.00,-0.40,-6.86,-7.21,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1691.00,-0.38,-6.85,-7.22,0.39,-0.65,1.19,-10.78,-24.05,-12.30,-1.00
1705.00,-0.41,-6.89,-7.20,0.40,-0.65,1.19,-12.16,-25.01,-11.39,-1.00
1717.00,-0.41,-6.89,-7.20,0.40,-0.65,1.19,-12.16,-25.01,-11.39,-1.00
1729.00,-0.41,-6.90,-7.18,0.39,-0.65,1.19,-12.16,-25.01,-11.39,-1.00
1741.00,-0.42,-6.89,-7.19,0.40,-0.65,1.19,-12.16,-25.01,-11.39,-1.00
1755.00,-0.42,-6.89,-7.19,0.40,-0.65,1.19,-12.16,-25.01,-11.39,-1.00
1767.00,-0.42,-6.90,-7.18,0.40,-0.65,1.19,-12.16,-25.01,-11.39,-1.00
