time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.18,6.69,-7.61,-0.01,-1.21,0.95,-11.00,49.08,-0.62,-1.00
13.00,-0.18,6.69,-7.61,-0.01,-1.21,0.95,-11.00,49.08,-0.62,-1.00
25.00,-0.24,6.71,-7.62,-0.00,-1.21,0.95,-11.00,49.08,-0.62,-1.00
37.00,-0.28,6.63,-7.67,0.02,-1.21,0.96,-10.58,48.90,0.04,-1.00
100.00,-0.24,6.66,-7.61,0.01,-1.21,0.96,-10.58,48.90,0.04,-1.00
112.00,-0.24,6.66,-7.61,0.01,-1.21,0.96,-10.58,48.90,0.04,-1.00
124.00,-0.23,6.73,-7.57,-0.03,-1.21,0.95,-10.58,48.90,0.04,-1.00
138.00,-0.22,6.73,-7.58,0.02,-1.21,0.96,-10.58,48.90,0.04,-1.00
150.00,-0.22,6.73,-7.58,0.02,-1.21,0.96,-10.58,48.90,0.04,-1.00
162.00,-0.22,6.69,-7.61,0.01,-1.21,0.96,-10.58,48.90,1.83,-1.00
174.00,-0.24,6.71,-7.64,-0.01,-1.21,0.96,-10.58,48.90,1.83,-1.00
189.00,-0.24,6.71,-7.64,-0.01,-1.21,0.96,-10.58,48.90,1.83,-1.00
201.00,-0.27,6.67,-7.64,0.02,-1.21,0.96,-10.58,48.90,1.83,-1.00
213.00,-0.27,6.67,-7.64,0.02,-1.21,0.96,-10.58,48.90,1.83,-1.00
225.00,-0.23,6.69,-7.59,-0.01,-1.21,0.96,-10.58,48.90,1.83,-1.00
239.00,-0.20,6.70,-7.57,-0.01,-1.22,0.95,-10.58,48.90,1.83,-1.00
251.00,-0.20,6.70,-7.57,-0.01,-1.22,0.95,-10.58,48.90,1.83,-1.00
263.00,-0.19,6.73,-7.63,0.02,-1.22,0.95,-10.58,48.90,1.83,-1.00
275.00,-0.22,6.66,-7.65,0.02,-1.21,0.96,-10.58,48.90,1.83,-1.00
289.00,-0.22,6.66,-7.65,0.02,-1.21,0.96,-10.58,48.90,1.83,-1.00
301.00,-0.27,6.70,-7.62,-0.02,-1.21,0.95,-10.72,49.08,1.16,-1.00
313.00,-0.27,6.70,-7.62,-0.02,-1.21,0.95,-10.72,49.08,1.16,-1.00
