time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.29,6.22,-7.71,-0.55,-0.66,0.88,5.01,13.56,-28.13,-1.00
13.00,-0.23,6.21,-7.75,-0.55,-0.66,0.88,5.40,14.17,-28.49,-1.00
25.00,-0.23,6.21,-7.75,-0.55,-0.66,0.88,5.40,14.17,-28.49,-1.00
37.00,-0.20,6.21,-7.76,-0.55,-0.66,0.88,5.40,14.17,-28.49,-1.00
98.00,-0.28,6.23,-7.70,-0.55,-0.66,0.88,5.40,14.17,-28.49,-1.00
110.00,-0.28,6.23,-7.70,-0.55,-0.66,0.88,5.40,14.17,-28.49,-1.00
122.00,-0.28,6.24,-7.73,-0.55,-0.66,0.88,5.40,14.17,-28.49,-1.00
137.00,-0.26,6.22,-7.75,-0.55,-0.66,0.88,5.40,14.17,-28.49,-1.00
149.00,-0.26,6.22,-7.75,-0.55,-0.66,0.88,5.40,14.17,-28.49,-1.00
161.00,-0.23,6.20,-7.78,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
173.00,-0.24,6.20,-7.79,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
187.00,-0.24,6.20,-7.79,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
199.00,-0.23,6.21,-7.75,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
211.00,-0.23,6.21,-7.75,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
223.00,-0.30,6.21,-7.73,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
238.00,-0.31,6.25,-7.74,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
250.00,-0.31,6.25,-7.74,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
262.00,-0.28,6.25,-7.71,-0.55,-0.66,0.88,4.43,14.02,-29.39,-1.00
274.00,-0.23,6.22,-7.73,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
290.00,-0.23,6.22,-7.73,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
301.00,-0.21,6.23,-7.75,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
313.00,-0.22,6.21,-7.73,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
325.00,-0.22,6.21,-7.73,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
339.00,-0.26,6.22,-7.72,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
351.00,-0.26,6.22,-7.72,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
363.00,-0.31,6.23,-7.73,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
375.00,-0.29,6.24,-7.70,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
389.00,-0.29,6.24,-7.70,-0.55,-0.66,0.88,4.23,13.87,-28.13,-1.00
401.00,-0.26,6.24,-7.75,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
413.00,-0.22,6.21,-7.75,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
425.00,-0.22,6.21,-7.75,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
439.00,-0.22,6.21,-7.75,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
451.00,-0.22,6.21,-7.75,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
463.00,-0.25,6.22,-7.76,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
475.00,-0.29,6.22,-7.73,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
489.00,-0.29,6.22,-7.73,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
501.00,-0.30,6.24,-7.72,-0.55,-0.66,0.88,5.21,14.32,-28.67,-1.00
513.00,-0.28,6.23,-7.75,-0.55,-0.66,0.88,5.40,13.87,-28.49,-1.00
525.00,-0.28,6.23,-7.75,-0.55,-0.66,0.88,5.40,13.87,-28.49,-1.00
539.00,-0.24,6.22,-7.76,-0.55,-0.66,0.88,5.40,13.87,-28.49,-1.00
551.00,-0.24,6.22,-7.76,-0.55,-0.66,0.88,5.40,13.87,-28.49,-1.00
563.00,-0.23,6.22,-7.78,-0.55,-0.66,0.88,5.40,13.87,-28.49,-1.00
577.00,-0.24,6.21,-7.74,-0.55,-0.66,0.88,5.40,13.87,-28.49,-1.00
589.00,-0.24,6.21,-7.74,-0.55,-0.66,0.88,5.40,13.87,-28.49,-1.00
