time,ax,ay,az,gx,gy,gz,mx,my,mz
402,-0.44,6.34,-8.06,0.00,0.00,-0.00,-20.70,27.04,-26.62
412,-0.44,6.34,-8.06,0.00,0.00,-0.00,-20.70,27.04,-26.62
423,-0.42,6.34,-8.08,0.00,0.00,-0.00,-20.70,27.04,-26.62
434,-0.42,6.34,-8.08,0.00,0.00,-0.00,-20.70,27.04,-26.62
445,-0.42,6.31,-8.10,0.00,-0.00,-0.00,-20.70,27.04,-26.62
456,-0.42,6.31,-8.10,0.00,-0.00,-0.00,-20.70,27.04,-26.62
467,-0.42,6.31,-8.10,0.00,-0.00,-0.00,-21.46,26.69,-27.28
478,-0.42,6.31,-8.10,0.00,-0.00,-0.00,-21.46,26.69,-27.28
489,-0.44,6.34,-8.10,-0.00,-0.00,-0.00,-21.46,26.69,-27.28
500,-0.46,6.34,-8.09,-0.00,-0.00,-0.00,-21.46,26.69,-27.28
511,-0.46,6.34,-8.09,-0.00,-0.00,-0.00,-21.46,26.69,-27.28
522,-0.43,6.34,-8.10,0.00,-0.00,-0.00,-21.46,26.69,-27.28
533,-0.43,6.34,-8.10,0.00,-0.00,-0.00,-21.46,26.69,-27.28
544,-0.42,6.32,-8.09,0.00,-0.00,-0.00,-21.46,26.69,-27.28
555,-0.42,6.32,-8.09,0.00,-0.00,-0.00,-21.46,26.69,-27.28
566,-0.42,6.31,-8.10,0.00,-0.00,-0.00,-21.46,26.69,-27.28
577,-0.42,6.31,-8.10,0.00,-0.00,-0.00,-21.46,26.69,-27.28
588,-0.43,6.32,-8.10,0.00,-0.00,-0.00,-21.46,26.69,-27.28
599,-0.45,6.36,-8.09,0.00,-0.00,-0.00,-21.46,26.69,-27.28
614,-0.45,6.36,-8.09,0.00,-0.00,-0.00,-21.65,26.52,-28.10
621,-0.44,6.34,-8.08,0.00,-0.00,-0.00,-21.65,26.52,-28.10
632,-0.44,6.34,-8.08,0.00,-0.00,-0.00,-21.65,26.52,-28.10
643,-0.41,6.30,-8.11,0.00,-0.00,-0.00,-21.65,26.52,-28.10
654,-0.41,6.30,-8.11,0.00,-0.00,-0.00,-21.65,26.52,-28.10
665,-0.42,6.30,-8.10,0.00,-0.00,-0.00,-21.65,26.52,-28.10
676,-0.42,6.30,-8.10,0.00,-0.00,-0.00,-21.65,26.52,-28.10
687,-0.46,6.32,-8.09,-0.00,-0.00,-0.00,-21.65,26.52,-28.10
698,-0.46,6.32,-8.09,-0.00,-0.00,-0.00,-21.65,26.52,-28.10
709,-0.45,6.34,-8.05,-0.00,-0.00,-0.00,-21.65,26.52,-28.10
720,-0.42,6.34,-8.09,0.00,-0.00,-0.00,-21.08,26.69,-26.95
