time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.42,6.31,-8.07,0.00,-0.00,-0.00,-21.65,26.52,-27.11
411,-0.42,6.31,-8.07,0.00,-0.00,-0.00,-21.65,26.52,-27.11
422,-0.46,6.36,-8.06,-0.00,-0.00,-0.00,-21.65,26.52,-27.11
433,-0.49,6.37,-8.06,-0.00,-0.00,-0.00,-20.70,26.69,-26.29
444,-0.49,6.37,-8.06,-0.00,-0.00,-0.00,-20.70,26.69,-26.29
455,-0.48,6.34,-8.10,0.00,-0.00,-0.00,-20.70,26.69,-26.29
466,-0.48,6.34,-8.10,0.00,-0.00,-0.00,-20.70,26.69,-26.29
477,-0.44,6.30,-8.10,0.00,-0.00,-0.00,-20.70,26.69,-26.29
488,-0.44,6.30,-8.10,0.00,-0.00,-0.00,-20.70,26.69,-26.29
499,-0.41,6.31,-8.08,0.00,-0.00,-0.00,-20.70,26.69,-26.29
510,-0.41,6.31,-8.08,0.00,-0.00,-0.00,-20.70,26.69,-26.29
521,-0.47,6.37,-8.04,-0.00,-0.00,-0.00,-20.70,26.69,-26.29
532,-0.47,6.37,-8.04,-0.00,-0.00,-0.00,-20.70,26.69,-26.29
543,-0.51,6.41,-7.99,-0.00,-0.00,-0.00,-20.70,26.69,-26.29
554,-0.47,6.39,-8.01,-0.00,-0.00,-0.00,-21.84,25.99,-26.95
565,-0.47,6.39,-8.01,-0.00,-0.00,-0.00,-21.84,25.99,-26.95
576,-0.44,6.32,-8.10,0.01,0.00,-0.00,-21.84,25.99,-26.95
587,-0.44,6.32,-8.10,0.01,0.00,-0.00,-21.84,25.99,-26.95
598,-0.41,6.26,-8.09,0.00,-0.00,-0.00,-21.84,25.99,-26.95
609,-0.41,6.26,-8.09,0.00,-0.00,-0.00,-21.84,25.99,-26.95
620,-0.44,6.34,-8.03,-0.00,-0.00,-0.00,-21.84,25.99,-26.95
631,-0.44,6.34,-8.03,-0.00,-0.00,-0.00,-21.84,25.99,-26.95
642,-0.49,6.38,-8.04,-0.00,-0.00,-0.01,-21.84,25.99,-26.95
653,-0.51,6.34,-8.03,0.00,-0.00,-0.00,-21.84,25.99,-26.95
664,-0.51,6.34,-8.03,0.00,-0.00,-0.00,-21.84,25.99,-26.95
675,-0.50,6.31,-8.09,0.00,-0.00,-0.00,-21.46,25.65,-26.62
686,-0.50,6.31,-8.09,0.00,-0.00,-0.00,-21.46,25.65,-26.62
697,-0.38,6.36,-8.07,0.00,0.00,-0.00,-21.46,25.65,-26.62
708,-0.38,6.36,-8.07,0.00,0.00,-0.00,-21.46,25.65,-26.62
719,-0.40,6.35,-8.06,-0.00,-0.00,-0.00,-21.46,25.65,-26.62
731,-0.40,6.35,-8.06,-0.00,-0.00,-0.00,-21.46,25.65,-26.62
741,-0.49,6.29,-8.09,0.00,-0.00,-0.00,-21.46,25.65,-26.62
752,-0.49,6.29,-8.09,0.00,-0.00,-0.00,-21.46,25.65,-26.62
763,-0.50,6.38,-8.03,-0.00,-0.00,-0.01,-21.46,25.65,-26.62
774,-0.46,6.37,-8.03,-0.00,0.00,-0.00,-21.46,25.65,-26.62
785,-0.46,6.37,-8.03,-0.00,0.00,-0.00,-21.46,25.65,-26.62
796,-0.43,6.29,-8.09,0.01,0.00,-0.00,-21.46,25.65,-26.62
807,-0.43,6.29,-8.09,0.01,0.00,-0.00,-21.46,25.65,-26.62
818,-0.40,6.31,-8.11,0.00,-0.00,-0.00,-21.46,25.99,-26.29
829,-0.40,6.31,-8.11,0.00,-0.00,-0.00,-21.46,25.99,-26.29
840,-0.44,6.37,-8.05,-0.00,-0.00,-0.01,-21.46,25.99,-26.29
851,-0.44,6.37,-8.05,-0.00,-0.00,-0.01,-21.46,25.99,-26.29
862,-0.51,6.37,-8.04,0.00,-0.00,-0.00,-21.46,25.99,-26.29
873,-0.51,6.37,-8.04,0.00,-0.00,-0.00,-21.46,25.99,-26.29
884,-0.51,6.32,-8.07,0.00,0.00,-0.00,-21.46,25.99,-26.29
895,-0.43,6.33,-8.05,0.00,0.00,-0.00,-21.46,25.99,-26.29
906,-0.43,6.33,-8.05,0.00,0.00,-0.00,-21.46,25.99,-26.29
917,-0.39,6.33,-8.06,0.00,-0.00,-0.00,-21.46,25.99,-26.29
928,-0.39,6.33,-8.06,0.00,-0.00,-0.00,-21.46,25.99,-26.29
939,-0.44,6.33,-8.08,-0.00,-0.00,-0.00,-21.27,25.47,-26.78
950,-0.44,6.33,-8.08,-0.00,-0.00,-0.00,-21.27,25.47,-26.78
961,-0.50,6.37,-8.04,-0.00,-0.00,-0.01,-21.27,25.47,-26.78
972,-0.50,6.37,-8.04,-0.00,-0.00,-0.01,-21.27,25.47,-26.78
983,-0.50,6.35,-8.05,0.00,-0.00,-0.00,-21.27,25.47,-26.78
994,-0.45,6.31,-8.10,0.00,0.00,-0.00,-21.27,25.47,-26.78
1005,-0.45,6.31,-8.10,0.00,0.00,-0.00,-21.27,25.47,-26.78
1016,-0.41,6.34,-8.06,0.00,0.00,-0.00,-21.27,25.47,-26.78
1027,-0.41,6.34,-8.06,0.00,0.00,-0.00,-21.27,25.47,-26.78
1038,-0.43,6.35,-8.06,-0.00,-0.00,-0.00,-21.27,25.47,-26.78
1049,-0.43,6.35,-8.06,-0.00,-0.00,-0.00,-21.27,25.47,-26.78
1060,-0.49,6.34,-8.08,0.00,-0.00,-0.00,-21.08,27.39,-26.62
1071,-0.49,6.34,-8.08,0.00,-0.00,-0.00,-21.08,27.39,-26.62
1082,-0.49,6.34,-8.05,0.00,-0.00,-0.00,-21.08,27.39,-26.62
1093,-0.49,6.34,-8.05,0.00,-0.00,-0.00,-21.08,27.39,-26.62
1104,-0.44,6.34,-8.04,0.00,0.00,-0.00,-21.08,27.39,-26.62
1115,-0.41,6.30,-8.07,0.00,0.00,-0.00,-21.08,27.39,-26.62
1126,-0.41,6.30,-8.07,0.00,0.00,-0.00,-21.08,27.39,-26.62
1137,-0.45,6.32,-8.10,-0.00,-0.00,-0.00,-21.08,27.39,-26.62
1148,-0.45,6.32,-8.10,-0.00,-0.00,-0.00,-21.08,27.39,-26.62
1159,-0.47,6.38,-8.04,-0.00,-0.00,-0.01,-21.08,27.39,-26.62
1170,-0.47,6.38,-8.04,-0.00,-0.00,-0.01,-21.08,27.39,-26.62
1182,-0.50,6.34,-8.05,0.00,-0.00,-0.00,-21.08,27.39,-26.62
1192,-0.50,6.34,-8.05,0.00,-0.00,-0.00,-21.08,27.39,-26.62
1203,-0.47,6.30,-8.12,0.00,-0.00,-0.00,-22.97,26.69,-27.28
1214,-0.40,6.34,-8.07,0.00,0.00,-0.00,-22.97,26.69,-27.28
1225,-0.40,6.34,-8.07,0.00,0.00,-0.00,-22.97,26.69,-27.28
1236,-0.41,6.35,-8.05,0.00,-0.00,-0.00,-22.97,26.69,-27.28
1247,-0.41,6.35,-8.05,0.00,-0.00,-0.00,-22.97,26.69,-27.28
1258,-0.48,6.34,-8.08,-0.00,-0.00,-0.00,-22.97,26.69,-27.28
1269,-0.48,6.34,-8.08,-0.00,-0.00,-0.00,-22.97,26.69,-27.28
1280,-0.49,6.35,-8.07,0.00,-0.00,-0.01,-22.97,26.69,-27.28
1291,-0.49,6.35,-8.07,0.00,-0.00,-0.01,-22.97,26.69,-27.28
1302,-0.45,6.34,-8.06,0.00,0.00,-0.00,-22.97,26.69,-27.28
1313,-0.45,6.34,-8.06,0.00,0.00,-0.00,-22.97,26.69,-27.28
1324,-0.42,6.31,-8.13,0.00,0.00,-0.00,-21.08,25.99,-26.95
1335,-0.43,6.33,-8.08,0.00,-0.00,-0.00,-21.08,25.99,-26.95
1346,-0.43,6.33,-8.08,0.00,-0.00,-0.00,-21.08,25.99,-26.95
1357,-0.45,6.37,-8.05,-0.00,-0.00,-0.01,-21.08,25.99,-26.95
1368,-0.45,6.37,-8.05,-0.00,-0.00,-0.01,-21.08,25.99,-26.95
1379,-0.49,6.35,-8.05,-0.00,-0.00,-0.00,-21.08,25.99,-26.95
1390,-0.49,6.35,-8.05,-0.00,-0.00,-0.00,-21.08,25.99,-26.95
1401,-0.47,6.32,-8.06,0.00,-0.00,-0.00,-21.08,25.99,-26.95
1413,-0.47,6.32,-8.06,0.00,-0.00,-0.00,-21.08,25.99,-26.95
1423,-0.42,6.31,-8.08,0.00,-0.00,-0.00,-21.08,25.99,-26.95
1434,-0.42,6.34,-8.09,0.00,-0.00,-0.00,-20.33,25.99,-26.29
1445,-0.42,6.34,-8.09,0.00,-0.00,-0.00,-20.33,25.99,-26.29
1456,-0.46,6.35,-8.05,-0.00,-0.00,-0.00,-20.33,25.99,-26.29
1467,-0.46,6.35,-8.05,-0.00,-0.00,-0.00,-20.33,25.99,-26.29
1478,-0.50,6.35,-8.04,-0.00,-0.00,-0.00,-20.33,25.99,-26.29
1489,-0.50,6.35,-8.04,-0.00,-0.00,-0.00,-20.33,25.99,-26.29
1500,-0.48,6.32,-8.06,0.00,-0.00,-0.00,-20.33,25.99,-26.29
1511,-0.48,6.32,-8.06,0.00,-0.00,-0.00,-20.33,25.99,-26.29
1522,-0.44,6.30,-8.07,0.00,-0.00,-0.00,-20.33,25.99,-26.29
1533,-0.44,6.30,-8.07,0.00,-0.00,-0.00,-20.33,25.99,-26.29
