time,ax,ay,az,gx,gy,gz,mx,my,mz
402,-0.50,6.29,-8.08,0.01,0.00,0.00,-10.89,21.22,-30.46
412,-0.46,6.28,-8.10,0.01,0.00,0.00,-10.89,21.22,-30.46
423,-0.46,6.28,-8.10,0.01,0.00,0.00,-10.89,21.22,-30.46
434,-0.52,6.30,-8.07,0.00,-0.00,0.00,-10.89,21.22,-30.46
445,-0.52,6.30,-8.07,0.00,-0.00,0.00,-10.89,21.22,-30.46
456,-0.52,6.29,-8.11,0.01,0.00,0.00,-10.89,21.22,-30.46
467,-0.50,6.28,-8.08,0.01,0.00,0.00,-10.89,21.22,-30.46
478,-0.50,6.28,-8.08,0.01,0.00,0.00,-10.89,21.22,-30.46
489,-0.49,6.29,-8.09,0.01,0.00,0.00,-10.89,21.22,-30.46
500,-0.49,6.29,-8.09,0.01,0.00,0.00,-10.89,21.22,-30.46
511,-0.50,6.32,-8.11,0.00,0.00,0.00,-10.38,21.05,-31.41
522,-0.50,6.32,-8.11,0.00,0.00,0.00,-10.38,21.05,-31.41
533,-0.51,6.32,-8.08,0.00,0.00,0.00,-10.38,21.05,-31.41
544,-0.51,6.32,-8.08,0.00,0.00,0.00,-10.38,21.05,-31.41
555,-0.51,6.28,-8.11,0.01,0.01,0.01,-10.38,21.05,-31.41
566,-0.51,6.28,-8.11,0.01,0.01,0.01,-10.38,21.05,-31.41
577,-0.50,6.27,-8.12,0.01,0.00,0.00,-10.38,21.05,-31.41
588,-0.51,6.29,-8.10,0.01,0.00,0.00,-10.38,21.05,-31.41
599,-0.51,6.29,-8.10,0.01,0.00,0.00,-10.38,21.05,-31.41
610,-0.51,6.31,-8.07,0.00,0.00,0.00,-10.38,21.05,-31.41
621,-0.51,6.31,-8.07,0.00,0.00,0.00,-10.38,21.05,-31.41
632,-0.52,6.31,-8.07,0.00,0.00,0.00,-11.05,19.34,-31.79
643,-0.52,6.31,-8.07,0.00,0.00,0.00,-11.05,19.34,-31.79
654,-0.51,6.27,-8.11,0.01,0.00,0.01,-11.05,19.34,-31.79
665,-0.51,6.27,-8.11,0.01,0.00,0.01,-11.05,19.34,-31.79
676,-0.50,6.27,-8.12,0.01,0.00,0.00,-11.05,19.34,-31.79
687,-0.50,6.30,-8.12,0.00,0.00,0.00,-11.05,19.34,-31.79
698,-0.50,6.30,-8.12,0.00,0.00,0.00,-11.05,19.34,-31.79
709,-0.50,6.31,-8.09,0.00,0.00,0.00,-11.05,19.34,-31.79
720,-0.50,6.31,-8.09,0.00,0.00,0.00,-11.05,19.34,-31.79
731,-0.51,6.31,-8.07,0.00,0.00,0.00,-11.05,19.34,-31.79
742,-0.51,6.31,-8.07,0.00,0.00,0.00,-11.05,19.34,-31.79
753,-0.49,6.27,-8.11,0.01,0.00,0.00,-10.89,19.51,-30.46
764,-0.49,6.27,-8.11,0.01,0.00,0.00,-10.89,19.51,-30.46
775,-0.50,6.27,-8.13,0.01,0.00,0.00,-10.89,19.51,-30.46
786,-0.50,6.27,-8.13,0.01,0.00,0.00,-10.89,19.51,-30.46
797,-0.51,6.29,-8.10,0.00,0.00,0.00,-10.89,19.51,-30.46
808,-0.51,6.29,-8.08,0.00,0.00,0.00,-10.89,19.51,-30.46
819,-0.51,6.29,-8.08,0.00,0.00,0.00,-10.89,19.51,-30.46
830,-0.50,6.30,-8.09,0.00,0.00,0.00,-10.89,19.51,-30.46
841,-0.50,6.30,-8.09,0.00,0.00,0.00,-10.89,19.51,-30.46
852,-0.52,6.27,-8.10,0.01,0.00,0.00,-10.89,19.51,-30.46
863,-0.52,6.27,-8.10,0.01,0.00,0.00,-10.89,19.51,-30.46
874,-0.51,6.28,-8.11,0.01,0.00,0.00,-10.89,19.51,-30.46
885,-0.51,6.28,-8.11,0.01,0.00,0.00,-10.89,19.51,-30.46
896,-0.52,6.27,-8.14,0.00,0.00,0.00,-9.71,20.02,-31.03
907,-0.49,6.30,-8.09,0.00,0.00,0.00,-9.71,20.02,-31.03
918,-0.49,6.30,-8.09,0.00,0.00,0.00,-9.71,20.02,-31.03
929,-0.50,6.29,-8.08,0.00,0.00,0.00,-9.71,20.02,-31.03
940,-0.50,6.29,-8.08,0.00,0.00,0.00,-9.71,20.02,-31.03
951,-0.52,6.27,-8.11,0.01,0.00,0.00,-9.71,20.02,-31.03
963,-0.52,6.27,-8.11,0.01,0.00,0.00,-9.71,20.02,-31.03
973,-0.53,6.27,-8.11,0.01,0.00,0.00,-9.71,20.02,-31.03
984,-0.53,6.27,-8.11,0.01,0.00,0.00,-9.71,20.02,-31.03
995,-0.50,6.27,-8.08,0.00,0.00,0.00,-9.71,20.02,-31.03
1006,-0.50,6.27,-8.08,0.00,0.00,0.00,-9.71,20.02,-31.03
1017,-0.50,6.30,-8.13,0.00,0.00,0.00,-10.05,20.02,-31.41
1028,-0.50,6.29,-8.10,0.00,0.00,0.00,-10.05,20.02,-31.41
1039,-0.50,6.29,-8.10,0.00,0.00,0.00,-10.05,20.02,-31.41
1050,-0.52,6.28,-8.12,0.01,0.00,0.00,-10.05,20.02,-31.41
1061,-0.52,6.28,-8.12,0.01,0.00,0.00,-10.05,20.02,-31.41
1072,-0.51,6.26,-8.12,0.00,0.00,0.00,-10.05,20.02,-31.41
1083,-0.51,6.26,-8.12,0.00,0.00,0.00,-10.05,20.02,-31.41
1094,-0.49,6.27,-8.10,0.00,0.00,0.00,-10.05,20.02,-31.41
1105,-0.49,6.27,-8.10,0.00,0.00,0.00,-10.05,20.02,-31.41
1116,-0.49,6.28,-8.08,0.00,0.00,0.00,-10.05,20.02,-31.41
1127,-0.51,6.29,-8.12,0.00,0.00,0.00,-10.89,20.54,-30.84
1138,-0.51,6.29,-8.12,0.00,0.00,0.00,-10.89,20.54,-30.84
1149,-0.52,6.26,-8.11,0.00,0.00,0.00,-10.89,20.54,-30.84
1160,-0.52,6.26,-8.11,0.00,0.00,0.00,-10.89,20.54,-30.84
1171,-0.52,6.26,-8.11,0.00,0.00,0.01,-10.89,20.54,-30.84
1182,-0.52,6.26,-8.11,0.00,0.00,0.01,-10.89,20.54,-30.84
1193,-0.51,6.28,-8.12,0.00,0.00,0.00,-10.89,20.54,-30.84
1204,-0.51,6.28,-8.12,0.00,0.00,0.00,-10.89,20.54,-30.84
1215,-0.51,6.30,-8.09,0.00,0.00,0.00,-10.89,20.54,-30.84
1226,-0.51,6.30,-8.09,0.00,0.00,0.00,-10.89,20.54,-30.84
1237,-0.51,6.29,-8.09,0.00,0.00,0.00,-10.89,20.54,-30.84
1248,-0.52,6.28,-8.13,0.00,0.00,0.00,-10.22,20.20,-30.08
1259,-0.52,6.28,-8.13,0.00,0.00,0.00,-10.22,20.20,-30.08
1270,-0.51,6.25,-8.11,0.00,0.00,0.01,-10.22,20.20,-30.08
1281,-0.51,6.25,-8.11,0.00,0.00,0.01,-10.22,20.20,-30.08
1292,-0.52,6.27,-8.09,0.00,0.00,0.00,-10.22,20.20,-30.08
1303,-0.52,6.27,-8.09,0.00,0.00,0.00,-10.22,20.20,-30.08
1314,-0.51,6.28,-8.10,0.00,0.00,0.00,-10.22,20.20,-30.08
1325,-0.51,6.28,-8.10,0.00,0.00,0.00,-10.22,20.20,-30.08
1336,-0.51,6.28,-8.09,0.00,0.00,0.00,-10.22,20.20,-30.08
1347,-0.50,6.26,-8.09,0.00,0.00,0.00,-10.22,20.20,-30.08
1358,-0.50,6.26,-8.09,0.00,0.00,0.00,-10.22,20.20,-30.08
1369,-0.50,6.25,-8.10,0.00,0.01,0.00,-10.22,20.20,-30.08
1380,-0.50,6.25,-8.10,0.00,0.01,0.00,-10.22,20.20,-30.08
1391,-0.52,6.27,-8.13,0.00,0.00,0.00,-10.38,21.73,-30.27
1402,-0.52,6.27,-8.13,0.00,0.00,0.00,-10.38,21.73,-30.27
1413,-0.51,6.30,-8.09,0.00,0.00,0.00,-10.38,21.73,-30.27
1424,-0.51,6.30,-8.09,0.00,0.00,0.00,-10.38,21.73,-30.27
1435,-0.51,6.28,-8.10,0.00,0.00,0.00,-10.38,21.73,-30.27
1446,-0.51,6.28,-8.10,0.00,0.00,0.00,-10.38,21.73,-30.27
1457,-0.52,6.26,-8.12,0.00,0.00,0.01,-10.38,21.73,-30.27
1468,-0.52,6.24,-8.13,0.00,0.00,0.00,-10.38,21.73,-30.27
1479,-0.52,6.24,-8.13,0.00,0.00,0.00,-10.38,21.73,-30.27
1490,-0.51,6.27,-8.12,0.00,0.00,0.00,-10.38,21.73,-30.27
1501,-0.51,6.27,-8.12,0.00,0.00,0.00,-10.38,21.73,-30.27
1512,-0.52,6.29,-8.13,0.00,0.00,0.00,-10.55,20.88,-30.84
1523,-0.52,6.29,-8.13,0.00,0.00,0.00,-10.55,20.88,-30.84
1534,-0.51,6.28,-8.09,0.00,0.00,0.01,-10.55,20.88,-30.84
1545,-0.51,6.28,-8.09,0.00,0.00,0.01,-10.55,20.88,-30.84
1556,-0.51,6.25,-8.10,0.00,0.00,0.01,-10.55,20.88,-30.84
1567,-0.51,6.25,-8.10,0.00,0.00,0.01,-10.55,20.88,-30.84
1578,-0.50,6.25,-8.11,0.00,0.00,0.00,-10.55,20.88,-30.84
1589,-0.52,6.27,-8.09,0.00,0.00,0.00,-10.55,20.88,-30.84
1601,-0.52,6.27,-8.09,0.00,0.00,0.00,-10.55,20.88,-30.84
1611,-0.51,6.28,-8.10,0.00,0.00,0.00,-10.55,20.88,-30.84
1622,-0.51,6.28,-8.10,0.00,0.00,0.00,-10.55,20.88,-30.84
1633,-0.52,6.28,-8.12,0.00,0.00,0.00,-9.38,20.71,-30.27
1644,-0.52,6.28,-8.12,0.00,0.00,0.00,-9.38,20.71,-30.27
1655,-0.52,6.26,-8.13,0.00,0.00,0.00,-9.38,20.71,-30.27
1666,-0.52,6.26,-8.13,0.00,0.00,0.00,-9.38,20.71,-30.27
1677,-0.51,6.26,-8.13,0.00,0.00,0.00,-9.38,20.71,-30.27
1688,-0.53,6.26,-8.11,0.00,0.00,0.00,-9.38,20.71,-30.27
1699,-0.53,6.26,-8.11,0.00,0.00,0.00,-9.38,20.71,-30.27
1710,-0.50,6.28,-8.09,0.00,0.00,0.00,-9.38,20.71,-30.27
1721,-0.50,6.28,-8.09,0.00,0.00,0.00,-9.38,20.71,-30.27
1732,-0.52,6.24,-8.06,0.00,0.00,0.00,-9.38,20.71,-30.27
1743,-0.52,6.24,-8.06,0.00,0.00,0.00,-9.38,20.71,-30.27
1754,-0.50,6.26,-8.04,0.00,0.00,0.00,-9.38,20.71,-30.27
1765,-0.50,6.26,-8.04,0.00,0.00,0.00,-9.38,20.71,-30.27
1776,-0.50,6.21,-8.11,0.01,0.00,0.01,-9.71,20.37,-30.65
1787,-0.50,6.21,-8.11,0.01,0.00,0.01,-9.71,20.37,-30.65
1798,-0.49,6.26,-8.11,0.01,0.00,0.00,-9.71,20.37,-30.65
1809,-0.54,6.31,-8.16,0.01,0.00,0.00,-9.71,20.37,-30.65
1820,-0.54,6.31,-8.16,0.01,0.00,0.00,-9.71,20.37,-30.65
1831,-0.54,6.30,-8.17,0.00,0.00,0.00,-9.71,20.37,-30.65
1842,-0.54,6.30,-8.17,0.00,0.00,0.00,-9.71,20.37,-30.65
1853,-0.53,6.28,-8.15,0.00,0.00,0.01,-9.71,20.37,-30.65
