time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.48,6.39,-8.07,0.00,-0.01,0.01,-48.97,17.36,-21.95
411,-0.48,6.39,-8.05,0.00,-0.01,0.01,-48.97,17.36,-21.95
422,-0.48,6.39,-8.05,0.00,-0.01,0.01,-48.97,17.36,-21.95
433,0.28,7.02,-7.56,-0.01,-0.01,0.01,-48.27,16.61,-23.09
444,-0.41,6.89,-7.57,-0.04,0.04,-0.09,-48.27,16.61,-23.09
455,-0.41,6.89,-7.57,-0.04,0.04,-0.09,-48.27,16.61,-23.09
466,-1.41,5.71,-8.59,0.03,0.19,-0.18,-48.27,16.61,-23.09
477,-1.41,5.71,-8.59,0.03,0.19,-0.18,-48.27,16.61,-23.09
488,-0.44,6.09,-8.35,-0.01,0.11,-0.13,-48.27,16.61,-23.09
499,-0.44,6.09,-8.35,-0.01,0.11,-0.13,-48.27,16.61,-23.09
510,-0.53,6.42,-8.04,-0.03,-0.01,-0.02,-48.27,16.61,-23.09
521,-0.53,6.42,-8.04,-0.03,-0.01,-0.02,-48.27,16.61,-23.09
532,-0.46,6.36,-8.13,0.02,0.00,0.02,-48.27,16.61,-23.09
543,-0.48,6.39,-8.08,-0.01,-0.02,0.00,-49.44,17.36,-22.93
554,-0.48,6.39,-8.08,-0.01,-0.02,0.00,-49.44,17.36,-22.93
565,-0.45,6.37,-8.09,0.01,-0.00,0.01,-49.44,17.36,-22.93
576,-0.45,6.37,-8.09,0.01,-0.00,0.01,-49.44,17.36,-22.93
587,-0.48,6.40,-8.05,-0.00,-0.01,0.01,-49.44,17.36,-22.93
598,-0.48,6.40,-8.05,-0.00,-0.01,0.01,-49.44,17.36,-22.93
609,-0.49,6.40,-8.06,0.00,-0.01,0.01,-49.44,17.36,-22.93
620,-0.49,6.40,-8.06,0.00,-0.01,0.01,-49.44,17.36,-22.93
631,-0.49,6.38,-8.07,0.00,-0.01,0.01,-49.44,17.36,-22.93
642,-0.49,6.38,-8.07,0.00,-0.01,0.01,-49.44,17.36,-22.93
653,-0.46,6.36,-8.05,0.00,-0.01,0.01,-49.44,17.36,-22.93
665,-0.47,6.38,-8.11,0.00,-0.01,0.01,-49.68,16.32,-23.41
675,-0.47,6.38,-8.11,0.00,-0.01,0.01,-49.68,16.32,-23.41
686,-0.47,6.39,-8.08,0.00,-0.01,0.01,-49.68,16.32,-23.41
697,-0.47,6.39,-8.08,0.00,-0.01,0.01,-49.68,16.32,-23.41
708,-0.49,6.40,-8.07,0.00,-0.01,0.01,-49.68,16.32,-23.41
719,-0.49,6.40,-8.07,0.00,-0.01,0.01,-49.68,16.32,-23.41
730,-0.47,6.37,-8.06,0.00,-0.01,0.01,-49.68,16.32,-23.41
741,-0.47,6.37,-8.06,0.00,-0.01,0.01,-49.68,16.32,-23.41
752,-0.47,6.38,-8.09,0.00,-0.01,0.01,-49.68,16.32,-23.41
763,-0.46,6.39,-8.06,0.00,-0.01,0.01,-49.68,16.32,-23.41
774,-0.46,6.39,-8.06,0.00,-0.01,0.01,-49.68,16.32,-23.41
785,-0.47,6.38,-8.06,0.00,-0.01,0.01,-49.68,16.32,-23.41
796,-0.47,6.38,-8.06,0.00,-0.01,0.01,-49.68,16.32,-23.41
807,-0.48,6.39,-8.08,-0.00,-0.01,0.01,-48.50,17.06,-21.95
818,-0.48,6.39,-8.08,-0.00,-0.01,0.01,-48.50,17.06,-21.95
829,-0.46,6.38,-8.07,-0.00,-0.01,0.01,-48.50,17.06,-21.95
840,-0.46,6.38,-8.07,-0.00,-0.01,0.01,-48.50,17.06,-21.95
851,-0.45,6.36,-8.08,0.00,-0.01,0.01,-48.50,17.06,-21.95
862,-0.45,6.36,-8.08,0.00,-0.01,0.01,-48.50,17.06,-21.95
873,-0.46,6.36,-8.10,0.00,-0.01,0.01,-48.50,17.06,-21.95
884,-0.48,6.39,-8.06,0.00,-0.01,0.01,-48.50,17.06,-21.95
895,-0.48,6.39,-8.06,0.00,-0.01,0.01,-48.50,17.06,-21.95
906,-0.49,6.38,-8.07,0.00,-0.01,0.01,-48.50,17.06,-21.95
917,-0.49,6.38,-8.07,0.00,-0.01,0.01,-48.50,17.06,-21.95
928,-0.46,6.38,-8.09,0.00,-0.01,0.01,-48.27,17.21,-21.78
939,-0.46,6.38,-8.09,0.00,-0.01,0.01,-48.27,17.21,-21.78
950,-0.45,6.37,-8.09,0.00,-0.01,0.01,-48.27,17.21,-21.78
961,-0.45,6.37,-8.09,0.00,-0.01,0.01,-48.27,17.21,-21.78
972,-0.46,6.38,-8.10,0.00,-0.01,0.01,-48.27,17.21,-21.78
983,-0.46,6.38,-8.10,0.00,-0.01,0.01,-48.27,17.21,-21.78
994,-0.49,6.38,-8.05,-0.00,-0.01,0.01,-48.27,17.21,-21.78
1005,-0.47,6.38,-8.05,-0.00,-0.01,0.01,-48.27,17.21,-21.78
1016,-0.47,6.38,-8.05,-0.00,-0.01,0.01,-48.27,17.21,-21.78
1027,-0.46,6.38,-8.09,0.00,-0.01,0.01,-48.27,17.21,-21.78
1038,-0.46,6.38,-8.09,0.00,-0.01,0.01,-48.27,17.21,-21.78
1049,-0.44,6.37,-8.11,0.00,-0.01,0.01,-49.21,16.61,-22.44
1060,-0.44,6.37,-8.11,0.00,-0.01,0.01,-49.21,16.61,-22.44
1071,-0.46,6.38,-8.10,0.00,-0.01,0.01,-49.21,16.61,-22.44
1082,-0.46,6.38,-8.10,0.00,-0.01,0.01,-49.21,16.61,-22.44
1098,-0.50,6.38,-8.06,-0.00,-0.01,0.01,-49.21,16.61,-22.44
1104,-0.48,6.38,-8.08,0.00,-0.01,0.01,-49.21,16.61,-22.44
1115,-0.48,6.38,-8.08,0.00,-0.01,0.01,-49.21,16.61,-22.44
1126,-0.46,6.39,-8.09,0.00,-0.01,0.01,-49.21,16.61,-22.44
1137,-0.46,6.39,-8.09,0.00,-0.01,0.01,-49.21,16.61,-22.44
1148,-0.45,6.37,-8.12,0.00,-0.01,0.01,-49.21,16.61,-22.44
1159,-0.45,6.37,-8.12,0.00,-0.01,0.01,-49.21,16.61,-22.44
1170,-0.48,6.38,-8.08,-0.00,-0.01,0.01,-49.21,16.61,-22.44
1181,-0.48,6.38,-8.08,-0.00,-0.01,0.01,-49.21,16.61,-22.44
1192,-0.49,6.39,-8.09,-0.00,-0.01,0.01,-48.97,15.87,-22.27
1203,-0.49,6.39,-8.09,-0.00,-0.01,0.01,-48.97,15.87,-22.27
1214,-0.46,6.38,-8.09,0.00,-0.01,0.01,-48.97,15.87,-22.27
1225,-0.47,6.37,-8.10,0.00,-0.01,0.01,-48.97,15.87,-22.27
1236,-0.47,6.37,-8.10,0.00,-0.01,0.01,-48.97,15.87,-22.27
1247,-0.46,6.37,-8.07,-0.00,-0.01,0.01,-48.97,15.87,-22.27
1258,-0.46,6.37,-8.07,-0.00,-0.01,0.01,-48.97,15.87,-22.27
1269,-0.47,6.38,-8.06,-0.00,-0.01,0.01,-48.97,15.87,-22.27
1280,-0.47,6.38,-8.06,-0.00,-0.01,0.01,-48.97,15.87,-22.27
1291,-0.47,6.37,-8.06,0.00,-0.01,0.01,-48.97,15.87,-22.27
1302,-0.47,6.37,-8.06,0.00,-0.01,0.01,-48.97,15.87,-22.27
1313,-0.46,6.38,-8.10,0.00,-0.01,0.01,-48.27,16.61,-23.41
1324,-0.45,6.38,-8.05,0.00,-0.01,0.01,-48.27,16.61,-23.41
1335,-0.45,6.38,-8.05,0.00,-0.01,0.01,-48.27,16.61,-23.41
1346,-0.45,6.38,-8.09,-0.00,-0.01,0.01,-48.27,16.61,-23.41
1357,-0.45,6.38,-8.09,-0.00,-0.01,0.01,-48.27,16.61,-23.41
1368,-0.48,6.38,-8.09,-0.00,-0.01,0.01,-48.27,16.61,-23.41
1379,-0.48,6.38,-8.09,-0.00,-0.01,0.01,-48.27,16.61,-23.41
1390,-0.47,6.37,-8.06,0.00,-0.01,0.01,-48.27,16.61,-23.41
1401,-0.47,6.37,-8.06,0.00,-0.01,0.01,-48.27,16.61,-23.41
1412,-0.47,6.38,-8.06,0.00,-0.01,0.01,-48.27,16.61,-23.41
1423,-0.47,6.38,-8.06,0.00,-0.01,0.01,-48.27,16.61,-23.41
1434,-0.45,6.38,-8.08,0.00,-0.01,0.01,-47.80,16.02,-22.11
