time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.22,6.49,-7.78,0.00,-1.21,0.95,-10.02,48.18,0.49,-1.00
13.00,-0.21,6.51,-7.80,0.00,-1.21,0.95,-10.02,48.18,0.49,-1.00
25.00,-0.21,6.51,-7.80,0.00,-1.21,0.95,-10.02,48.18,0.49,-1.00
37.00,-0.22,6.54,-7.80,0.00,-1.21,0.95,-10.02,48.18,0.49,-1.00
99.00,-0.25,6.49,-7.81,0.00,-1.21,0.95,-11.42,49.98,-1.29,-1.00
111.00,-0.22,6.49,-7.83,0.00,-1.21,0.96,-11.42,49.98,-1.29,-1.00
123.00,-0.22,6.49,-7.83,0.00,-1.21,0.96,-11.42,49.98,-1.29,-1.00
135.00,-0.21,6.48,-7.80,0.00,-1.21,0.96,-11.42,49.98,-1.29,-1.00
149.00,-0.20,6.47,-7.80,0.00,-1.21,0.95,-11.42,49.98,-1.29,-1.00
161.00,-0.20,6.47,-7.80,0.00,-1.21,0.95,-11.42,49.98,-1.29,-1.00
173.00,-0.18,6.50,-7.77,0.00,-1.21,0.95,-11.42,49.98,-1.29,-1.00
187.00,-0.22,6.50,-7.76,0.00,-1.21,0.95,-11.14,49.98,-2.19,-1.00
199.00,-0.22,6.50,-7.76,0.00,-1.21,0.95,-11.14,49.98,-2.19,-1.00
211.00,-0.25,6.51,-7.76,0.00,-1.22,0.95,-11.14,49.98,-2.19,-1.00
223.00,-0.25,6.51,-7.76,0.00,-1.22,0.95,-11.14,49.98,-2.19,-1.00
237.00,-0.28,6.50,-7.80,0.00,-1.21,0.95,-11.14,49.98,-2.19,-1.00
249.00,-0.28,6.51,-7.81,0.00,-1.21,0.95,-11.14,49.98,-2.19,-1.00
261.00,-0.28,6.51,-7.81,0.00,-1.21,0.95,-11.14,49.98,-2.19,-1.00
273.00,-0.28,6.50,-7.80,0.00,-1.21,0.96,-11.14,49.98,-2.19,-1.00
287.00,-0.25,6.51,-7.80,0.00,-1.21,0.96,-11.14,49.98,-2.19,-1.00
299.00,-0.25,6.51,-7.80,0.00,-1.21,0.96,-11.14,49.98,-2.19,-1.00
311.00,-0.22,6.49,-7.80,0.00,-1.21,0.96,-11.84,49.44,-1.52,-1.00
323.00,-0.22,6.49,-7.80,0.00,-1.21,0.96,-11.84,49.44,-1.52,-1.00
337.00,-0.19,6.49,-7.78,0.00,-1.21,0.96,-11.84,49.44,-1.52,-1.00
349.00,-0.18,6.48,-7.73,0.00,-1.21,0.96,-11.84,49.44,-1.52,-1.00
361.00,-0.18,6.48,-7.73,0.00,-1.21,0.96,-11.84,49.44,-1.52,-1.00
373.00,-0.17,6.49,-7.71,0.00,-1.21,0.95,-11.84,49.44,-1.52,-1.00
387.00,-0.19,6.53,-7.80,0.00,-1.22,0.95,-11.84,49.44,-1.52,-1.00
399.00,-0.19,6.53,-7.80,0.00,-1.22,0.95,-11.84,49.44,-1.52,-1.00
411.00,-0.25,6.51,-7.80,0.00,-1.22,0.95,-11.84,49.44,-1.52,-1.00
423.00,-0.25,6.51,-7.80,0.00,-1.22,0.95,-11.84,49.44,-1.52,-1.00
437.00,-0.32,6.49,-7.87,0.00,-1.21,0.95,-9.74,47.82,0.04,-1.00
449.00,-0.32,6.50,-7.85,0.00,-1.21,0.96,-9.74,47.82,0.04,-1.00
461.00,-0.32,6.50,-7.85,0.00,-1.21,0.96,-9.74,47.82,0.04,-1.00
473.00,-0.28,6.50,-7.78,0.00,-1.21,0.96,-9.74,47.82,0.04,-1.00
487.00,-0.23,6.50,-7.79,0.00,-1.21,0.96,-9.74,47.82,0.04,-1.00
499.00,-0.23,6.50,-7.79,0.00,-1.21,0.96,-9.74,47.82,0.04,-1.00
511.00,-0.21,6.49,-7.81,0.00,-1.21,0.96,-9.74,47.82,0.04,-1.00
525.00,-0.21,6.49,-7.81,0.00,-1.21,0.96,-9.74,47.82,0.04,-1.00
538.00,-0.18,6.47,-7.75,0.00,-1.21,0.96,-9.74,47.82,0.04,-1.00
550.00,-0.13,6.48,-7.76,0.00,-1.21,0.96,-10.86,48.54,-0.40,-1.00
562.00,-0.13,6.48,-7.76,0.00,-1.21,0.96,-10.86,48.54,-0.40,-1.00
574.00,-0.15,6.50,-7.74,0.00,-1.21,0.95,-10.86,48.54,-0.40,-1.00
588.00,-0.20,6.53,-7.79,0.00,-1.22,0.95,-10.86,48.54,-0.40,-1.00
600.00,-0.20,6.53,-7.79,0.00,-1.22,0.95,-10.86,48.54,-0.40,-1.00
612.00,-0.30,6.50,-7.78,0.00,-1.22,0.95,-10.86,48.54,-0.40,-1.00
624.00,-0.30,6.50,-7.78,0.00,-1.22,0.95,-10.86,48.54,-0.40,-1.00
638.00,-0.32,6.50,-7.82,0.00,-1.21,0.95,-10.86,48.54,-0.40,-1.00
650.00,-0.31,6.50,-7.79,0.00,-1.21,0.96,-10.86,48.54,-0.40,-1.00
662.00,-0.31,6.50,-7.79,0.00,-1.21,0.96,-10.86,48.54,-0.40,-1.00
677.00,-0.26,6.50,-7.83,0.00,-1.21,0.96,-10.86,48.54,-0.40,-1.00
689.00,-0.21,6.47,-7.82,0.00,-1.21,0.96,-10.30,48.54,-0.85,-1.00
701.00,-0.21,6.47,-7.82,0.00,-1.21,0.96,-10.30,48.54,-0.85,-1.00
713.00,-0.15,6.46,-7.78,0.00,-1.21,0.96,-10.30,48.54,-0.85,-1.00
727.00,-0.14,6.49,-7.77,0.00,-1.21,0.96,-10.30,48.54,-0.85,-1.00
739.00,-0.14,6.49,-7.77,0.00,-1.21,0.96,-10.30,48.54,-0.85,-1.00
751.00,-0.17,6.48,-7.78,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
763.00,-0.17,6.48,-7.78,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
777.00,-0.24,6.51,-7.78,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
789.00,-0.27,6.52,-7.77,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
801.00,-0.27,6.52,-7.77,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
813.00,-0.31,6.52,-7.82,0.00,-1.21,0.95,-10.16,48.72,0.27,-1.00
827.00,-0.29,6.52,-7.82,0.00,-1.21,0.95,-10.16,48.72,0.27,-1.00
839.00,-0.29,6.52,-7.82,0.00,-1.21,0.95,-10.16,48.72,0.27,-1.00
851.00,-0.25,6.52,-7.79,0.00,-1.21,0.96,-10.16,48.72,0.27,-1.00
863.00,-0.25,6.52,-7.79,0.00,-1.21,0.96,-10.16,48.72,0.27,-1.00
877.00,-0.18,6.53,-7.77,0.00,-1.21,0.96,-10.16,48.72,0.27,-1.00
889.00,-0.16,6.49,-7.73,0.00,-1.21,0.96,-10.16,48.72,0.27,-1.00
901.00,-0.16,6.49,-7.73,0.00,-1.21,0.96,-10.16,48.72,0.27,-1.00
913.00,-0.16,6.49,-7.78,0.00,-1.21,0.96,-10.16,48.72,0.27,-1.00
927.00,-0.16,6.49,-7.78,0.00,-1.21,0.96,-10.16,48.72,0.27,-1.00
939.00,-0.20,6.46,-7.80,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
951.00,-0.23,6.47,-7.80,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
963.00,-0.23,6.47,-7.80,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
977.00,-0.26,6.47,-7.81,0.00,-1.21,0.95,-10.30,48.54,-0.85,-1.00
989.00,-0.27,6.50,-7.84,0.00,-1.22,0.95,-10.30,48.54,-0.85,-1.00
1001.00,-0.27,6.50,-7.84,0.00,-1.22,0.95,-10.30,48.54,-0.85,-1.00
1013.00,-0.28,6.51,-7.80,0.00,-1.21,0.96,-10.30,48.54,-0.85,-1.00
1027.00,-0.28,6.51,-7.80,0.00,-1.21,0.96,-10.30,48.54,-0.85,-1.00
1039.00,-0.27,6.51,-7.79,0.00,-1.21,0.96,-10.30,48.54,-0.85,-1.00
1051.00,-0.22,6.52,-7.77,0.00,-1.21,0.96,-9.74,48.54,0.04,-1.00
1063.00,-0.22,6.52,-7.77,0.00,-1.21,0.96,-9.74,48.54,0.04,-1.00
1077.00,-0.20,6.51,-7.77,0.00,-1.21,0.96,-9.74,48.54,0.04,-1.00
1089.00,-0.15,6.52,-7.75,0.00,-1.21,0.96,-9.74,48.54,0.04,-1.00
1101.00,-0.15,6.52,-7.75,0.00,-1.21,0.96,-9.74,48.54,0.04,-1.00
1113.00,-0.17,6.51,-7.75,0.00,-1.21,0.95,-9.74,48.54,0.04,-1.00
1127.00,-0.17,6.51,-7.75,0.00,-1.21,0.95,-9.74,48.54,0.04,-1.00
1215.00,-0.28,6.48,-7.83,0.00,-1.21,0.96,-10.44,47.28,-1.52,-1.00
1305.00,-0.16,6.51,-7.71,0.00,-1.21,0.96,-10.44,47.28,-1.52,-1.00
1319.00,-0.21,6.51,-7.76,0.00,-1.21,0.95,-9.88,48.36,-1.07,-1.00
1331.00,-0.27,6.51,-7.78,0.00,-1.21,0.95,-9.88,48.36,-1.07,-1.00
1343.00,-0.27,6.51,-7.78,0.00,-1.21,0.95,-9.88,48.36,-1.07,-1.00
1355.00,-0.29,6.48,-7.82,0.00,-1.21,0.95,-9.88,48.36,-1.07,-1.00
1369.00,-0.27,6.46,-7.83,0.00,-1.21,0.95,-9.88,48.36,-1.07,-1.00
1381.00,-0.27,6.46,-7.83,0.00,-1.21,0.95,-9.88,48.36,-1.07,-1.00
1393.00,-0.24,6.47,-7.83,0.00,-1.21,0.95,-9.88,48.36,-1.07,-1.00
1405.00,-0.24,6.47,-7.83,0.00,-1.21,0.95,-9.88,48.36,-1.07,-1.00
1420.00,-0.19,6.47,-7.82,0.00,-1.21,0.96,-9.88,48.36,-1.07,-1.00
1431.00,-0.18,6.47,-7.78,0.00,-1.21,0.96,-10.30,50.70,-1.29,-1.00
1443.00,-0.18,6.47,-7.78,0.00,-1.21,0.96,-10.30,50.70,-1.29,-1.00
1455.00,-0.19,6.52,-7.77,0.00,-1.21,0.95,-10.30,50.70,-1.29,-1.00
1469.00,-0.20,6.51,-7.75,0.00,-1.21,0.95,-10.30,50.70,-1.29,-1.00
1481.00,-0.20,6.51,-7.75,0.00,-1.21,0.95,-10.30,50.70,-1.29,-1.00
1493.00,-0.23,6.53,-7.78,0.00,-1.21,0.95,-10.30,50.70,-1.29,-1.00
1505.00,-0.23,6.53,-7.78,0.00,-1.21,0.95,-10.30,50.70,-1.29,-1.00
1519.00,-0.26,6.53,-7.77,0.00,-1.21,0.95,-10.30,50.70,-1.29,-1.00
1531.00,-0.25,6.51,-7.78,0.00,-1.21,0.95,-10.30,50.70,-1.29,-1.00
1543.00,-0.25,6.51,-7.78,0.00,-1.21,0.95,-10.30,50.70,-1.29,-1.00
1555.00,-0.25,6.49,-7.80,0.00,-1.21,0.96,-10.72,49.08,-1.52,-1.00
1570.00,-0.25,6.48,-7.84,0.00,-1.21,0.96,-10.72,49.08,-1.52,-1.00
1581.00,-0.25,6.48,-7.84,0.00,-1.21,0.96,-10.72,49.08,-1.52,-1.00
1594.00,-0.22,6.47,-7.81,0.00,-1.21,0.96,-10.72,49.08,-1.52,-1.00
1608.00,-0.18,6.45,-7.76,0.00,-1.21,0.96,-10.72,49.08,-1.52,-1.00
1620.00,-0.18,6.45,-7.76,0.00,-1.21,0.96,-10.72,49.08,-1.52,-1.00
1632.00,-0.15,6.51,-7.75,0.00,-1.21,0.95,-10.72,49.08,-1.52,-1.00
1644.00,-0.15,6.51,-7.75,0.00,-1.21,0.95,-10.72,49.08,-1.52,-1.00
1658.00,-0.18,6.55,-7.78,0.00,-1.22,0.95,-10.72,49.08,-1.52,-1.00
1670.00,-0.24,6.50,-7.78,0.00,-1.22,0.95,-10.72,49.08,-1.52,-1.00
1682.00,-0.24,6.50,-7.78,0.00,-1.22,0.95,-10.72,49.08,-1.52,-1.00
1694.00,-0.29,6.49,-7.82,0.00,-1.21,0.95,-10.16,48.00,-0.18,-1.00
1708.00,-0.27,6.50,-7.82,0.00,-1.21,0.95,-10.16,48.00,-0.18,-1.00
1720.00,-0.27,6.50,-7.82,0.00,-1.21,0.95,-10.16,48.00,-0.18,-1.00
1732.00,-0.26,6.50,-7.80,0.00,-1.21,0.95,-10.16,48.00,-0.18,-1.00
1744.00,-0.26,6.50,-7.80,0.00,-1.21,0.95,-10.16,48.00,-0.18,-1.00
1759.00,-0.26,6.49,-7.81,0.00,-1.21,0.96,-10.16,48.00,-0.18,-1.00
1770.00,-0.23,6.47,-7.77,0.00,-1.21,0.96,-10.16,48.00,-0.18,-1.00
1782.00,-0.23,6.47,-7.77,0.00,-1.21,0.96,-10.16,48.00,-0.18,-1.00
1794.00,-0.17,6.48,-7.79,0.00,-1.21,0.96,-10.16,48.00,-0.18,-1.00
1808.00,-0.17,6.48,-7.79,0.00,-1.21,0.96,-10.16,48.00,-0.18,-1.00
1820.00,-0.15,6.51,-7.79,0.00,-1.21,0.96,-10.16,49.80,-1.52,-1.00
1832.00,-0.17,6.51,-7.76,0.00,-1.21,0.96,-10.16,49.80,-1.52,-1.00
1844.00,-0.17,6.51,-7.76,0.00,-1.21,0.96,-10.16,49.80,-1.52,-1.00
1858.00,-0.23,6.48,-7.77,0.00,-1.22,0.95,-10.16,49.80,-1.52,-1.00
1870.00,-0.34,6.39,-7.86,0.01,-1.23,0.96,-10.16,49.80,-1.52,-1.00
1882.00,-0.34,6.39,-7.86,0.01,-1.23,0.96,-10.16,49.80,-1.52,-1.00
1896.00,-0.25,6.44,-7.84,0.00,-1.41,1.22,-10.16,49.80,-1.52,-1.00
1908.00,-0.25,6.44,-7.84,0.00,-1.41,1.22,-10.16,49.80,-1.52,-1.00
1920.00,-0.26,6.71,-7.62,-0.03,-1.72,1.55,-10.16,49.80,-1.52,-1.00
1932.00,-0.50,5.63,-8.57,-0.01,-1.58,1.38,-10.44,48.72,0.27,-1.00
1946.00,-0.50,5.63,-8.57,-0.01,-1.58,1.38,-10.44,48.72,0.27,-1.00
1958.00,1.10,5.04,-9.52,0.26,-1.41,1.58,-10.44,48.72,0.27,-1.00
1970.00,0.96,4.86,-9.30,0.40,-1.90,2.39,-10.44,48.72,0.27,-1.00
1982.00,0.96,4.86,-9.30,0.40,-1.90,2.39,-10.44,48.72,0.27,-1.00
1996.00,-0.25,7.37,-7.20,0.26,-2.24,2.63,-10.44,48.72,0.27,-1.00
2086.00,0.27,3.92,-8.11,4.42,-0.37,0.96,-7.37,47.64,-9.55,-1.00
2174.00,1.17,2.07,-12.05,3.08,-2.43,1.28,-7.37,47.64,-9.55,-1.00
2263.00,-0.90,2.05,-11.73,5.45,-2.90,0.49,-5.55,29.85,-24.95,-1.00
2277.00,-0.87,-0.15,-9.99,4.80,-3.16,-0.07,-5.55,29.85,-24.95,-1.00
2289.00,-1.99,1.29,-10.27,3.01,-3.87,-0.47,-5.55,29.85,-24.95,-1.00
2301.00,-1.99,1.29,-10.27,3.01,-3.87,-0.47,-5.55,29.85,-24.95,-1.00
2313.00,-0.76,3.05,-6.79,2.72,-4.58,-1.12,-12.12,1.64,-21.16,-1.00
2327.00,-0.76,3.05,-6.79,2.72,-4.58,-1.12,-12.12,1.64,-21.16,-1.00
2339.00,-2.16,2.50,-4.68,3.11,-4.71,-2.20,-12.12,1.64,-21.16,-1.00
2351.00,-2.69,-0.23,-2.18,4.73,-4.34,-3.13,-12.12,1.64,-21.16,-1.00
2365.00,-2.69,-0.23,-2.18,4.73,-4.34,-3.13,-12.12,1.64,-21.16,-1.00
2377.00,-0.46,-1.47,-5.63,4.91,-3.84,-3.75,-12.12,1.64,-21.16,-1.00
2389.00,2.78,-3.78,-2.75,7.48,-3.72,-3.48,-12.12,1.64,-21.16,-1.00
2401.00,2.78,-3.78,-2.75,7.48,-3.72,-3.48,-12.12,1.64,-21.16,-1.00
2415.00,1.78,-4.40,-3.39,8.21,-3.94,-3.16,-12.12,1.64,-21.16,-1.00
2427.00,1.78,-4.40,-3.39,8.21,-3.94,-3.16,-12.12,1.64,-21.16,-1.00
2439.00,8.29,-14.80,-0.55,10.14,-4.54,-2.99,-9.74,-36.27,21.47,-1.00
2451.00,3.23,-18.58,6.28,11.28,-4.95,-1.01,-9.74,-36.27,21.47,-1.00
2465.00,3.23,-18.58,6.28,11.28,-4.95,-1.01,-9.74,-36.27,21.47,-1.00
2477.00,0.22,-14.15,8.62,8.04,-3.70,2.11,-9.74,-36.27,21.47,-1.00
2489.00,0.78,-10.02,7.05,2.77,-2.40,3.26,-9.74,-36.27,21.47,-1.00
2501.00,0.78,-10.02,7.05,2.77,-2.40,3.26,-9.74,-36.27,21.47,-1.00
2515.00,-0.79,-8.85,1.81,-2.08,-2.34,3.26,-9.74,-36.27,21.47,-1.00
2527.00,-0.79,-8.85,1.81,-2.08,-2.34,3.26,-9.74,-36.27,21.47,-1.00
2539.00,-2.04,-8.72,2.20,-3.46,-2.51,3.12,-9.74,-36.27,21.47,-1.00
2553.00,-1.96,-5.90,-0.45,-4.29,-2.52,2.44,-9.74,-36.27,21.47,-1.00
2565.00,-1.96,-5.90,-0.45,-4.29,-2.52,2.44,-9.74,-36.27,21.47,-1.00
2577.00,-3.17,-5.93,-0.12,-2.37,-1.80,1.70,-12.81,-31.96,40.67,-1.00
2589.00,-3.17,-5.93,-0.12,-2.37,-1.80,1.70,-12.81,-31.96,40.67,-1.00
2603.00,-3.14,-8.75,-1.44,-1.10,-1.36,1.04,-12.81,-31.96,40.67,-1.00
2615.00,-3.17,-11.73,-1.11,-0.73,-1.48,1.06,-12.81,-31.96,40.67,-1.00
2627.00,-3.17,-11.73,-1.11,-0.73,-1.48,1.06,-12.81,-31.96,40.67,-1.00
2639.00,-1.52,-11.48,-0.55,-1.32,-1.78,1.70,-12.81,-31.96,40.67,-1.00
2653.00,-1.99,-11.43,4.08,-2.62,-1.87,2.52,-12.81,-31.96,40.67,-1.00
2665.00,-1.99,-11.43,4.08,-2.62,-1.87,2.52,-12.81,-31.96,40.67,-1.00
2677.00,-1.88,-9.92,3.90,-7.34,-1.81,2.75,-12.81,-31.96,40.67,-1.00
2691.00,-2.89,-7.09,-0.08,-12.02,-1.88,2.99,-14.77,-29.45,24.15,-1.00
2703.00,-2.89,-7.09,-0.08,-12.02,-1.88,2.99,-14.77,-29.45,24.15,-1.00
2715.00,-3.20,-3.81,-5.46,-15.09,-2.34,3.18,-14.77,-29.45,24.15,-1.00
2727.00,-3.20,-3.81,-5.46,-15.09,-2.34,3.18,-14.77,-29.45,24.15,-1.00
2741.00,-3.97,-1.09,-8.14,-15.00,-3.06,3.33,-14.77,-29.45,24.15,-1.00
2753.00,-4.38,2.15,-8.16,-13.43,-3.50,3.29,-14.77,-29.45,24.15,-1.00
2765.00,-4.38,2.15,-8.16,-13.43,-3.50,3.29,-14.77,-29.45,24.15,-1.00
2777.00,-3.47,4.40,-6.58,-11.56,-3.67,2.86,-14.77,-29.45,24.15,-1.00
2791.00,-3.08,5.73,-5.75,-8.72,-3.22,2.06,-14.77,-29.45,24.15,-1.00
2803.00,-3.08,5.73,-5.75,-8.72,-3.22,2.06,-14.77,-29.45,24.15,-1.00
2815.00,-4.85,5.20,-4.56,-5.78,-2.37,1.46,-26.22,14.76,-3.53,-1.00
2829.00,-4.85,5.20,-4.56,-5.78,-2.37,1.46,-26.22,14.76,-3.53,-1.00
2841.00,-5.57,6.07,-4.65,-4.64,-1.61,0.90,-26.22,14.76,-3.53,-1.00
2853.00,-5.38,7.55,-6.12,-4.24,-1.20,0.37,-26.22,14.76,-3.53,-1.00
2865.00,-5.38,7.55,-6.12,-4.24,-1.20,0.37,-26.22,14.76,-3.53,-1.00
2879.00,-4.86,8.08,-6.76,-3.56,-0.82,-0.23,-26.22,14.76,-3.53,-1.00
2891.00,-4.59,6.69,-6.10,-2.39,-0.42,-0.80,-26.22,14.76,-3.53,-1.00
2903.00,-4.59,6.69,-6.10,-2.39,-0.42,-0.80,-26.22,14.76,-3.53,-1.00
2915.00,-5.03,5.03,-6.07,-1.92,-0.00,-1.05,-26.22,14.76,-3.53,-1.00
2930.00,-5.03,5.03,-6.07,-1.92,-0.00,-1.05,-26.22,14.76,-3.53,-1.00
2941.00,-6.17,3.87,-6.86,-2.46,0.15,-1.06,-25.80,16.02,-6.43,-1.00
2953.00,-5.15,3.35,-11.90,-3.05,0.07,-0.85,-25.80,16.02,-6.43,-1.00
2965.00,-5.15,3.35,-11.90,-3.05,0.07,-0.85,-25.80,16.02,-6.43,-1.00
2979.00,-6.28,1.81,-11.55,-0.43,-0.14,0.13,-25.80,16.02,-6.43,-1.00
