time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.28,6.39,-7.85,2.34,-1.26,1.39,-12.67,51.24,7.41,-1.00
13.00,-0.30,6.69,-7.64,0.93,-1.24,1.22,-10.72,50.16,0.27,-1.00
25.00,-0.30,6.69,-7.64,0.93,-1.24,1.22,-10.72,50.16,0.27,-1.00
37.00,-0.32,6.88,-7.46,0.31,-1.20,1.04,-10.72,50.16,0.27,-1.00
101.00,-0.29,6.68,-7.61,0.02,-1.21,0.96,-10.72,50.16,0.27,-1.00
113.00,-0.25,6.68,-7.60,-0.01,-1.22,0.96,-10.72,50.16,0.27,-1.00
125.00,-0.25,6.68,-7.60,-0.01,-1.22,0.96,-10.72,50.16,0.27,-1.00
137.00,-0.21,6.68,-7.62,0.04,-1.21,0.96,-11.42,50.34,0.04,-1.00
151.00,-0.18,6.67,-7.63,0.15,-1.19,0.97,-11.42,50.34,0.04,-1.00
163.00,-0.18,6.67,-7.63,0.15,-1.19,0.97,-11.42,50.34,0.04,-1.00
175.00,-0.21,6.67,-7.61,0.37,-1.17,0.99,-11.42,50.34,0.04,-1.00
189.00,-0.15,6.40,-7.90,0.46,-1.16,0.99,-11.42,50.34,0.04,-1.00
201.00,-0.15,6.40,-7.90,0.46,-1.16,0.99,-11.42,50.34,0.04,-1.00
213.00,-0.09,6.55,-7.81,0.12,-1.22,0.95,-11.42,50.34,0.04,-1.00
225.00,-0.09,6.55,-7.81,0.12,-1.22,0.95,-11.42,50.34,0.04,-1.00
240.00,-0.28,6.46,-7.78,0.10,-1.28,0.93,-11.42,50.34,0.04,-1.00
251.00,-0.28,6.52,-7.77,0.02,-1.22,0.95,-11.42,50.34,0.04,-1.00
263.00,-0.28,6.52,-7.77,0.02,-1.22,0.95,-11.42,50.34,0.04,-1.00
275.00,-0.31,6.52,-7.77,-0.00,-1.21,0.96,-9.74,49.26,-2.63,-1.00
290.00,-0.28,6.53,-7.73,0.00,-1.21,0.96,-9.74,49.26,-2.63,-1.00
302.00,-0.28,6.53,-7.73,0.00,-1.21,0.96,-9.74,49.26,-2.63,-1.00
314.00,-0.25,6.55,-7.76,0.01,-1.21,0.96,-9.74,49.26,-2.63,-1.00
326.00,-0.24,6.50,-7.79,-0.02,-1.20,0.96,-9.74,49.26,-2.63,-1.00
340.00,-0.24,6.50,-7.79,-0.02,-1.20,0.96,-9.74,49.26,-2.63,-1.00
352.00,-0.09,5.89,-8.44,-0.23,-1.21,0.96,-9.74,49.26,-2.63,-1.00
364.00,-0.09,5.89,-8.44,-0.23,-1.21,0.96,-9.74,49.26,-2.63,-1.00
376.00,-0.16,6.40,-7.80,-2.11,-1.37,0.80,-9.74,49.26,-2.63,-1.00
391.00,-0.36,7.45,-6.78,-3.25,-1.53,0.66,-11.28,51.60,2.50,-1.00
402.00,-0.36,7.45,-6.78,-3.25,-1.53,0.66,-11.28,51.60,2.50,-1.00
414.00,-0.45,7.90,-6.35,-2.43,-1.48,0.74,-11.28,51.60,2.50,-1.00
426.00,-0.51,8.04,-6.18,-1.18,-1.35,0.85,-11.28,51.60,2.50,-1.00
440.00,-0.51,8.04,-6.18,-1.18,-1.35,0.85,-11.28,51.60,2.50,-1.00
