time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.17,6.22,-7.78,-0.25,-0.03,-0.02,-14.97,39.35,-12.49,-1.00
13.00,-0.18,6.19,-7.79,-0.25,-0.03,-0.01,-14.97,39.35,-12.49,-1.00
25.00,-0.20,6.20,-7.78,-0.25,-0.03,-0.02,-14.97,39.35,-12.49,-1.00
87.00,-0.21,6.24,-7.78,-0.25,-0.03,-0.02,-12.32,39.35,-12.81,-1.00
99.00,-0.21,6.24,-7.78,-0.25,-0.03,-0.02,-12.32,39.35,-12.81,-1.00
111.00,-0.18,6.23,-7.76,-0.25,-0.03,-0.02,-12.32,39.35,-12.81,-1.00
123.00,-0.18,6.23,-7.76,-0.25,-0.03,-0.02,-12.32,39.35,-12.81,-1.00
137.00,-0.18,6.23,-7.76,-0.25,-0.03,-0.02,-12.32,39.35,-12.81,-1.00
149.00,-0.19,6.22,-7.76,-0.25,-0.03,-0.02,-12.32,39.35,-12.81,-1.00
161.00,-0.19,6.22,-7.76,-0.25,-0.03,-0.02,-12.32,39.35,-12.81,-1.00
173.00,-0.20,6.21,-7.77,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
187.00,-0.22,6.21,-7.77,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
199.00,-0.22,6.21,-7.77,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
211.00,-0.19,6.20,-7.79,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
223.00,-0.19,6.20,-7.79,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
238.00,-0.17,6.20,-7.78,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
249.00,-0.17,6.20,-7.79,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
261.00,-0.17,6.20,-7.79,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
275.00,-0.19,6.22,-7.79,-0.25,-0.03,-0.02,-13.46,37.25,-12.81,-1.00
287.00,-0.20,6.21,-7.78,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
299.00,-0.20,6.21,-7.78,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
311.00,-0.21,6.21,-7.80,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
325.00,-0.21,6.22,-7.79,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
337.00,-0.21,6.22,-7.79,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
349.00,-0.20,6.22,-7.78,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
361.00,-0.20,6.22,-7.78,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
375.00,-0.21,6.23,-7.76,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
387.00,-0.20,6.22,-7.77,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
399.00,-0.20,6.22,-7.77,-0.25,-0.03,-0.02,-14.22,38.65,-12.17,-1.00
413.00,-0.20,6.22,-7.79,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
425.00,-0.19,6.20,-7.78,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
437.00,-0.19,6.20,-7.78,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
449.00,-0.19,6.20,-7.78,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
463.00,-0.19,6.20,-7.78,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
475.00,-0.17,6.19,-7.78,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
487.00,-0.19,6.20,-7.78,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
499.00,-0.19,6.20,-7.78,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
514.00,-0.20,6.21,-7.79,-0.25,-0.03,-0.02,-12.32,39.00,-13.44,-1.00
525.00,-0.20,6.22,-7.76,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
537.00,-0.20,6.22,-7.76,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
549.00,-0.21,6.22,-7.79,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
563.00,-0.22,6.21,-7.79,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
575.00,-0.22,6.21,-7.79,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
587.00,-0.19,6.22,-7.75,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
601.00,-0.19,6.22,-7.75,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
613.00,-0.19,6.21,-7.79,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
625.00,-0.18,6.23,-7.79,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
637.00,-0.18,6.23,-7.79,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
651.00,-0.18,6.18,-7.77,-0.25,-0.03,-0.02,-13.27,38.47,-12.97,-1.00
663.00,-0.17,6.21,-7.82,-0.25,-0.03,-0.02,-13.46,38.47,-12.97,-1.00
675.00,-0.17,6.21,-7.82,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
688.00,-0.18,6.21,-7.79,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
701.00,-0.18,6.21,-7.79,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
713.00,-0.19,6.20,-7.78,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
725.00,-0.21,6.21,-7.78,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
739.00,-0.21,6.21,-7.78,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
751.00,-0.21,6.21,-7.78,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
763.00,-0.21,6.22,-7.77,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
775.00,-0.21,6.22,-7.77,-0.25,-0.03,-0.02,-13.46,38.30,-11.54,-1.00
789.00,-0.19,6.22,-7.81,-0.25,-0.03,-0.02,-12.70,36.90,-11.86,-1.00
801.00,-0.19,6.22,-7.81,-0.25,-0.03,-0.02,-12.70,36.90,-11.86,-1.00
813.00,-0.20,6.20,-7.79,-0.25,-0.03,-0.02,-12.70,36.90,-11.86,-1.00
825.00,-0.20,6.21,-7.82,-0.25,-0.04,-0.02,-12.70,36.90,-11.86,-1.00
840.00,-0.20,6.21,-7.82,-0.25,-0.04,-0.02,-12.70,36.90,-11.86,-1.00
852.00,-0.19,6.21,-7.80,-0.25,-0.04,-0.02,-12.70,36.90,-11.86,-1.00
864.00,-0.19,6.20,-7.82,-0.25,-0.03,-0.02,-12.70,36.90,-11.86,-1.00
876.00,-0.19,6.20,-7.82,-0.25,-0.03,-0.02,-12.70,36.90,-11.86,-1.00
890.00,-0.27,6.17,-7.78,-0.25,-0.03,-0.02,-12.70,36.90,-11.86,-1.00
902.00,-0.27,6.17,-7.78,-0.25,-0.03,-0.02,-12.70,36.90,-11.86,-1.00
914.00,-0.27,6.21,-7.82,-0.25,-0.03,-0.02,-13.08,38.30,-12.17,-1.00
928.00,-0.20,6.23,-7.77,-0.25,-0.03,-0.02,-13.08,38.30,-12.17,-1.00
940.00,-0.20,6.23,-7.77,-0.25,-0.03,-0.02,-13.08,38.30,-12.17,-1.00
952.00,-0.13,6.24,-7.76,-0.25,-0.03,-0.01,-13.08,38.30,-12.17,-1.00
964.00,-0.09,6.23,-7.77,-0.25,-0.03,-0.01,-13.08,38.30,-12.17,-1.00
978.00,-0.09,6.23,-7.77,-0.25,-0.03,-0.01,-13.08,38.30,-12.17,-1.00
990.00,-0.09,6.19,-7.72,-0.25,-0.03,-0.02,-13.08,38.30,-12.17,-1.00
1002.00,-0.09,6.19,-7.72,-0.25,-0.03,-0.02,-13.08,38.30,-12.17,-1.00
1014.00,-0.13,6.20,-7.79,-0.25,-0.04,-0.02,-13.08,38.30,-12.17,-1.00
1028.00,-0.22,6.20,-7.86,-0.25,-0.04,-0.02,-14.41,37.77,-12.33,-1.00
1040.00,-0.22,6.20,-7.86,-0.25,-0.04,-0.02,-14.41,37.77,-12.33,-1.00
1052.00,-0.27,6.14,-7.82,-0.25,-0.04,-0.02,-14.41,37.77,-12.33,-1.00
1066.00,-0.33,6.16,-7.84,-0.25,-0.03,-0.02,-14.41,37.77,-12.33,-1.00
1078.00,-0.33,6.16,-7.84,-0.25,-0.03,-0.02,-14.41,37.77,-12.33,-1.00
