time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
0.00,-0.76,-6.36,-7.59,2.57,1.79,1.32,-3.40,-8.79,-29.67,-1.00
0.01,-0.76,-6.36,-7.59,2.57,1.79,1.32,-3.40,-8.79,-29.67,-1.00
0.03,-0.76,-6.37,-7.62,2.56,1.78,1.32,-3.40,-8.79,-29.67,-1.00
0.04,-0.76,-6.36,-7.62,2.56,1.79,1.32,-3.40,-8.79,-29.67,-1.00
0.10,-0.76,-6.36,-7.62,2.56,1.79,1.32,-4.20,-8.09,-29.67,-1.00
0.11,-0.76,-6.36,-7.62,2.56,1.79,1.32,-4.20,-8.09,-29.67,-1.00
0.12,-0.77,-6.36,-7.61,2.56,1.79,1.32,-4.20,-8.09,-29.67,-1.00
0.13,-0.77,-6.36,-7.61,2.56,1.79,1.32,-4.20,-8.09,-29.67,-1.00
0.15,-0.76,-6.38,-7.63,2.57,1.79,1.32,-4.20,-8.09,-29.67,-1.00
0.16,-0.77,-6.42,-7.61,2.57,1.79,1.32,-4.20,-8.09,-29.67,-1.00
0.17,-0.77,-6.42,-7.61,2.57,1.79,1.32,-4.20,-8.09,-29.67,-1.00
0.18,-0.77,-6.38,-7.60,2.57,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.20,-0.77,-6.38,-7.58,2.57,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.21,-0.77,-6.38,-7.58,2.57,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.22,-0.75,-6.38,-7.60,2.57,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.23,-0.75,-6.38,-7.60,2.57,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.25,-0.77,-6.39,-7.56,2.57,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.26,-0.76,-6.37,-7.63,2.56,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.27,-0.76,-6.37,-7.63,2.56,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.28,-0.75,-6.37,-7.62,2.56,1.79,1.32,-4.99,-8.79,-29.04,-1.00
0.30,-0.78,-6.35,-7.64,2.56,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.31,-0.78,-6.35,-7.64,2.56,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.32,-0.76,-6.34,-7.62,2.57,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.33,-0.76,-6.34,-7.62,2.57,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.35,-0.76,-6.36,-7.62,2.57,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.36,-0.74,-6.38,-7.63,2.57,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.37,-0.74,-6.38,-7.63,2.57,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.38,-0.74,-6.38,-7.62,2.57,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.40,-0.75,-6.41,-7.62,2.57,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.41,-0.75,-6.41,-7.62,2.57,1.79,1.32,-2.61,-8.44,-29.04,-1.00
0.42,-0.75,-6.38,-7.65,2.56,1.79,1.32,-5.19,-8.26,-30.14,-1.00
0.43,-0.75,-6.38,-7.65,2.56,1.79,1.32,-5.19,-8.26,-30.14,-1.00
0.45,-0.77,-6.39,-7.64,2.57,1.79,1.32,-5.19,-8.26,-30.14,-1.00
0.46,-0.75,-6.39,-7.62,2.57,1.79,1.32,-5.19,-8.26,-30.14,-1.00
0.47,-0.75,-6.39,-7.62,2.57,1.79,1.32,-5.19,-8.26,-30.14,-1.00
0.48,-0.75,-6.39,-7.65,2.57,1.79,1.31,-5.19,-8.26,-30.14,-1.00
0.50,-0.74,-6.42,-7.65,2.57,1.79,1.31,-5.19,-8.26,-30.14,-1.00
0.51,-0.74,-6.42,-7.65,2.57,1.79,1.31,-5.19,-8.26,-30.14,-1.00
0.52,-0.75,-6.39,-7.65,2.57,1.79,1.31,-5.19,-8.26,-30.14,-1.00
0.53,-0.75,-6.39,-7.65,2.57,1.79,1.31,-5.19,-8.26,-30.14,-1.00
0.55,-0.76,-6.38,-7.63,2.57,1.80,1.31,-5.19,-8.26,-30.14,-1.00
0.56,-0.76,-6.40,-7.63,2.57,1.80,1.31,-5.19,-8.96,-29.51,-1.00
0.57,-0.76,-6.40,-7.63,2.57,1.80,1.31,-5.19,-8.96,-29.51,-1.00
0.58,-0.73,-6.38,-7.64,2.57,1.80,1.31,-5.19,-8.96,-29.51,-1.00
0.60,-0.74,-6.35,-7.62,2.56,1.80,1.31,-5.19,-8.96,-29.51,-1.00
0.61,-0.74,-6.35,-7.62,2.56,1.80,1.31,-5.19,-8.96,-29.51,-1.00
0.62,-0.73,-6.37,-7.59,2.57,1.80,1.31,-5.19,-8.96,-29.51,-1.00
0.63,-0.73,-6.37,-7.59,2.57,1.80,1.31,-5.19,-8.96,-29.51,-1.00
0.65,-0.73,-6.36,-7.58,2.57,1.80,1.31,-5.19,-8.96,-29.51,-1.00
0.66,-0.72,-6.36,-7.59,2.57,1.79,1.32,-5.19,-8.96,-29.51,-1.00
0.67,-0.72,-6.36,-7.59,2.57,1.79,1.32,-5.19,-8.96,-29.51,-1.00
0.68,-0.74,-6.36,-7.62,2.56,1.79,1.32,-3.40,-9.48,-30.30,-1.00
0.70,-0.72,-6.36,-7.63,2.57,1.79,1.32,-3.40,-9.48,-30.30,-1.00
