time,ax,ay,az,gx,gy,gz,mx,my,mz
225.00,-0.48,6.02,-7.98,-0.00,-0.01,0.03,-19.26,19.71,2.90
236.00,-0.48,6.02,-7.98,-0.00,-0.01,0.03,-19.26,19.71,2.90
248.00,-0.49,6.01,-7.98,0.00,-0.01,0.03,-19.26,19.71,2.90
260.00,-0.49,6.01,-7.98,0.00,-0.01,0.03,-19.26,19.71,2.90
273.00,-0.50,5.99,-7.97,-0.00,-0.01,0.03,-19.26,19.71,2.90
285.00,-0.49,6.00,-7.95,0.00,-0.01,0.03,-19.26,19.71,2.90
297.00,-0.49,6.00,-7.95,0.00,-0.01,0.03,-19.26,19.71,2.90
309.00,-0.51,6.01,-7.94,0.00,-0.01,0.03,-19.26,19.71,2.90
322.00,-0.51,6.02,-7.97,0.00,-0.01,0.03,-19.26,19.71,2.90
336.00,-0.51,6.02,-7.97,0.00,-0.01,0.03,-19.26,19.71,2.90
347.00,-0.50,6.02,-7.98,0.00,-0.01,0.03,-17.80,19.49,2.77
360.00,-0.50,6.02,-7.98,0.00,-0.01,0.03,-17.80,19.49,2.77
371.00,-0.50,5.99,-7.99,0.00,-0.01,0.03,-17.80,19.49,2.77
385.00,-0.48,5.99,-7.98,0.00,-0.01,0.03,-17.80,19.49,2.77
396.00,-0.48,5.99,-7.98,0.00,-0.01,0.03,-17.80,19.49,2.77
408.00,-0.50,6.02,-7.98,0.00,-0.01,0.04,-17.80,19.49,2.77
420.00,-0.50,6.02,-7.98,0.00,-0.01,0.04,-17.80,19.49,2.77
434.00,-0.50,6.02,-7.97,0.00,-0.01,0.03,-17.80,19.49,2.77
445.00,-0.50,6.02,-7.97,0.00,-0.01,0.03,-17.80,19.49,2.77
457.00,-0.50,6.02,-7.97,0.00,-0.01,0.03,-17.80,19.49,2.77
469.00,-0.50,6.00,-7.99,0.00,-0.01,0.03,-18.01,20.14,2.13
482.00,-0.50,6.00,-7.99,0.00,-0.01,0.03,-18.01,20.14,2.13
496.00,-0.50,6.00,-7.98,0.00,-0.01,0.03,-18.01,20.14,2.13
508.00,-0.51,6.01,-7.98,0.00,-0.01,0.03,-18.01,20.14,2.13
519.00,-0.51,6.01,-7.98,0.00,-0.01,0.03,-18.01,20.14,2.13
531.00,-0.51,6.01,-7.97,0.00,-0.01,0.03,-18.01,20.14,2.13
545.00,-0.51,6.01,-7.98,0.00,-0.01,0.03,-18.01,20.14,2.13
556.00,-0.51,6.01,-7.98,0.00,-0.01,0.03,-18.01,20.14,2.13
568.00,-0.50,6.01,-7.97,-0.00,-0.01,0.03,-18.01,20.14,2.13
580.00,-0.50,6.01,-7.97,-0.00,-0.01,0.03,-18.01,20.14,2.13
594.00,-0.50,6.01,-8.01,0.00,-0.02,0.04,-17.80,20.80,2.51
605.00,-0.51,5.99,-7.98,-0.00,-0.01,0.03,-17.80,20.80,2.51
617.00,-0.51,5.99,-7.98,-0.00,-0.01,0.03,-17.80,20.80,2.51
630.00,-0.50,6.01,-7.96,-0.01,-0.01,0.03,-17.80,20.80,2.51
641.00,-0.50,6.01,-7.96,-0.01,-0.01,0.03,-17.80,20.80,2.51
656.00,-0.51,6.00,-7.95,-0.01,-0.01,0.03,-17.80,20.80,2.51
667.00,-0.51,6.03,-7.95,-0.02,-0.02,0.03,-17.80,20.80,2.51
679.00,-0.51,6.03,-7.95,-0.02,-0.02,0.03,-17.80,20.80,2.51
691.00,-0.50,6.02,-7.96,-0.02,-0.02,0.03,-17.80,20.80,2.51
705.00,-0.51,6.02,-7.98,-0.01,-0.02,0.04,-17.38,20.36,3.28
716.00,-0.51,6.02,-7.98,-0.01,-0.02,0.04,-17.38,20.36,3.28
728.00,-0.51,6.04,-7.97,-0.01,-0.02,0.04,-17.38,20.36,3.28
740.00,-0.51,6.04,-7.97,-0.01,-0.02,0.04,-17.38,20.36,3.28
754.00,-0.50,6.04,-7.95,-0.02,-0.03,0.04,-17.38,20.36,3.28
765.00,-0.51,6.02,-7.94,-0.01,-0.03,0.04,-17.38,20.36,3.28
778.00,-0.51,6.02,-7.94,-0.01,-0.03,0.04,-17.38,20.36,3.28
789.00,-0.52,6.02,-7.96,-0.03,-0.03,0.04,-17.38,20.36,3.28
803.00,-0.06,5.90,-8.21,-0.08,-0.04,0.05,-17.38,20.36,3.28
815.00,-0.06,5.90,-8.21,-0.08,-0.04,0.05,-17.38,20.36,3.28
826.00,0.77,5.22,-8.71,-0.01,-0.07,0.06,-17.38,20.36,3.28
838.00,0.77,5.22,-8.71,-0.01,-0.07,0.06,-17.38,20.36,3.28
850.00,-0.15,5.93,-8.50,0.08,-0.05,0.06,-16.75,17.96,-0.43
864.00,-0.77,7.44,-9.22,0.53,0.14,0.14,-16.75,17.96,-0.43
875.00,-0.77,7.44,-9.22,0.53,0.14,0.14,-16.75,17.96,-0.43
887.00,-2.16,7.26,-10.06,1.13,0.00,-0.26,-16.75,17.96,-0.43
899.00,-2.16,7.26,-10.06,1.13,0.00,-0.26,-16.75,17.96,-0.43
913.00,-1.68,6.50,-9.75,-0.03,-0.32,-0.72,-16.75,17.96,-0.43
924.00,-1.07,6.00,-8.77,-0.60,-0.18,-0.29,-16.75,17.96,-0.43
937.00,-1.07,6.00,-8.77,-0.60,-0.18,-0.29,-16.75,17.96,-0.43
948.00,-1.29,6.60,-9.26,-0.92,0.20,0.54,-16.75,17.96,-0.43
962.00,-1.29,6.60,-9.26,-0.92,0.20,0.54,-16.75,17.96,-0.43
973.00,-0.28,6.26,-7.60,-1.23,0.31,0.59,-18.01,18.84,0.34
985.00,-0.25,5.77,-7.07,-1.37,0.67,0.69,-18.01,18.84,0.34
997.00,-0.25,5.77,-7.07,-1.37,0.67,0.69,-18.01,18.84,0.34
1011.00,-0.42,6.05,-7.02,-1.32,0.90,0.67,-18.01,18.84,0.34
1098.00,-1.58,9.34,-9.48,-0.30,-1.47,-1.13,-18.22,21.23,2.26
1185.00,-3.63,5.53,-6.52,-0.20,-1.99,-1.23,-18.22,21.23,2.26
1273.00,-3.37,6.27,-5.66,0.40,-2.79,-2.52,-28.26,16.87,8.15
1360.00,-5.23,5.68,-4.61,-0.18,-1.09,-1.73,-37.27,5.76,13.91
1374.00,-5.52,6.50,-5.18,-0.12,-1.21,-1.87,-37.27,5.76,13.91
1385.00,-6.29,6.27,-4.72,-0.44,-0.66,-1.91,-37.27,5.76,13.91
1398.00,-6.29,6.27,-4.72,-0.44,-0.66,-1.91,-37.27,5.76,13.91
1409.00,-7.19,4.58,-4.19,-0.91,-0.15,-1.83,-37.27,5.76,13.91
1423.00,-6.73,4.71,-4.32,-0.88,-0.07,-2.28,-37.27,5.76,13.91
1434.00,-6.73,4.71,-4.32,-0.88,-0.07,-2.28,-37.27,5.76,13.91
1446.00,-6.81,3.27,-3.57,-0.95,-0.15,-2.44,-37.27,5.76,13.91
1458.00,-6.81,3.27,-3.57,-0.95,-0.15,-2.44,-37.27,5.76,13.91
1472.00,-6.83,2.49,-2.99,-0.48,-0.30,-2.23,-40.83,-5.35,16.09
1483.00,-7.09,2.58,-3.18,-0.14,-0.37,-2.04,-40.83,-5.35,16.09
1495.00,-7.09,2.58,-3.18,-0.14,-0.37,-2.04,-40.83,-5.35,16.09
1507.00,-8.12,2.00,-3.38,-0.03,-0.23,-2.01,-40.83,-5.35,16.09
1521.00,-8.12,2.00,-3.38,-0.03,-0.23,-2.01,-40.83,-5.35,16.09
1532.00,-8.07,2.44,-4.02,0.03,0.08,-2.17,-40.83,-5.35,16.09
1545.00,-9.15,1.98,-4.47,-0.05,0.29,-2.15,-40.83,-5.35,16.09
1556.00,-9.15,1.98,-4.47,-0.05,0.29,-2.15,-40.83,-5.35,16.09
1570.00,-10.05,1.34,-4.73,-0.06,0.34,-1.95,-40.83,-5.35,16.09
1581.00,-10.05,1.34,-4.73,-0.06,0.34,-1.95,-40.83,-5.35,16.09
1593.00,-9.84,2.68,-5.37,-0.06,0.07,-1.26,-42.29,-19.95,16.73
1605.00,-9.53,2.09,-4.96,-0.48,0.27,-0.60,-42.29,-19.95,16.73
1619.00,-9.53,2.09,-4.96,-0.48,0.27,-0.60,-42.29,-19.95,16.73
1630.00,-8.33,2.21,-4.51,-0.76,0.62,-0.11,-42.29,-19.95,16.73
1642.00,-8.45,1.89,-4.67,-0.97,0.94,0.33,-42.29,-19.95,16.73
1654.00,-8.45,1.89,-4.67,-0.97,0.94,0.33,-42.29,-19.95,16.73
1668.00,-8.24,2.06,-4.73,-0.82,1.05,-0.02,-42.29,-19.95,16.73
1679.00,-8.24,2.06,-4.73,-0.82,1.05,-0.02,-42.29,-19.95,16.73
1691.00,-8.18,1.08,-4.08,-0.28,0.23,-0.44,-42.29,-19.95,16.73
1704.00,-9.78,0.29,-4.23,0.12,-0.14,-0.85,-42.08,-21.04,14.55
1718.00,-9.78,0.29,-4.23,0.12,-0.14,-0.85,-42.08,-21.04,14.55
1729.00,-9.03,-1.04,-5.08,1.06,0.08,-1.41,-42.08,-21.04,14.55
1741.00,-9.03,-1.04,-5.08,1.06,0.08,-1.41,-42.08,-21.04,14.55
