time,ax,ay,az,gx,gy,gz,mx,my,mz
2.00,-0.55,6.07,-7.92,0.00,-0.02,0.03,-17.17,21.45,-0.43
13.00,-0.55,6.07,-7.92,0.00,-0.02,0.03,-17.17,21.45,-0.43
25.00,-0.57,6.08,-7.93,0.00,-0.02,0.03,-17.17,21.45,-0.43
37.00,-0.57,6.08,-7.93,0.00,-0.02,0.03,-17.17,21.45,-0.43
99.00,-0.58,6.09,-7.92,0.00,-0.02,0.03,-17.38,20.80,-1.33
111.00,-0.56,6.07,-7.94,0.00,-0.02,0.03,-17.38,20.80,-1.33
123.00,-0.57,6.07,-7.93,0.00,-0.02,0.03,-17.38,20.80,-1.33
135.00,-0.57,6.07,-7.93,0.00,-0.02,0.03,-17.38,20.80,-1.33
150.00,-0.59,6.06,-7.92,0.00,-0.02,0.03,-17.38,20.80,-1.33
161.00,-0.60,6.08,-7.92,0.00,-0.02,0.03,-17.38,20.80,-1.33
173.00,-0.60,6.08,-7.92,0.00,-0.02,0.03,-17.38,20.80,-1.33
185.00,-0.58,6.07,-7.91,0.00,-0.02,0.03,-17.38,22.10,-0.56
197.00,-0.58,6.07,-7.91,0.00,-0.02,0.03,-17.38,22.10,-0.56
212.00,-0.57,6.07,-7.93,0.00,-0.02,0.03,-17.38,22.10,-0.56
223.00,-0.57,6.07,-7.93,0.00,-0.02,0.03,-17.38,22.10,-0.56
235.00,-0.57,6.07,-7.93,0.00,-0.02,0.03,-17.38,22.10,-0.56
248.00,-0.58,6.07,-7.94,0.00,-0.02,0.03,-17.38,22.10,-0.56
262.00,-0.60,6.07,-7.93,0.00,-0.02,0.03,-17.38,22.10,-0.56
273.00,-0.60,6.07,-7.93,0.00,-0.02,0.03,-17.38,22.10,-0.56
285.00,-0.67,6.13,-7.87,0.00,-0.02,0.03,-17.38,22.10,-0.56
297.00,-0.67,6.13,-7.87,0.00,-0.02,0.03,-17.38,22.10,-0.56
312.00,-0.59,6.07,-7.92,0.00,-0.02,0.03,-17.38,22.10,-0.56
323.00,-0.45,6.02,-8.00,0.01,-0.02,0.03,-16.54,23.85,-0.05
335.00,-0.45,6.02,-8.00,0.01,-0.02,0.03,-16.54,23.85,-0.05
347.00,-0.49,6.06,-7.94,0.00,-0.02,0.03,-16.54,23.85,-0.05
362.00,-0.62,6.10,-7.92,0.00,-0.02,0.03,-16.54,23.85,-0.05
374.00,-0.62,6.10,-7.92,0.00,-0.02,0.03,-16.54,23.85,-0.05
385.00,-0.67,6.07,-7.95,0.00,-0.02,0.03,-16.54,23.85,-0.05
398.00,-0.67,6.07,-7.95,0.00,-0.02,0.03,-16.54,23.85,-0.05
409.00,-0.61,6.06,-7.90,0.00,-0.02,0.03,-16.54,23.85,-0.05
424.00,-0.53,6.09,-7.90,0.00,-0.02,0.03,-16.54,23.85,-0.05
