time,ax,ay,az,gx,gy,gz,mx,my,mz
1.00,-0.54,6.06,-7.93,0.00,-0.02,0.03,-20.31,24.72,0.98
14.00,-0.54,6.06,-7.93,0.00,-0.02,0.03,-20.31,24.72,0.98
25.00,-0.57,6.06,-7.97,0.00,-0.02,0.03,-18.01,23.19,1.62
37.00,-0.54,6.06,-7.94,0.00,-0.02,0.03,-18.01,23.19,1.62
98.00,-0.55,6.06,-7.95,0.00,-0.02,0.03,-18.01,23.19,1.62
109.00,-0.55,6.06,-7.95,0.00,-0.02,0.03,-18.01,23.19,1.62
121.00,-0.57,6.05,-7.95,0.00,-0.02,0.03,-18.01,23.19,1.62
134.00,-0.57,6.05,-7.95,0.00,-0.02,0.03,-18.01,23.19,1.62
148.00,-0.56,6.05,-7.96,0.00,-0.02,0.03,-19.26,21.89,-0.18
160.00,-0.54,6.07,-7.92,0.00,-0.02,0.03,-19.26,21.89,-0.18
171.00,-0.54,6.07,-7.92,0.00,-0.02,0.03,-19.26,21.89,-0.18
183.00,-0.51,6.06,-7.92,0.00,-0.02,0.03,-19.26,21.89,-0.18
195.00,-0.51,6.06,-7.92,0.00,-0.02,0.03,-19.26,21.89,-0.18
210.00,-0.53,6.07,-7.94,0.00,-0.02,0.03,-19.26,21.89,-0.18
221.00,-0.54,6.04,-7.96,0.00,-0.02,0.03,-19.26,21.89,-0.18
233.00,-0.54,6.04,-7.96,0.00,-0.02,0.03,-19.26,21.89,-0.18
245.00,-0.55,6.05,-7.95,0.00,-0.02,0.03,-19.26,21.89,-0.18
260.00,-0.53,6.06,-7.94,0.00,-0.02,0.03,-19.26,21.89,-0.18
271.00,-0.53,6.06,-7.94,0.00,-0.02,0.03,-19.26,21.89,-0.18
284.00,-0.52,6.06,-7.96,0.00,-0.02,0.03,-18.84,24.07,1.10
295.00,-0.52,6.06,-7.96,0.00,-0.02,0.03,-18.84,24.07,1.10
310.00,-0.51,6.06,-7.95,0.00,-0.02,0.03,-18.84,24.07,1.10
322.00,-0.54,6.06,-7.94,0.00,-0.02,0.03,-18.84,24.07,1.10
333.00,-0.54,6.06,-7.94,0.00,-0.02,0.03,-18.84,24.07,1.10
345.00,-0.55,6.05,-7.97,0.00,-0.02,0.03,-18.84,24.07,1.10
357.00,-0.55,6.06,-7.95,0.00,-0.02,0.03,-18.84,24.07,1.10
372.00,-0.55,6.06,-7.95,0.00,-0.02,0.03,-18.84,24.07,1.10
383.00,-0.55,6.09,-7.91,0.00,-0.02,0.03,-18.84,24.07,1.10
395.00,-0.55,6.09,-7.91,0.00,-0.02,0.03,-18.84,24.07,1.10
407.00,-0.53,6.07,-7.93,0.00,-0.02,0.03,-16.75,20.14,-0.18
422.00,-0.52,6.07,-7.97,0.00,-0.02,0.03,-16.75,20.14,-0.18
434.00,-0.52,6.07,-7.97,0.00,-0.02,0.03,-16.75,20.14,-0.18
445.00,-0.53,6.07,-7.98,0.00,-0.02,0.03,-16.75,20.14,-0.18
457.00,-0.54,6.05,-7.92,0.00,-0.02,0.03,-16.75,20.14,-0.18
472.00,-0.54,6.05,-7.92,0.00,-0.02,0.03,-16.75,20.14,-0.18
483.00,-0.53,6.06,-7.91,0.00,-0.02,0.03,-16.75,20.14,-0.18
495.00,-0.53,6.06,-7.91,0.00,-0.02,0.03,-16.75,20.14,-0.18
507.00,-0.53,6.07,-7.95,0.00,-0.02,0.03,-16.75,20.14,-0.18
519.00,-0.52,6.06,-7.94,0.00,-0.02,0.03,-18.01,22.32,1.36
534.00,-0.52,6.06,-7.94,0.00,-0.02,0.03,-18.01,22.32,1.36
545.00,-0.53,6.04,-7.94,0.00,-0.02,0.03,-18.01,22.32,1.36
557.00,-0.54,6.06,-7.95,0.00,-0.02,0.03,-18.01,22.32,1.36
