time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
220.00,-9.12,-0.05,-4.00,0.43,1.01,-0.15,-25.37,2.13,-24.43,-1.00
231.00,-9.18,-0.12,-3.96,0.42,1.01,-0.15,-25.37,2.13,-24.43,-1.00
243.00,-9.18,-0.12,-3.96,0.42,1.01,-0.15,-25.37,2.13,-24.43,-1.00
255.00,-9.17,-0.10,-4.18,0.43,1.02,-0.16,-25.37,2.13,-24.43,-1.00
268.00,-9.14,-0.09,-4.09,0.47,1.01,-0.16,-27.60,1.41,-23.75,-1.00
280.00,-9.14,-0.09,-4.09,0.47,1.01,-0.16,-27.60,1.41,-23.75,-1.00
292.00,-9.11,-0.08,-4.06,0.48,1.00,-0.17,-27.60,1.41,-23.75,-1.00
304.00,-9.11,-0.08,-4.06,0.48,1.00,-0.17,-27.60,1.41,-23.75,-1.00
317.00,-9.08,-0.09,-4.02,0.45,1.00,-0.17,-27.60,1.41,-23.75,-1.00
329.00,-9.12,-0.12,-4.04,0.41,1.00,-0.16,-27.60,1.41,-23.75,-1.00
341.00,-9.12,-0.12,-4.04,0.41,1.00,-0.16,-27.60,1.41,-23.75,-1.00
354.00,-9.12,-0.05,-4.07,0.43,1.01,-0.15,-27.60,1.41,-23.75,-1.00
441.00,-9.03,-0.07,-4.07,0.46,1.00,-0.16,-24.81,1.23,-23.58,-1.00
528.00,-9.01,-0.07,-4.23,0.45,0.98,-0.17,-25.37,0.70,-24.09,-1.00
615.00,-9.24,0.06,-3.91,0.42,0.85,-0.19,-25.37,0.70,-24.09,-1.00
628.00,-9.17,-0.22,-4.15,0.56,0.90,-0.16,-25.37,0.70,-24.09,-1.00
640.00,-9.17,-0.22,-4.15,0.56,0.90,-0.16,-25.37,0.70,-24.09,-1.00
652.00,-9.27,-0.25,-3.81,0.44,0.87,-0.14,-27.41,1.23,-24.26,-1.00
664.00,-9.27,-0.25,-3.81,0.44,0.87,-0.14,-27.41,1.23,-24.26,-1.00
677.00,-9.36,0.14,-4.41,0.36,0.89,-0.15,-27.41,1.23,-24.26,-1.00
689.00,-9.46,-0.14,-4.60,0.38,0.85,-0.20,-27.41,1.23,-24.26,-1.00
701.00,-9.46,-0.14,-4.60,0.38,0.85,-0.20,-27.41,1.23,-24.26,-1.00
713.00,-9.29,-0.49,-4.07,0.24,0.72,-0.22,-27.41,1.23,-24.26,-1.00
726.00,-9.29,-0.49,-4.07,0.24,0.72,-0.22,-27.41,1.23,-24.26,-1.00
738.00,-9.38,-0.33,-3.87,0.00,0.66,-0.17,-27.41,1.23,-24.26,-1.00
750.00,-9.45,0.46,-4.05,-0.16,0.68,-0.10,-27.41,1.23,-24.26,-1.00
762.00,-9.45,0.46,-4.05,-0.16,0.68,-0.10,-27.41,1.23,-24.26,-1.00
775.00,-9.46,1.15,-4.42,-0.34,0.66,-0.17,-27.41,1.23,-24.26,-1.00
787.00,-9.33,1.19,-4.11,-0.57,0.58,-0.35,-27.97,3.56,-22.40,-1.00
799.00,-9.33,1.19,-4.11,-0.57,0.58,-0.35,-27.97,3.56,-22.40,-1.00
812.00,-9.28,0.64,-3.40,-0.83,0.54,-0.52,-27.97,3.56,-22.40,-1.00
824.00,-9.28,0.64,-3.40,-0.83,0.54,-0.52,-27.97,3.56,-22.40,-1.00
836.00,-9.25,0.66,-2.96,-1.12,0.59,-0.58,-27.97,3.56,-22.40,-1.00
848.00,-9.17,1.06,-3.42,-1.34,0.78,-0.57,-27.97,3.56,-22.40,-1.00
861.00,-9.17,1.06,-3.42,-1.34,0.78,-0.57,-27.97,3.56,-22.40,-1.00
873.00,-9.26,0.38,-3.41,-1.56,0.89,-0.58,-27.97,3.56,-22.40,-1.00
885.00,-9.26,0.38,-3.41,-1.56,0.89,-0.58,-27.97,3.56,-22.40,-1.00
897.00,-9.12,0.21,-3.88,-1.84,0.80,-0.54,-27.97,3.56,-22.40,-1.00
910.00,-9.11,-0.78,-3.89,-1.57,0.63,-0.40,-29.09,8.23,-20.71,-1.00
922.00,-9.11,-0.78,-3.89,-1.57,0.63,-0.40,-29.09,8.23,-20.71,-1.00
934.00,-10.01,-1.06,-3.20,-1.57,0.50,-0.10,-29.09,8.23,-20.71,-1.00
946.00,-10.01,-1.06,-3.20,-1.57,0.50,-0.10,-29.09,8.23,-20.71,-1.00
959.00,-10.04,-0.40,-2.05,-1.94,0.61,0.17,-29.09,8.23,-20.71,-1.00
