time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,psi,theta,normAccel,normMag,normGyr
0.001,-7.91,-4.2,-4.25,0.44,1.02,-0.16,-14.21,-38.76,-2.49,-1.0,-2.808183051090326,52.93286417639942,0.0,0.0,0.0
0.013000000000000001,-7.86,-4.25,-4.39,0.46,1.02,-0.17,-14.21,-38.76,-2.49,-1.0,-3.4683025071639,52.53556469515485,9.913152878877638,41.35772962820855,64.30414355603216
0.025,-7.86,-4.25,-4.39,0.46,1.02,-0.17,-14.21,-38.76,-2.49,-1.0,-3.686665632178683,52.40334251772447,9.955611482977828,41.35772962820855,64.84556001554805
0.08600000000000001,-7.99,-4.17,-4.04,0.45,1.0,-0.16,-11.23,-37.68,-3.16,-1.0,-1.9574796290336793,52.80145489442896,9.955611482977828,41.35772962820855,64.84556001554805
0.098,-7.94,-4.18,-4.08,0.45,1.01,-0.16,-11.23,-37.68,-3.16,-1.0,-1.020091205024996,52.9728585178608,9.87677072731771,39.44465616531598,63.494995696113115
0.11,-7.85,-4.14,-4.18,0.43,1.02,-0.16,-11.23,-37.68,-3.16,-1.0,-0.6369300932543178,53.00217820219896,9.857098964705589,39.44465616531598,64.01249007877024
0.122,-7.85,-4.14,-4.18,0.43,1.02,-0.16,-11.23,-37.68,-3.16,-1.0,-0.3632872115625819,53.023178991900494,9.809918450221693,39.44465616531598,64.08168586444718
0.136,-7.94,-4.23,-4.38,0.42,1.02,-0.16,-11.23,-37.68,-3.16,-1.0,-0.3217501018435787,52.95936777188203,9.809918450221693,39.44465616531598,64.08168586444718
0.148,-7.94,-4.23,-4.38,0.42,1.02,-0.16,-11.23,-37.68,-3.16,-1.0,-0.2882728802292269,52.90981095712769,10.006043174002398,39.44465616531598,63.86359377027408
0.16,-7.94,-4.25,-4.5,0.46,1.02,-0.16,-12.72,-37.68,-3.5,-1.0,-0.4616519054882043,52.82438929555562,10.006043174002398,39.44465616531598,63.86359377027408
0.17200000000000001,-7.99,-4.29,-4.19,0.51,1.0,-0.17,-12.72,-37.68,-3.5,-1.0,-0.29428732983196754,52.851066306932836,10.067576669685709,39.92281052230667,64.7619748986626
0.186,-7.99,-4.29,-4.19,0.51,1.0,-0.17,-12.72,-37.68,-3.5,-1.0,-0.1543790050135241,52.873200726166544,9.990010010004996,39.92281052230667,65.05026814060906
0.273,-7.92,-4.23,-4.39,0.44,1.0,-0.13,-14.39,-38.58,-1.98,-1.0,-0.536586900626134,52.83780115102803,9.990010010004996,39.92281052230667,65.05026814060906
0.36,-7.84,-4.14,-3.99,0.43,1.03,-0.16,-14.39,-38.58,-1.98,-1.0,-0.6266643023219779,52.90175705300314,9.99456852495394,41.22388749256916,63.03837788751561
0.447,-8.02,-4.15,-4.1,0.51,1.0,-0.17,-13.46,-38.04,-4.85,-1.0,-0.36688686247941443,52.97287729004864,9.722412252111098,41.22388749256916,64.60464374489601
0.461,-7.96,-4.08,-3.83,0.54,0.99,-0.17,-13.46,-38.04,-4.85,-1.0,0.0,53.0915749353029,9.91730306081245,40.64155139755371,65.05026814060906
0.47300000000000003,-7.86,-4.11,-3.98,0.51,0.99,-0.15,-13.46,-38.04,-4.85,-1.0,0.228729579308785,53.14135992596067,9.730205547674727,40.64155139755371,65.34231354050202
0.485,-7.86,-4.11,-3.98,0.51,0.99,-0.15,-13.46,-38.04,-4.85,-1.0,0.43308807226226764,53.18568444991422,9.721733384535908,40.64155139755371,64.38322435355214
0.497,-7.86,-4.14,-4.29,0.49,0.99,-0.13,-13.46,-38.04,-4.85,-1.0,0.4574945284201842,53.16667779078125,9.721733384535908,40.64155139755371,64.38322435355214
0.511,-7.93,-4.14,-4.53,0.49,1.0,-0.13,-13.46,-38.04,-4.85,-1.0,0.366715405361837,53.122291636768864,9.865257219150447,40.64155139755371,63.72722915363203
0.523,-7.93,-4.14,-4.53,0.49,1.0,-0.13,-13.46,-38.04,-4.85,-1.0,0.2848326360189215,53.08206186013203,10.02723291840775,40.64155139755371,64.23774265931799
0.535,-7.87,-4.06,-4.96,0.55,0.97,-0.15,-14.02,-37.15,-3.67,-1.0,-0.1364921887280596,52.983355600002966,10.02723291840775,40.64155139755371,64.23774265931799
0.549,-7.87,-4.06,-4.96,0.55,0.97,-0.15,-14.02,-37.15,-3.67,-1.0,-0.5196620652156505,52.89290621042272,10.149980295547376,39.87670748695283,64.46475438935502
0.561,-7.8,-4.49,-4.62,0.71,0.9,-0.16,-14.02,-37.15,-3.67,-1.0,-0.6479562467036748,52.78901588862334,10.149980295547376,39.87670748695283,64.46475438935502
0.5730000000000001,-7.89,-4.65,-4.48,0.76,0.78,-0.14,-14.02,-37.15,-3.67,-1.0,-0.6688921295626857,52.70408012703297,10.116545853205036,39.87670748695283,66.31723506834956
0.585,-7.89,-4.65,-4.48,0.76,0.78,-0.14,-14.02,-37.15,-3.67,-1.0,-0.6010095322067651,52.613533519109154,10.195342073711897,39.87670748695283,62.91066154138071
0.599,-8.1,-4.88,-3.36,0.85,0.68,-0.1,-14.02,-37.15,-3.67,-1.0,0.0400729716027164,52.7004858791837,10.195342073711897,39.87670748695283,62.91066154138071
0.611,-8.26,-4.55,-3.0,1.08,0.78,0.05,-14.02,-37.15,-3.67,-1.0,0.7891770704197879,52.897583069351555,10.035636501986309,39.87670748695283,62.630865454893986
0.623,-8.26,-4.55,-3.0,1.08,0.78,0.05,-14.02,-37.15,-3.67,-1.0,1.242748967671841,53.019520333937294,9.895963823701054,39.87670748695283,76.38410650047477
0.635,-7.97,-4.36,-3.76,1.18,0.92,0.09,-14.02,-37.15,-3.67,-1.0,1.3332140845757756,53.041119228699046,9.895963823701054,39.87670748695283,76.38410650047477
0.649,-7.97,-4.36,-3.76,1.18,0.92,0.09,-14.02,-37.15,-3.67,-1.0,1.4845015669118835,53.08256017071929,9.83199369405819,39.87670748695283,85.88444322367927
0.661,-7.92,-4.25,-4.11,1.5,0.93,0.18,-16.25,-37.5,-3.67,-1.0,1.3736411426866155,53.0866451539284,9.83199369405819,39.87670748695283,85.88444322367927
0.673,-7.99,-4.65,-3.76,1.9,0.85,0.17,-16.25,-37.5,-3.67,-1.0,1.5529418539351418,53.11695320832297,9.883369870646348,41.03390549289697,101.64633011275893
0.685,-7.99,-4.65,-3.76,1.9,0.85,0.17,-16.25,-37.5,-3.67,-1.0,1.733951165688617,53.14659606743149,9.97998997995489,41.03390549289697,119.65630620632254
0.6990000000000001,-8.0,-4.45,-3.64,2.28,0.84,0.18,-16.25,-37.5,-3.67,-1.0,2.0180998131635457,53.23691289870288,9.97998997995489,41.03390549289697,119.65630620632254
0.711,-8.06,-4.68,-3.08,2.56,0.88,0.25,-16.25,-37.5,-3.67,-1.0,2.453272523945119,53.33367569836531,9.851502423488512,41.03390549289697,139.599611805369
0.723,-8.06,-4.68,-3.08,2.56,0.88,0.25,-16.25,-37.5,-3.67,-1.0,2.8947885928038795,53.429152773634286,9.815925835090647,41.03390549289697,155.76129278406043
0.735,-6.7,-6.64,4.08,2.61,0.93,0.38,-16.25,-37.5,-3.67,-1.0,7.17793316115237,53.95548609005979,9.815925835090647,41.03390549289697,155.76129278406043
0.749,-6.7,-6.64,4.08,2.61,0.93,0.38,-16.25,-37.5,-3.67,-1.0,11.598549545768309,54.359803782701505,10.277451045857626,41.03390549289697,160.2377657919064
0.761,-7.2,-3.62,-4.76,0.51,1.41,0.71,-16.25,-37.5,-3.67,-1.0,10.864159303196661,54.253794709580916,10.277451045857626,41.03390549289697,160.2377657919064
0.773,-9.23,-2.89,-3.11,1.22,1.65,0.83,-16.25,-37.5,-3.67,-1.0,10.979081119515522,54.696359186640336,9.359594008289035,41.03390549289697,95.05402630681839
0.788,-9.23,-2.89,-3.11,1.22,1.65,0.83,-16.25,-37.5,-3.67,-1.0,11.175317747759243,55.17358133765296,10.159581684301772,41.03390549289697,126.8270261174153
0.8,-8.43,-4.1,-2.22,1.4,1.51,0.52,-17.93,-39.12,0.55,-1.0,11.588706572165625,55.45408486062044,10.159581684301772,41.03390549289697,126.8270261174153
0.812,-8.32,-3.48,-4.47,1.08,1.47,0.45,-17.93,-39.12,0.55,-1.0,10.848734785617012,55.59956315042598,9.633446942813356,43.036749412565996,121.68441988080467
0.8240000000000001,-8.32,-3.48,-4.47,1.08,1.47,0.45,-17.93,-39.12,0.55,-1.0,10.231855108107258,55.76289693376785,10.06547067950625,43.036749412565996,107.64594676192623
0.838,-8.71,-2.96,-3.4,1.21,1.22,0.43,-17.93,-39.12,0.55,-1.0,10.138376331804029,56.18443038599497,10.06547067950625,43.036749412565996,107.64594676192623
0.85,-9.07,-2.59,-2.57,1.32,1.05,0.39,-17.93,-39.12,0.55,-1.0,10.844095227702585,56.8545419030456,9.807430856243649,43.036749412565996,101.48633722096213
0.862,-9.07,-2.59,-2.57,1.32,1.05,0.39,-17.93,-39.12,0.55,-1.0,11.568588399523113,57.5251484952889,9.776395041118173,43.036749412565996,99.18956916422815
0.874,-9.07,-1.7,-3.57,1.36,1.16,0.33,-17.93,-39.12,0.55,-1.0,11.3116438910304,58.267700543357336,9.776395041118173,43.036749412565996,99.18956916422815
0.888,-9.07,-1.7,-3.57,1.36,1.16,0.33,-17.93,-39.12,0.55,-1.0,10.918086811519288,59.01068594972344,9.894432778082836,43.036749412565996,104.1475897996387
0.9,-7.9,-3.5,-1.75,1.77,1.22,0.1,-17.93,-39.12,0.55,-1.0,11.812830085513314,59.53149735683411,9.894432778082836,43.036749412565996,104.1475897996387
0.912,-8.88,-5.78,-0.78,1.51,1.36,-0.17,-19.41,-39.84,3.92,-1.0,12.859416312487419,59.7758583913529,8.816036524425247,43.036749412565996,123.30312667896703
0.924,-8.88,-5.78,-0.78,1.51,1.36,-0.17,-19.41,-39.84,3.92,-1.0,13.762768765323337,59.8904562120228,10.624085843026684,44.48977522982107,116.84125336181071
0.9380000000000001,-8.8,-6.02,-1.24,0.55,1.52,-0.13,-19.41,-39.84,3.92,-1.0,14.434726092569564,59.891903704133256,10.624085843026684,44.48977522982107,116.84125336181071
0.9500000000000001,-8.54,-4.97,-2.92,0.1,1.75,0.23,-19.41,-39.84,3.92,-1.0,14.398109733598421,59.942962124000815,10.73396478473821,44.48977522982107,92.91460670562452
0.962,-8.54,-4.97,-2.92,0.1,1.75,0.23,-19.41,-39.84,3.92,-1.0,14.36364773761237,59.99196445373528,10.303344117324238,44.48977522982107,101.29206763773117
0.974,-9.41,-3.4,-5.32,0.33,1.78,0.43,-19.41,-39.84,3.92,-1.0,12.989187739765523,60.18970185254574,10.303344117324238,44.48977522982107,101.29206763773117
0.988,-9.41,-3.4,-5.32,0.33,1.78,0.43,-19.41,-39.84,3.92,-1.0,11.347662242809864,60.40469092580631,11.331835685360074,44.48977522982107,106.6101878105965
1.0,-8.13,-4.14,-3.96,1.07,1.64,0.38,-19.41,-39.84,3.92,-1.0,10.535575807178782,60.48716690277206,11.331835685360074,44.48977522982107,106.6101878105965
1.012,-10.53,-5.85,-1.44,1.37,1.52,0.79,-19.41,-39.84,3.92,-1.0,11.701021937899707,60.7728023049558,9.945757889673366,44.48977522982107,114.28892416180025
1.024,-10.53,-5.85,-1.44,1.37,1.52,0.79,-19.41,-39.84,3.92,-1.0,12.48402075880281,61.0183905931917,12.13165281402332,44.48977522982107,125.67774056071546
1.038,-8.33,-3.65,-2.97,1.19,1.04,0.77,-21.09,-38.94,5.1,-1.0,11.65331329395137,61.23978341678756,12.13165281402332,44.48977522982107,125.67774056071546
1.05,-8.87,-3.31,-2.67,1.12,0.9,0.73,-21.09,-38.94,5.1,-1.0,6.6096850426866105,61.3192767784717,9.567251433928138,44.5771432462871,100.72656702849699
1.062,-8.87,-3.31,-2.67,1.12,0.9,0.73,-21.09,-38.94,5.1,-1.0,1.7611877532135058,61.304975892096905,9.836762678849174,44.5771432462871,92.33868600367619
1.076,-8.67,-0.51,-5.35,1.52,0.54,0.46,-21.09,-38.94,5.1,-1.0,0.24784211845743198,61.878579082106825,9.836762678849174,44.5771432462871,92.33868600367619
1.088,-8.67,-0.51,-5.35,1.52,0.54,0.46,-21.09,-38.94,5.1,-1.0,-2.1580975242992233,61.90036580492196,10.20056370991329,44.5771432462871,96.10673205552796
1.1,-7.88,-3.91,-0.74,1.87,0.08,-0.11,-21.09,-38.94,5.1,-1.0,-1.4961027175693333,61.90247159669357,10.20056370991329,44.5771432462871,96.10673205552796
1.112,-8.54,-2.91,-2.73,1.44,0.55,0.41,-21.09,-38.94,5.1,-1.0,-2.3918945947595773,62.03456699357653,8.827802671106781,44.5771432462871,107.42614878525286
1.1260000000000001,-8.54,-2.91,-2.73,1.44,0.55,0.41,-21.09,-38.94,5.1,-1.0,-1.9604774130609477,62.37157422486976,9.426165710404204,44.5771432462871,91.3899114547108
1.1380000000000001,-9.57,-4.55,-0.19,2.0,0.64,0.76,-21.09,-38.94,5.1,-1.0,0.3169084027438109,62.87156351990623,9.426165710404204,44.5771432462871,91.3899114547108
1.1500000000000001,-8.43,-5.03,-1.14,1.33,0.81,0.56,-24.62,-36.61,10.0,-1.0,1.1297621643370532,62.77656533584479,10.598278162041229,44.5771432462871,127.95316263687495
