time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
226.00,-4.75,-1.90,-8.61,0.05,-0.01,0.00,-1.06,-20.93,-34.56,918.00
237.00,-4.85,-1.95,-8.39,0.03,-0.01,0.02,-1.06,-20.93,-34.56,918.00
249.00,-4.85,-1.95,-8.39,0.03,-0.01,0.02,-1.06,-20.93,-34.56,918.00
261.00,-4.85,-1.90,-8.41,-0.02,-0.01,0.03,-1.06,-20.93,-34.56,918.00
275.00,-4.83,-1.85,-8.64,-0.04,0.00,0.02,-1.06,-20.93,-34.56,918.00
286.00,-4.83,-1.85,-8.64,-0.04,0.00,0.02,-1.06,-20.93,-34.56,918.00
298.00,-4.87,-1.86,-8.42,-0.01,-0.01,0.01,-1.06,-20.93,-34.56,918.00
313.00,-4.81,-1.90,-8.58,-0.03,-0.01,-0.01,-0.87,-20.44,-35.06,918.00
324.00,-4.81,-1.90,-8.58,-0.03,-0.01,-0.01,-0.87,-20.44,-35.06,918.00
337.00,-4.83,-1.90,-8.64,-0.01,-0.01,-0.00,-0.87,-20.44,-35.06,918.00
348.00,-4.83,-1.90,-8.64,-0.01,-0.01,-0.00,-0.87,-20.44,-35.06,918.00
362.00,-4.89,-1.91,-8.49,0.02,-0.02,0.01,-0.87,-20.44,-35.06,918.00
374.00,-4.81,-1.89,-8.56,-0.00,-0.02,0.01,-0.87,-20.44,-35.06,918.00
385.00,-4.81,-1.89,-8.56,-0.00,-0.02,0.01,-0.87,-20.44,-35.06,918.00
397.00,-4.87,-1.91,-8.58,-0.02,0.00,0.02,-0.87,-20.44,-35.06,918.00
412.00,-4.81,-1.83,-8.43,0.00,0.00,0.02,-0.87,-20.44,-35.06,918.00
423.00,-4.81,-1.83,-8.43,0.00,0.00,0.02,-0.87,-20.44,-35.06,918.00
435.00,-4.81,-1.86,-8.42,0.02,-0.00,0.01,-2.39,-19.79,-34.72,918.00
449.00,-4.81,-1.86,-8.42,0.02,-0.00,0.01,-2.39,-19.79,-34.72,918.00
460.00,-4.86,-1.85,-8.35,0.00,-0.03,0.00,-2.39,-19.79,-34.72,918.00
