time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-7.91,-4.20,-4.25,0.44,1.02,-0.16,-14.21,-38.76,-2.49,-1.00
13.00,-7.86,-4.25,-4.39,0.46,1.02,-0.17,-14.21,-38.76,-2.49,-1.00
25.00,-7.86,-4.25,-4.39,0.46,1.02,-0.17,-14.21,-38.76,-2.49,-1.00
86.00,-7.99,-4.17,-4.04,0.45,1.00,-0.16,-11.23,-37.68,-3.16,-1.00
98.00,-7.94,-4.18,-4.08,0.45,1.01,-0.16,-11.23,-37.68,-3.16,-1.00
110.00,-7.85,-4.14,-4.18,0.43,1.02,-0.16,-11.23,-37.68,-3.16,-1.00
122.00,-7.85,-4.14,-4.18,0.43,1.02,-0.16,-11.23,-37.68,-3.16,-1.00
136.00,-7.94,-4.23,-4.38,0.42,1.02,-0.16,-11.23,-37.68,-3.16,-1.00
148.00,-7.94,-4.23,-4.38,0.42,1.02,-0.16,-11.23,-37.68,-3.16,-1.00
160.00,-7.94,-4.25,-4.50,0.46,1.02,-0.16,-12.72,-37.68,-3.50,-1.00
172.00,-7.99,-4.29,-4.19,0.51,1.00,-0.17,-12.72,-37.68,-3.50,-1.00
186.00,-7.99,-4.29,-4.19,0.51,1.00,-0.17,-12.72,-37.68,-3.50,-1.00
273.00,-7.92,-4.23,-4.39,0.44,1.00,-0.13,-14.39,-38.58,-1.98,-1.00
360.00,-7.84,-4.14,-3.99,0.43,1.03,-0.16,-14.39,-38.58,-1.98,-1.00
447.00,-8.02,-4.15,-4.10,0.51,1.00,-0.17,-13.46,-38.04,-4.85,-1.00
461.00,-7.96,-4.08,-3.83,0.54,0.99,-0.17,-13.46,-38.04,-4.85,-1.00
473.00,-7.86,-4.11,-3.98,0.51,0.99,-0.15,-13.46,-38.04,-4.85,-1.00
485.00,-7.86,-4.11,-3.98,0.51,0.99,-0.15,-13.46,-38.04,-4.85,-1.00
497.00,-7.86,-4.14,-4.29,0.49,0.99,-0.13,-13.46,-38.04,-4.85,-1.00
511.00,-7.93,-4.14,-4.53,0.49,1.00,-0.13,-13.46,-38.04,-4.85,-1.00
523.00,-7.93,-4.14,-4.53,0.49,1.00,-0.13,-13.46,-38.04,-4.85,-1.00
535.00,-7.87,-4.06,-4.96,0.55,0.97,-0.15,-14.02,-37.15,-3.67,-1.00
549.00,-7.87,-4.06,-4.96,0.55,0.97,-0.15,-14.02,-37.15,-3.67,-1.00
561.00,-7.80,-4.49,-4.62,0.71,0.90,-0.16,-14.02,-37.15,-3.67,-1.00
573.00,-7.89,-4.65,-4.48,0.76,0.78,-0.14,-14.02,-37.15,-3.67,-1.00
585.00,-7.89,-4.65,-4.48,0.76,0.78,-0.14,-14.02,-37.15,-3.67,-1.00
599.00,-8.10,-4.88,-3.36,0.85,0.68,-0.10,-14.02,-37.15,-3.67,-1.00
611.00,-8.26,-4.55,-3.00,1.08,0.78,0.05,-14.02,-37.15,-3.67,-1.00
623.00,-8.26,-4.55,-3.00,1.08,0.78,0.05,-14.02,-37.15,-3.67,-1.00
635.00,-7.97,-4.36,-3.76,1.18,0.92,0.09,-14.02,-37.15,-3.67,-1.00
649.00,-7.97,-4.36,-3.76,1.18,0.92,0.09,-14.02,-37.15,-3.67,-1.00
661.00,-7.92,-4.25,-4.11,1.50,0.93,0.18,-16.25,-37.50,-3.67,-1.00
673.00,-7.99,-4.65,-3.76,1.90,0.85,0.17,-16.25,-37.50,-3.67,-1.00
685.00,-7.99,-4.65,-3.76,1.90,0.85,0.17,-16.25,-37.50,-3.67,-1.00
699.00,-8.00,-4.45,-3.64,2.28,0.84,0.18,-16.25,-37.50,-3.67,-1.00
711.00,-8.06,-4.68,-3.08,2.56,0.88,0.25,-16.25,-37.50,-3.67,-1.00
723.00,-8.06,-4.68,-3.08,2.56,0.88,0.25,-16.25,-37.50,-3.67,-1.00
735.00,-6.70,-6.64,4.08,2.61,0.93,0.38,-16.25,-37.50,-3.67,-1.00
749.00,-6.70,-6.64,4.08,2.61,0.93,0.38,-16.25,-37.50,-3.67,-1.00
761.00,-7.20,-3.62,-4.76,0.51,1.41,0.71,-16.25,-37.50,-3.67,-1.00
773.00,-9.23,-2.89,-3.11,1.22,1.65,0.83,-16.25,-37.50,-3.67,-1.00
788.00,-9.23,-2.89,-3.11,1.22,1.65,0.83,-16.25,-37.50,-3.67,-1.00
800.00,-8.43,-4.10,-2.22,1.40,1.51,0.52,-17.93,-39.12,0.55,-1.00
812.00,-8.32,-3.48,-4.47,1.08,1.47,0.45,-17.93,-39.12,0.55,-1.00
824.00,-8.32,-3.48,-4.47,1.08,1.47,0.45,-17.93,-39.12,0.55,-1.00
838.00,-8.71,-2.96,-3.40,1.21,1.22,0.43,-17.93,-39.12,0.55,-1.00
850.00,-9.07,-2.59,-2.57,1.32,1.05,0.39,-17.93,-39.12,0.55,-1.00
