time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
220.00,0.35,-1.50,-10.03,-0.21,0.01,0.16,26.27,-20.41,-32.76,-1.00
232.00,0.35,-1.50,-10.03,-0.21,0.01,0.16,26.27,-20.41,-32.76,-1.00
244.00,0.53,-1.74,-9.97,-0.12,0.05,0.33,26.27,-20.41,-32.76,-1.00
256.00,0.53,-1.74,-9.97,-0.12,0.05,0.33,26.27,-20.41,-32.76,-1.00
269.00,0.86,-1.73,-10.08,0.01,0.04,0.44,26.27,-20.41,-32.76,-1.00
281.00,0.73,-1.93,-10.01,0.27,0.03,0.51,26.27,-20.41,-32.76,-1.00
293.00,0.73,-1.93,-10.01,0.27,0.03,0.51,26.27,-20.41,-32.76,-1.00
306.00,0.47,-1.93,-9.81,0.54,0.04,0.65,26.27,-20.41,-32.76,-1.00
318.00,-0.06,-2.19,-9.46,0.48,0.10,0.70,26.27,-20.41,-32.76,-1.00
330.00,-0.06,-2.19,-9.46,0.48,0.10,0.70,26.27,-20.41,-32.76,-1.00
342.00,-0.00,-2.31,-9.64,0.17,0.13,0.60,26.27,-20.41,-32.76,-1.00
355.00,-0.00,-2.31,-9.64,0.17,0.13,0.60,26.27,-20.41,-32.76,-1.00
367.00,0.53,-2.15,-9.68,0.26,0.12,0.74,26.46,-24.43,-31.97,-1.00
379.00,0.99,-2.81,-9.72,0.53,0.18,1.03,26.46,-24.43,-31.97,-1.00
391.00,0.99,-2.81,-9.72,0.53,0.18,1.03,26.46,-24.43,-31.97,-1.00
404.00,-0.27,-4.97,-6.31,0.28,0.25,1.28,26.46,-24.43,-31.97,-1.00
416.00,-0.27,-4.97,-6.31,0.28,0.25,1.28,26.46,-24.43,-31.97,-1.00
428.00,0.76,-4.57,-8.47,-2.91,0.21,1.08,26.46,-24.43,-31.97,-1.00
440.00,1.34,-1.76,-10.15,-4.24,0.04,1.22,26.46,-24.43,-31.97,-1.00
453.00,1.34,-1.76,-10.15,-4.24,0.04,1.22,26.46,-24.43,-31.97,-1.00
465.00,0.52,-0.37,-10.57,-3.73,0.18,1.79,26.46,-24.43,-31.97,-1.00
477.00,-0.47,1.04,-11.67,-3.36,0.31,1.87,26.46,-24.43,-31.97,-1.00
489.00,-0.47,1.04,-11.67,-3.36,0.31,1.87,25.14,-18.31,-35.30,-1.00
502.00,-0.90,1.11,-10.33,-2.34,0.36,1.35,25.14,-18.31,-35.30,-1.00
514.00,-0.90,1.11,-10.33,-2.34,0.36,1.35,25.14,-18.31,-35.30,-1.00
526.00,-0.10,1.46,-9.61,-1.76,0.33,0.61,25.14,-18.31,-35.30,-1.00
538.00,0.43,0.51,-8.56,-1.09,0.01,0.25,25.14,-18.31,-35.30,-1.00
551.00,0.43,0.51,-8.56,-1.09,0.01,0.25,25.14,-18.31,-35.30,-1.00
563.00,0.22,-0.36,-8.62,-0.87,-0.49,0.35,25.14,-18.31,-35.30,-1.00
575.00,0.22,-0.36,-8.62,-0.87,-0.49,0.35,25.14,-18.31,-35.30,-1.00
588.00,-0.40,-1.22,-10.02,-1.18,-0.95,0.23,25.14,-18.31,-35.30,-1.00
600.00,-1.89,-0.96,-9.56,-2.06,-1.34,-0.04,22.87,-11.67,-37.83,-1.00
612.00,-1.89,-0.96,-9.56,-2.06,-1.34,-0.04,22.87,-11.67,-37.83,-1.00
624.00,-1.96,4.43,-12.06,-3.41,-1.03,-0.21,22.87,-11.67,-37.83,-1.00
637.00,-0.65,4.05,-8.39,-2.35,0.34,0.68,22.87,-11.67,-37.83,-1.00
649.00,-0.65,4.05,-8.39,-2.35,0.34,0.68,22.87,-11.67,-37.83,-1.00
661.00,-0.26,3.04,-9.46,-1.70,0.22,1.53,22.87,-11.67,-37.83,-1.00
673.00,-0.26,3.04,-9.46,-1.70,0.22,1.53,22.87,-11.67,-37.83,-1.00
686.00,-0.29,2.49,-10.17,-1.67,-0.46,2.07,22.87,-11.67,-37.83,-1.00
698.00,-0.17,2.54,-9.84,-1.37,-0.89,2.20,22.87,-11.67,-37.83,-1.00
710.00,-0.17,2.54,-9.84,-1.37,-0.89,2.20,22.87,-11.67,-37.83,-1.00
722.00,0.59,3.54,-9.78,-1.27,-1.17,2.10,20.03,-4.86,-37.04,-1.00
735.00,0.59,3.54,-9.78,-1.27,-1.17,2.10,20.03,-4.86,-37.04,-1.00
747.00,-0.34,3.91,-9.05,-1.39,-1.24,2.31,20.03,-4.86,-37.04,-1.00
759.00,-0.02,4.16,-9.13,-1.87,-1.57,2.82,20.03,-4.86,-37.04,-1.00
772.00,-0.02,4.16,-9.13,-1.87,-1.57,2.82,20.03,-4.86,-37.04,-1.00
784.00,-0.06,3.71,-8.88,-2.78,-2.12,3.30,20.03,-4.86,-37.04,-1.00
796.00,-0.06,3.71,-8.88,-2.78,-2.12,3.30,20.03,-4.86,-37.04,-1.00
808.00,-0.26,3.80,-10.66,-3.23,-2.62,3.19,20.03,-4.86,-37.04,-1.00
822.00,-0.22,4.82,-9.72,-2.77,-2.72,2.76,20.03,-4.86,-37.04,-1.00
833.00,-0.22,4.82,-9.72,-2.77,-2.72,2.76,20.03,-4.86,-37.04,-1.00
845.00,-1.26,5.69,-9.55,-2.23,-2.31,2.46,4.32,5.45,-36.25,-1.00
857.00,-1.06,6.27,-8.96,-2.09,-2.57,2.84,4.32,5.45,-36.25,-1.00
870.00,-1.06,6.27,-8.96,-2.09,-2.57,2.84,4.32,5.45,-36.25,-1.00
882.00,0.01,5.96,-8.83,-2.49,-3.30,3.31,4.32,5.45,-36.25,-1.00
894.00,0.01,5.96,-8.83,-2.49,-3.30,3.31,4.32,5.45,-36.25,-1.00
906.00,-0.77,5.93,-8.27,-2.87,-3.27,2.77,4.32,5.45,-36.25,-1.00
919.00,-1.75,7.29,-6.32,-4.00,-3.94,2.39,4.32,5.45,-36.25,-1.00
1008.00,-1.13,6.68,-4.80,-2.40,-4.92,3.81,-8.54,22.22,-31.50,-1.00
1095.00,0.58,8.24,-2.52,-1.99,-3.92,2.16,-8.54,22.22,-31.50,-1.00
1184.00,2.06,8.27,-1.91,-1.53,-1.15,0.26,-17.81,37.07,-16.13,-1.00
1198.00,1.31,8.74,-1.74,-0.22,-0.05,-0.19,-17.81,37.07,-16.13,-1.00
1210.00,1.31,8.74,-1.74,-0.22,-0.05,-0.19,-17.81,37.07,-16.13,-1.00
1222.00,0.22,9.84,-3.38,1.31,0.91,-0.38,-18.19,41.97,-6.00,-1.00
1234.00,0.22,9.84,-3.38,1.31,0.91,-0.38,-18.19,41.97,-6.00,-1.00
1247.00,-0.44,10.28,-3.12,3.80,2.24,-0.54,-18.19,41.97,-6.00,-1.00
1259.00,-0.62,8.92,-1.70,5.47,3.70,-1.12,-18.19,41.97,-6.00,-1.00
1271.00,-0.62,8.92,-1.70,5.47,3.70,-1.12,-18.19,41.97,-6.00,-1.00
1285.00,-1.18,9.53,-3.51,4.68,4.80,-2.30,-18.19,41.97,-6.00,-1.00
1296.00,-1.18,9.53,-3.51,4.68,4.80,-2.30,-18.19,41.97,-6.00,-1.00
1308.00,-0.52,9.74,-4.31,4.21,5.38,-3.40,-18.19,41.97,-6.00,-1.00
1320.00,-0.61,8.24,-5.68,4.50,5.40,-4.11,-18.19,41.97,-6.00,-1.00
1334.00,-0.61,8.24,-5.68,4.50,5.40,-4.11,-18.19,41.97,-6.00,-1.00
1346.00,-1.36,6.81,-5.11,5.57,5.55,-5.06,-11.00,23.79,-30.07,-1.00
1358.00,-3.22,5.63,-2.97,5.91,5.94,-6.64,-11.00,23.79,-30.07,-1.00
1370.00,-3.22,5.63,-2.97,5.91,5.94,-6.64,-11.00,23.79,-30.07,-1.00
1383.00,-3.06,9.61,-4.60,4.62,5.68,-8.10,-11.00,23.79,-30.07,-1.00
1395.00,-3.06,9.61,-4.60,4.62,5.68,-8.10,-11.00,23.79,-30.07,-1.00
1407.00,-0.20,8.12,-4.72,4.60,4.76,-7.94,-11.00,23.79,-30.07,-1.00
1419.00,1.57,7.20,-6.97,3.98,3.87,-6.05,-11.00,23.79,-30.07,-1.00
1432.00,1.57,7.20,-6.97,3.98,3.87,-6.05,-11.00,23.79,-30.07,-1.00
1444.00,1.42,4.37,-9.86,3.92,3.53,-4.37,-11.00,23.79,-30.07,-1.00
1456.00,-0.22,1.31,-10.93,4.32,3.56,-4.17,-11.00,23.79,-30.07,-1.00
1468.00,-0.22,1.31,-10.93,4.32,3.56,-4.17,8.87,-9.23,-37.83,-1.00
1481.00,-1.50,0.73,-9.56,4.58,3.89,-5.24,8.87,-9.23,-37.83,-1.00
