time,ax,ay,az,gx,gy,gz,mx,my,mz
202,-5.64,1.55,-9.07,0.08,-0.11,-0.03,20.94,-24.49,-9.27
212,-5.97,1.71,-9.39,0.07,-0.06,-0.04,20.94,-27.33,-8.92
223,-5.70,1.64,-9.25,-0.02,-0.02,-0.01,20.94,-27.33,-8.92
234,-5.70,1.64,-9.25,-0.02,-0.02,-0.01,20.94,-27.33,-8.92
245,-5.01,1.36,-8.80,-0.08,-0.01,0.04,20.94,-27.33,-8.92
256,-5.01,1.36,-8.80,-0.08,-0.01,0.04,20.94,-27.33,-8.92
267,-4.76,1.31,-8.33,-0.06,-0.05,0.03,20.94,-27.33,-8.92
278,-4.76,1.31,-8.33,-0.06,-0.05,0.03,20.94,-27.33,-8.92
289,-5.35,1.41,-8.65,-0.02,-0.11,-0.02,20.94,-27.33,-8.92
300,-5.35,1.41,-8.65,-0.02,-0.11,-0.02,20.94,-27.33,-8.92
311,-5.92,1.53,-9.17,0.00,-0.15,-0.05,20.94,-27.33,-8.92
322,-5.92,1.53,-9.17,0.00,-0.15,-0.05,20.94,-27.33,-8.92
333,-6.15,1.60,-8.66,-0.08,-0.07,-0.02,20.94,-27.33,-8.92
344,-5.89,1.62,-8.23,-0.18,-0.02,0.03,21.12,-25.02,-8.41
355,-5.89,1.62,-8.23,-0.18,-0.02,0.03,21.12,-25.02,-8.41
366,-5.65,1.58,-8.26,-0.19,-0.03,0.06,21.12,-25.02,-8.41
377,-5.65,1.58,-8.26,-0.19,-0.03,0.06,21.12,-25.02,-8.41
388,-5.30,1.68,-8.43,-0.27,0.00,0.07,21.12,-25.02,-8.41
399,-5.30,1.68,-8.43,-0.27,0.00,0.07,21.12,-25.02,-8.41
410,-5.22,1.60,-7.96,-0.30,0.07,0.05,21.12,-25.02,-8.41
421,-5.22,1.60,-7.96,-0.30,0.07,0.05,21.12,-25.02,-8.41
432,-5.22,1.63,-8.13,-0.32,0.04,0.01,21.12,-25.02,-8.41
443,-5.60,1.68,-8.44,-0.37,0.03,0.00,21.12,-25.02,-8.41
454,-5.60,1.68,-8.44,-0.37,0.03,0.00,21.12,-25.02,-8.41
465,-5.71,1.95,-8.92,-0.59,0.06,0.04,18.63,-24.31,-6.69
476,-5.71,1.95,-8.92,-0.59,0.06,0.04,18.63,-24.31,-6.69
487,-5.77,2.15,-9.17,-0.76,0.09,0.10,18.63,-24.31,-6.69
498,-5.77,2.15,-9.17,-0.76,0.09,0.10,18.63,-24.31,-6.69
510,-5.83,2.41,-9.08,-0.83,0.10,0.16,18.63,-24.31,-6.69
520,-5.83,2.41,-9.08,-0.83,0.10,0.16,18.63,-24.31,-6.69
531,-5.74,2.47,-9.39,-0.96,0.10,0.22,18.63,-24.31,-6.69
542,-5.74,2.47,-9.39,-0.96,0.10,0.22,18.63,-24.31,-6.69
553,-5.67,2.44,-9.34,-0.84,0.16,0.25,18.63,-24.31,-6.69
564,-5.50,2.43,-8.38,-0.49,0.19,0.24,18.63,-24.31,-6.69
575,-5.50,2.43,-8.38,-0.49,0.19,0.24,18.63,-24.31,-6.69
586,-5.46,2.51,-8.14,-0.07,0.07,0.22,20.94,-21.65,-7.21
597,-5.46,2.51,-8.14,-0.07,0.07,0.22,20.94,-21.65,-7.21
608,-5.47,2.64,-7.81,0.29,-0.03,0.22,20.94,-21.65,-7.21
619,-5.47,2.64,-7.81,0.29,-0.03,0.22,20.94,-21.65,-7.21
630,-5.19,2.28,-7.87,0.69,-0.11,0.28,20.94,-21.65,-7.21
641,-5.19,2.28,-7.87,0.69,-0.11,0.28,20.94,-21.65,-7.21
652,-5.01,2.28,-8.01,1.32,-0.22,0.27,20.94,-21.65,-7.21
663,-5.38,1.64,-7.17,1.78,-0.35,0.23,20.94,-21.65,-7.21
674,-5.38,1.64,-7.17,1.78,-0.35,0.23,20.94,-21.65,-7.21
685,-5.53,1.12,-7.44,1.98,-0.52,0.13,20.94,-21.65,-7.21
696,-5.53,1.12,-7.44,1.98,-0.52,0.13,20.94,-21.65,-7.21
707,-5.82,0.95,-6.97,2.11,-0.60,-0.01,20.94,-21.65,-7.21
718,-5.82,0.95,-6.97,2.11,-0.60,-0.01,20.94,-21.65,-7.21
729,-6.05,0.49,-7.20,2.14,-0.63,-0.08,18.99,-26.80,-8.07
740,-6.05,0.49,-7.20,2.14,-0.63,-0.08,18.99,-26.80,-8.07
751,-6.36,0.04,-7.95,2.10,-0.67,-0.13,18.99,-26.80,-8.07
762,-6.36,0.04,-7.95,2.10,-0.67,-0.13,18.99,-26.80,-8.07
773,-6.57,-0.10,-8.28,2.01,-0.62,-0.14,18.99,-26.80,-8.07
784,-6.69,-0.48,-6.88,1.77,-0.50,-0.08,18.99,-26.80,-8.07
795,-6.69,-0.48,-6.88,1.77,-0.50,-0.08,18.99,-26.80,-8.07
806,-6.69,-1.06,-4.64,1.50,-0.62,-0.03,18.99,-26.80,-8.07
817,-6.69,-1.06,-4.64,1.50,-0.62,-0.03,18.99,-26.80,-8.07
829,-6.92,-2.16,-3.40,1.67,-1.11,-0.09,18.99,-26.80,-8.07
