time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
45.00,-0.78,-0.87,-9.32,0.05,-0.23,0.02,-2.95,0.38,-28.39,-1.00
58.00,-0.85,-0.85,-9.89,-0.04,-0.38,0.02,-3.13,0.57,-29.55,-1.00
113.00,-0.99,-0.89,-10.60,-0.06,-0.34,0.01,-3.13,0.57,-29.55,-1.00
170.00,-1.27,-0.58,-10.35,-0.14,-0.49,-0.02,-3.13,0.57,-29.55,-1.00
182.00,-1.36,-0.70,-10.77,-0.10,-0.40,-0.00,-4.77,0.01,-28.07,-1.00
238.00,-1.30,-0.57,-10.75,-0.10,-0.21,-0.02,-4.77,0.01,-28.07,-1.00
251.00,-1.30,-0.57,-10.75,-0.10,-0.21,-0.02,-4.77,0.01,-28.07,-1.00
308.00,-1.45,-0.53,-10.03,-0.01,-0.06,-0.02,-4.77,0.01,-28.07,-1.00
321.00,-1.40,-0.72,-10.19,0.00,-0.04,0.00,-3.13,1.69,-28.23,-1.00
377.00,-1.47,-0.60,-10.04,0.02,0.02,-0.00,-3.13,1.69,-28.23,-1.00
390.00,-1.47,-0.60,-10.04,0.02,0.02,-0.00,-3.13,1.69,-28.23,-1.00
447.00,-1.44,-0.67,-10.21,0.01,0.03,0.02,-5.67,1.69,-26.58,-1.00
460.00,-1.41,-0.69,-10.66,-0.01,0.07,0.01,-5.67,1.69,-26.58,-1.00
516.00,-0.37,-0.78,-12.43,0.31,1.08,-0.01,-5.67,1.69,-26.58,-1.00
529.00,-0.37,-0.78,-12.43,0.31,1.08,-0.01,-5.67,1.69,-26.58,-1.00
586.00,-2.53,-2.25,-15.73,0.81,4.14,-0.53,-1.50,1.13,-30.37,-1.00
599.00,-1.80,-1.59,-11.75,0.84,5.40,-0.77,-1.50,1.13,-30.37,-1.00
655.00,2.28,-1.89,-4.79,0.47,5.18,-0.97,-1.50,1.13,-30.37,-1.00
667.00,2.28,-1.89,-4.79,0.47,5.18,-0.97,-1.50,1.13,-30.37,-1.00
724.00,5.60,-1.39,-10.18,-2.19,1.97,-0.59,13.55,-0.93,-27.24,-1.00
737.00,5.37,-1.48,-11.97,-2.12,2.60,-0.64,13.55,-0.93,-27.24,-1.00
793.00,5.40,-0.05,-5.79,-1.22,4.26,-0.88,13.55,-0.93,-27.24,-1.00
851.00,7.31,-0.48,-7.56,-2.21,4.44,0.38,23.89,5.61,-17.86,-1.00
864.00,6.00,-2.98,-7.93,-0.65,4.82,0.33,23.89,5.61,-17.86,-1.00
920.00,7.01,1.32,0.65,0.87,5.35,-0.70,23.89,5.61,-17.86,-1.00
933.00,7.01,1.32,0.65,0.87,5.35,-0.70,23.89,5.61,-17.86,-1.00
990.00,3.80,5.58,7.52,2.77,6.84,-1.74,28.97,9.35,-3.70,-1.00
1003.00,5.34,8.58,7.23,1.38,5.65,-1.15,28.97,9.35,-3.70,-1.00
1016.00,4.08,3.12,6.47,0.96,5.07,0.18,28.97,9.35,-3.70,-1.00
