time,ax,ay,az,gx,gy,gz,mx,my,mz
1,-2.36,4.41,-8.38,0.26,0.45,0.04,8.87,21.65,4.81
11,-1.99,4.16,-7.94,0.03,0.53,0.19,8.87,21.65,4.81
22,-1.99,4.16,-7.94,0.03,0.53,0.19,8.87,21.65,4.81
33,-1.33,3.41,-7.44,0.01,0.64,0.40,8.87,21.65,4.81
44,-1.33,3.41,-7.44,0.01,0.64,0.40,8.87,21.65,4.81
55,-1.69,2.56,-6.35,0.20,1.06,0.58,8.87,21.65,4.81
66,-1.69,2.56,-6.35,0.20,1.06,0.58,8.87,21.65,4.81
77,-1.11,2.17,-10.71,0.10,2.28,0.83,8.87,21.65,4.81
88,-0.80,3.51,-12.01,0.58,2.57,1.16,3.55,23.07,1.03
99,-0.80,3.51,-12.01,0.58,2.57,1.16,3.55,23.07,1.03
110,1.34,4.85,-7.18,2.04,3.70,1.30,3.55,23.07,1.03
121,1.34,4.85,-7.18,2.04,3.70,1.30,3.55,23.07,1.03
132,-0.18,6.98,-19.34,1.36,3.40,1.21,3.55,23.07,1.03
143,-0.18,6.98,-19.34,1.36,3.40,1.21,3.55,23.07,1.03
154,1.02,4.95,-7.22,1.81,-0.56,0.46,3.55,23.07,1.03
165,1.02,4.95,-7.22,1.81,-0.56,0.46,3.55,23.07,1.03
176,1.08,3.00,-8.21,1.32,0.43,0.30,3.55,23.07,1.03
187,-0.04,4.18,-10.96,0.53,0.90,0.29,3.55,23.07,1.03
198,-0.04,4.18,-10.96,0.53,0.90,0.29,3.55,23.07,1.03
209,0.91,4.17,-10.58,0.21,0.23,0.08,-2.13,28.75,0.69
220,0.91,4.17,-10.58,0.21,0.23,0.08,-2.13,28.75,0.69
231,0.34,5.00,-9.62,0.34,-0.14,-0.04,-2.13,28.75,0.69
242,0.34,5.00,-9.62,0.34,-0.14,-0.04,-2.13,28.75,0.69
253,-0.35,6.01,-11.13,-0.09,-0.16,-0.34,-2.13,28.75,0.69
264,-0.35,6.01,-11.13,-0.09,-0.16,-0.34,-2.13,28.75,0.69
275,0.58,0.91,-12.44,-2.20,-1.12,-0.83,-2.13,28.75,0.69
286,0.58,0.91,-12.44,-2.20,-1.12,-0.83,-2.13,28.75,0.69
297,0.44,1.47,-12.55,-4.21,-1.00,-0.49,-2.13,28.75,0.69
308,1.09,4.01,-15.27,-4.52,-0.36,-0.06,-2.13,28.75,0.69
319,1.09,4.01,-15.27,-4.52,-0.36,-0.06,-2.13,28.75,0.69
330,4.23,2.49,-14.18,-2.04,-1.30,-0.11,-1.77,19.52,-1.03
341,4.23,2.49,-14.18,-2.04,-1.30,-0.11,-1.77,19.52,-1.03
352,3.97,1.12,-7.90,5.55,-1.17,0.83,-1.77,19.52,-1.03
363,3.97,1.12,-7.90,5.55,-1.17,0.83,-1.77,19.52,-1.03
374,1.50,2.85,-1.99,7.48,-0.77,1.93,-1.77,19.52,-1.03
385,1.50,2.85,-1.99,7.48,-0.77,1.93,-1.77,19.52,-1.03
396,0.34,5.36,-6.16,3.09,-1.69,1.61,-1.77,19.52,-1.03
407,-3.55,8.67,-9.62,2.49,-1.81,1.70,-1.77,19.52,-1.03
418,-3.55,8.67,-9.62,2.49,-1.81,1.70,-1.77,19.52,-1.03
429,-1.92,3.94,-9.03,3.61,-0.52,0.86,-1.77,19.52,-1.03
440,-1.92,3.94,-9.03,3.61,-0.52,0.86,-1.77,19.52,-1.03
451,-0.30,0.36,-6.01,3.10,-0.01,0.29,4.26,45.79,6.52
462,-0.30,0.36,-6.01,3.10,-0.01,0.29,4.26,45.79,6.52
473,-1.31,-1.32,-0.65,-1.00,-0.47,-0.11,4.26,45.79,6.52
489,-1.31,-1.32,-0.65,-1.00,-0.47,-0.11,4.26,45.79,6.52
495,0.61,2.03,-2.65,-7.06,0.98,-0.39,4.26,45.79,6.52
506,0.61,2.03,-2.65,-7.06,0.98,-0.39,4.26,45.79,6.52
517,0.30,6.83,-23.55,-7.33,2.31,-0.20,4.26,45.79,6.52
528,-0.05,0.11,-3.18,4.72,-1.28,-0.31,4.26,45.79,6.52
539,-0.05,0.11,-3.18,4.72,-1.28,-0.31,4.26,45.79,6.52
550,0.16,1.45,-10.43,6.62,0.96,-0.01,4.26,45.79,6.52
561,0.16,1.45,-10.43,6.62,0.96,-0.01,4.26,45.79,6.52
572,-0.55,-1.17,-14.76,4.00,0.73,-0.10,4.26,45.79,6.52
583,-0.55,-1.17,-14.76,4.00,0.73,-0.10,4.26,45.79,6.52
594,-0.84,1.40,-9.65,2.11,-0.76,0.39,7.28,45.61,7.38
605,-0.84,1.40,-9.65,2.11,-0.76,0.39,7.28,45.61,7.38
616,-0.67,1.26,-11.29,2.57,0.11,0.18,7.28,45.61,7.38
627,-0.35,0.02,-11.67,2.35,0.07,-0.07,7.28,45.61,7.38
638,-0.35,0.02,-11.67,2.35,0.07,-0.07,7.28,45.61,7.38
649,0.36,-1.06,-10.29,1.21,-0.33,-0.20,7.28,45.61,7.38
660,0.36,-1.06,-10.29,1.21,-0.33,-0.20,7.28,45.61,7.38
671,-0.03,1.17,-9.48,-0.92,0.42,-0.32,7.28,45.61,7.38
682,-0.03,1.17,-9.48,-0.92,0.42,-0.32,7.28,45.61,7.38
693,0.56,-0.68,-7.41,-0.76,0.64,-0.59,7.28,45.61,7.38
704,0.56,-0.68,-7.41,-0.76,0.64,-0.59,7.28,45.61,7.38
715,0.18,-0.51,-11.04,-1.16,0.30,-0.57,6.57,48.45,7.38
726,0.18,-0.51,-11.04,-1.16,0.30,-0.57,6.57,48.45,7.38
737,0.57,0.15,-8.67,0.48,0.57,-0.46,6.57,48.45,7.38
748,0.21,0.41,-11.02,-0.29,1.07,-0.56,6.57,48.45,7.38
759,0.21,0.41,-11.02,-0.29,1.07,-0.56,6.57,48.45,7.38
770,0.59,-1.40,-11.78,-1.43,0.93,-0.75,6.57,48.45,7.38
781,0.59,-1.40,-11.78,-1.43,0.93,-0.75,6.57,48.45,7.38
792,0.54,-1.19,-11.58,-1.31,0.11,-0.55,6.57,48.45,7.38
803,0.54,-1.19,-11.58,-1.31,0.11,-0.55,6.57,48.45,7.38
814,0.15,-0.18,-11.02,-0.89,-0.14,-0.36,6.57,48.45,7.38
825,0.15,-0.18,-11.02,-0.89,-0.14,-0.36,6.57,48.45,7.38
836,0.28,-0.34,-10.38,-0.61,-0.34,-0.25,8.52,39.75,9.27
847,0.18,-0.09,-10.76,-0.37,-0.24,-0.13,8.52,39.75,9.27
858,0.18,-0.09,-10.76,-0.37,-0.24,-0.13,8.52,39.75,9.27
869,0.19,0.28,-10.46,-0.18,-0.12,-0.04,8.52,39.75,9.27
880,0.19,0.28,-10.46,-0.18,-0.12,-0.04,8.52,39.75,9.27
891,0.25,0.34,-10.26,-0.07,-0.05,-0.02,8.52,39.75,9.27
902,0.25,0.34,-10.26,-0.07,-0.05,-0.02,8.52,39.75,9.27
913,0.27,0.48,-10.43,-0.07,-0.00,-0.01,8.52,39.75,9.27
924,0.27,0.48,-10.43,-0.07,-0.00,-0.01,8.52,39.75,9.27
935,0.24,0.67,-10.39,-0.03,-0.02,0.00,8.52,39.75,9.27
946,0.24,0.67,-10.39,-0.03,-0.02,0.00,8.52,39.75,9.27
957,0.36,0.56,-10.48,-0.03,-0.01,-0.01,8.52,39.75,9.27
968,0.32,0.53,-10.53,0.02,-0.02,0.01,8.52,38.33,10.64
979,0.32,0.53,-10.53,0.02,-0.02,0.01,8.52,38.33,10.64
990,0.51,0.62,-10.04,-0.02,0.01,-0.03,8.52,38.33,10.64
