time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.201,-4.4,0.91,-9.27,-0.01,0.01,0.01,23.43,-19.88,-5.83,1.4493201507399094,25.285057444826663,0.0,0.0,0.0
0.211,-4.4,0.91,-9.27,-0.01,0.01,0.01,23.43,-19.88,-5.83,1.4493201507399094,25.285057444826663,10.301504744453599,31.275680648069034,0.9923920117592256
0.222,-4.45,0.91,-9.28,-0.0,0.01,0.0,23.43,-21.3,-6.52,0.8539962667862979,25.360919117526706,10.301504744453599,31.275680648069034,0.9923920117592256
0.233,-4.45,0.91,-9.28,-0.0,0.01,0.0,23.43,-21.3,-6.52,0.5620324765796287,25.39879405877801,10.331940766380729,32.329016378479565,0.5729577951308232
0.244,-4.42,0.92,-9.29,-0.0,-0.0,0.02,23.43,-21.3,-6.52,0.39018379946828907,25.386202534320375,10.331940766380729,32.329016378479565,0.5729577951308232
0.255,-4.42,0.92,-9.29,-0.0,-0.0,0.02,23.43,-21.3,-6.52,0.27629269864715766,25.37781109095249,10.328935085477108,32.329016378479565,1.1459155902616465
0.266,-4.4,0.95,-9.26,-0.01,-0.01,0.02,23.43,-21.3,-6.52,0.18739437258850988,25.366628712502276,10.328935085477108,32.329016378479565,1.1459155902616465
0.277,-4.4,0.94,-9.38,-0.02,-0.01,0.01,23.43,-21.3,-6.52,0.13058140465209886,25.323061033895712,10.296120628663981,32.329016378479565,1.4034542422206169
0.28800000000000003,-4.4,0.94,-9.38,-0.02,-0.01,0.01,23.43,-21.3,-6.52,0.08646115009794077,25.28923727924355,10.403268717090798,32.329016378479565,1.403454242220617
0.299,-4.42,0.93,-9.32,0.0,-0.0,0.01,23.43,-21.3,-6.52,0.04869699958753663,25.286596562063963,10.403268717090798,32.329016378479565,1.403454242220617
0.31,-4.42,0.93,-9.32,0.0,-0.0,0.01,23.43,-21.3,-6.52,0.017842742471702634,25.284436712852525,10.35681900971529,32.329016378479565,0.5729577951308232
0.321,-4.38,0.94,-9.27,0.02,0.01,0.01,23.43,-21.3,-6.52,-0.009173129728196209,25.27555048477265,10.35681900971529,32.329016378479565,0.5729577951308232
0.332,-4.38,0.94,-9.27,0.02,0.01,0.01,23.43,-21.3,-6.52,-0.03201640104989144,25.26802591625446,10.29567384875803,32.329016378479565,1.403454242220617
0.343,-4.42,0.95,-9.3,0.04,0.01,0.01,23.43,-21.3,-6.52,-0.05370640115220538,25.27068577108092,10.29567384875803,32.329016378479565,1.403454242220617
0.354,-4.42,0.95,-9.3,0.04,0.01,0.01,23.43,-21.3,-6.52,-0.07249455538901546,25.272990214711385,10.340643113462528,32.329016378479565,2.4308540536241865
0.365,-4.42,0.91,-9.32,0.02,0.01,0.01,23.6,-20.41,-6.35,0.0,25.27265090015804,10.340643113462528,32.329016378479565,2.4308540536241865
0.376,-4.42,0.91,-9.32,0.02,0.01,0.01,23.6,-20.41,-6.35,0.06404654533463841,25.272351177590522,10.355042250034522,31.84102071228245,1.403454242220617
0.387,-4.35,0.9,-9.18,0.0,0.01,0.01,23.6,-20.41,-6.35,0.12077979438743,25.271035753215244,10.355042250034522,31.84102071228245,1.403454242220617
0.398,-4.41,0.9,-9.38,-0.01,0.01,0.01,23.6,-20.41,-6.35,0.17468885029814826,25.26089789890831,10.198279266621403,31.84102071228245,0.8102846845413955
0.40900000000000003,-4.41,0.9,-9.38,-0.01,0.01,0.01,23.6,-20.41,-6.35,0.22324109826171926,25.251779729485932,10.403965590100729,31.84102071228245,0.9923920117592256
0.42,-4.43,0.93,-9.34,-0.01,0.02,0.01,23.6,-20.41,-6.35,0.2630803479964336,25.252455391168922,10.403965590100729,31.84102071228245,0.9923920117592256
0.431,-4.43,0.93,-9.34,-0.01,0.02,0.01,23.6,-20.41,-6.35,0.2993274663376902,25.253069394934514,10.379084738068187,31.84102071228245,1.403454242220617
0.442,-4.42,0.94,-9.2,-0.0,0.02,0.01,23.6,-20.41,-6.35,0.328966660029821,25.265672544956686,10.379084738068187,31.84102071228245,1.403454242220617
0.453,-4.42,0.94,-9.2,-0.0,0.02,0.01,23.6,-20.41,-6.35,0.3561528841679339,25.277233582708007,10.24987804805501,31.84102071228245,1.2811725781509187
0.464,-4.37,0.93,-9.25,0.01,0.02,0.02,23.6,-20.41,-6.35,0.3842106680939083,25.273225758958276,10.24987804805501,31.84102071228245,1.2811725781509187
0.47500000000000003,-4.37,0.93,-9.25,0.01,0.02,0.02,23.6,-20.41,-6.35,0.36966453661516785,25.268903947992897,10.27250212947167,31.84102071228245,1.7188733853924696
0.486,-4.39,0.88,-9.46,0.0,0.02,0.01,23.6,-20.76,-8.41,0.3753069566300083,25.249284556385447,10.27250212947167,31.84102071228245,1.7188733853924696
0.497,-4.39,0.88,-9.46,0.0,0.02,0.01,23.6,-20.76,-8.41,0.44942901441683525,25.220605067408528,10.466045098316748,32.53714339028551,1.2811725781509187
