time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
220.00,-0.22,6.55,-7.73,-0.27,-0.21,-0.12,-13.57,35.51,-19.57,-1.00
232.00,-0.22,6.56,-7.73,-0.27,-0.22,-0.11,-13.57,35.51,-19.57,-1.00
244.00,-0.22,6.56,-7.73,-0.27,-0.22,-0.11,-13.57,35.51,-19.57,-1.00
256.00,-0.22,6.55,-7.73,-0.26,-0.23,-0.10,-13.57,35.51,-19.57,-1.00
269.00,-0.21,6.56,-7.74,-0.26,-0.23,-0.09,-13.57,35.51,-19.57,-1.00
281.00,-0.21,6.56,-7.74,-0.26,-0.23,-0.09,-13.57,35.51,-19.57,-1.00
293.00,-0.20,6.57,-7.73,-0.26,-0.21,-0.12,-13.57,35.51,-19.57,-1.00
306.00,-0.20,6.54,-7.72,-0.27,-0.20,-0.14,-13.57,35.51,-19.57,-1.00
318.00,-0.20,6.54,-7.72,-0.27,-0.20,-0.14,-13.57,35.51,-19.57,-1.00
330.00,-0.18,6.55,-7.77,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.00
342.00,-0.18,6.55,-7.77,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.00
355.00,-0.17,6.56,-7.73,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.00
367.00,-0.18,6.55,-7.70,-0.27,-0.19,-0.15,-12.62,37.35,-21.01,-1.00
379.00,-0.18,6.55,-7.70,-0.27,-0.19,-0.15,-12.62,37.35,-21.01,-1.00
391.00,-0.21,6.57,-7.72,-0.27,-0.19,-0.15,-12.62,37.35,-21.01,-1.00
404.00,-0.21,6.57,-7.72,-0.27,-0.19,-0.15,-12.62,37.35,-21.01,-1.00
416.00,-0.21,6.57,-7.72,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.00
428.00,-0.20,6.57,-7.70,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.00
441.00,-0.20,6.57,-7.70,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.00
453.00,-0.22,6.57,-7.75,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
465.00,-0.22,6.57,-7.75,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
477.00,-0.20,6.57,-7.73,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
491.00,-0.18,6.56,-7.73,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
502.00,-0.18,6.56,-7.73,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
514.00,-0.18,6.56,-7.72,-0.26,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
526.00,-0.17,6.56,-7.69,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
539.00,-0.17,6.56,-7.69,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
551.00,-0.17,6.56,-7.70,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
563.00,-0.17,6.56,-7.70,-0.27,-0.19,-0.14,-14.05,37.91,-21.20,-1.00
575.00,-0.18,6.57,-7.75,-0.26,-0.19,-0.14,-14.37,36.80,-21.20,-1.00
588.00,-0.21,6.57,-7.70,-0.27,-0.19,-0.14,-14.37,36.80,-21.20,-1.00
600.00,-0.21,6.57,-7.70,-0.27,-0.19,-0.14,-14.37,36.80,-21.20,-1.00
612.00,-0.22,6.57,-7.71,-0.26,-0.20,-0.14,-14.37,36.80,-21.20,-1.00
625.00,-0.22,6.57,-7.71,-0.26,-0.20,-0.14,-14.37,36.80,-21.20,-1.00
638.00,-0.22,6.59,-7.70,-0.26,-0.21,-0.13,-14.37,36.80,-21.20,-1.00
650.00,-0.21,6.57,-7.68,-0.26,-0.21,-0.12,-14.37,36.80,-21.20,-1.00
662.00,-0.21,6.57,-7.68,-0.26,-0.21,-0.12,-14.37,36.80,-21.20,-1.00
676.00,-0.21,6.59,-7.69,-0.26,-0.20,-0.14,-14.37,36.80,-21.20,-1.00
687.00,-0.19,6.57,-7.70,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
699.00,-0.19,6.57,-7.70,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
711.00,-0.17,6.59,-7.71,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
724.00,-0.17,6.59,-7.71,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
736.00,-0.19,6.57,-7.70,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
748.00,-0.20,6.56,-7.69,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
761.00,-0.20,6.56,-7.69,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
773.00,-0.20,6.57,-7.71,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
785.00,-0.20,6.57,-7.71,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
797.00,-0.20,6.57,-7.71,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
810.00,-0.21,6.57,-7.69,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
822.00,-0.21,6.57,-7.69,-0.26,-0.19,-0.14,-14.85,36.25,-20.65,-1.00
834.00,-0.20,6.58,-7.71,-0.26,-0.19,-0.15,-14.69,36.06,-20.83,-1.00
846.00,-0.20,6.58,-7.71,-0.26,-0.19,-0.15,-14.69,36.06,-20.83,-1.00
859.00,-0.19,6.60,-7.70,-0.26,-0.19,-0.15,-14.69,36.06,-20.83,-1.00
871.00,-0.20,6.59,-7.69,-0.26,-0.19,-0.14,-14.69,36.06,-20.83,-1.00
883.00,-0.20,6.59,-7.69,-0.26,-0.19,-0.14,-14.69,36.06,-20.83,-1.00
895.00,-0.17,6.59,-7.68,-0.26,-0.19,-0.14,-14.69,36.06,-20.83,-1.00
908.00,-0.19,6.60,-7.68,-0.26,-0.19,-0.15,-14.69,36.06,-20.83,-1.00
998.00,-0.21,6.57,-7.71,-0.26,-0.19,-0.14,-14.37,37.17,-19.03,-1.00
1084.00,-0.19,6.60,-7.69,-0.26,-0.19,-0.14,-14.37,35.70,-21.20,-1.00
1097.00,-0.19,6.60,-7.68,-0.26,-0.19,-0.14,-14.37,35.70,-21.20,-1.00
1109.00,-0.18,6.59,-7.69,-0.26,-0.19,-0.14,-14.37,35.70,-21.20,-1.00
1121.00,-0.18,6.59,-7.69,-0.26,-0.19,-0.14,-14.37,35.70,-21.20,-1.00
1133.00,-0.20,6.58,-7.69,-0.26,-0.19,-0.15,-14.37,35.70,-21.20,-1.00
1147.00,-0.20,6.58,-7.69,-0.26,-0.19,-0.15,-14.37,35.70,-21.20,-1.00
1158.00,-0.20,6.60,-7.67,-0.26,-0.19,-0.15,-14.37,35.70,-21.20,-1.00
1170.00,-0.20,6.59,-7.70,-0.26,-0.19,-0.15,-14.37,35.70,-21.20,-1.00
1182.00,-0.20,6.59,-7.70,-0.26,-0.19,-0.15,-14.37,35.70,-21.20,-1.00
1195.00,-0.20,6.57,-7.69,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1207.00,-0.19,6.58,-7.70,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1219.00,-0.19,6.58,-7.70,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1232.00,-0.19,6.60,-7.69,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1244.00,-0.19,6.60,-7.69,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1256.00,-0.18,6.58,-7.68,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1268.00,-0.18,6.60,-7.70,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1281.00,-0.18,6.60,-7.70,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1293.00,-0.21,6.60,-7.67,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1305.00,-0.21,6.60,-7.67,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1317.00,-0.21,6.60,-7.67,-0.26,-0.19,-0.14,-14.69,36.06,-20.47,-1.00
1330.00,-0.20,6.60,-7.69,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1342.00,-0.20,6.60,-7.69,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1354.00,-0.23,6.59,-7.69,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1367.00,-0.22,6.58,-7.71,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1379.00,-0.22,6.58,-7.71,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1391.00,-0.19,6.59,-7.70,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1403.00,-0.19,6.59,-7.70,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1417.00,-0.19,6.58,-7.69,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1428.00,-0.18,6.57,-7.69,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1440.00,-0.18,6.57,-7.69,-0.26,-0.19,-0.14,-13.57,36.25,-20.65,-1.00
1454.00,-0.18,6.61,-7.71,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
1465.00,-0.18,6.61,-7.71,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
1477.00,-0.18,6.60,-7.69,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
1489.00,-0.18,6.60,-7.68,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
1502.00,-0.18,6.60,-7.68,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
1514.00,-0.20,6.61,-7.69,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
1526.00,-0.20,6.61,-7.69,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
1538.00,-0.21,6.59,-7.68,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
1551.00,-0.20,6.62,-7.68,-0.26,-0.19,-0.14,-15.01,38.28,-21.20,-1.00
