time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,psi,theta,normAccel,normMag,normGyr
0.001,-0.21,6.38,-7.9,-0.28,-0.19,-0.13,-11.82,37.54,-19.39,-1.0,0.2322134972507008,1.184732673714251,0.0,0.0,0.0
0.013000000000000001,-0.21,6.37,-7.94,-0.28,-0.2,-0.13,-11.82,37.54,-19.39,-1.0,0.14007715625987857,1.1832844798534552,10.156697297842443,43.87409372283375,20.769226138485354
0.025,-0.16,6.37,-7.89,-0.28,-0.2,-0.13,-11.82,37.54,-19.39,-1.0,0.3177645411584978,1.0903437601566992,10.181581409584663,43.87409372283375,21.075191556818385
0.08600000000000001,-0.12,6.37,-7.86,-0.26,-0.19,-0.14,-11.98,37.35,-18.49,-1.0,0.4651602896923941,0.9879677003324758,10.141725691419582,43.87409372283375,21.075191556818385
0.098,-0.12,6.37,-7.86,-0.26,-0.19,-0.14,-11.98,37.35,-18.49,-1.0,0.551913206063327,0.9264393954374128,10.117850562248881,43.363844386769955,20.118897160541582
0.11,-0.15,6.42,-7.88,-0.26,-0.19,-0.14,-11.98,37.35,-18.49,-1.0,0.5910415087328593,0.912924678773237,10.117850562248881,43.363844386769955,20.118897160541582
0.122,-0.15,6.42,-7.88,-0.26,-0.19,-0.14,-11.98,37.35,-18.49,-1.0,0.6187514602417935,0.9032770501247853,10.16529881508655,43.363844386769955,20.118897160541582
0.137,-0.18,6.43,-7.87,-0.26,-0.19,-0.14,-11.98,37.35,-18.49,-1.0,0.6164303481010923,0.9172239362959687,10.16529881508655,43.363844386769955,20.118897160541582
0.148,-0.24,6.41,-7.86,-0.26,-0.19,-0.14,-11.98,37.35,-18.49,-1.0,0.5498622639579024,0.9659004374649527,10.164359301008599,43.363844386769955,20.118897160541582
0.16,-0.24,6.41,-7.86,-0.26,-0.19,-0.14,-11.98,37.35,-18.49,-1.0,0.49660036451310335,1.0048463978775715,10.14521069273576,43.363844386769955,20.118897160541582
0.17200000000000001,-0.25,6.39,-7.89,-0.26,-0.19,-0.14,-11.98,37.35,-18.49,-1.0,0.42750381958214706,1.0417457755759187,10.14521069273576,43.363844386769955,20.118897160541582
