time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
1.00,-0.16,6.38,-7.75,-0.26,-0.32,-2.81,-26.45,15.23,-39.67,-1.00
13.00,-0.16,6.38,-7.75,-0.26,-0.32,-2.81,-26.45,15.23,-39.67,-1.00
25.00,-0.14,6.00,-7.90,-0.25,-0.40,-2.72,-26.45,15.23,-39.67,-1.00
86.00,-0.12,6.41,-7.64,-0.26,-0.12,-3.08,-27.24,15.55,-38.34,-1.00
99.00,-0.12,6.41,-7.64,-0.26,-0.12,-3.08,-27.24,15.55,-38.34,-1.00
111.00,0.03,6.62,-7.40,-0.27,-0.15,-3.01,-27.24,15.55,-38.34,-1.00
123.00,0.16,6.58,-7.59,-0.27,-0.28,-2.85,-27.24,15.55,-38.34,-1.00
137.00,0.16,6.58,-7.59,-0.27,-0.28,-2.85,-27.24,15.55,-38.34,-1.00
149.00,-0.19,6.18,-7.80,-0.26,-0.39,-2.74,-27.24,15.55,-38.34,-1.00
161.00,-0.16,6.28,-7.73,-0.25,-0.38,-2.73,-27.24,15.55,-38.34,-1.00
173.00,-0.16,6.28,-7.73,-0.25,-0.38,-2.73,-27.24,15.55,-38.34,-1.00
187.00,-0.41,6.18,-7.76,-0.24,-0.38,-2.74,-28.22,17.01,-38.84,-1.00
199.00,-0.41,6.18,-7.76,-0.24,-0.38,-2.74,-28.22,17.01,-38.84,-1.00
211.00,-0.04,6.74,-7.58,-0.26,-0.31,-2.83,-28.22,17.01,-38.84,-1.00
223.00,0.56,6.08,-7.61,-0.25,-0.42,-2.68,-28.22,17.01,-38.84,-1.00
238.00,0.56,6.08,-7.61,-0.25,-0.42,-2.68,-28.22,17.01,-38.84,-1.00
249.00,0.46,5.91,-8.27,-0.25,-0.93,-2.02,-28.22,17.01,-38.84,-1.00
261.00,-0.37,6.47,-7.72,-0.25,-1.45,-1.38,-28.22,17.01,-38.84,-1.00
275.00,-0.37,6.47,-7.72,-0.25,-1.45,-1.38,-28.22,17.01,-38.84,-1.00
287.00,-0.92,6.84,-7.17,-0.22,-1.56,-1.24,-28.22,17.01,-38.84,-1.00
299.00,-0.92,6.84,-7.17,-0.22,-1.56,-1.24,-28.22,17.01,-38.84,-1.00
311.00,-1.03,7.07,-7.22,-0.26,-1.32,-1.52,-28.22,17.01,-38.84,-1.00
325.00,-0.76,6.75,-7.55,-0.25,-0.94,-1.97,-31.35,18.95,-36.19,-1.00
337.00,-0.76,6.75,-7.55,-0.25,-0.94,-1.97,-31.35,18.95,-36.19,-1.00
349.00,-0.52,6.40,-7.79,-0.27,-0.68,-2.32,-31.35,18.95,-36.19,-1.00
361.00,0.13,5.92,-8.02,-0.24,-0.71,-2.29,-31.35,18.95,-36.19,-1.00
375.00,0.13,5.92,-8.02,-0.24,-0.71,-2.29,-31.35,18.95,-36.19,-1.00
387.00,-0.36,5.91,-7.75,-0.26,-0.93,-1.99,-31.35,18.95,-36.19,-1.00
399.00,-0.27,6.30,-7.75,-0.27,-1.16,-1.68,-31.35,18.95,-36.19,-1.00
411.00,-0.27,6.30,-7.75,-0.27,-1.16,-1.68,-31.35,18.95,-36.19,-1.00
425.00,0.62,6.22,-7.34,-0.31,-1.34,-1.35,-31.35,18.95,-36.19,-1.00
437.00,0.62,6.22,-7.34,-0.31,-1.34,-1.35,-31.35,18.95,-36.19,-1.00
449.00,0.53,6.61,-7.20,-0.29,-1.59,-1.07,-32.34,25.58,-32.37,-1.00
463.00,0.23,7.46,-6.54,-0.28,-1.78,-0.93,-32.34,25.58,-32.37,-1.00
475.00,0.23,7.46,-6.54,-0.28,-1.78,-0.93,-32.34,25.58,-32.37,-1.00
487.00,0.00,7.13,-7.23,-0.28,-1.86,-0.75,-32.34,25.58,-32.37,-1.00
499.00,-0.71,6.37,-7.65,-0.30,-1.96,-0.58,-32.34,25.58,-32.37,-1.00
