time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,psi,theta,normAccel,normMag,normGyr
0.001,-0.22,6.49,-7.78,0.0,-1.21,0.95,-10.02,48.18,0.49,-1.0,-1.3039806479407883,1.2439438150531998,0.0,0.0,0.0
0.013000000000000001,-0.21,6.51,-7.8,0.0,-1.21,0.95,-10.02,48.18,0.49,-1.0,-1.2795567399346446,1.2139937729334633,10.133947898030659,49.213340671000985,88.14243874512319
0.025,-0.21,6.51,-7.8,0.0,-1.21,0.95,-10.02,48.18,0.49,-1.0,-1.2714296326565984,1.2040287441858624,10.161899428748544,49.213340671000985,88.14243874512319
0.037,-0.22,6.54,-7.8,0.0,-1.21,0.95,-10.02,48.18,0.49,-1.0,-1.2722068468688326,1.2125779832773986,10.161899428748544,49.213340671000985,88.14243874512319
0.099,-0.25,6.49,-7.81,0.0,-1.21,0.95,-11.42,49.98,-1.29,-1.0,-0.938042039970627,1.252116558883074,10.181355508968341,49.213340671000985,88.14243874512319
0.111,-0.22,6.49,-7.83,0.0,-1.21,0.96,-11.42,49.98,-1.29,-1.0,-0.696832549446266,1.2499696339518778,10.157691666909367,51.284314366090534,88.14243874512319
0.123,-0.22,6.49,-7.83,0.0,-1.21,0.96,-11.42,49.98,-1.29,-1.0,-0.5253188077666845,1.2484364343366963,10.172384184644228,51.284314366090534,88.497407358764
0.135,-0.21,6.48,-7.8,0.0,-1.21,0.96,-11.42,49.98,-1.29,-1.0,-0.3903134812881929,1.2406914738976553,10.172384184644228,51.284314366090534,88.497407358764
0.149,-0.2,6.47,-7.8,0.0,-1.21,0.95,-11.42,49.98,-1.29,-1.0,-0.28150923993759264,1.228485458093786,10.142706739327526,51.284314366090534,88.497407358764
0.161,-0.2,6.47,-7.8,0.0,-1.21,0.95,-11.42,49.98,-1.29,-1.0,-0.19458512271947684,1.2187159110575436,10.136118586520187,51.284314366090534,88.14243874512319
0.17300000000000001,-0.18,6.5,-7.77,0.0,-1.21,0.95,-11.42,49.98,-1.29,-1.0,-0.11108506349440131,1.200503802521098,10.136118586520187,51.284314366090534,88.14243874512319
0.187,-0.22,6.5,-7.76,0.0,-1.21,0.95,-11.14,49.98,-2.19,-1.0,-0.07222993733972341,1.2042061351534272,10.131895183034613,51.284314366090534,88.14243874512319
0.199,-0.22,6.5,-7.76,0.0,-1.21,0.95,-11.14,49.98,-2.19,-1.0,-0.03928337505482425,1.2073401700311166,10.125018518501584,51.25325453081004,88.14243874512319
0.211,-0.25,6.51,-7.76,0.0,-1.22,0.95,-11.14,49.98,-2.19,-1.0,-0.020147611045463063,1.2220689746323217,10.125018518501584,51.25325453081004,88.14243874512319
0.223,-0.25,6.51,-7.76,0.0,-1.22,0.95,-11.14,49.98,-2.19,-1.0,-0.0035851085761498223,1.2348367416896622,10.132136990783337,51.25325453081004,88.59380171458429
0.23700000000000002,-0.28,6.5,-7.8,0.0,-1.21,0.95,-11.14,49.98,-2.19,-1.0,0.0,1.2564084694303261,10.132136990783337,51.25325453081004,88.59380171458429
0.249,-0.28,6.51,-7.81,0.0,-1.21,0.95,-11.14,49.98,-2.19,-1.0,0.0032719118367152875,1.2753359796816568,10.157184649301202,51.25325453081004,88.14243874512319
0.261,-0.28,6.51,-7.81,0.0,-1.21,0.95,-11.14,49.98,-2.19,-1.0,0.006133445087039756,1.2921560719379954,10.171263441677244,51.25325453081004,88.14243874512319
0.273,-0.28,6.5,-7.8,0.0,-1.21,0.96,-11.14,49.98,-2.19,-1.0,0.008500550296132914,1.307297604424292,10.171263441677244,51.25325453081004,88.14243874512319
0.28700000000000003,-0.25,6.51,-7.8,0.0,-1.21,0.96,-11.14,49.98,-2.19,-1.0,0.018056057223238556,1.312418155570228,10.157184649301202,51.25325453081004,88.497407358764
0.299,-0.25,6.51,-7.8,0.0,-1.21,0.96,-11.14,49.98,-2.19,-1.0,0.02669789948065075,1.317050497951854,10.16280473097855,51.25325453081004,88.497407358764
0.311,-0.22,6.49,-7.8,0.0,-1.21,0.96,-11.84,49.44,-1.52,-1.0,0.08655442648498625,1.3136426436181097,10.16280473097855,51.25325453081004,88.497407358764
0.323,-0.22,6.49,-7.8,0.0,-1.21,0.96,-11.84,49.44,-1.52,-1.0,0.14120170071201676,1.3105310596313728,10.149310321396227,50.860688158930756,88.497407358764
0.337,-0.19,6.49,-7.78,0.0,-1.21,0.96,-11.84,49.44,-1.52,-1.0,0.1976675907183644,1.3007073340292123,10.149310321396227,50.860688158930756,88.497407358764
0.34900000000000003,-0.18,6.48,-7.73,0.0,-1.21,0.96,-11.84,49.44,-1.52,-1.0,0.25243438851922273,1.2896385094033036,10.133341008769023,50.860688158930756,88.497407358764
0.361,-0.18,6.48,-7.73,0.0,-1.21,0.96,-11.84,49.44,-1.52,-1.0,0.36690674025302894,1.280833452232656,10.088394322190227,50.860688158930756,88.497407358764
0.373,-0.17,6.49,-7.71,0.0,-1.21,0.95,-11.84,49.44,-1.52,-1.0,0.48211262331931853,1.272211402011834,10.088394322190227,50.860688158930756,88.497407358764
0.387,-0.19,6.53,-7.8,0.0,-1.22,0.95,-11.84,49.44,-1.52,-1.0,0.5926881479956434,1.2676294260005818,10.079340256187406,50.860688158930756,88.14243874512319
0.399,-0.19,6.53,-7.8,0.0,-1.22,0.95,-11.84,49.44,-1.52,-1.0,0.703922522446646,1.2608847080210666,10.174330444800779,50.860688158930756,88.59380171458429
0.41100000000000003,-0.25,6.51,-7.8,0.0,-1.22,0.95,-11.84,49.44,-1.52,-1.0,0.7384015836924108,1.2608591676621757,10.174330444800779,50.860688158930756,88.59380171458429
0.423,-0.25,6.51,-7.8,0.0,-1.22,0.95,-11.84,49.44,-1.52,-1.0,0.7678428578510351,1.2676868323207913,10.16280473097855,50.860688158930756,88.59380171458429
0.437,-0.32,6.49,-7.87,0.0,-1.21,0.95,-9.74,47.82,0.04,-1.0,0.6683920204929368,1.2901199589133938,10.16280473097855,50.860688158930756,88.59380171458429
0.449,-0.32,6.5,-7.85,0.0,-1.21,0.96,-9.74,47.82,0.04,-1.0,0.5674560123848834,1.3146993609372402,10.205851262878566,48.80186062026734,88.14243874512319
0.461,-0.32,6.5,-7.85,0.0,-1.21,0.96,-9.74,47.82,0.04,-1.0,0.46491024054487673,1.3414921149595926,10.196808324176736,48.80186062026734,88.497407358764
0.47300000000000003,-0.28,6.5,-7.78,0.0,-1.21,0.96,-9.74,47.82,0.04,-1.0,0.3716083751805705,1.359531886596713,10.196808324176736,48.80186062026734,88.497407358764
0.487,-0.23,6.5,-7.79,0.0,-1.21,0.96,-9.74,47.82,0.04,-1.0,0.28148120737109555,1.370736448839665,10.14183415364302,48.80186062026734,88.497407358764
0.499,-0.23,6.5,-7.79,0.0,-1.21,0.96,-9.74,47.82,0.04,-1.0,0.20620737520330734,1.3728691976682228,10.14825108085132,48.80186062026734,88.497407358764
0.511,-0.21,6.49,-7.81,0.0,-1.21,0.96,-9.74,47.82,0.04,-1.0,0.13368336453146368,1.3704393414571712,10.14825108085132,48.80186062026734,88.497407358764
0.525,-0.21,6.49,-7.81,0.0,-1.21,0.96,-9.74,47.82,0.04,-1.0,0.06626842138505855,1.3612746316026687,10.156785908937925,48.80186062026734,88.497407358764
0.538,-0.18,6.47,-7.75,0.0,-1.21,0.96,-9.74,47.82,0.04,-1.0,0.005085370618375758,1.3456544601028355,10.156785908937925,48.80186062026734,88.497407358764
0.55,-0.13,6.48,-7.76,0.0,-1.21,0.96,-10.86,48.54,-0.4,-1.0,0.0192956481963926,1.3120243233248488,10.097316475182899,48.80186062026734,88.497407358764
0.562,-0.13,6.48,-7.76,0.0,-1.21,0.96,-10.86,48.54,-0.4,-1.0,0.03323673171102587,1.278452706409965,10.110633016779909,49.7416445244827,88.497407358764
0.5740000000000001,-0.15,6.5,-7.74,0.0,-1.21,0.95,-10.86,48.54,-0.4,-1.0,0.044641218766123314,1.249394643110307,10.110633016779909,49.7416445244827,88.497407358764
0.588,-0.2,6.53,-7.79,0.0,-1.22,0.95,-10.86,48.54,-0.4,-1.0,0.04671673114299812,1.2312698055983873,10.108417284619785,49.7416445244827,88.14243874512319
0.6,-0.2,6.53,-7.79,0.0,-1.22,0.95,-10.86,48.54,-0.4,-1.0,0.04286607408493427,1.2199524816870593,10.166857921698327,49.7416445244827,88.59380171458429
0.612,-0.3,6.5,-7.78,0.0,-1.22,0.95,-10.86,48.54,-0.4,-1.0,0.01994392806752571,1.2313505225462222,10.166857921698327,49.7416445244827,88.59380171458429
0.624,-0.3,6.5,-7.78,0.0,-1.22,0.95,-10.86,48.54,-0.4,-1.0,-0.048894370404726745,1.249463780426595,10.142406026185306,49.7416445244827,88.59380171458429
0.638,-0.32,6.5,-7.82,0.0,-1.21,0.95,-10.86,48.54,-0.4,-1.0,-0.12237972359235737,1.2719415669663618,10.142406026185306,49.7416445244827,88.59380171458429
0.65,-0.31,6.5,-7.79,0.0,-1.21,0.96,-10.86,48.54,-0.4,-1.0,-0.1992102149543976,1.2989708990675553,10.17373087908266,49.7416445244827,88.14243874512319
0.662,-0.31,6.5,-7.79,0.0,-1.21,0.96,-10.86,48.54,-0.4,-1.0,-0.2786960060991379,1.328020282527234,10.150379303257589,49.7416445244827,88.497407358764
0.677,-0.26,6.5,-7.83,0.0,-1.21,0.96,-10.86,48.54,-0.4,-1.0,-0.3500721497412989,1.3456068281399638,10.150379303257589,49.7416445244827,88.497407358764
0.6890000000000001,-0.21,6.47,-7.82,0.0,-1.21,0.96,-10.3,48.54,-0.85,-1.0,-0.44430717927572333,1.354251990090816,10.179710211985407,49.7416445244827,88.497407358764
0.7010000000000001,-0.21,6.47,-7.82,0.0,-1.21,0.96,-10.3,48.54,-0.85,-1.0,-0.5342458577860144,1.3588878353801022,10.151719066246859,49.62805758842471,88.497407358764
0.713,-0.15,6.46,-7.78,0.0,-1.21,0.96,-10.3,48.54,-0.85,-1.0,-0.6128599166241876,1.3501820427013627,10.151719066246859,49.62805758842471,88.497407358764
0.727,-0.14,6.49,-7.77,0.0,-1.21,0.96,-10.3,48.54,-0.85,-1.0,-0.6769934097054936,1.32554209655585,10.11348110197473,49.62805758842471,88.497407358764
0.739,-0.14,6.49,-7.77,0.0,-1.21,0.96,-10.3,48.54,-0.85,-1.0,-0.7412555694232467,1.3008946941275497,10.124850616181948,49.62805758842471,88.497407358764
0.751,-0.17,6.48,-7.78,0.0,-1.21,0.95,-10.3,48.54,-0.85,-1.0,-0.6811481169768759,1.2674057861959511,10.124850616181948,49.62805758842471,88.497407358764
0.763,-0.17,6.48,-7.78,0.0,-1.21,0.95,-10.3,48.54,-0.85,-1.0,-0.6217791096689461,1.2338524065934422,10.126583826740388,49.62805758842471,88.14243874512319
0.777,-0.24,6.51,-7.78,0.0,-1.21,0.95,-10.3,48.54,-0.85,-1.0,-0.5739045156089628,1.2160065701574752,10.126583826740388,49.62805758842471,88.14243874512319
0.789,-0.27,6.52,-7.77,0.0,-1.21,0.95,-10.3,48.54,-0.85,-1.0,-0.5397600864361124,1.2137224567969582,10.147221294521964,49.62805758842471,88.14243874512319
0.801,-0.27,6.52,-7.77,0.0,-1.21,0.95,-10.3,48.54,-0.85,-1.0,-0.5144186209096864,1.2227727735316307,10.146733464519505,49.62805758842471,88.14243874512319
0.8130000000000001,-0.31,6.52,-7.82,0.0,-1.21,0.95,-10.16,48.72,0.27,-1.0,-0.5179720146419909,1.2406734074364465,10.146733464519505,49.62805758842471,88.14243874512319
0.8270000000000001,-0.29,6.52,-7.82,0.0,-1.21,0.95,-10.16,48.72,0.27,-1.0,-0.5206837034053123,1.2586131628141715,10.186211268180138,49.76883462569724,88.14243874512319
0.839,-0.29,6.52,-7.82,0.0,-1.21,0.95,-10.16,48.72,0.27,-1.0,-0.5234054393640465,1.2765488598576837,10.185622219579912,49.76883462569724,88.14243874512319
0.851,-0.25,6.52,-7.79,0.0,-1.21,0.96,-10.16,48.72,0.27,-1.0,-0.5243478151488182,1.2920395425599764,10.185622219579912,49.76883462569724,88.14243874512319
0.863,-0.25,6.52,-7.79,0.0,-1.21,0.96,-10.16,48.72,0.27,-1.0,-0.5940346733625705,1.318882815062068,10.161545158094807,49.76883462569724,88.497407358764
0.877,-0.18,6.53,-7.77,0.0,-1.21,0.96,-10.16,48.72,0.27,-1.0,-0.6501851315780627,1.3299624179329754,10.161545158094807,49.76883462569724,88.497407358764
0.889,-0.16,6.49,-7.73,0.0,-1.21,0.96,-10.16,48.72,0.27,-1.0,-0.7007012163351521,1.3322935463235694,10.151167420548239,49.76883462569724,88.497407358764
0.901,-0.16,6.49,-7.73,0.0,-1.21,0.96,-10.16,48.72,0.27,-1.0,-0.7420159869170548,1.323638209794197,10.094483642069068,49.76883462569724,88.497407358764
0.913,-0.16,6.49,-7.78,0.0,-1.21,0.96,-10.16,48.72,0.27,-1.0,-0.7844816796428938,1.314778940436284,10.094483642069068,49.76883462569724,88.497407358764
