time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,psi,theta,normAccel,normMag,normGyr
0.001,-0.19,6.12,-7.85,0.2,1.71,2.17,-26.3,14.85,-33.84,-1.0,-1.3200946866684324,1.0935465880676674,0.0,0.0,0.0
0.013000000000000001,-0.19,6.12,-7.85,0.2,1.71,2.17,-26.3,14.85,-33.84,-1.0,-1.3200946866684324,1.0935465880676674,9.95555121527683,45.35810952850659,158.71034346771515
0.025,-0.22,6.12,-7.83,0.2,1.71,2.17,-25.74,12.72,-34.01,-1.0,0.042242722446693734,1.1516946473782923,9.95555121527683,45.35810952850659,158.71034346771515
0.037,-0.24,6.14,-7.86,0.2,1.71,2.17,-25.74,12.72,-34.01,-1.0,0.7312024133635373,1.2084902250111043,9.940407436317688,44.5087193704784,158.71034346771515
0.099,-0.2,6.12,-7.84,0.2,1.71,2.17,-25.74,12.72,-34.01,-1.0,1.1174700557607495,1.1972002981135859,9.976813118426143,44.5087193704784,158.71034346771515
0.111,-0.2,6.12,-7.84,0.2,1.71,2.17,-25.74,12.72,-34.01,-1.0,1.3746244609440044,1.1896713622629989,9.94786409235671,44.5087193704784,158.71034346771515
0.123,-0.24,6.13,-7.85,0.2,1.71,2.17,-25.74,12.72,-34.01,-1.0,1.5760605269330248,1.2169345238722684,9.94786409235671,44.5087193704784,158.71034346771515
0.137,-0.24,6.12,-7.85,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,1.2186858531231508,1.2374729912958173,9.962780736320559,44.5087193704784,158.71034346771515
0.149,-0.24,6.12,-7.85,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,0.9425009540278391,1.2534468658320748,9.956630956302439,45.27413610440292,158.71034346771515
0.161,-0.23,6.13,-7.83,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,0.7337110591900691,1.2605936684077363,9.956630956302439,45.27413610440292,158.71034346771515
0.17300000000000001,-0.23,6.13,-7.83,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,0.5636488070460188,1.2664419657055674,9.946793453168715,45.27413610440292,158.71034346771515
0.187,-0.2,6.12,-7.81,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,0.41833644221845523,1.2571592336548179,9.946793453168715,45.27413610440292,158.71034346771515
0.199,-0.21,6.12,-7.84,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,0.2881541916226291,1.253500611267853,9.924238006013358,45.27413610440292,158.71034346771515
0.211,-0.21,6.12,-7.84,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,0.17688973374193281,1.2503644955586566,9.948070164609817,45.27413610440292,158.71034346771515
0.223,-0.22,6.11,-7.83,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,0.08173445337245366,1.2516017962520891,9.948070164609817,45.27413610440292,158.71034346771515
0.23700000000000002,-0.22,6.13,-7.85,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,0.0,1.2524637997639019,9.934253872334851,45.27413610440292,158.71034346771515
0.249,-0.22,6.13,-7.85,0.2,1.71,2.17,-27.24,14.03,-33.33,-1.0,-0.07199020561222616,1.2532242791397294,9.96231900713885,45.27413610440292,158.71034346771515
