time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure
2.00,-0.06,6.20,-7.79,-0.25,-0.03,-0.01,-5.13,41.44,-6.79,-1.00
14.00,-0.06,6.19,-7.81,-0.25,-0.03,-0.01,-5.13,41.44,-6.79,-1.00
26.00,-0.06,6.19,-7.81,-0.25,-0.03,-0.01,-5.13,41.44,-6.79,-1.00
38.00,-0.04,6.17,-7.82,-0.26,-0.03,-0.01,-5.13,41.44,-6.79,-1.00
99.00,-0.02,6.19,-7.80,-0.26,-0.03,-0.01,-5.13,41.44,-6.79,-1.00
111.00,-0.02,6.19,-7.80,-0.26,-0.03,-0.01,-5.13,41.44,-6.79,-1.00
123.00,-0.03,6.19,-7.81,-0.26,-0.03,-0.01,-5.13,41.44,-6.79,-1.00
138.00,-0.04,6.19,-7.81,-0.26,-0.03,-0.01,-5.51,41.09,-6.16,-1.00
150.00,-0.04,6.19,-7.81,-0.26,-0.03,-0.01,-5.51,41.09,-6.16,-1.00
162.00,-0.03,6.19,-7.78,-0.26,-0.03,-0.01,-5.51,41.09,-6.16,-1.00
174.00,-0.05,6.21,-7.78,-0.25,-0.03,-0.01,-5.51,41.09,-6.16,-1.00
188.00,-0.05,6.21,-7.78,-0.25,-0.03,-0.01,-5.51,41.09,-6.16,-1.00
275.00,-0.02,6.18,-7.79,-0.26,-0.03,-0.01,-5.13,41.79,-5.84,-1.00
364.00,-0.03,6.18,-7.82,-0.26,-0.03,-0.01,-5.13,41.79,-5.84,-1.00
450.00,0.00,6.22,-7.80,-0.26,-0.03,-0.01,-5.13,41.09,-7.11,-1.00
464.00,-0.01,6.21,-7.79,-0.26,-0.03,-0.01,-5.13,41.09,-7.11,-1.00
476.00,-0.02,6.19,-7.81,-0.26,-0.03,-0.01,-5.13,41.09,-7.11,-1.00
488.00,-0.02,6.19,-7.81,-0.26,-0.03,-0.01,-5.13,41.09,-7.11,-1.00
500.00,-0.04,6.20,-7.82,-0.25,-0.03,-0.01,-4.38,40.74,-6.79,-1.00
514.00,-0.05,6.19,-7.81,-0.26,-0.03,-0.02,-4.38,40.74,-6.79,-1.00
526.00,-0.05,6.19,-7.81,-0.26,-0.03,-0.02,-4.38,40.74,-6.79,-1.00
538.00,-0.03,6.19,-7.80,-0.26,-0.03,-0.02,-4.38,40.74,-6.79,-1.00
550.00,-0.03,6.19,-7.80,-0.26,-0.03,-0.02,-4.38,40.74,-6.79,-1.00
564.00,-0.05,6.20,-7.79,-0.26,-0.03,-0.02,-4.38,40.74,-6.79,-1.00
576.00,-0.04,6.20,-7.79,-0.26,-0.03,-0.01,-4.38,40.74,-6.79,-1.00
588.00,-0.04,6.20,-7.79,-0.26,-0.03,-0.01,-4.38,40.74,-6.79,-1.00
600.00,-0.02,6.20,-7.79,-0.26,-0.03,-0.02,-4.38,40.74,-6.79,-1.00
614.00,-0.03,6.21,-7.81,-0.28,-0.02,-0.03,-6.27,41.79,-7.42,-1.00
626.00,-0.03,6.21,-7.81,-0.28,-0.02,-0.03,-6.27,41.79,-7.42,-1.00
638.00,-0.02,6.22,-7.79,-0.28,-0.01,-0.04,-6.27,41.79,-7.42,-1.00
652.00,-0.02,6.22,-7.79,-0.28,-0.01,-0.04,-6.27,41.79,-7.42,-1.00
664.00,-0.02,6.23,-7.78,-0.28,-0.01,-0.05,-6.27,41.79,-7.42,-1.00
676.00,0.00,6.23,-7.78,-0.28,0.01,-0.07,-6.27,41.79,-7.42,-1.00
688.00,0.00,6.23,-7.78,-0.28,0.01,-0.07,-6.27,41.79,-7.42,-1.00
702.00,-0.01,6.22,-7.77,-0.27,0.00,-0.06,-6.27,41.79,-7.42,-1.00
714.00,-0.04,6.22,-7.77,-0.26,-0.00,-0.05,-6.27,41.79,-7.42,-1.00
726.00,-0.04,6.22,-7.77,-0.26,-0.00,-0.05,-6.27,41.79,-7.42,-1.00
738.00,-0.02,6.23,-7.79,-0.27,-0.00,-0.05,-4.76,41.44,-7.74,-1.00
753.00,-0.02,6.23,-7.79,-0.27,-0.00,-0.05,-4.76,41.44,-7.74,-1.00
764.00,-0.04,6.22,-7.79,-0.27,-0.01,-0.05,-4.76,41.44,-7.74,-1.00
776.00,-0.04,6.23,-7.78,-0.28,-0.01,-0.06,-4.76,41.44,-7.74,-1.00
788.00,-0.04,6.23,-7.78,-0.28,-0.01,-0.06,-4.76,41.44,-7.74,-1.00
802.00,-0.03,6.22,-7.79,-0.29,0.01,-0.09,-4.76,41.44,-7.74,-1.00
814.00,-0.04,6.23,-7.79,-0.29,0.04,-0.14,-4.76,41.44,-7.74,-1.00
826.00,-0.04,6.23,-7.79,-0.29,0.04,-0.14,-4.76,41.44,-7.74,-1.00
838.00,-0.03,6.25,-7.76,-0.29,0.06,-0.17,-4.76,41.44,-7.74,-1.00
852.00,-0.03,6.25,-7.76,-0.29,0.06,-0.17,-4.76,41.44,-7.74,-1.00
864.00,0.03,6.24,-7.78,-0.29,0.09,-0.15,-4.76,41.44,-7.74,-1.00
876.00,-0.00,6.26,-7.78,-0.29,0.05,-0.12,-6.08,39.87,-9.16,-1.00
888.00,-0.00,6.26,-7.78,-0.29,0.05,-0.12,-6.08,39.87,-9.16,-1.00
903.00,-0.03,6.27,-7.75,-0.26,-0.03,-0.04,-6.08,39.87,-9.16,-1.00
914.00,-0.03,6.26,-7.76,-0.25,-0.04,-0.02,-6.08,39.87,-9.16,-1.00
926.00,-0.03,6.26,-7.76,-0.25,-0.04,-0.02,-6.08,39.87,-9.16,-1.00
