time,ax,ay,az,gx,gy,gz,mx,my,mz
402,-0.31,6.05,-8.36,-0.02,0.00,0.01,16.18,14.12,-14.05
412,-0.31,6.05,-8.36,-0.02,0.00,0.01,16.18,14.12,-14.05
423,-0.30,6.02,-8.33,-0.00,0.00,0.00,16.18,14.12,-14.05
434,-0.30,6.02,-8.33,-0.00,0.00,0.00,16.18,14.12,-14.05
445,-0.07,6.26,-8.16,-0.04,-0.01,-0.01,16.18,14.12,-14.05
456,-0.07,6.26,-8.16,-0.04,-0.01,-0.01,16.18,14.12,-14.05
467,-0.25,6.06,-8.25,-0.11,0.01,-0.04,16.18,14.12,-14.05
478,-0.37,6.08,-8.34,-0.10,0.02,-0.04,16.18,14.12,-14.05
489,-0.37,6.08,-8.34,-0.10,0.02,-0.04,16.18,14.12,-14.05
500,-0.33,6.06,-8.32,-0.04,0.02,-0.02,16.18,14.12,-14.05
511,-0.33,6.06,-8.32,-0.04,0.02,-0.02,16.18,14.12,-14.05
522,-0.32,6.11,-8.31,-0.01,0.01,-0.00,16.18,14.12,-14.05
533,-0.32,6.11,-8.31,-0.01,0.01,-0.00,16.18,14.12,-14.05
544,-0.30,6.08,-8.29,0.01,0.01,0.00,16.18,14.12,-14.05
555,-0.30,6.08,-8.29,0.01,0.01,0.00,16.18,14.12,-14.05
570,-0.34,6.24,-8.40,-0.04,0.02,-0.01,16.18,14.12,-14.05
577,-0.33,6.05,-8.28,-0.05,0.04,-0.05,16.18,14.12,-14.05
588,-0.33,6.05,-8.28,-0.05,0.04,-0.05,16.18,14.12,-14.05
599,-0.34,6.10,-8.34,-0.00,0.04,-0.05,16.18,14.12,-14.05
610,-0.34,6.10,-8.34,-0.00,0.04,-0.05,16.18,14.12,-14.05
621,-0.32,6.07,-8.31,0.03,0.03,-0.03,20.08,14.26,-13.87
632,-0.32,6.07,-8.31,0.03,0.03,-0.03,20.08,14.26,-13.87
644,-0.34,6.24,-8.29,0.01,0.01,-0.00,20.08,14.26,-13.87
654,-0.34,6.24,-8.29,0.01,0.01,-0.00,20.08,14.26,-13.87
665,-0.30,6.07,-8.28,0.04,0.01,0.00,20.08,14.26,-13.87
676,-0.30,6.07,-8.28,0.04,0.01,0.00,20.08,14.26,-13.87
687,-0.29,5.93,-8.28,0.05,0.00,0.00,20.08,14.26,-13.87
698,-0.38,6.08,-8.34,-0.02,-0.06,0.08,20.08,14.26,-13.87
709,-0.38,6.08,-8.34,-0.02,-0.06,0.08,20.08,14.26,-13.87
720,-0.30,6.10,-8.32,-0.01,-0.06,0.09,20.08,14.26,-13.87
731,-0.30,6.10,-8.32,-0.01,-0.06,0.09,20.08,14.26,-13.87
742,-0.29,5.93,-8.22,-0.02,-0.05,0.09,17.10,14.39,-12.94
753,-0.29,5.93,-8.22,-0.02,-0.05,0.09,17.10,14.39,-12.94
764,-0.39,6.08,-8.32,-0.03,-0.06,0.09,17.10,14.39,-12.94
775,-0.39,6.08,-8.32,-0.03,-0.06,0.09,17.10,14.39,-12.94
786,-0.34,6.11,-8.30,-0.00,-0.02,0.04,17.10,14.39,-12.94
797,0.32,6.25,-7.65,-0.01,0.01,0.00,17.10,14.39,-12.94
808,0.32,6.25,-7.65,-0.01,0.01,0.00,17.10,14.39,-12.94
