time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.402,-0.31,6.05,-8.36,-0.02,0.0,0.01,16.18,14.12,-14.05,0.4422236854956505,1.720659924574619,0.0,0.0,0.0
0.41200000000000003,-0.31,6.05,-8.36,-0.02,0.0,0.01,16.18,14.12,-14.05,0.4422236854956505,1.720659924574619,10.324156139849881,25.662605089896857,1.2811725781509187
0.423,-0.3,6.02,-8.33,-0.0,0.0,0.0,16.18,14.12,-14.05,0.4597342461764425,1.7044741632115574,10.324156139849881,25.662605089896857,1.2811725781509187
0.434,-0.3,6.02,-8.33,-0.0,0.0,0.0,16.18,14.12,-14.05,0.4685109061517665,1.6963646904974752,10.281989107171823,25.662605089896857,0.0
0.445,-0.07,6.26,-8.16,-0.04,-0.01,-0.01,16.18,14.12,-14.05,0.1550725835833632,1.4355572236319318,10.281989107171823,25.662605089896857,0.0
0.456,-0.07,6.26,-8.16,-0.04,-0.01,-0.01,16.18,14.12,-14.05,-0.056180140214018036,1.2615324089820774,10.28484807860573,25.662605089896857,2.4308540536241865
0.467,-0.25,6.06,-8.25,-0.11,0.01,-0.04,16.18,14.12,-14.05,-0.04150841366415663,1.28108252346982,10.28484807860573,25.662605089896857,2.4308540536241865
0.47800000000000004,-0.37,6.08,-8.34,-0.1,0.02,-0.04,16.18,14.12,-14.05,-0.017598102407005024,1.3779189212081207,10.239560537444955,25.662605089896857,6.7307300963686005
0.489,-0.37,6.08,-8.34,-0.1,0.02,-0.04,16.18,14.12,-14.05,0.0009383905642210755,1.4531718879626112,10.327579580908587,25.662605089896857,6.27643817783151
0.5,-0.33,6.06,-8.32,-0.04,0.02,-0.02,16.18,14.12,-14.05,0.02291620106709477,1.4914936705859674,10.327579580908587,25.662605089896857,6.27643817783151
0.511,-0.33,6.06,-8.32,-0.04,0.02,-0.02,16.18,14.12,-14.05,0.040873552730001435,1.5228466254104376,10.298295975548577,25.662605089896857,2.806908484441234
0.522,-0.32,6.11,-8.31,-0.01,0.01,-0.0,16.18,14.12,-14.05,0.03237112019778115,1.5440689158642442,10.298295975548577,25.662605089896857,2.806908484441234
0.533,-0.32,6.11,-8.31,-0.01,0.01,-0.0,16.18,14.12,-14.05,0.02518543413622165,1.5620201188538374,10.319428278737153,25.662605089896857,0.8102846845413955
0.544,-0.3,6.08,-8.29,0.01,0.01,0.0,16.18,14.12,-14.05,0.02617290547826352,1.5698284714680568,10.319428278737153,25.662605089896857,0.8102846845413955
0.555,-0.3,6.08,-8.29,0.01,0.01,0.0,16.18,14.12,-14.05,0.027028798673428094,1.576597031676684,10.284964754436448,25.662605089896857,0.8102846845413955
0.5700000000000001,-0.34,6.24,-8.4,-0.04,0.02,-0.01,16.18,14.12,-14.05,0.0,1.594651077552328,10.284964754436448,25.662605089896857,0.8102846845413955
0.577,-0.33,6.05,-8.28,-0.05,0.04,-0.05,16.18,14.12,-14.05,0.007055147220426195,1.6092037276770128,10.469632276254979,25.662605089896857,2.6256224662019982
0.588,-0.33,6.05,-8.28,-0.05,0.04,-0.05,16.18,14.12,-14.05,0.013326573622586808,1.6221461858698234,10.260107211915477,25.662605089896857,4.654731131878351
0.599,-0.34,6.1,-8.34,-0.0,0.04,-0.05,16.18,14.12,-14.05,0.016874252274461526,1.636006397589611,10.260107211915477,25.662605089896857,4.654731131878351
0.61,-0.34,6.1,-8.34,-0.0,0.04,-0.05,16.18,14.12,-14.05,0.0200649139933102,1.6484763513325191,10.338336423235607,25.662605089896857,3.6687199450282586
0.621,-0.32,6.07,-8.31,0.03,0.03,-0.03,20.08,14.26,-13.87,-0.05139540808670994,1.6547844229679782,10.338336423235607,25.662605089896857,3.6687199450282586
0.632,-0.32,6.07,-8.31,0.03,0.03,-0.03,20.08,14.26,-13.87,-0.1150257159231086,1.6605195764439742,10.29579525825956,28.265365732641772,2.9771760352776773
0.644,-0.34,6.24,-8.29,0.01,0.01,-0.0,20.08,14.26,-13.87,-0.21266053024567835,1.6699939760178495,10.29579525825956,28.265365732641772,2.9771760352776773
0.654,-0.34,6.24,-8.29,0.01,0.01,-0.0,20.08,14.26,-13.87,-0.3006344906369382,1.6786731557398156,10.381584657459573,28.265365732641772,0.8102846845413955
0.665,-0.3,6.07,-8.28,0.04,0.01,0.0,20.08,14.26,-13.87,-0.3470561318832638,1.6784774486025356,10.381584657459573,28.265365732641772,0.8102846845413955
0.676,-0.3,6.07,-8.28,0.04,0.01,0.0,20.08,14.26,-13.87,-0.42095118820611427,1.676597671372889,10.270993136011727,28.265365732641772,2.362365508345388
0.687,-0.29,5.93,-8.28,0.05,0.0,0.0,20.08,14.26,-13.87,-0.4664197151594452,1.6730328027856274,10.270993136011727,28.265365732641772,2.362365508345388
0.6980000000000001,-0.38,6.08,-8.34,-0.02,-0.06,0.08,20.08,14.26,-13.87,-0.5365555208666009,1.690534616558793,10.188591659302084,28.265365732641772,2.864788975654116
