time,ax,ay,az,gx,gy,gz,mx,my,mz
402,-0.35,6.53,-7.93,-0.02,-0.00,-0.00,69.39,0.53,1.89
412,-0.35,6.55,-7.90,-0.01,-0.00,-0.00,69.39,0.53,1.89
423,-0.35,6.55,-7.90,-0.01,-0.00,-0.00,69.39,0.53,1.89
434,-0.35,6.55,-7.93,-0.00,-0.00,-0.00,69.39,0.53,1.89
445,-0.35,6.54,-7.94,0.00,0.00,-0.00,68.68,0.89,1.89
456,-0.35,6.54,-7.94,0.00,0.00,-0.00,68.68,0.89,1.89
467,-0.36,6.54,-7.96,0.00,0.00,-0.00,68.68,0.89,1.89
478,-0.36,6.54,-7.96,0.00,0.00,-0.00,68.68,0.89,1.89
489,-0.35,6.52,-7.94,-0.00,0.00,-0.00,68.68,0.89,1.89
500,-0.35,6.52,-7.94,-0.00,0.00,-0.00,68.68,0.89,1.89
511,-0.34,6.53,-7.92,-0.00,0.00,-0.00,68.68,0.89,1.89
522,-0.34,6.53,-7.92,-0.00,0.00,-0.00,68.68,0.89,1.89
533,-0.35,6.53,-7.94,-0.01,0.00,-0.00,68.68,0.89,1.89
544,-0.35,6.53,-7.94,-0.01,0.00,-0.00,68.68,0.89,1.89
555,-0.34,6.55,-7.92,-0.00,-0.00,-0.00,68.68,0.89,1.89
566,-0.35,6.53,-7.95,0.00,-0.00,-0.00,68.68,0.89,1.89
577,-0.35,6.53,-7.95,0.00,-0.00,-0.00,68.68,0.89,1.89
588,-0.34,6.52,-7.93,0.00,0.00,-0.00,69.39,-0.18,3.26
600,-0.34,6.52,-7.93,0.00,0.00,-0.00,69.39,-0.18,3.26
610,-0.35,6.54,-7.93,0.00,0.00,-0.00,69.39,-0.18,3.26
621,-0.35,6.54,-7.93,0.00,0.00,-0.00,69.39,-0.18,3.26
632,-0.34,6.52,-7.93,0.01,0.00,-0.00,69.39,-0.18,3.26
643,-0.34,6.52,-7.93,0.01,0.00,-0.00,69.39,-0.18,3.26
654,-0.32,6.52,-7.94,0.04,0.01,-0.00,69.39,-0.18,3.26
665,-0.34,6.52,-7.98,0.03,0.01,0.00,69.39,-0.18,3.26
681,-0.34,6.52,-7.98,0.03,0.01,0.00,69.39,-0.18,3.26
687,-0.35,6.49,-7.96,0.03,0.01,0.00,69.39,-0.18,3.26
698,-0.35,6.49,-7.96,0.03,0.01,0.00,69.39,-0.18,3.26
709,-0.34,6.50,-7.97,0.02,0.02,-0.00,68.86,1.42,1.72
720,-0.34,6.50,-7.97,0.02,0.02,-0.00,68.86,1.42,1.72
731,-0.32,6.47,-7.99,0.01,0.01,0.00,68.86,1.42,1.72
742,-0.32,6.47,-7.99,0.01,0.01,0.00,68.86,1.42,1.72
753,-0.32,6.50,-7.96,0.00,0.00,0.00,68.86,1.42,1.72
764,-0.32,6.50,-7.96,0.00,0.00,0.00,68.86,1.42,1.72
775,-0.33,6.50,-7.97,-0.02,-0.00,-0.00,68.86,1.42,1.72
786,-0.34,6.49,-7.96,-0.03,-0.01,-0.00,68.86,1.42,1.72
797,-0.34,6.49,-7.96,-0.03,-0.01,-0.00,68.86,1.42,1.72
808,-0.34,6.52,-7.93,-0.04,-0.01,-0.00,68.86,1.42,1.72
819,-0.34,6.52,-7.93,-0.04,-0.01,-0.00,68.86,1.42,1.72
830,-0.35,6.50,-7.96,-0.02,-0.01,-0.00,68.68,0.89,1.20
841,-0.35,6.50,-7.96,-0.02,-0.01,-0.00,68.68,0.89,1.20
852,-0.34,6.49,-7.95,-0.02,-0.00,-0.00,68.68,0.89,1.20
863,-0.34,6.49,-7.95,-0.02,-0.00,-0.00,68.68,0.89,1.20
874,-0.34,6.49,-7.95,-0.02,-0.00,-0.00,68.68,0.89,1.20
885,-0.34,6.49,-7.95,-0.02,-0.00,-0.00,68.68,0.89,1.20
896,-0.34,6.50,-7.95,-0.02,-0.00,-0.00,68.68,0.89,1.20
907,-0.34,6.51,-7.97,-0.02,-0.00,-0.00,68.68,0.89,1.20
918,-0.34,6.51,-7.97,-0.02,-0.00,-0.00,68.68,0.89,1.20
929,-0.35,6.46,-8.00,-0.02,-0.01,-0.00,68.68,0.89,1.20
940,-0.35,6.46,-8.00,-0.02,-0.01,-0.00,68.68,0.89,1.20
951,-0.32,6.42,-8.00,-0.04,-0.00,-0.01,68.68,0.89,1.20
962,-0.32,6.42,-8.00,-0.04,-0.00,-0.01,68.68,0.89,1.20
973,-0.35,6.51,-7.97,-0.06,0.00,0.00,69.21,2.13,1.72
985,-0.35,6.51,-7.97,-0.06,0.00,0.00,69.21,2.13,1.72
995,-0.33,6.51,-7.93,-0.07,0.00,0.00,69.21,2.13,1.72
1006,-0.31,6.51,-7.97,-0.07,0.01,0.02,69.21,2.13,1.72
1017,-0.31,6.51,-7.97,-0.07,0.01,0.02,69.21,2.13,1.72
1028,-0.32,6.57,-7.94,-0.06,0.00,0.01,69.21,2.13,1.72
1039,-0.32,6.57,-7.94,-0.06,0.00,0.01,69.21,2.13,1.72
1050,-0.33,6.57,-7.93,-0.05,0.00,0.00,69.21,2.13,1.72
1061,-0.33,6.57,-7.93,-0.05,0.00,0.00,69.21,2.13,1.72
1072,-0.30,6.53,-7.95,-0.04,0.00,0.01,69.21,2.13,1.72
1083,-0.30,6.53,-7.95,-0.04,0.00,0.01,69.21,2.13,1.72
1094,-0.32,6.56,-7.95,-0.04,0.00,0.01,68.15,1.42,1.37
1105,-0.32,6.56,-7.95,-0.04,0.00,0.01,68.15,1.42,1.37
1116,-0.39,6.63,-7.87,-0.06,-0.00,0.01,68.15,1.42,1.37
1127,-0.32,6.56,-7.91,-0.10,-0.04,0.04,68.15,1.42,1.37
1138,-0.32,6.56,-7.91,-0.10,-0.04,0.04,68.15,1.42,1.37
1149,-0.30,6.68,-7.81,-0.14,-0.06,0.07,68.15,1.42,1.37
1160,-0.30,6.68,-7.81,-0.14,-0.06,0.07,68.15,1.42,1.37
1171,-0.34,6.66,-7.83,-0.14,-0.16,0.17,68.15,1.42,1.37
1182,-0.34,6.66,-7.83,-0.14,-0.16,0.17,68.15,1.42,1.37
1193,-0.24,6.76,-7.84,-0.17,-0.11,0.14,68.15,1.42,1.37
1204,-0.24,6.76,-7.84,-0.17,-0.11,0.14,68.15,1.42,1.37
1215,-0.35,6.71,-7.73,-0.14,-0.01,0.01,69.21,1.42,1.03
1226,-0.31,6.70,-7.82,-0.07,0.00,0.02,69.21,1.42,1.03
1241,-0.31,6.70,-7.82,-0.07,0.00,0.02,69.21,1.42,1.03
1248,-0.36,6.66,-7.81,-0.06,0.00,0.02,69.21,1.42,1.03
1259,-0.36,6.66,-7.81,-0.06,0.00,0.02,69.21,1.42,1.03
1270,-0.26,6.68,-7.83,-0.04,0.00,0.00,69.21,1.42,1.03
1281,-0.26,6.68,-7.83,-0.04,0.00,0.00,69.21,1.42,1.03
1292,-0.30,6.65,-7.79,-0.03,-0.01,0.00,69.21,1.42,1.03
1303,-0.30,6.65,-7.79,-0.03,-0.01,0.00,69.21,1.42,1.03
1314,-0.35,6.68,-7.80,-0.04,-0.04,0.02,69.21,1.42,1.03
1325,-0.35,6.68,-7.80,-0.04,-0.04,0.02,69.21,1.42,1.03
1336,-0.29,6.69,-7.76,-0.05,-0.02,0.01,69.21,1.42,1.03
1347,-0.33,6.70,-7.78,-0.03,-0.02,0.00,69.39,0.89,2.92
1358,-0.33,6.70,-7.78,-0.03,-0.02,0.00,69.39,0.89,2.92
1369,-0.34,6.73,-7.81,-0.02,-0.01,0.02,69.39,0.89,2.92
1380,-0.34,6.73,-7.81,-0.02,-0.01,0.02,69.39,0.89,2.92
1391,-0.34,6.69,-7.75,-0.03,-0.05,0.08,69.39,0.89,2.92
1402,-0.34,6.69,-7.75,-0.03,-0.05,0.08,69.39,0.89,2.92
1413,-0.32,6.68,-7.75,-0.03,-0.02,0.04,69.39,0.89,2.92
1424,-0.32,6.68,-7.75,-0.03,-0.02,0.04,69.39,0.89,2.92
1435,-0.31,6.69,-7.76,-0.02,0.00,0.01,69.39,0.89,2.92
1446,-0.33,6.71,-7.78,-0.02,0.00,0.00,69.39,0.89,2.92
1457,-0.33,6.71,-7.78,-0.02,0.00,0.00,69.39,0.89,2.92
1468,-0.33,6.74,-7.86,-0.02,0.01,0.01,69.74,1.24,2.23
1479,-0.33,6.74,-7.86,-0.02,0.01,0.01,69.74,1.24,2.23
1490,-0.31,6.71,-7.79,-0.02,0.01,0.01,69.74,1.24,2.23
1501,-0.31,6.71,-7.79,-0.02,0.01,0.01,69.74,1.24,2.23
1512,-0.30,6.68,-7.77,-0.02,0.01,0.01,69.74,1.24,2.23
1523,-0.30,6.68,-7.77,-0.02,0.01,0.01,69.74,1.24,2.23
1534,-0.30,6.72,-7.82,-0.02,0.01,0.01,69.74,1.24,2.23
1545,-0.30,6.72,-7.82,-0.02,0.01,0.01,69.74,1.24,2.23
1556,-0.28,6.76,-7.85,-0.03,0.02,0.01,69.74,1.24,2.23
1568,-0.33,6.73,-7.71,-0.03,0.01,-0.00,69.74,1.24,2.23
1578,-0.33,6.73,-7.71,-0.03,0.01,-0.00,69.74,1.24,2.23
1589,-0.36,6.68,-7.66,-0.04,0.09,-0.01,68.68,-0.53,2.92
1600,-0.36,6.68,-7.66,-0.04,0.09,-0.01,68.68,-0.53,2.92
1611,-0.11,6.68,-7.89,-0.04,0.17,-0.00,68.68,-0.53,2.92
1622,-0.11,6.68,-7.89,-0.04,0.17,-0.00,68.68,-0.53,2.92
1633,-0.25,6.74,-7.76,-0.02,0.03,-0.01,68.68,-0.53,2.92
1644,-0.25,6.74,-7.76,-0.02,0.03,-0.01,68.68,-0.53,2.92
1655,-0.28,6.68,-7.82,-0.02,0.01,0.00,68.68,-0.53,2.92
1666,-0.23,6.72,-7.76,-0.01,0.00,-0.00,68.68,-0.53,2.92
1677,-0.23,6.72,-7.76,-0.01,0.00,-0.00,68.68,-0.53,2.92
1688,-0.23,6.76,-7.74,-0.03,0.00,0.00,68.68,-0.53,2.92
1699,-0.23,6.76,-7.74,-0.03,0.00,0.00,68.68,-0.53,2.92
1710,-0.23,6.75,-7.76,-0.03,-0.00,-0.00,71.34,0.00,3.09
1721,-0.23,6.75,-7.76,-0.03,-0.00,-0.00,71.34,0.00,3.09
1732,-0.25,6.73,-7.74,-0.03,-0.00,-0.00,71.34,0.00,3.09
1743,-0.25,6.73,-7.74,-0.03,-0.00,-0.00,71.34,0.00,3.09
1754,-0.25,6.74,-7.74,-0.02,0.00,-0.00,71.34,0.00,3.09
1765,-0.25,6.74,-7.74,-0.02,0.00,-0.00,71.34,0.00,3.09
1776,-0.23,6.74,-7.75,-0.02,-0.00,-0.00,71.34,0.00,3.09
1787,-0.24,6.73,-7.74,-0.02,-0.00,-0.00,71.34,0.00,3.09
1798,-0.24,6.73,-7.74,-0.02,-0.00,-0.00,71.34,0.00,3.09
1809,-0.25,6.74,-7.72,-0.02,-0.00,-0.00,71.34,0.00,3.09
1820,-0.25,6.74,-7.72,-0.02,-0.00,-0.00,71.34,0.00,3.09
1831,-0.25,6.74,-7.75,-0.01,-0.00,-0.00,71.34,0.00,3.09
1842,-0.25,6.74,-7.75,-0.01,-0.00,-0.00,71.34,0.00,3.09
1853,-0.25,6.73,-7.78,-0.01,0.00,-0.00,69.21,-0.35,1.72
1864,-0.25,6.73,-7.78,-0.01,0.00,-0.00,69.21,-0.35,1.72
1875,-0.25,6.74,-7.75,-0.02,-0.00,-0.00,69.21,-0.35,1.72
1886,-0.25,6.73,-7.75,-0.02,-0.00,-0.00,69.21,-0.35,1.72
1897,-0.25,6.73,-7.75,-0.02,-0.00,-0.00,69.21,-0.35,1.72
1908,-0.25,6.75,-7.74,-0.01,-0.00,-0.00,69.21,-0.35,1.72
1919,-0.25,6.75,-7.74,-0.01,-0.00,-0.00,69.21,-0.35,1.72
1930,-0.25,6.74,-7.76,-0.01,-0.00,-0.00,69.21,-0.35,1.72
1941,-0.25,6.74,-7.76,-0.01,-0.00,-0.00,69.21,-0.35,1.72
1952,-0.24,6.74,-7.74,-0.01,-0.00,-0.00,69.21,-0.35,1.72
1963,-0.24,6.74,-7.74,-0.01,-0.00,-0.00,69.21,-0.35,1.72
1974,-0.26,6.76,-7.78,-0.02,-0.00,-0.00,70.28,-0.35,3.78
1985,-0.26,6.76,-7.78,-0.02,-0.00,-0.00,70.28,-0.35,3.78
1996,-0.24,6.75,-7.73,-0.01,-0.00,-0.00,70.28,-0.35,3.78
2007,-0.24,6.76,-7.77,-0.00,-0.00,0.00,70.28,-0.35,3.78
2018,-0.24,6.76,-7.77,-0.00,-0.00,0.00,70.28,-0.35,3.78
2029,-0.26,6.73,-7.76,0.01,-0.00,-0.00,70.28,-0.35,3.78
2041,-0.26,6.73,-7.76,0.01,-0.00,-0.00,70.28,-0.35,3.78
2051,-0.26,6.74,-7.77,-0.01,-0.00,-0.00,70.28,-0.35,3.78
2062,-0.26,6.74,-7.77,-0.01,-0.00,-0.00,70.28,-0.35,3.78
2073,-0.25,6.75,-7.75,-0.01,-0.00,-0.00,70.28,-0.35,3.78
2084,-0.25,6.75,-7.75,-0.01,-0.00,-0.00,70.28,-0.35,3.78
2095,-0.24,6.74,-7.75,-0.01,-0.00,-0.00,70.10,1.60,2.92
2106,-0.24,6.74,-7.75,-0.01,-0.00,-0.00,70.10,1.60,2.92
2117,-0.24,6.74,-7.74,-0.02,-0.00,-0.00,70.10,1.60,2.92
2128,-0.26,6.75,-7.77,-0.01,-0.00,-0.00,70.10,1.60,2.92
2139,-0.26,6.75,-7.77,-0.01,-0.00,-0.00,70.10,1.60,2.92
2150,-0.26,6.74,-7.76,-0.01,-0.00,-0.00,70.10,1.60,2.92
2161,-0.26,6.74,-7.76,-0.01,-0.00,-0.00,70.10,1.60,2.92
2172,-0.27,6.71,-7.75,-0.01,-0.00,-0.00,70.10,1.60,2.92
2187,-0.27,6.71,-7.75,-0.01,-0.00,-0.00,70.10,1.60,2.92
2194,-0.24,6.74,-7.75,-0.01,-0.00,-0.00,70.10,1.60,2.92
2205,-0.24,6.74,-7.75,-0.01,-0.00,-0.00,70.10,1.60,2.92
2216,-0.30,6.81,-7.71,-0.01,-0.01,0.00,70.10,1.60,2.92
2227,-0.22,6.67,-7.80,-0.01,-0.04,0.04,69.74,-0.18,2.57
2238,-0.22,6.67,-7.80,-0.01,-0.04,0.04,69.74,-0.18,2.57
2249,-0.24,6.76,-7.76,-0.00,-0.01,0.01,69.74,-0.18,2.57
2260,-0.24,6.76,-7.76,-0.00,-0.01,0.01,69.74,-0.18,2.57
2271,-0.25,6.73,-7.78,0.01,-0.00,0.00,69.74,-0.18,2.57
2287,-0.25,6.73,-7.78,0.01,-0.00,0.00,69.74,-0.18,2.57
2293,-0.25,6.73,-7.80,0.00,-0.00,-0.00,69.74,-0.18,2.57
2304,-0.25,6.73,-7.80,0.00,-0.00,-0.00,69.74,-0.18,2.57
2315,-0.25,6.68,-7.78,0.02,-0.00,-0.00,69.74,-0.18,2.57
2326,-0.25,6.68,-7.78,0.02,-0.00,-0.00,69.74,-0.18,2.57
2338,-0.26,6.74,-7.80,-0.03,-0.00,-0.00,69.74,-0.18,2.57
2348,-0.26,6.73,-7.78,-0.04,-0.00,0.00,68.15,1.42,2.40
2359,-0.26,6.73,-7.78,-0.04,-0.00,0.00,68.15,1.42,2.40
