time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.402,-0.31,6.36,-8.14,0.01,0.03,-0.03,-2.72,-5.74,-40.13,-0.0824047931896743,1.718909742152178,0.0,0.0,0.0
0.41200000000000003,-0.31,6.36,-8.14,0.01,0.03,-0.03,-2.72,-5.74,-40.13,-0.0824047931896743,1.718909742152178,10.334664967960984,40.629581587803735,2.497465127889139
0.423,-0.31,6.46,-8.01,0.03,0.01,-0.03,-2.72,-5.74,-40.13,-0.07110860528796484,1.7211557003887776,10.334664967960984,40.629581587803735,2.497465127889139
0.434,-0.31,6.46,-8.01,0.03,0.01,-0.03,-2.72,-5.74,-40.13,-0.06556765834880089,1.7222638359122868,10.295037639562082,40.629581587803735,2.497465127889139
0.445,-0.32,6.32,-8.1,0.04,0.0,-0.02,-2.72,-5.74,-40.13,-0.056793887312684255,1.734589289612103,10.295037639562082,40.629581587803735,2.497465127889139
0.456,-0.32,6.32,-8.1,0.04,0.0,-0.02,-2.72,-5.74,-40.13,-0.050910161522339535,1.7428131218773473,10.278852075985917,40.629581587803735,2.5623451563018373
0.467,-0.48,6.39,-8.07,0.03,0.03,-0.04,-2.72,-5.74,-40.13,0.07527980049223529,1.875265492251188,10.278852075985917,40.629581587803735,2.5623451563018373
0.47800000000000004,-0.48,6.39,-8.07,0.03,0.03,-0.04,-2.72,-5.74,-40.13,0.16988032302909073,1.9746019204606569,10.304727070621523,40.629581587803735,3.3408893411844587
0.489,-0.55,6.25,-8.22,-0.0,0.09,-0.09,-2.72,-5.74,-40.13,0.28151659018390224,2.0943826666814402,10.304727070621523,40.629581587803735,3.3408893411844587
0.5,-0.44,6.08,-8.29,0.03,0.16,-0.19,-2.72,-5.74,-40.13,0.3121807898013309,2.1300720480525257,10.340860699187472,40.629581587803735,7.292562160872559
0.511,-0.44,6.08,-8.29,0.03,0.16,-0.19,-2.72,-5.74,-40.13,0.33754579022270753,2.1592656877029412,10.29,40.629581587803735,14.335399454174103
0.522,0.01,6.55,-7.93,0.03,0.12,-0.15,-2.52,-5.58,-40.3,0.19660062298290829,1.9750745927094897,10.29,40.629581587803735,14.335399454174103
0.533,0.01,6.55,-7.93,0.03,0.12,-0.15,-2.52,-5.58,-40.3,0.07835584499449286,1.8191461003893465,10.285305051382773,40.76244349888755,11.139572704123077
