time,ax,ay,az,gx,gy,gz,mx,my,mz
402,-0.26,6.45,-8.04,0.05,0.01,-0.04,25.18,36.74,-10.16
412,-0.26,6.46,-7.99,0.05,0.00,-0.03,25.18,36.74,-10.16
423,-0.26,6.46,-7.99,0.05,0.00,-0.03,25.18,36.74,-10.16
434,-0.26,6.47,-7.99,0.05,0.01,-0.03,25.18,36.74,-10.16
445,-0.26,6.47,-7.99,0.05,0.01,-0.03,25.18,36.74,-10.16
456,-0.24,6.45,-7.97,0.05,0.03,-0.05,25.18,36.74,-10.16
467,-0.24,6.45,-7.97,0.05,0.03,-0.05,25.18,36.74,-10.16
478,-0.26,6.48,-7.99,0.05,0.00,-0.03,25.18,36.74,-10.16
489,-0.26,6.47,-7.98,0.06,-0.01,-0.01,25.18,36.74,-10.16
500,-0.26,6.47,-7.98,0.06,-0.01,-0.01,25.18,36.74,-10.16
511,-0.26,6.47,-7.99,0.06,-0.01,-0.00,25.33,35.77,-7.33
522,-0.26,6.47,-7.99,0.06,-0.01,-0.00,25.33,35.77,-7.33
533,-0.25,6.48,-8.00,0.05,-0.02,-0.01,25.33,35.77,-7.33
544,-0.25,6.48,-8.00,0.05,-0.02,-0.01,25.33,35.77,-7.33
555,-0.26,6.49,-8.00,0.03,-0.03,-0.01,25.33,35.77,-7.33
566,-0.26,6.49,-8.00,0.03,-0.03,-0.01,25.33,35.77,-7.33
577,-0.27,6.50,-7.93,0.02,-0.03,-0.01,25.33,35.77,-7.33
588,-0.19,6.55,-8.08,0.04,-0.02,-0.01,25.33,35.77,-7.33
599,-0.19,6.55,-8.08,0.04,-0.02,-0.01,25.33,35.77,-7.33
610,-0.28,6.54,-7.92,0.00,-0.03,-0.02,25.33,35.77,-7.33
621,-0.28,6.54,-7.92,0.00,-0.03,-0.02,25.33,35.77,-7.33
632,-0.28,6.53,-7.99,0.01,-0.02,-0.01,25.33,35.77,-7.33
643,-0.28,6.53,-7.99,0.01,-0.02,-0.01,25.33,35.77,-7.33
654,-0.29,6.53,-7.93,-0.00,-0.03,-0.01,24.12,37.71,-8.84
665,-0.29,6.53,-7.93,-0.00,-0.03,-0.01,24.12,37.71,-8.84
676,-0.31,6.55,-7.90,-0.00,-0.02,-0.01,24.12,37.71,-8.84
687,-0.31,6.55,-7.90,-0.00,-0.02,-0.01,24.12,37.71,-8.84
698,-0.30,6.55,-7.92,0.02,-0.02,-0.01,24.12,37.71,-8.84
709,-0.30,6.59,-7.84,0.01,-0.02,-0.01,24.12,37.71,-8.84
720,-0.30,6.59,-7.84,0.01,-0.02,-0.01,24.12,37.71,-8.84
731,-0.31,6.58,-7.89,0.03,-0.02,-0.01,24.12,37.71,-8.84
742,-0.31,6.58,-7.89,0.03,-0.02,-0.01,24.12,37.71,-8.84
753,-0.31,6.58,-7.86,0.04,-0.02,-0.00,24.12,37.71,-8.84
768,-0.31,6.58,-7.86,0.04,-0.02,-0.00,24.12,37.71,-8.84
775,-0.31,6.60,-7.90,0.04,-0.01,-0.01,24.73,38.10,-9.60
786,-0.31,6.60,-7.90,0.04,-0.01,-0.01,24.73,38.10,-9.60
797,-0.31,6.58,-7.89,0.05,-0.01,-0.00,24.73,38.10,-9.60
808,-0.32,6.59,-7.83,0.05,-0.01,-0.00,24.73,38.10,-9.60
819,-0.32,6.59,-7.83,0.05,-0.01,-0.00,24.73,38.10,-9.60
830,-0.31,6.60,-7.84,0.05,-0.01,-0.00,24.73,38.10,-9.60
841,-0.31,6.60,-7.84,0.05,-0.01,-0.00,24.73,38.10,-9.60
