time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.402,-0.26,6.45,-8.04,0.05,0.01,-0.04,25.18,36.74,-10.16,-0.28906754391296136,1.4449455611271276,0.0,0.0,0.0
0.41200000000000003,-0.26,6.46,-7.99,0.05,0.0,-0.03,25.18,36.74,-10.16,-0.3662556317664546,1.4472406675833867,10.310756519286059,45.68463198932438,3.713190901374359
0.423,-0.26,6.46,-7.99,0.05,0.0,-0.03,25.18,36.74,-10.16,-0.39209849566053767,1.4480061606667363,10.278098073087259,45.68463198932438,3.3408893411844587
0.434,-0.26,6.47,-7.99,0.05,0.01,-0.03,25.18,36.74,-10.16,-0.4124985646797284,1.4481679613921017,10.278098073087259,45.68463198932438,3.3408893411844587
0.445,-0.26,6.47,-7.99,0.05,0.01,-0.03,25.18,36.74,-10.16,-0.42474979877850877,1.448264880791399,10.284386223786036,45.68463198932438,3.3896640283427946
0.456,-0.24,6.45,-7.97,0.05,0.03,-0.05,25.18,36.74,-10.16,-0.4206331723382432,1.4304206473432117,10.284386223786036,45.68463198932438,3.3896640283427946
0.467,-0.24,6.45,-7.97,0.05,0.03,-0.05,25.18,36.74,-10.16,-0.4176858692336795,1.417663631767681,10.255778858770308,45.68463198932438,4.400972331777296
0.47800000000000004,-0.26,6.48,-7.99,0.05,0.0,-0.03,25.18,36.74,-10.16,-0.4284402200076637,1.4214305530812226,10.255778858770308,45.68463198932438,4.400972331777296
0.489,-0.26,6.47,-7.98,0.06,-0.01,-0.01,25.18,36.74,-10.16,-0.43628450593416557,1.4245760491662622,10.290680249623929,45.68463198932438,3.3408893411844587
0.5,-0.26,6.47,-7.98,0.06,-0.01,-0.01,25.18,36.74,-10.16,-0.4425615450532116,1.427092575688576,10.27661909384599,45.68463198932438,3.5319490554146764
0.511,-0.26,6.47,-7.99,0.06,-0.01,-0.0,25.33,35.77,-7.33,-0.3345081681981186,1.4290533922186768,10.27661909384599,45.68463198932438,3.5319490554146764
