time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.401,-0.19,6.66,-8.1,0.29,-0.29,-0.1,-17.3,23.26,-27.71,3.2656624469836766,1.0380070232080527,0.0,0.0,0.0
0.41100000000000003,-0.19,6.66,-8.1,0.29,-0.29,-0.1,-17.3,23.26,-27.71,3.2656624469836766,1.0380070232080527,10.488169525708479,40.10189147658749,24.18669244795767
0.422,-0.54,6.29,-8.1,0.29,-0.28,-0.11,-16.07,23.09,-27.89,2.2974344055116034,1.6876141485880254,10.488169525708479,40.10189147658749,24.18669244795767
0.433,-0.28,6.4,-8.11,0.16,-0.17,-0.17,-16.07,23.09,-27.89,2.061974764125685,1.6540402328634087,10.269649458477149,39.61369838831007,23.941135911064254
0.444,-0.28,6.4,-8.11,0.16,-0.17,-0.17,-16.07,23.09,-27.89,1.9173782475836598,1.6338290706025305,10.334916545381487,39.61369838831007,16.546481486738486
0.455,-0.6,6.17,-8.07,0.19,-0.15,-0.18,-16.07,23.09,-27.89,1.447291044340634,1.92011202954248,10.334916545381487,39.61369838831007,16.546481486738486
0.466,-0.6,6.17,-8.07,0.19,-0.15,-0.18,-16.07,23.09,-27.89,1.0992646156661512,2.1257766697798246,10.176138756915611,39.61369838831007,17.283963025043438
0.47700000000000004,0.04,6.33,-8.21,0.19,-0.22,-0.08,-16.07,23.09,-27.89,0.9656207448824202,1.831356754362929,10.176138756915611,39.61369838831007,17.283963025043438
0.488,0.04,6.33,-8.21,0.19,-0.22,-0.08,-16.07,23.09,-27.89,0.8635187912662454,1.6025494681707926,10.366995707532631,39.61369838831007,17.274463731649316
0.499,-0.26,5.9,-8.14,0.19,-0.21,-0.11,-16.07,23.09,-27.89,0.369828274174535,1.5908341020142842,10.366995707532631,39.61369838831007,17.274463731649316
0.51,-0.26,5.9,-8.14,0.19,-0.21,-0.11,-16.07,23.09,-27.89,-0.0366028816647155,1.5811844293437076,10.056699259697488,39.61369838831007,17.406982107938294
0.521,-0.19,5.69,-7.98,0.11,-0.15,-0.17,-16.07,23.09,-27.89,-0.44624804575181726,1.5437310127929038,10.056699259697488,39.61369838831007,17.406982107938294
0.532,-0.19,5.69,-7.98,0.11,-0.15,-0.17,-16.07,23.09,-27.89,-0.7947711720307951,1.5117966131462595,9.80268330611573,39.61369838831007,14.43808170172706
0.543,-0.33,6.54,-8.08,-0.08,-0.13,-0.17,-16.77,23.09,-28.62,-0.39339487571513443,1.534116140082702,9.80268330611573,39.61369838831007,14.43808170172706
0.554,-0.29,6.4,-8.16,-0.02,-0.13,-0.17,-16.77,23.09,-28.62,-0.18330880850673545,1.5386981405021345,10.40033172547876,40.41640013657822,13.09054970085722
0.5650000000000001,-0.29,6.4,-8.16,-0.02,-0.13,-0.17,-16.77,23.09,-28.62,0.0,1.542699206816593,10.374473480615777,40.41640013657822,12.315260994820314
0.5760000000000001,-0.19,6.26,-8.19,0.03,-0.13,-0.18,-16.77,23.09,-28.62,0.06760887320317435,1.5138764534600284,10.374473480615777,40.41640013657822,12.315260994820314
0.587,-0.19,6.26,-8.19,0.03,-0.13,-0.18,-16.77,23.09,-28.62,0.1273915552206588,1.488276126484621,10.310179435877922,40.41640013657822,12.837323660739786
0.598,-0.14,6.41,-8.05,0.01,-0.14,-0.18,-16.77,23.09,-28.62,0.3235518191657772,1.4508244313611556,10.310179435877922,40.41640013657822,12.837323660739786
0.609,-0.14,6.41,-8.05,0.01,-0.14,-0.18,-16.77,23.09,-28.62,0.4993349494210495,1.4171312304049053,10.29126814343111,40.41640013657822,13.07800484919668
