time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.20,6.37,-8.07,0.00,0.00,-0.00,-14.44,-9.03,-39.97
411,-0.20,6.37,-8.07,0.00,0.00,-0.00,-14.44,-9.03,-39.97
422,-0.24,6.38,-8.10,-0.00,0.00,-0.00,-17.64,-8.72,-39.68
433,-0.24,6.38,-8.10,-0.00,0.00,-0.00,-17.64,-8.72,-39.68
444,-0.25,6.41,-8.07,0.00,0.00,-0.00,-17.64,-8.72,-39.68
455,-0.25,6.41,-8.07,0.00,0.00,-0.00,-17.64,-8.72,-39.68
466,-0.19,6.38,-8.06,0.00,0.00,-0.00,-17.64,-8.72,-39.68
477,-0.21,6.39,-8.09,0.00,0.00,-0.01,-17.64,-8.72,-39.68
488,-0.21,6.39,-8.09,0.00,0.00,-0.01,-17.64,-8.72,-39.68
499,-0.26,6.39,-8.12,0.00,0.00,-0.01,-17.64,-8.72,-39.68
510,-0.26,6.39,-8.12,0.00,0.00,-0.01,-17.64,-8.72,-39.68
521,-0.24,6.39,-8.08,0.00,0.00,-0.00,-17.64,-8.72,-39.68
532,-0.24,6.39,-8.08,0.00,0.00,-0.00,-17.64,-8.72,-39.68
543,-0.21,6.38,-8.07,0.00,0.00,-0.00,-15.24,-9.18,-39.53
554,-0.21,6.38,-8.07,0.00,0.00,-0.00,-15.24,-9.18,-39.53
565,-0.24,6.37,-8.10,0.00,0.00,-0.01,-15.24,-9.18,-39.53
576,-0.24,6.37,-8.10,0.00,0.00,-0.01,-15.24,-9.18,-39.53
587,-0.23,6.38,-8.07,0.00,0.00,-0.00,-15.24,-9.18,-39.53
598,-0.22,6.38,-8.08,0.00,0.00,-0.00,-15.24,-9.18,-39.53
609,-0.22,6.38,-8.08,0.00,0.00,-0.00,-15.24,-9.18,-39.53
620,-0.22,6.38,-8.04,-0.00,0.00,-0.00,-15.24,-9.18,-39.53
631,-0.22,6.38,-8.04,-0.00,0.00,-0.00,-15.24,-9.18,-39.53
642,-0.24,6.37,-8.08,-0.00,0.00,-0.01,-15.24,-9.18,-39.53
653,-0.24,6.37,-8.08,-0.00,0.00,-0.01,-15.24,-9.18,-39.53
664,-0.23,6.36,-8.08,0.00,0.00,-0.00,-15.24,-9.18,-39.53
675,-0.23,6.36,-8.08,0.00,0.00,-0.00,-15.24,-9.18,-39.53
686,-0.21,6.38,-8.08,-0.00,0.00,-0.00,-14.71,-9.18,-39.82
697,-0.23,6.39,-8.11,-0.00,0.00,-0.01,-14.71,-9.18,-39.82
712,-0.23,6.39,-8.11,-0.00,0.00,-0.01,-14.71,-9.18,-39.82
719,-0.23,6.39,-8.09,-0.00,0.00,-0.01,-14.71,-9.18,-39.82
730,-0.23,6.39,-8.09,-0.00,0.00,-0.01,-14.71,-9.18,-39.82
741,-0.21,6.37,-8.09,-0.00,0.00,-0.00,-14.71,-9.18,-39.82
752,-0.21,6.37,-8.09,-0.00,0.00,-0.00,-14.71,-9.18,-39.82
763,-0.22,6.38,-8.07,-0.00,0.00,-0.01,-14.71,-9.18,-39.82
774,-0.22,6.38,-8.07,-0.00,0.00,-0.01,-14.71,-9.18,-39.82
785,-0.22,6.40,-8.06,-0.00,0.00,-0.01,-14.71,-9.18,-39.82
796,-0.22,6.40,-8.06,-0.00,0.00,-0.01,-14.71,-9.18,-39.82
807,-0.23,6.37,-8.10,0.00,0.00,-0.01,-14.98,-9.33,-37.92
818,-0.21,6.36,-8.11,-0.00,0.00,-0.01,-14.98,-9.33,-37.92
830,-0.21,6.36,-8.11,-0.00,0.00,-0.01,-14.98,-9.33,-37.92
840,-0.23,6.37,-8.06,-0.00,0.00,-0.01,-14.98,-9.33,-37.92
851,-0.23,6.37,-8.06,-0.00,0.00,-0.01,-14.98,-9.33,-37.92
862,-0.23,6.39,-8.09,-0.00,0.00,-0.00,-14.98,-9.33,-37.92
873,-0.23,6.39,-8.09,-0.00,0.00,-0.00,-14.98,-9.33,-37.92
884,-0.22,6.37,-8.08,-0.00,0.00,-0.00,-14.98,-9.33,-37.92
895,-0.22,6.37,-8.08,-0.00,0.00,-0.00,-14.98,-9.33,-37.92
906,-0.21,6.37,-8.10,0.00,0.00,-0.01,-14.98,-9.33,-37.92
917,-0.21,6.38,-8.09,-0.00,0.00,-0.01,-14.98,-9.33,-37.92
928,-0.21,6.38,-8.09,-0.00,0.00,-0.01,-16.84,-8.57,-39.53
939,-0.24,6.39,-8.10,-0.00,0.00,-0.01,-16.84,-8.57,-39.53
950,-0.24,6.39,-8.10,-0.00,0.00,-0.01,-16.84,-8.57,-39.53
961,-0.22,6.38,-8.09,-0.00,0.00,-0.00,-16.84,-8.57,-39.53
972,-0.22,6.38,-8.09,-0.00,0.00,-0.00,-16.84,-8.57,-39.53
983,-0.22,6.36,-8.10,-0.00,0.00,-0.01,-16.84,-8.57,-39.53
994,-0.22,6.36,-8.10,-0.00,0.00,-0.01,-16.84,-8.57,-39.53
1005,-0.23,6.39,-8.07,-0.00,0.00,-0.01,-16.84,-8.57,-39.53
1016,-0.23,6.39,-8.07,-0.00,0.00,-0.01,-16.84,-8.57,-39.53
1027,-0.23,6.38,-8.09,-0.00,0.00,-0.01,-16.84,-8.57,-39.53
1038,-0.22,6.37,-8.07,-0.00,0.00,-0.00,-15.78,-9.18,-38.36
1049,-0.22,6.37,-8.07,-0.00,0.00,-0.00,-15.78,-9.18,-38.36
1060,-0.22,6.39,-8.09,-0.00,0.00,-0.01,-15.78,-9.18,-38.36
1071,-0.22,6.39,-8.09,-0.00,0.00,-0.01,-15.78,-9.18,-38.36
1082,-0.23,6.38,-8.07,-0.00,0.00,-0.00,-15.78,-9.18,-38.36
1093,-0.23,6.38,-8.07,-0.00,0.00,-0.00,-15.78,-9.18,-38.36
1104,-0.22,6.37,-8.08,-0.00,0.00,-0.00,-15.78,-9.18,-38.36
1115,-0.22,6.37,-8.08,-0.00,0.00,-0.00,-15.78,-9.18,-38.36
1126,-0.23,6.36,-8.06,-0.00,0.00,-0.00,-15.78,-9.18,-38.36
1137,-0.23,6.36,-8.06,-0.00,0.00,-0.00,-15.78,-9.18,-38.36
1148,-0.22,6.38,-8.10,-0.00,0.00,-0.01,-15.78,-9.18,-38.36
1159,-0.23,6.38,-8.09,-0.00,0.00,-0.01,-15.78,-9.18,-38.36
1170,-0.23,6.38,-8.09,-0.00,0.00,-0.01,-15.78,-9.18,-38.36
1181,-0.22,6.37,-8.09,-0.00,0.00,-0.01,-14.71,-9.18,-38.95
1192,-0.22,6.37,-8.09,-0.00,0.00,-0.01,-14.71,-9.18,-38.95
1203,-0.20,6.37,-8.07,-0.00,0.00,-0.00,-14.71,-9.18,-38.95
1214,-0.20,6.37,-8.07,-0.00,0.00,-0.00,-14.71,-9.18,-38.95
1225,-0.25,6.37,-8.07,-0.00,0.00,-0.01,-14.71,-9.18,-38.95
1236,-0.25,6.37,-8.07,-0.00,0.00,-0.01,-14.71,-9.18,-38.95
1247,-0.23,6.38,-8.07,-0.00,0.00,-0.00,-14.71,-9.18,-38.95
1259,-0.21,6.38,-8.07,-0.00,0.00,-0.00,-14.71,-9.18,-38.95
1269,-0.21,6.38,-8.07,-0.00,0.00,-0.00,-14.71,-9.18,-38.95
1280,-0.22,6.35,-8.05,-0.00,0.00,-0.01,-14.71,-9.18,-38.95
1291,-0.22,6.35,-8.05,-0.00,0.00,-0.01,-14.71,-9.18,-38.95
1302,-0.22,6.38,-8.11,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1313,-0.22,6.38,-8.11,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1324,-0.22,6.37,-8.09,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1335,-0.22,6.37,-8.09,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1346,-0.21,6.36,-8.09,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1357,-0.21,6.36,-8.09,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1368,-0.23,6.37,-8.08,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1379,-0.22,6.37,-8.10,-0.00,0.00,-0.00,-16.84,-9.48,-39.53
1390,-0.22,6.37,-8.10,-0.00,0.00,-0.00,-16.84,-9.48,-39.53
1401,-0.22,6.36,-8.05,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1412,-0.22,6.36,-8.05,-0.00,0.00,-0.01,-16.84,-9.48,-39.53
1423,-0.21,6.37,-8.07,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1434,-0.21,6.37,-8.07,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1445,-0.23,6.38,-8.11,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1456,-0.23,6.38,-8.11,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1467,-0.20,6.36,-8.07,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1478,-0.22,6.36,-8.08,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1490,-0.22,6.36,-8.08,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1500,-0.21,6.38,-8.09,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1515,-0.21,6.38,-8.09,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1522,-0.23,6.38,-8.07,-0.00,0.00,-0.00,-16.31,-7.96,-38.36
1533,-0.23,6.38,-8.07,-0.00,0.00,-0.00,-16.31,-7.96,-38.36
1544,-0.23,6.38,-8.09,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1555,-0.23,6.38,-8.09,-0.00,0.00,-0.01,-16.31,-7.96,-38.36
1566,-0.22,6.36,-8.09,-0.00,0.00,-0.01,-16.58,-8.72,-39.38
1577,-0.22,6.36,-8.09,-0.00,0.00,-0.01,-16.58,-8.72,-39.38
1588,-0.22,6.37,-8.08,-0.00,0.00,-0.00,-16.58,-8.72,-39.38
1599,-0.21,6.38,-8.09,-0.00,0.00,-0.01,-16.58,-8.72,-39.38
1610,-0.21,6.38,-8.09,-0.00,0.00,-0.01,-16.58,-8.72,-39.38
1621,-0.22,6.38,-8.07,-0.00,0.00,-0.01,-16.58,-8.72,-39.38
1632,-0.22,6.38,-8.07,-0.00,0.00,-0.01,-16.58,-8.72,-39.38
