time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.402,-0.25,-5.92,-8.23,0.0,0.01,0.0,-17.67,-50.14,-10.06,-0.03661010214494114,1.4126084674074662,0.0,0.0,0.0
0.41200000000000003,-0.25,-5.92,-8.23,0.0,0.01,0.0,-17.67,-50.14,-10.06,-0.03661010214494114,1.4126084674074662,10.14109461547421,54.1059340553326,0.5729577951308232
0.423,-0.27,-5.93,-8.23,-0.0,0.01,0.01,-17.67,-50.14,-10.06,-0.009685711151646426,1.4499838222170496,10.14109461547421,54.1059340553326,0.5729577951308232
0.434,-0.27,-5.93,-8.23,-0.0,0.01,0.01,-17.67,-50.14,-10.06,0.003791534334105339,1.4686656183366154,10.147447955027904,54.1059340553326,0.8102846845413955
0.445,-0.27,-5.91,-8.23,-0.0,0.01,0.01,-17.67,-50.14,-10.06,0.019493286682786288,1.4802137302391571,10.147447955027904,54.1059340553326,0.8102846845413955
0.456,-0.27,-5.91,-8.23,-0.0,0.01,0.01,-17.67,-50.14,-10.06,0.029959063741866725,1.4879145751185234,10.135773280810893,54.1059340553326,0.8102846845413955
0.467,-0.25,-5.91,-8.24,-0.0,0.01,0.01,-17.25,-49.21,-10.4,0.016424961818799905,1.4771094344324638,10.135773280810893,54.1059340553326,0.8102846845413955
0.47800000000000004,-0.26,-5.93,-8.25,0.0,0.01,0.01,-17.25,-49.21,-10.4,0.009230530515587552,1.4757053659153172,10.14338207897149,53.17279943730629,0.8102846845413955
0.489,-0.26,-5.93,-8.25,0.0,0.01,0.01,-17.25,-49.21,-10.4,0.003607522831448852,1.4746138314004895,10.163414780476097,53.17279943730629,0.8102846845413955
0.5,-0.27,-5.92,-8.24,-0.0,0.01,0.01,-17.25,-49.21,-10.4,0.0048192784523936,1.4795884067354592,10.163414780476097,53.17279943730629,0.8102846845413955
0.511,-0.27,-5.92,-8.24,-0.0,0.01,0.01,-17.25,-49.21,-10.4,0.0058099367202148235,1.4836582799817677,10.14972413418217,53.17279943730629,0.8102846845413955
0.522,-0.27,-5.91,-8.24,0.0,0.01,0.0,-17.25,-49.21,-10.4,0.008235773262451382,1.4871209526858564,10.14972413418217,53.17279943730629,0.8102846845413955
0.533,-0.27,-5.91,-8.24,0.0,0.01,0.0,-17.25,-49.21,-10.4,0.010290108950919431,1.4900510403014096,10.143894715541954,53.17279943730629,0.5729577951308232
0.544,-0.25,-5.91,-8.23,0.0,0.01,0.0,-17.25,-49.21,-10.4,0.003972163492577374,1.4845832188937464,10.143894715541954,53.17279943730629,0.5729577951308232
0.555,-0.25,-5.91,-8.23,0.0,0.01,0.0,-17.25,-49.21,-10.4,-0.0015104499497032233,1.4798437318932827,10.135260233462187,53.17279943730629,0.5729577951308232
0.5660000000000001,-0.27,-5.91,-8.23,0.0,0.01,0.01,-17.25,-49.21,-10.4,0.0,1.4827537436052296,10.135260233462187,53.17279943730629,0.5729577951308232
0.577,-0.27,-5.91,-8.23,0.0,0.01,0.01,-17.25,-49.21,-10.4,0.0013338338169415352,1.4853216784322427,10.135773280810893,53.17279943730629,0.8102846845413955
0.588,-0.26,-5.93,-8.24,0.0,0.01,0.01,-17.88,-49.67,-9.55,-0.018617748235158625,1.4843066304564019,10.135773280810893,53.17279943730629,0.8102846845413955
0.599,-0.25,-5.91,-8.24,0.0,0.01,0.01,-17.88,-49.67,-9.55,-0.037058490253515874,1.4805167442521139,10.155299109332034,53.647048381061936,0.8102846845413955
0.61,-0.25,-5.91,-8.24,0.0,0.01,0.01,-17.88,-49.67,-9.55,-0.05362167121030554,1.477105801637677,10.14338207897149,53.647048381061936,0.8102846845413955
0.621,-0.27,-5.9,-8.25,0.0,0.01,0.01,-17.88,-49.67,-9.55,-0.06230593240894344,1.4793810365782178,10.14338207897149,53.647048381061936,0.8102846845413955
0.632,-0.27,-5.9,-8.25,0.0,0.01,0.01,-17.88,-49.67,-9.55,-0.07019353529498165,1.481449387322769,10.14620125958479,53.647048381061936,0.8102846845413955
0.643,-0.26,-5.93,-8.21,0.0,0.01,0.0,-17.88,-49.67,-9.55,-0.08418030053230051,1.4809782161646723,10.14620125958479,53.647048381061936,0.8102846845413955
0.654,-0.26,-5.93,-8.21,0.0,0.01,0.0,-17.88,-49.67,-9.55,-0.09698686871885355,1.4805462422151408,10.13097231266575,53.647048381061936,0.5729577951308232
