time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.30,6.34,-8.12,0.00,-0.00,-0.02,11.29,32.42,-3.68
411,-0.28,6.33,-8.05,-0.01,0.01,-0.01,11.29,32.42,-3.68
422,-0.28,6.41,-8.09,-0.01,0.00,-0.01,11.29,32.42,-3.68
433,-0.28,6.41,-8.09,-0.01,0.00,-0.01,11.29,32.42,-3.68
445,-0.29,6.33,-8.09,-0.00,0.00,-0.01,11.29,32.42,-3.68
455,-0.29,6.33,-8.09,-0.00,0.00,-0.01,11.29,32.42,-3.68
466,-0.47,6.18,-8.24,0.01,-0.00,-0.01,11.29,32.42,-3.68
477,-0.47,6.18,-8.24,0.01,-0.00,-0.01,11.29,32.42,-3.68
488,-0.28,6.38,-8.07,0.02,-0.00,-0.03,10.75,33.01,-2.29
499,-0.28,6.38,-8.07,0.02,-0.00,-0.03,10.75,33.01,-2.29
510,-0.30,6.30,-8.08,0.01,-0.00,-0.01,10.75,33.01,-2.29
521,-0.30,6.30,-8.08,0.01,-0.00,-0.01,10.75,33.01,-2.29
532,-0.29,6.36,-8.08,0.00,0.00,-0.01,10.75,33.01,-2.29
543,-0.27,6.38,-8.07,0.00,0.01,-0.01,10.75,33.01,-2.29
554,-0.27,6.38,-8.07,0.00,0.01,-0.01,10.75,33.01,-2.29
565,-0.26,6.45,-8.10,0.01,0.02,-0.00,10.75,33.01,-2.29
576,-0.26,6.45,-8.10,0.01,0.02,-0.00,10.75,33.01,-2.29
587,-0.28,6.40,-8.09,0.04,0.02,-0.02,10.75,33.01,-2.29
598,-0.28,6.40,-8.09,0.04,0.02,-0.02,10.75,33.01,-2.29
609,-0.27,6.65,-7.76,0.04,0.02,-0.02,10.75,33.78,-3.83
620,-0.27,6.65,-7.76,0.04,0.02,-0.02,10.75,33.78,-3.83
631,-0.90,6.41,-7.95,-0.04,-0.01,0.01,10.75,33.78,-3.83
642,-0.49,7.82,-7.01,-0.49,-0.10,0.21,10.75,33.78,-3.83
653,-0.49,7.82,-7.01,-0.49,-0.10,0.21,10.75,33.78,-3.83
664,0.95,5.12,-9.24,-0.39,-0.27,0.32,10.75,33.78,-3.83
675,0.95,5.12,-9.24,-0.39,-0.27,0.32,10.75,33.78,-3.83
686,-0.18,6.23,-8.25,-0.17,-0.32,0.35,10.75,33.78,-3.83
697,-0.18,6.23,-8.25,-0.17,-0.32,0.35,10.75,33.78,-3.83
708,-0.33,6.41,-7.88,-0.09,-0.12,0.12,10.75,33.78,-3.83
719,-0.33,6.41,-7.88,-0.09,-0.12,0.12,10.75,33.78,-3.83
730,-0.27,6.60,-7.93,-0.06,-0.01,-0.00,10.75,33.78,-3.83
741,-0.27,6.60,-7.93,-0.06,-0.01,-0.00,10.75,33.78,-3.83
752,-0.27,6.62,-8.00,-0.04,-0.00,-0.01,11.11,34.56,-2.91
763,-0.27,6.44,-7.85,-0.03,-0.00,-0.01,11.11,34.56,-2.91
774,-0.27,6.44,-7.85,-0.03,-0.00,-0.01,11.11,34.56,-2.91
785,-0.24,6.61,-7.95,-0.03,-0.00,-0.01,11.11,34.56,-2.91
796,-0.24,6.61,-7.95,-0.03,-0.00,-0.01,11.11,34.56,-2.91
807,-0.25,6.56,-7.87,-0.03,-0.00,-0.01,11.11,34.56,-2.91
818,-0.25,6.56,-7.87,-0.03,-0.00,-0.01,11.11,34.56,-2.91
829,-0.27,6.57,-7.98,-0.02,-0.00,-0.01,11.11,34.56,-2.91
840,-0.27,6.57,-7.98,-0.02,-0.00,-0.01,11.11,34.56,-2.91
851,-0.27,6.55,-7.87,-0.01,0.00,-0.01,11.11,34.56,-2.91
862,-0.26,6.56,-7.88,-0.01,0.00,-0.01,11.47,34.95,-2.29
873,-0.26,6.56,-7.88,-0.01,0.00,-0.01,11.47,34.95,-2.29
884,-0.27,6.57,-7.92,0.03,0.01,-0.01,11.47,34.95,-2.29
