time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.35,6.34,-8.07,0.02,-0.00,0.00,23.40,39.44,-11.52
411,-0.35,6.34,-8.07,0.02,-0.00,0.00,23.40,39.44,-11.52
423,-0.34,6.35,-8.06,0.02,-0.00,0.00,23.26,40.88,-9.37
433,-0.33,6.34,-8.08,0.02,-0.00,0.00,23.26,40.88,-9.37
444,-0.33,6.34,-8.08,0.02,-0.00,0.00,23.26,40.88,-9.37
455,-0.34,6.33,-8.05,0.03,-0.01,0.00,23.26,40.88,-9.37
466,-0.34,6.33,-8.05,0.03,-0.01,0.00,23.26,40.88,-9.37
477,-0.34,6.31,-8.05,0.03,-0.01,0.00,23.26,40.88,-9.37
488,-0.34,6.31,-8.05,0.03,-0.01,0.00,23.26,40.88,-9.37
499,-0.34,6.32,-8.06,0.02,-0.01,0.00,23.26,40.88,-9.37
510,-0.34,6.32,-8.06,0.02,-0.01,0.00,23.26,40.88,-9.37
521,-0.34,6.33,-8.08,0.02,-0.01,0.00,23.26,40.88,-9.37
532,-0.34,6.34,-8.07,0.02,-0.00,0.00,23.26,40.88,-9.37
543,-0.34,6.34,-8.07,0.02,-0.00,0.00,23.26,40.88,-9.37
554,-0.34,6.33,-8.07,0.01,0.00,0.00,23.54,39.64,-11.32
565,-0.34,6.33,-8.07,0.01,0.00,0.00,23.54,39.64,-11.32
576,-0.35,6.34,-8.05,0.01,0.00,0.00,23.54,39.64,-11.32
587,-0.35,6.34,-8.05,0.01,0.00,0.00,23.54,39.64,-11.32
598,-0.35,6.33,-8.06,0.02,-0.00,0.00,23.54,39.64,-11.32
609,-0.35,6.33,-8.06,0.02,-0.00,0.00,23.54,39.64,-11.32
620,-0.33,6.34,-8.06,0.02,-0.00,0.00,23.54,39.64,-11.32
631,-0.33,6.34,-8.06,0.02,-0.00,0.00,23.54,39.64,-11.32
642,-0.35,6.34,-8.05,0.02,-0.00,0.00,23.54,39.64,-11.32
653,-0.34,6.33,-8.06,0.02,-0.00,0.00,23.54,39.64,-11.32
664,-0.34,6.33,-8.06,0.02,-0.00,0.00,23.54,39.64,-11.32
675,-0.34,6.32,-8.07,0.02,-0.00,0.00,23.26,40.06,-10.15
686,-0.34,6.32,-8.07,0.02,-0.00,0.00,23.26,40.06,-10.15
697,-0.35,6.33,-8.07,0.02,-0.00,0.00,23.26,40.06,-10.15
708,-0.35,6.33,-8.07,0.02,-0.00,0.00,23.26,40.06,-10.15
719,-0.34,6.34,-8.06,0.01,0.00,0.00,23.26,40.06,-10.15
730,-0.34,6.34,-8.06,0.01,0.00,0.00,23.26,40.06,-10.15
741,-0.34,6.32,-8.05,0.02,-0.00,0.00,23.26,40.06,-10.15
752,-0.34,6.33,-8.05,0.02,-0.00,0.00,23.26,40.06,-10.15
763,-0.34,6.33,-8.05,0.02,-0.00,0.00,23.26,40.06,-10.15
774,-0.34,6.33,-8.06,0.02,-0.00,0.00,23.26,40.06,-10.15
785,-0.34,6.33,-8.06,0.02,-0.00,0.00,23.26,40.06,-10.15
796,-0.35,6.35,-8.09,0.02,-0.00,0.00,23.12,41.09,-10.35
807,-0.35,6.35,-8.09,0.02,-0.00,0.00,23.12,41.09,-10.35
818,-0.34,6.33,-8.07,0.02,-0.00,0.00,23.12,41.09,-10.35
829,-0.34,6.33,-8.07,0.02,-0.00,0.00,23.12,41.09,-10.35
840,-0.34,6.33,-8.05,0.02,-0.00,0.00,23.12,41.09,-10.35
851,-0.34,6.33,-8.05,0.02,-0.00,0.00,23.12,41.09,-10.35
862,-0.34,6.34,-8.05,0.02,-0.01,0.00,23.12,41.09,-10.35
873,-0.34,6.35,-8.07,0.02,-0.00,0.00,23.12,41.09,-10.35
884,-0.34,6.35,-8.07,0.02,-0.00,0.00,23.12,41.09,-10.35
895,-0.33,6.34,-8.05,0.02,0.00,0.00,23.12,41.09,-10.35
906,-0.33,6.34,-8.05,0.02,0.00,0.00,23.12,41.09,-10.35
917,-0.32,6.32,-8.03,0.02,0.00,0.00,23.12,41.09,-10.35
928,-0.32,6.32,-8.03,0.02,0.00,0.00,23.12,41.09,-10.35
939,-0.32,6.40,-8.06,0.01,0.02,0.03,22.42,40.88,-10.54
950,-0.32,6.40,-8.06,0.01,0.02,0.03,22.42,40.88,-10.54
961,-0.34,6.35,-8.06,0.02,-0.00,0.01,22.42,40.88,-10.54
972,-0.31,6.36,-8.04,0.02,0.00,0.01,22.42,40.88,-10.54
983,-0.31,6.36,-8.04,0.02,0.00,0.01,22.42,40.88,-10.54
994,-0.38,6.33,-8.09,0.02,-0.00,0.03,22.42,40.88,-10.54
1005,-0.38,6.33,-8.09,0.02,-0.00,0.03,22.42,40.88,-10.54
1020,-0.32,6.34,-8.06,0.01,0.01,0.03,22.42,40.88,-10.54
1027,-0.32,6.34,-8.06,0.01,0.01,0.03,22.42,40.88,-10.54
1038,-0.33,6.33,-8.06,0.01,0.01,0.02,22.42,40.88,-10.54
1049,-0.33,6.33,-8.06,0.01,0.01,0.02,22.42,40.88,-10.54
1060,-0.32,6.34,-8.06,0.01,0.02,0.02,23.82,39.64,-9.37
1071,-0.32,6.34,-8.06,0.01,0.02,0.02,23.82,39.64,-9.37
1082,-0.06,6.39,-8.05,0.02,-0.00,0.05,23.82,39.64,-9.37
1093,-0.10,6.47,-7.98,0.04,-0.12,0.22,23.82,39.64,-9.37
1104,-0.10,6.47,-7.98,0.04,-0.12,0.22,23.82,39.64,-9.37
1115,-0.50,6.28,-8.06,0.06,-0.21,0.33,23.82,39.64,-9.37
1126,-0.50,6.28,-8.06,0.06,-0.21,0.33,23.82,39.64,-9.37
1137,-0.34,6.34,-8.09,0.04,-0.09,0.17,23.82,39.64,-9.37
1148,-0.34,6.34,-8.09,0.04,-0.09,0.17,23.82,39.64,-9.37
1159,-0.54,6.29,-8.08,0.03,0.02,-0.01,23.82,39.64,-9.37
1170,-0.54,6.29,-8.08,0.03,0.02,-0.01,23.82,39.64,-9.37
1181,-0.43,6.26,-8.12,0.04,0.16,-0.18,23.68,39.44,-11.91
1192,-0.43,6.26,-8.12,0.04,0.16,-0.18,23.68,39.44,-11.91
1203,0.10,6.28,-8.09,0.03,0.25,-0.30,23.68,39.44,-11.91
1214,-0.07,6.15,-8.25,0.03,0.24,-0.28,23.68,39.44,-11.91
1225,-0.07,6.15,-8.25,0.03,0.24,-0.28,23.68,39.44,-11.91
1236,-0.51,6.63,-7.87,0.05,0.08,-0.09,23.68,39.44,-11.91
1247,-0.51,6.63,-7.87,0.05,0.08,-0.09,23.68,39.44,-11.91
1258,-0.31,6.17,-8.00,0.12,0.00,-0.01,23.68,39.44,-11.91
1269,-0.31,6.17,-8.00,0.12,0.00,-0.01,23.68,39.44,-11.91
1280,-0.25,6.23,-8.04,0.08,-0.00,-0.00,23.68,39.44,-11.91
1291,-0.25,6.23,-8.04,0.08,-0.00,-0.00,23.68,39.44,-11.91
1302,-0.26,6.27,-8.08,0.05,-0.00,-0.00,23.68,39.44,-11.91
