time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.401,-0.35,6.34,-8.07,0.02,-0.0,0.0,23.4,39.44,-11.52,-2.3449949492788544,1.9532864038948503,0.0,0.0,0.0
0.41100000000000003,-0.35,6.34,-8.07,0.02,-0.0,0.0,23.4,39.44,-11.52,-2.3449949492788544,1.9532864038948503,10.268544200615782,47.284077658340756,1.1459155902616465
0.423,-0.34,6.35,-8.06,0.02,-0.0,0.0,23.26,40.88,-9.37,-1.3189066470383495,1.9348035371442478,10.268544200615782,47.284077658340756,1.1459155902616465
0.433,-0.33,6.34,-8.08,0.02,-0.0,0.0,23.26,40.88,-9.37,-0.7888198703015779,1.9111742158301581,10.266533007787976,47.958303764833055,1.1459155902616465
0.444,-0.33,6.34,-8.08,0.02,-0.0,0.0,23.26,40.88,-9.37,-0.47479054224730866,1.8970008994602239,10.27574328211833,47.958303764833055,1.1459155902616465
0.455,-0.34,6.33,-8.05,0.03,-0.01,0.0,23.26,40.88,-9.37,-0.2803709875305328,1.8977617859145397,10.27574328211833,47.958303764833055,1.1459155902616465
0.466,-0.34,6.33,-8.05,0.03,-0.01,0.0,23.26,40.88,-9.37,-0.14223386918294798,1.8983056446165705,10.246316411276787,47.958303764833055,1.811851635761533
0.47700000000000004,-0.34,6.31,-8.05,0.03,-0.01,0.0,23.26,40.88,-9.37,-0.03203393066269947,1.89899952945008,10.246316411276787,47.958303764833055,1.811851635761533
0.488,-0.34,6.31,-8.05,0.03,-0.01,0.0,23.26,40.88,-9.37,0.0534009380125448,1.8995395365779046,10.233972835609835,47.958303764833055,1.811851635761533
0.499,-0.34,6.32,-8.06,0.02,-0.01,0.0,23.26,40.88,-9.37,0.12113225588266248,1.8997116852705744,10.233972835609835,47.958303764833055,1.811851635761533
0.51,-0.34,6.32,-8.06,0.02,-0.01,0.0,23.26,40.88,-9.37,0.17643600415501234,1.8998525482775364,10.24800468383968,47.958303764833055,1.2811725781509187
0.521,-0.34,6.33,-8.08,0.02,-0.01,0.0,23.26,40.88,-9.37,0.2240181623380134,1.8996318439679385,10.24800468383968,47.958303764833055,1.2811725781509187
0.532,-0.34,6.34,-8.07,0.02,-0.0,0.0,23.26,40.88,-9.37,0.26030458434047793,1.8994692071856747,10.269902628554956,47.958303764833055,1.2811725781509187
0.543,-0.34,6.34,-8.07,0.02,-0.0,0.0,23.26,40.88,-9.37,0.2913739656642725,1.8993298251895112,10.268208217600577,47.958303764833055,1.1459155902616465
0.554,-0.34,6.33,-8.07,0.01,0.0,0.0,23.54,39.64,-11.32,0.13626095004259828,1.8992852454217228,10.268208217600577,47.958303764833055,1.1459155902616465
0.5650000000000001,-0.34,6.33,-8.07,0.01,0.0,0.0,23.54,39.64,-11.32,0.0,1.8992462384163673,10.262036834858858,47.47213498464125,0.5729577951308232
0.5760000000000001,-0.35,6.34,-8.05,0.01,0.0,0.0,23.54,39.64,-11.32,-0.12722678311841557,1.902599470513664,10.262036834858858,47.47213498464125,0.5729577951308232
0.587,-0.35,6.34,-8.05,0.01,0.0,0.0,23.54,39.64,-11.32,-0.24068392131890917,1.905580303177132,10.252833754626085,47.47213498464125,0.5729577951308232
0.598,-0.35,6.33,-8.06,0.02,-0.0,0.0,23.54,39.64,-11.32,-0.33974970188625525,1.908230985796422,10.252833754626085,47.47213498464125,0.5729577951308232
0.609,-0.35,6.33,-8.06,0.02,-0.0,0.0,23.54,39.64,-11.32,-0.42912794420917005,1.9106166861030403,10.254511202392829,47.47213498464125,1.1459155902616465
0.62,-0.33,6.34,-8.06,0.02,-0.0,0.0,23.54,39.64,-11.32,-0.5080366672328879,1.907403847991958,10.254511202392829,47.47213498464125,1.1459155902616465
0.631,-0.33,6.34,-8.06,0.02,-0.0,0.0,23.54,39.64,-11.32,-0.579924401973857,1.9044831401610054,10.260024366442801,47.47213498464125,1.1459155902616465
