time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.32,6.20,-8.18,-0.03,0.13,-0.15,24.43,15.54,-11.46
411,-0.24,6.40,-8.05,-0.02,0.09,-0.10,24.43,15.54,-11.46
422,-0.30,6.46,-8.02,-0.01,0.04,-0.05,24.43,15.54,-11.46
433,-0.30,6.46,-8.02,-0.01,0.04,-0.05,24.43,15.54,-11.46
444,-0.34,6.32,-8.10,0.01,0.02,-0.03,24.43,15.54,-11.46
455,-0.34,6.32,-8.10,0.01,0.02,-0.03,24.43,15.54,-11.46
466,-0.31,6.32,-8.12,0.03,0.01,-0.00,24.43,15.54,-11.46
477,-0.31,6.32,-8.12,0.03,0.01,-0.00,24.43,15.54,-11.46
488,-0.27,6.52,-7.93,0.06,0.01,0.02,25.06,14.02,-9.68
499,-0.27,6.52,-7.93,0.06,0.01,0.02,25.06,14.02,-9.68
510,-0.80,6.06,-8.32,-0.02,-0.01,0.04,25.06,14.02,-9.68
521,-0.80,6.06,-8.32,-0.02,-0.01,0.04,25.06,14.02,-9.68
532,-0.23,6.26,-8.20,0.01,0.02,0.04,25.06,14.02,-9.68
543,-0.10,6.24,-8.14,0.01,0.06,-0.01,25.06,14.02,-9.68
554,-0.10,6.24,-8.14,0.01,0.06,-0.01,25.06,14.02,-9.68
565,-0.66,6.27,-8.03,0.03,0.10,-0.08,25.06,14.02,-9.68
576,-0.66,6.27,-8.03,0.03,0.10,-0.08,25.06,14.02,-9.68
587,-0.32,6.27,-8.14,0.03,0.04,-0.03,25.06,14.02,-9.68
598,-0.32,6.27,-8.14,0.03,0.04,-0.03,25.06,14.02,-9.68
609,-0.30,6.25,-8.16,0.02,0.01,-0.00,25.06,14.02,-9.68
620,-0.30,6.25,-8.16,0.02,0.01,-0.00,25.06,14.02,-9.68
631,-0.28,6.23,-8.13,0.02,0.01,-0.00,24.85,14.44,-10.28
642,-0.28,6.22,-8.13,0.02,0.01,-0.00,24.85,14.44,-10.28
653,-0.28,6.22,-8.13,0.02,0.01,-0.00,24.85,14.44,-10.28
